Date,VARDMNPOLY
2014-01-01,39.85
2014-01-02,38.15
2014-01-03,38.75
2014-01-06,38.8
2014-01-07,38.15
2014-01-08,37.85
2014-01-09,37.0
2014-01-10,36.9
2014-01-13,36.2
2014-01-14,35.7
2014-01-15,36.0
2014-01-16,35.55
2014-01-17,34.55
2014-01-20,33.95
2014-01-21,34.1
2014-01-22,33.95
2014-01-23,34.3
2014-01-24,33.5
2014-01-27,33.5
2014-01-28,35.0
2014-01-29,35.35
2014-01-30,34.5
2014-01-31,35.35
2014-02-03,35.0
2014-02-04,34.25
2014-02-05,35.2
2014-02-06,35.85
2014-02-07,34.9
2014-02-10,34.9
2014-02-11,34.35
2014-02-12,34.95
2014-02-13,34.7
2014-02-14,34.05
2014-02-17,34.05
2014-02-18,33.7
2014-02-19,33.7
2014-02-20,33.3
2014-02-21,32.85
2014-02-24,32.2
2014-02-25,31.6
2014-02-26,31.9
2014-02-28,31.0
2014-03-03,30.7
2014-03-04,31.0
2014-03-05,31.15
2014-03-06,31.25
2014-03-07,30.85
2014-03-10,31.2
2014-03-11,30.4
2014-03-12,30.1
2014-03-13,30.25
2014-03-14,29.85
2014-03-18,29.75
2014-03-19,30.4
2014-03-20,30.5
2014-03-21,30.95
2014-03-24,31.5
2014-03-25,31.9
2014-03-26,32.0
2014-03-27,31.6
2014-03-28,32.3
2014-03-31,33.1
2014-04-01,33.0
2014-04-02,33.9
2014-04-03,34.4
2014-04-04,33.85
2014-04-07,34.45
2014-04-09,35.15
2014-04-10,35.8
2014-04-11,35.55
2014-04-15,35.95
2014-04-16,34.8
2014-04-17,34.9
2014-04-21,36.6
2014-04-22,36.9
2014-04-23,35.4
2014-04-25,39.85
2014-04-28,41.4
2014-04-29,40.7
2014-04-30,39.1
2014-05-02,39.3
2014-05-05,40.0
2014-05-06,37.95
2014-05-07,37.8
2014-05-08,37.1
2014-05-09,41.7
2014-05-12,39.6
2014-05-13,39.6
2014-05-14,39.5
2014-05-15,39.25
2014-05-16,38.4
2014-05-19,40.05
2014-05-20,41.85
2014-05-21,42.75
2014-05-22,47.35
2014-05-23,48.0
2014-05-26,44.5
2014-05-27,43.4
2014-05-28,45.05
2014-05-29,42.95
2014-05-30,42.0
2014-06-02,40.6
2014-06-03,41.7
2014-06-04,44.45
2014-06-05,45.1
2014-06-06,44.9
2014-06-09,46.05
2014-06-10,46.55
2014-06-11,44.7
2014-06-12,46.3
2014-06-13,44.5
2014-06-16,45.7
2014-06-17,46.15
2014-06-18,44.9
2014-06-19,45.6
2014-06-20,46.0
2014-06-23,45.05
2014-06-24,45.9
2014-06-25,45.75
2014-06-26,45.85
2014-06-27,46.35
2014-06-30,47.9
2014-07-01,48.85
2014-07-02,50.8
2014-07-03,52.05
2014-07-04,62.45
2014-07-07,57.9
2014-07-08,51.9
2014-07-09,49.55
2014-07-10,51.7
2014-07-11,48.6
2014-07-14,47.65
2014-07-15,49.35
2014-07-16,51.65
2014-07-17,51.6
2014-07-18,52.95
2014-07-21,54.75
2014-07-22,54.7
2014-07-23,60.55
2014-07-24,56.75
2014-07-25,54.45
2014-07-28,54.25
2014-07-30,53.6
2014-07-31,54.1
2014-08-01,54.0
2014-08-04,54.0
2014-08-05,54.5
2014-08-06,54.4
2014-08-07,54.45
2014-08-08,52.75
2014-08-11,53.45
2014-08-12,54.0
2014-08-13,58.05
2014-08-14,64.9
2014-08-18,63.3
2014-08-19,62.25
2014-08-20,60.05
2014-08-21,57.45
2014-08-22,55.8
2014-08-26,56.0
2014-08-27,56.0
2014-08-28,56.4
2014-09-01,57.6
2014-09-02,57.25
2014-09-03,56.35
2014-09-04,55.85
2014-09-05,55.6
2014-09-08,56.9
2014-09-09,57.1
2014-09-10,58.3
2014-09-11,61.35
2014-09-12,58.6
2014-09-15,57.6
2014-09-16,55.4
2014-09-17,56.0
2014-09-18,56.0
2014-09-19,55.0
2014-09-22,56.0
2014-09-23,54.25
2014-09-24,54.1
2014-09-25,51.4
2014-09-26,52.0
2014-09-29,51.45
2014-09-30,51.8
2014-10-01,51.1
2014-10-07,50.45
2014-10-08,51.25
2014-10-09,51.1
2014-10-10,50.25
2014-10-13,50.45
2014-10-14,48.55
2014-10-16,48.4
2014-10-17,48.0
2014-10-20,47.45
2014-10-21,48.0
2014-10-22,49.55
2014-10-23,52.65
2014-10-27,53.45
2014-10-28,52.9
2014-10-29,53.85
2014-10-30,54.0
2014-10-31,51.1
2014-11-03,51.55
2014-11-05,51.6
2014-11-07,50.85
2014-11-10,50.3
2014-11-11,49.0
2014-11-12,46.9
2014-11-13,48.5
2014-11-14,48.95
2014-11-17,47.0
2014-11-18,48.45
2014-11-19,48.25
2014-11-20,47.3
2014-11-21,49.3
2014-11-24,50.05
2014-11-25,52.2
2014-11-26,52.1
2014-11-27,54.5
2014-11-28,53.1
2014-12-01,51.5
2014-12-02,50.4
2014-12-03,50.0
2014-12-04,52.6
2014-12-05,51.0
2014-12-08,52.3
2014-12-09,51.0
2014-12-10,51.0
2014-12-11,50.0
2014-12-12,51.45
2014-12-15,51.45
2014-12-17,47.2
2014-12-18,49.65
2014-12-19,48.65
2014-12-22,47.65
2014-12-23,48.65
2014-12-24,47.55
2014-12-26,49.95
2014-12-29,50.0
2014-12-30,49.2
2014-12-31,49.3
