Date,THOMASCOOK
2014-01-01,84.4
2014-01-02,81.75
2014-01-03,82.05
2014-01-06,81.2
2014-01-07,80.85
2014-01-08,82.0
2014-01-09,81.45
2014-01-10,79.25
2014-01-13,81.55
2014-01-14,81.05
2014-01-15,80.35
2014-01-16,79.85
2014-01-17,78.25
2014-01-20,79.65
2014-01-21,79.5
2014-01-22,79.35
2014-01-23,78.8
2014-01-24,79.15
2014-01-27,78.75
2014-01-28,78.05
2014-01-29,82.35
2014-01-30,79.25
2014-01-31,79.1
2014-02-03,78.45
2014-02-04,82.4
2014-02-05,85.7
2014-02-06,85.85
2014-02-07,87.7
2014-02-10,81.5
2014-02-11,78.3
2014-02-12,77.55
2014-02-13,76.55
2014-02-14,75.1
2014-02-17,72.85
2014-02-18,74.8
2014-02-19,77.1
2014-02-20,76.35
2014-02-21,76.75
2014-02-24,76.75
2014-02-25,75.8
2014-02-26,74.7
2014-02-28,74.15
2014-03-03,75.05
2014-03-04,75.15
2014-03-05,75.75
2014-03-06,78.15
2014-03-07,79.15
2014-03-10,78.9
2014-03-11,79.05
2014-03-12,80.0
2014-03-13,79.1
2014-03-14,79.8
2014-03-18,82.3
2014-03-19,85.35
2014-03-20,82.7
2014-03-21,83.55
2014-03-22,85.95
2014-03-24,87.85
2014-03-25,88.65
2014-03-26,88.95
2014-03-27,87.2
2014-03-28,89.2
2014-03-31,89.35
2014-04-01,89.65
2014-04-02,97.8
2014-04-03,100.15
2014-04-04,97.15
2014-04-07,99.3
2014-04-09,99.65
2014-04-10,101.5
2014-04-11,100.0
2014-04-15,101.45
2014-04-16,103.1
2014-04-17,102.8
2014-04-21,104.5
2014-04-22,102.9
2014-04-23,103.0
2014-04-25,104.5
2014-04-28,103.15
2014-04-29,99.25
2014-04-30,95.15
2014-05-02,95.05
2014-05-05,94.95
2014-05-06,91.45
2014-05-07,89.95
2014-05-08,89.3
2014-05-09,92.5
2014-05-12,90.85
2014-05-13,91.75
2014-05-14,92.15
2014-05-15,90.85
2014-05-16,91.4
2014-05-19,90.85
2014-05-20,92.2
2014-05-21,96.65
2014-05-22,97.25
2014-05-23,96.9
2014-05-26,91.6
2014-05-27,93.8
2014-05-28,100.35
2014-05-29,98.15
2014-05-30,99.95
2014-06-02,98.15
2014-06-03,98.9
2014-06-04,99.35
2014-06-05,98.8
2014-06-06,106.15
2014-06-09,116.05
2014-06-10,126.4
2014-06-11,121.2
2014-06-12,117.6
2014-06-13,112.1
2014-06-16,114.55
2014-06-17,114.95
2014-06-18,118.95
2014-06-19,118.85
2014-06-20,114.35
2014-06-23,113.85
2014-06-24,115.9
2014-06-25,115.3
2014-06-26,114.7
2014-06-27,114.35
2014-06-30,118.25
2014-07-01,119.5
2014-07-02,117.65
2014-07-03,117.95
2014-07-04,123.1
2014-07-07,120.15
2014-07-08,113.55
2014-07-09,113.4
2014-07-10,117.6
2014-07-11,114.45
2014-07-14,114.3
2014-07-15,117.9
2014-07-16,116.85
2014-07-17,116.95
2014-07-18,116.0
2014-07-21,121.5
2014-07-22,122.4
2014-07-23,118.95
2014-07-24,116.85
2014-07-25,114.45
2014-07-28,115.95
2014-07-30,118.7
2014-07-31,124.15
2014-08-01,142.1
2014-08-04,135.3
2014-08-05,136.95
2014-08-06,134.85
2014-08-07,133.85
2014-08-08,133.5
2014-08-11,133.0
2014-08-12,131.3
2014-08-13,127.95
2014-08-14,131.5
2014-08-18,137.05
2014-08-19,138.7
2014-08-20,140.3
2014-08-21,146.1
2014-08-22,144.75
2014-08-25,146.15
2014-08-26,144.4
2014-08-27,150.4
2014-08-28,146.45
2014-09-01,148.35
2014-09-02,146.4
2014-09-03,145.6
2014-09-04,144.15
2014-09-05,144.65
2014-09-08,144.95
2014-09-09,149.35
2014-09-10,147.45
2014-09-11,148.75
2014-09-12,149.1
2014-09-15,152.05
2014-09-16,145.0
2014-09-17,145.6
2014-09-18,148.65
2014-09-19,157.0
2014-09-22,152.0
2014-09-23,145.75
2014-09-24,144.45
2014-09-25,137.45
2014-09-26,136.25
2014-09-29,143.8
2014-09-30,144.15
2014-10-01,141.2
2014-10-07,144.45
2014-10-08,145.25
2014-10-09,148.65
2014-10-10,146.65
2014-10-13,145.6
2014-10-14,147.45
2014-10-16,147.05
2014-10-17,150.2
2014-10-20,153.9
2014-10-21,153.15
2014-10-22,151.5
2014-10-23,153.1
2014-10-27,150.75
2014-10-28,156.55
2014-10-29,164.55
2014-10-30,165.45
2014-10-31,167.25
2014-11-03,166.65
2014-11-05,168.8
2014-11-07,172.25
2014-11-10,179.75
2014-11-11,179.2
2014-11-12,179.9
2014-11-13,176.7
2014-11-14,178.9
2014-11-17,184.35
2014-11-18,184.0
2014-11-19,183.65
2014-11-20,187.65
2014-11-21,183.5
2014-11-24,172.75
2014-11-25,167.4
2014-11-26,172.0
2014-11-27,170.6
2014-11-28,170.85
2014-12-01,171.55
2014-12-02,173.0
2014-12-03,171.95
2014-12-04,169.2
2014-12-05,169.55
2014-12-08,163.8
2014-12-09,166.05
2014-12-10,167.05
2014-12-11,166.2
2014-12-12,167.7
2014-12-15,164.9
2014-12-16,158.9
2014-12-17,158.6
2014-12-18,160.9
2014-12-19,157.9
2014-12-22,156.25
2014-12-23,152.95
2014-12-24,151.3
2014-12-26,152.25
2014-12-29,161.15
2014-12-30,160.0
2014-12-31,160.75
