Date,BPCL
2014-01-01,349.2
2014-01-02,339.45
2014-01-03,329.3
2014-01-06,329.8
2014-01-07,323.55
2014-01-08,317.55
2014-01-09,325.25
2014-01-10,326.3
2014-01-13,331.5
2014-01-14,328.2
2014-01-15,327.3
2014-01-16,330.35
2014-01-17,340.1
2014-01-20,342.55
2014-01-21,337.3
2014-01-22,343.95
2014-01-23,347.3
2014-01-24,343.15
2014-01-27,337.65
2014-01-28,342.2
2014-01-29,354.9
2014-01-30,352.5
2014-01-31,362.7
2014-02-03,356.45
2014-02-04,355.3
2014-02-05,354.6
2014-02-06,352.85
2014-02-07,352.15
2014-02-10,354.8
2014-02-11,359.65
2014-02-12,364.75
2014-02-13,355.0
2014-02-14,355.8
2014-02-17,357.5
2014-02-18,355.0
2014-02-19,351.4
2014-02-20,346.8
2014-02-21,361.25
2014-02-24,364.0
2014-02-25,371.85
2014-02-26,377.45
2014-02-28,378.0
2014-03-03,376.65
2014-03-04,380.15
2014-03-05,387.45
2014-03-06,401.1
2014-03-07,417.95
2014-03-10,418.8
2014-03-11,414.65
2014-03-12,412.9
2014-03-13,443.8
2014-03-14,444.75
2014-03-18,449.3
2014-03-19,448.2
2014-03-20,431.2
2014-03-21,428.1
2014-03-22,430.15
2014-03-24,434.0
2014-03-25,445.55
2014-03-26,445.15
2014-03-27,454.55
2014-03-28,458.25
2014-03-31,460.05
2014-04-01,446.9
2014-04-02,448.95
2014-04-03,439.6
2014-04-04,443.6
2014-04-07,438.1
2014-04-09,440.05
2014-04-10,451.85
2014-04-11,444.35
2014-04-15,445.7
2014-04-16,436.35
2014-04-17,449.8
2014-04-21,463.85
2014-04-22,482.8
2014-04-23,475.1
2014-04-25,460.65
2014-04-28,456.45
2014-04-29,460.45
2014-04-30,454.9
2014-05-02,462.6
2014-05-05,467.65
2014-05-06,467.5
2014-05-07,472.35
2014-05-08,462.45
2014-05-09,485.8
2014-05-12,502.45
2014-05-13,509.4
2014-05-14,518.65
2014-05-15,516.35
2014-05-16,552.1
2014-05-19,575.9
2014-05-20,558.75
2014-05-21,560.3
2014-05-22,559.65
2014-05-23,556.2
2014-05-26,557.8
2014-05-27,554.1
2014-05-28,542.3
2014-05-29,536.1
2014-05-30,521.9
2014-06-02,555.55
2014-06-03,573.65
2014-06-04,575.7
2014-06-05,619.45
2014-06-06,628.1
2014-06-09,615.05
2014-06-10,614.05
2014-06-11,607.05
2014-06-12,599.05
2014-06-13,569.75
2014-06-16,590.95
2014-06-17,610.25
2014-06-18,591.7
2014-06-19,564.45
2014-06-20,552.55
2014-06-23,556.65
2014-06-24,582.75
2014-06-25,581.3
2014-06-26,567.85
2014-06-27,569.7
2014-06-30,600.4
2014-07-01,589.6
2014-07-02,601.8
2014-07-03,599.6
2014-07-04,599.75
2014-07-07,593.25
2014-07-08,571.35
2014-07-09,582.85
2014-07-10,580.75
2014-07-11,561.2
2014-07-14,569.05
2014-07-15,582.05
2014-07-16,590.8
2014-07-17,591.1
2014-07-18,583.0
2014-07-21,581.4
2014-07-22,582.75
2014-07-23,600.25
2014-07-24,603.0
2014-07-25,591.55
2014-07-28,574.75
2014-07-30,573.4
2014-07-31,580.15
2014-08-01,577.35
2014-08-04,600.4
2014-08-05,592.85
2014-08-06,581.3
2014-08-07,584.95
2014-08-08,566.55
2014-08-11,573.45
2014-08-12,590.7
2014-08-13,603.65
2014-08-14,613.35
2014-08-18,648.5
2014-08-19,674.05
2014-08-20,667.0
2014-08-21,685.4
2014-08-22,672.0
2014-08-25,664.7
2014-08-26,664.7
2014-08-27,677.75
2014-08-28,694.3
2014-09-01,704.85
2014-09-02,703.65
2014-09-03,704.55
2014-09-04,700.75
2014-09-05,688.7
2014-09-08,700.05
2014-09-09,692.65
2014-09-10,676.9
2014-09-11,681.4
2014-09-12,683.15
2014-09-15,683.35
2014-09-16,650.0
2014-09-17,638.95
2014-09-18,662.3
2014-09-19,657.25
2014-09-22,670.35
2014-09-23,650.95
2014-09-24,642.25
2014-09-25,620.3
2014-09-26,639.45
2014-09-29,637.3
2014-09-30,655.4
2014-10-01,652.85
2014-10-07,650.55
2014-10-08,674.7
2014-10-09,671.7
2014-10-10,670.25
2014-10-13,671.75
2014-10-14,656.3
2014-10-16,666.25
2014-10-17,666.75
2014-10-20,696.85
2014-10-21,687.8
2014-10-22,688.75
2014-10-23,691.1
2014-10-27,686.15
2014-10-28,701.85
2014-10-29,704.65
2014-10-30,702.05
2014-10-31,724.75
2014-11-03,724.05
2014-11-05,740.3
2014-11-07,759.15
2014-11-10,766.0
2014-11-11,766.9
2014-11-12,765.3
2014-11-13,730.45
2014-11-14,734.85
2014-11-17,726.05
2014-11-18,719.9
2014-11-19,721.55
2014-11-20,719.8
2014-11-21,724.45
2014-11-24,719.4
2014-11-25,709.9
2014-11-26,707.6
2014-11-27,720.55
2014-11-28,746.25
2014-12-01,744.35
2014-12-02,712.55
2014-12-03,710.85
2014-12-04,726.55
2014-12-05,710.05
2014-12-08,689.75
2014-12-09,673.35
2014-12-10,668.95
2014-12-11,663.15
2014-12-12,667.6
2014-12-15,636.35
2014-12-16,647.45
2014-12-17,647.8
2014-12-18,653.3
2014-12-19,653.75
2014-12-22,655.25
2014-12-23,650.8
2014-12-24,639.7
2014-12-26,645.7
2014-12-29,647.1
2014-12-30,648.45
2014-12-31,646.0
