Date,SUMEETINDS
2014-01-01,24.0
2014-01-02,22.9
2014-01-03,22.15
2014-01-06,25.85
2014-01-07,24.8
2014-01-08,24.2
2014-01-09,22.5
2014-01-10,20.0
2014-01-13,21.25
2014-01-14,21.1
2014-01-15,23.55
2014-01-16,24.05
2014-01-17,22.05
2014-01-20,23.05
2014-01-21,22.4
2014-01-22,23.25
2014-01-23,23.8
2014-01-24,22.55
2014-01-27,21.6
2014-01-28,21.1
2014-01-29,21.15
2014-01-30,21.65
2014-01-31,22.0
2014-02-03,22.35
2014-02-04,21.65
2014-02-05,21.5
2014-02-06,21.7
2014-02-07,21.45
2014-02-10,21.55
2014-02-11,21.7
2014-02-12,21.35
2014-02-13,21.4
2014-02-14,20.9
2014-02-17,21.1
2014-02-18,20.85
2014-02-19,21.5
2014-02-20,21.1
2014-02-21,20.15
2014-02-24,20.2
2014-02-25,20.6
2014-02-26,20.9
2014-02-28,19.85
2014-03-03,19.4
2014-03-04,19.7
2014-03-05,22.6
2014-03-06,22.2
2014-03-07,22.05
2014-03-10,23.0
2014-03-11,22.15
2014-03-12,22.2
2014-03-13,21.8
2014-03-14,20.5
2014-03-18,20.35
2014-03-19,20.0
2014-03-20,20.25
2014-03-21,19.8
2014-03-22,19.6
2014-03-24,19.05
2014-03-25,18.8
2014-03-26,18.1
2014-03-27,17.7
2014-03-28,17.75
2014-03-31,18.6
2014-04-01,18.25
2014-04-02,18.25
2014-04-03,18.5
2014-04-04,18.5
2014-04-07,18.5
2014-04-09,18.2
2014-04-10,18.3
2014-04-11,18.25
2014-04-15,16.5
2014-04-16,15.0
2014-04-17,15.0
2014-04-21,15.05
2014-04-22,13.9
2014-04-23,14.5
2014-04-25,16.15
2014-04-28,16.1
2014-04-29,15.7
2014-04-30,15.4
2014-05-02,15.4
2014-05-05,15.45
2014-05-06,15.1
2014-05-07,15.0
2014-05-08,14.9
2014-05-09,15.0
2014-05-12,15.0
2014-05-13,15.25
2014-05-14,15.25
2014-05-15,15.2
2014-05-16,16.1
2014-05-19,16.9
2014-05-20,17.35
2014-05-21,17.45
2014-05-22,16.25
2014-05-23,15.9
2014-05-26,15.35
2014-05-27,15.35
2014-05-28,15.8
2014-05-29,15.75
2014-05-30,15.7
2014-06-02,15.45
2014-06-03,15.8
2014-06-04,16.85
2014-06-05,17.6
2014-06-06,17.15
2014-06-09,17.3
2014-06-10,17.85
2014-06-11,17.3
2014-06-12,17.4
2014-06-13,16.85
2014-06-16,16.7
2014-06-17,17.05
2014-06-18,17.1
2014-06-19,16.15
2014-06-20,16.1
2014-06-23,16.15
2014-06-24,16.5
2014-06-25,16.55
2014-06-26,16.5
2014-06-27,16.5
2014-06-30,16.65
2014-07-01,16.6
2014-07-02,16.6
2014-07-03,16.45
2014-07-04,16.7
2014-07-07,19.85
2014-07-08,18.45
2014-07-09,18.55
2014-07-10,18.85
2014-07-11,16.6
2014-07-14,16.4
2014-07-15,16.8
2014-07-16,15.95
2014-07-17,15.75
2014-07-18,16.0
2014-07-21,16.05
2014-07-22,16.1
2014-07-23,15.95
2014-07-24,15.85
2014-07-25,15.45
2014-07-28,15.3
2014-07-30,15.4
2014-07-31,15.3
2014-08-01,15.45
2014-08-04,15.2
2014-08-05,15.2
2014-08-06,15.4
2014-08-07,15.45
2014-08-08,15.1
2014-08-11,15.15
2014-08-12,16.05
2014-08-13,15.4
2014-08-14,15.75
2014-08-18,16.15
2014-08-19,16.25
2014-08-20,16.05
2014-08-21,15.9
2014-08-22,15.9
2014-08-25,15.35
2014-08-26,15.1
2014-08-27,15.5
2014-08-28,15.95
2014-09-01,15.95
2014-09-02,16.05
2014-09-03,15.45
2014-09-04,15.15
2014-09-05,15.2
2014-09-08,15.7
2014-09-09,15.65
2014-09-10,16.65
2014-09-11,17.55
2014-09-12,17.55
2014-09-15,17.4
2014-09-16,15.05
2014-09-17,14.75
2014-09-18,15.45
2014-09-19,15.15
2014-09-22,15.85
2014-09-23,15.5
2014-09-24,14.85
2014-09-25,13.85
2014-09-26,14.0
2014-09-29,14.75
2014-09-30,14.4
2014-10-01,14.4
2014-10-07,14.5
2014-10-08,14.8
2014-10-09,15.0
2014-10-10,15.0
2014-10-13,15.1
2014-10-14,15.0
2014-10-16,14.8
2014-10-17,14.4
2014-10-20,14.45
2014-10-21,14.65
2014-10-22,14.4
2014-10-23,14.8
2014-10-27,14.55
2014-10-28,14.5
2014-10-29,14.65
2014-10-30,15.05
2014-10-31,14.8
2014-11-03,14.85
2014-11-05,14.95
2014-11-07,15.05
2014-11-10,15.0
2014-11-11,15.1
2014-11-12,14.9
2014-11-13,14.65
2014-11-14,14.7
2014-11-17,14.5
2014-11-18,14.25
2014-11-19,14.55
2014-11-20,14.4
2014-11-21,14.5
2014-11-24,14.5
2014-11-25,14.15
2014-11-26,14.2
2014-11-27,13.95
2014-11-28,13.85
2014-12-01,13.95
2014-12-02,13.95
2014-12-03,14.45
2014-12-04,14.65
2014-12-05,14.35
2014-12-08,14.35
2014-12-09,16.0
2014-12-10,16.95
2014-12-11,17.65
2014-12-12,17.0
2014-12-15,16.15
2014-12-16,14.75
2014-12-17,14.65
2014-12-18,15.2
2014-12-19,15.1
2014-12-22,15.05
2014-12-23,14.7
2014-12-24,14.75
2014-12-26,14.65
2014-12-29,14.8
2014-12-30,14.75
2014-12-31,14.6
