Date,NBCC
2014-01-01,155.8
2014-01-02,158.55
2014-01-03,159.45
2014-01-06,162.35
2014-01-07,160.35
2014-01-08,157.0
2014-01-09,150.3
2014-01-10,146.5
2014-01-13,150.8
2014-01-14,156.55
2014-01-15,149.6
2014-01-16,153.0
2014-01-17,144.65
2014-01-20,146.9
2014-01-21,144.15
2014-01-22,143.2
2014-01-23,144.95
2014-01-24,140.7
2014-01-27,139.1
2014-01-28,145.1
2014-01-29,150.25
2014-01-30,151.1
2014-01-31,146.85
2014-02-03,145.95
2014-02-04,145.95
2014-02-05,145.05
2014-02-06,143.8
2014-02-07,146.45
2014-02-10,146.25
2014-02-11,141.8
2014-02-12,140.9
2014-02-13,136.9
2014-02-14,137.7
2014-02-17,136.3
2014-02-18,139.85
2014-02-19,142.6
2014-02-20,139.2
2014-02-21,139.0
2014-02-24,139.85
2014-02-25,138.1
2014-02-26,142.65
2014-02-28,137.65
2014-03-03,136.35
2014-03-04,136.0
2014-03-05,135.35
2014-03-06,142.75
2014-03-07,142.55
2014-03-10,140.95
2014-03-11,149.4
2014-03-12,150.2
2014-03-13,149.8
2014-03-14,151.25
2014-03-18,158.35
2014-03-19,159.05
2014-03-20,160.65
2014-03-21,157.5
2014-03-22,159.45
2014-03-24,156.9
2014-03-25,155.55
2014-03-26,156.7
2014-03-27,159.65
2014-03-28,157.75
2014-03-31,157.4
2014-04-01,158.45
2014-04-02,169.9
2014-04-03,169.6
2014-04-04,176.65
2014-04-07,183.6
2014-04-09,185.4
2014-04-10,184.75
2014-04-11,182.45
2014-04-15,179.1
2014-04-16,175.15
2014-04-17,176.7
2014-04-21,177.35
2014-04-22,179.65
2014-04-23,176.0
2014-04-25,169.5
2014-04-28,203.4
2014-04-29,218.3
2014-04-30,210.35
2014-05-02,210.35
2014-05-05,207.3
2014-05-06,224.7
2014-05-07,219.85
2014-05-08,229.7
2014-05-09,230.5
2014-05-12,246.3
2014-05-13,252.0
2014-05-14,250.15
2014-05-15,240.7
2014-05-16,260.45
2014-05-19,297.0
2014-05-20,288.7
2014-05-21,287.15
2014-05-22,289.75
2014-05-23,306.3
2014-05-26,288.85
2014-05-27,316.05
2014-05-28,306.75
2014-05-29,308.1
2014-05-30,301.05
2014-06-02,298.85
2014-06-03,303.4
2014-06-04,318.1
2014-06-05,317.95
2014-06-06,312.0
2014-06-09,308.6
2014-06-10,313.8
2014-06-11,303.5
2014-06-12,299.1
2014-06-13,299.55
2014-06-16,298.45
2014-06-17,314.5
2014-06-18,311.25
2014-06-19,308.25
2014-06-20,303.9
2014-06-23,304.15
2014-06-24,317.6
2014-06-25,320.3
2014-06-26,315.95
2014-06-27,315.0
2014-06-30,346.2
2014-07-01,370.95
2014-07-02,383.75
2014-07-03,393.1
2014-07-04,394.2
2014-07-07,462.8
2014-07-08,425.25
2014-07-09,395.85
2014-07-10,417.1
2014-07-11,395.6
2014-07-14,404.05
2014-07-15,423.35
2014-07-16,438.05
2014-07-17,456.35
2014-07-18,455.3
2014-07-21,462.45
2014-07-22,456.1
2014-07-23,434.75
2014-07-24,468.85
2014-07-25,454.9
2014-07-28,464.8
2014-07-30,470.65
2014-07-31,464.75
2014-08-01,456.15
2014-08-04,453.1
2014-08-05,463.0
2014-08-06,470.2
2014-08-07,459.7
2014-08-08,454.35
2014-08-11,456.75
2014-08-12,444.5
2014-08-13,413.9
2014-08-14,446.75
2014-08-18,455.45
2014-08-19,460.1
2014-08-20,458.6
2014-08-21,450.2
2014-08-22,444.2
2014-08-25,427.7
2014-08-26,425.2
2014-08-27,430.9
2014-08-28,422.4
2014-09-01,435.15
2014-09-02,436.25
2014-09-03,466.4
2014-09-04,467.6
2014-09-05,488.05
2014-09-08,513.6
2014-09-09,505.8
2014-09-10,518.1
2014-09-11,538.5
2014-09-12,535.65
2014-09-15,538.7
2014-09-16,515.3
2014-09-17,606.7
2014-09-18,689.35
2014-09-19,667.3
2014-09-22,706.15
2014-09-23,738.15
2014-09-24,727.1
2014-09-25,687.0
2014-09-26,707.25
2014-09-29,709.9
2014-09-30,688.4
2014-10-01,667.6
2014-10-07,636.45
2014-10-08,653.6
2014-10-09,686.1
2014-10-10,661.15
2014-10-13,675.25
2014-10-14,736.05
2014-10-16,689.25
2014-10-17,732.55
2014-10-20,750.85
2014-10-21,743.35
2014-10-22,754.35
2014-10-23,747.95
2014-10-27,742.2
2014-10-28,743.55
2014-10-29,745.25
2014-10-30,774.15
2014-10-31,843.3
2014-11-03,876.0
2014-11-05,884.55
2014-11-07,844.3
2014-11-10,828.9
2014-11-11,842.75
2014-11-12,832.05
2014-11-13,818.65
2014-11-14,774.55
2014-11-17,781.15
2014-11-18,794.7
2014-11-19,781.3
2014-11-20,770.0
2014-11-21,772.9
2014-11-24,756.75
2014-11-25,734.9
2014-11-26,786.55
2014-11-27,796.8
2014-11-28,789.85
2014-12-01,771.45
2014-12-02,800.15
2014-12-03,832.65
2014-12-04,879.6
2014-12-05,879.05
2014-12-08,857.55
2014-12-09,852.2
2014-12-10,875.25
2014-12-11,863.4
2014-12-12,816.95
2014-12-15,799.15
2014-12-16,769.8
2014-12-17,769.15
2014-12-18,797.05
2014-12-19,800.45
2014-12-22,795.9
2014-12-23,785.3
2014-12-24,776.0
2014-12-26,777.3
2014-12-29,779.75
2014-12-30,810.0
2014-12-31,817.85
