Date,JINDCOT
2014-01-01,15.9
2014-01-02,15.25
2014-01-03,15.35
2014-01-06,15.3
2014-01-07,14.9
2014-01-08,14.5
2014-01-09,14.5
2014-01-10,14.8
2014-01-13,14.45
2014-01-14,14.0
2014-01-15,13.95
2014-01-16,13.4
2014-01-17,13.55
2014-01-20,13.4
2014-01-21,13.75
2014-01-22,13.8
2014-01-23,13.25
2014-01-24,13.25
2014-01-27,12.85
2014-01-28,12.4
2014-01-29,12.1
2014-01-30,14.5
2014-01-31,15.3
2014-02-03,16.15
2014-02-04,15.5
2014-02-05,15.1
2014-02-06,14.85
2014-02-07,14.8
2014-02-10,14.85
2014-02-11,14.15
2014-02-12,14.35
2014-02-13,13.6
2014-02-14,13.45
2014-02-17,12.95
2014-02-18,13.1
2014-02-19,13.35
2014-02-20,12.5
2014-02-21,12.5
2014-02-24,12.75
2014-02-25,12.65
2014-02-26,12.6
2014-02-28,12.4
2014-03-03,12.45
2014-03-04,12.5
2014-03-05,12.25
2014-03-06,12.5
2014-03-07,12.4
2014-03-10,12.55
2014-03-11,12.45
2014-03-12,12.35
2014-03-13,12.15
2014-03-14,12.15
2014-03-18,12.35
2014-03-19,12.15
2014-03-20,12.15
2014-03-21,12.0
2014-03-22,11.95
2014-03-24,11.65
2014-03-25,11.3
2014-03-26,11.25
2014-03-27,11.85
2014-03-28,12.65
2014-03-31,15.15
2014-04-01,14.0
2014-04-02,14.15
2014-04-03,13.25
2014-04-04,12.95
2014-04-07,13.2
2014-04-09,13.85
2014-04-10,14.3
2014-04-11,14.2
2014-04-15,14.3
2014-04-16,13.75
2014-04-17,13.9
2014-04-21,14.05
2014-04-22,14.0
2014-04-23,13.95
2014-04-25,13.7
2014-04-28,14.9
2014-04-29,14.15
2014-04-30,13.8
2014-05-02,13.7
2014-05-05,13.05
2014-05-06,13.05
2014-05-07,12.95
2014-05-08,12.95
2014-05-09,12.7
2014-05-12,12.9
2014-05-13,13.1
2014-05-14,13.5
2014-05-15,13.2
2014-05-16,13.35
2014-05-19,14.3
2014-05-20,15.7
2014-05-21,17.15
2014-05-22,17.35
2014-05-23,17.05
2014-05-26,15.75
2014-05-27,15.5
2014-05-28,15.35
2014-05-29,15.1
2014-05-30,15.45
2014-06-02,15.95
2014-06-03,19.1
2014-06-04,17.0
2014-06-05,18.05
2014-06-06,16.9
2014-06-09,16.15
2014-06-10,15.05
2014-06-11,16.75
2014-06-12,16.35
2014-06-13,15.65
2014-06-16,16.0
2014-06-17,16.8
2014-06-18,16.45
2014-06-19,16.5
2014-06-20,16.1
2014-06-23,15.95
2014-06-24,16.65
2014-06-25,18.7
2014-06-26,18.7
2014-06-27,17.95
2014-06-30,18.1
2014-07-01,18.2
2014-07-02,18.05
2014-07-03,17.4
2014-07-04,20.85
2014-07-07,21.25
2014-07-08,19.4
2014-07-09,18.15
2014-07-10,18.3
2014-07-11,17.85
2014-07-14,17.1
2014-07-15,20.5
2014-07-16,20.1
2014-07-17,20.4
2014-07-18,19.85
2014-07-21,19.8
2014-07-22,18.95
2014-07-23,18.95
2014-07-24,18.25
2014-07-25,17.55
2014-07-28,17.6
2014-07-30,17.9
2014-07-31,17.7
2014-08-01,16.9
2014-08-04,16.55
2014-08-05,16.45
2014-08-06,17.05
2014-08-07,16.7
2014-08-08,15.9
2014-08-11,15.65
2014-08-12,16.0
2014-08-13,15.6
2014-08-14,15.9
2014-08-18,16.3
2014-08-19,16.15
2014-08-20,16.6
2014-08-21,16.45
2014-08-22,16.0
2014-08-25,15.6
2014-08-26,15.5
2014-08-27,15.5
2014-08-28,14.8
2014-09-01,17.75
2014-09-02,21.3
2014-09-03,20.4
2014-09-04,20.75
2014-09-05,19.25
2014-09-08,20.95
2014-09-09,20.35
2014-09-10,19.9
2014-09-11,20.6
2014-09-12,19.6
2014-09-15,18.8
2014-09-16,18.05
2014-09-17,17.35
2014-09-18,17.95
2014-09-19,17.95
2014-09-22,17.85
2014-09-23,16.95
2014-09-24,16.65
2014-09-25,15.2
2014-09-26,15.45
2014-09-29,15.45
2014-09-30,15.25
2014-10-01,15.1
2014-10-07,14.2
2014-10-08,14.1
2014-10-09,14.2
2014-10-10,13.3
2014-10-13,12.8
2014-10-14,12.45
2014-10-16,12.05
2014-10-17,12.15
2014-10-20,11.45
2014-10-21,12.5
2014-10-22,12.6
2014-10-23,13.75
2014-10-27,13.05
2014-10-28,13.1
2014-10-29,13.05
2014-10-30,12.9
2014-10-31,12.8
2014-11-03,13.3
2014-11-05,14.1
2014-11-07,13.9
2014-11-10,13.8
2014-11-11,13.85
2014-11-12,14.75
2014-11-13,15.2
2014-11-14,15.0
2014-11-17,14.6
2014-11-18,15.45
2014-11-19,15.45
2014-11-20,15.1
2014-11-21,14.5
2014-11-24,14.15
2014-11-25,13.45
2014-11-26,13.3
2014-11-27,13.4
2014-11-28,13.25
2014-12-01,13.05
2014-12-02,13.0
2014-12-03,15.6
2014-12-04,14.7
2014-12-05,14.0
2014-12-08,13.15
2014-12-09,14.1
2014-12-10,14.05
2014-12-11,13.75
2014-12-12,13.75
2014-12-15,13.6
2014-12-16,12.8
2014-12-17,12.7
2014-12-18,13.15
2014-12-19,13.05
2014-12-22,13.4
2014-12-23,13.05
2014-12-24,13.1
2014-12-26,13.0
2014-12-29,13.15
2014-12-30,12.75
2014-12-31,13.0
