Date,LUMAXTECH
2014-01-01,105.5
2014-01-02,104.4
2014-01-03,107.45
2014-01-06,105.8
2014-01-07,105.95
2014-01-08,108.7
2014-01-09,104.05
2014-01-10,102.7
2014-01-13,102.45
2014-01-14,101.45
2014-01-15,102.4
2014-01-16,101.15
2014-01-17,102.95
2014-01-20,103.5
2014-01-21,100.45
2014-01-22,99.55
2014-01-23,100.3
2014-01-24,102.05
2014-01-27,99.0
2014-01-28,98.15
2014-01-29,97.45
2014-01-30,96.35
2014-01-31,100.05
2014-02-03,99.1
2014-02-04,99.8
2014-02-05,108.6
2014-02-06,101.75
2014-02-07,99.85
2014-02-10,97.1
2014-02-11,96.2
2014-02-12,96.7
2014-02-13,95.0
2014-02-14,94.95
2014-02-17,93.9
2014-02-18,93.25
2014-02-19,92.4
2014-02-20,94.8
2014-02-21,93.55
2014-02-24,93.5
2014-02-25,95.05
2014-02-26,96.2
2014-02-28,95.0
2014-03-03,93.4
2014-03-04,94.5
2014-03-05,95.4
2014-03-06,96.55
2014-03-07,96.05
2014-03-10,96.6
2014-03-11,96.6
2014-03-12,96.0
2014-03-13,96.3
2014-03-14,96.75
2014-03-18,96.05
2014-03-19,96.05
2014-03-20,98.15
2014-03-21,102.55
2014-03-22,103.0
2014-03-24,102.75
2014-03-25,105.2
2014-03-26,104.65
2014-03-27,104.0
2014-03-28,104.85
2014-03-31,113.95
2014-04-01,109.9
2014-04-02,110.15
2014-04-03,110.85
2014-04-04,108.8
2014-04-07,107.35
2014-04-09,111.75
2014-04-10,112.8
2014-04-11,112.8
2014-04-15,115.95
2014-04-16,110.95
2014-04-17,112.4
2014-04-21,113.8
2014-04-22,113.25
2014-04-23,114.85
2014-04-25,115.15
2014-04-28,111.95
2014-04-29,110.55
2014-04-30,110.25
2014-05-02,109.95
2014-05-05,109.55
2014-05-06,107.7
2014-05-07,106.9
2014-05-08,108.35
2014-05-09,109.75
2014-05-12,109.5
2014-05-13,109.8
2014-05-14,110.1
2014-05-15,110.85
2014-05-16,110.5
2014-05-19,118.6
2014-05-20,126.8
2014-05-21,131.95
2014-05-22,138.9
2014-05-23,141.95
2014-05-26,132.45
2014-05-27,126.45
2014-05-28,128.0
2014-05-29,131.85
2014-05-30,139.85
2014-06-02,140.15
2014-06-03,154.5
2014-06-04,151.0
2014-06-05,156.75
2014-06-06,175.3
2014-06-09,178.3
2014-06-10,175.5
2014-06-11,174.05
2014-06-12,169.85
2014-06-13,163.7
2014-06-16,159.7
2014-06-17,161.9
2014-06-18,166.7
2014-06-19,170.15
2014-06-20,169.9
2014-06-23,166.2
2014-06-24,170.15
2014-06-25,171.1
2014-06-26,166.25
2014-06-27,166.1
2014-06-30,171.9
2014-07-01,174.7
2014-07-02,174.6
2014-07-03,180.7
2014-07-04,178.4
2014-07-07,179.7
2014-07-08,171.4
2014-07-09,161.65
2014-07-10,165.1
2014-07-11,156.95
2014-07-14,157.3
2014-07-15,156.05
2014-07-16,158.8
2014-07-17,169.85
2014-07-18,169.3
2014-07-21,171.4
2014-07-22,172.7
2014-07-23,168.6
2014-07-24,169.05
2014-07-25,166.45
2014-07-28,160.5
2014-07-30,163.4
2014-07-31,165.95
2014-08-01,167.7
2014-08-04,169.6
2014-08-05,180.4
2014-08-06,181.4
2014-08-07,181.05
2014-08-08,179.9
2014-08-11,177.0
2014-08-12,177.25
2014-08-13,176.65
2014-08-14,183.6
2014-08-18,181.25
2014-08-19,190.15
2014-08-20,195.05
2014-08-21,189.7
2014-08-22,188.25
2014-08-25,183.1
2014-08-26,179.05
2014-08-27,180.4
2014-08-28,178.85
2014-09-01,199.9
2014-09-02,204.9
2014-09-03,223.2
2014-09-04,224.0
2014-09-05,248.6
2014-09-08,243.9
2014-09-09,239.1
2014-09-10,255.75
2014-09-11,257.75
2014-09-12,272.7
2014-09-15,270.95
2014-09-16,244.4
2014-09-17,241.3
2014-09-18,256.5
2014-09-19,264.7
2014-09-22,261.25
2014-09-23,246.85
2014-09-24,243.1
2014-09-25,230.5
2014-09-26,225.3
2014-09-29,240.2
2014-09-30,244.95
2014-10-01,237.5
2014-10-07,235.85
2014-10-08,228.55
2014-10-09,232.65
2014-10-10,223.35
2014-10-13,234.1
2014-10-14,235.0
2014-10-16,222.8
2014-10-17,223.85
2014-10-20,228.3
2014-10-21,232.3
2014-10-22,241.95
2014-10-23,250.35
2014-10-27,248.0
2014-10-28,250.85
2014-10-29,250.75
2014-10-30,250.9
2014-10-31,260.15
2014-11-03,255.7
2014-11-05,263.4
2014-11-07,258.1
2014-11-10,264.0
2014-11-11,270.65
2014-11-12,265.1
2014-11-13,258.6
2014-11-14,266.15
2014-11-17,266.35
2014-11-18,262.55
2014-11-19,285.9
2014-11-20,280.95
2014-11-21,297.15
2014-11-24,295.55
2014-11-25,282.95
2014-11-26,291.25
2014-11-27,288.35
2014-11-28,282.85
2014-12-01,288.35
2014-12-02,297.8
2014-12-03,296.0
2014-12-04,314.9
2014-12-05,310.25
2014-12-08,307.15
2014-12-09,301.6
2014-12-10,304.8
2014-12-11,295.7
2014-12-12,287.25
2014-12-15,282.4
2014-12-16,268.3
2014-12-17,254.95
2014-12-18,285.15
2014-12-19,285.3
2014-12-22,288.4
2014-12-23,290.25
2014-12-24,306.25
2014-12-26,310.1
2014-12-29,347.0
2014-12-30,344.05
2014-12-31,373.35
