Date,SPYL
2014-01-01,1.85
2014-01-02,1.75
2014-01-03,1.8
2014-01-06,1.8
2014-01-07,1.7
2014-01-08,1.7
2014-01-09,1.8
2014-01-10,1.95
2014-01-13,1.85
2014-01-14,1.85
2014-01-15,2.2
2014-01-16,2.6
2014-01-17,2.85
2014-01-20,3.0
2014-01-21,3.0
2014-01-22,2.8
2014-01-23,2.65
2014-01-24,2.4
2014-01-27,2.2
2014-01-28,2.15
2014-01-29,2.25
2014-01-30,2.3
2014-01-31,2.4
2014-02-03,2.3
2014-02-04,2.3
2014-02-05,2.4
2014-02-06,2.5
2014-02-07,2.5
2014-02-10,2.45
2014-02-11,2.45
2014-02-12,2.35
2014-02-13,2.3
2014-02-14,2.2
2014-02-17,2.1
2014-02-18,2.0
2014-02-19,1.95
2014-02-20,2.0
2014-02-21,2.0
2014-02-24,1.9
2014-02-25,1.9
2014-02-26,1.9
2014-02-28,1.9
2014-03-03,1.95
2014-03-04,1.95
2014-03-05,2.0
2014-03-06,2.05
2014-03-07,1.95
2014-03-10,1.9
2014-03-11,1.95
2014-03-12,1.9
2014-03-13,1.85
2014-03-14,1.9
2014-03-18,1.95
2014-03-19,1.95
2014-03-20,2.0
2014-03-21,2.1
2014-03-22,2.2
2014-03-24,2.1
2014-03-25,2.0
2014-03-26,1.95
2014-03-27,2.0
2014-03-28,1.9
2014-03-31,1.9
2014-04-01,1.95
2014-04-02,2.0
2014-04-03,1.95
2014-04-04,2.0
2014-04-07,1.95
2014-04-09,1.95
2014-04-10,2.0
2014-04-11,2.0
2014-04-15,2.0
2014-04-16,1.95
2014-04-17,1.95
2014-04-21,1.95
2014-04-22,1.95
2014-04-23,2.0
2014-04-25,1.9
2014-04-28,1.85
2014-04-30,1.8
2014-05-02,1.8
2014-05-05,1.85
2014-05-06,1.9
2014-05-07,1.85
2014-05-08,1.9
2014-05-09,2.0
2014-05-12,2.05
2014-05-13,1.95
2014-05-14,1.9
2014-05-15,1.8
2014-05-16,1.85
2014-05-19,2.0
2014-05-20,1.95
2014-05-21,2.05
2014-05-22,2.2
2014-05-23,2.0
2014-05-26,2.0
2014-05-27,2.0
2014-05-28,2.05
2014-05-29,2.2
2014-05-30,2.1
2014-06-02,2.15
2014-06-03,2.2
2014-06-04,2.15
2014-06-05,2.1
2014-06-06,2.0
2014-06-09,2.1
2014-06-10,2.0
2014-06-11,2.0
2014-06-12,2.1
2014-06-13,1.95
2014-06-16,2.0
2014-06-17,2.1
2014-06-18,2.0
2014-06-19,2.05
2014-06-20,2.0
2014-06-23,2.0
2014-06-24,2.0
2014-06-25,1.9
2014-06-26,2.0
2014-06-27,2.1
2014-06-30,2.3
2014-07-01,2.5
2014-07-02,2.6
2014-07-03,2.7
2014-07-04,2.8
2014-07-07,2.9
2014-07-08,2.8
2014-07-09,2.7
2014-07-10,2.6
2014-07-11,2.5
2014-07-14,2.4
2014-07-15,2.3
2014-07-16,2.2
2014-07-17,2.1
2014-07-18,2.0
2014-07-21,2.1
2014-07-22,2.0
2014-07-23,2.0
2014-07-24,2.1
2014-07-25,2.15
2014-07-28,2.2
2014-07-30,2.1
2014-07-31,2.0
2014-08-01,2.0
2014-08-04,1.9
2014-08-05,1.95
2014-08-06,1.9
2014-08-07,1.95
2014-08-08,2.0
2014-08-11,1.95
2014-08-12,1.9
2014-08-13,1.85
2014-08-14,1.8
2014-08-18,1.8
2014-08-19,1.8
2014-08-20,1.75
2014-08-21,1.8
2014-08-22,1.85
2014-08-25,1.85
2014-08-26,1.8
2014-08-27,1.85
2014-08-28,1.8
2014-09-01,1.85
2014-09-02,1.8
2014-09-03,1.75
2014-09-04,1.7
2014-09-05,1.75
2014-09-08,1.85
2014-09-09,1.8
2014-09-10,1.85
2014-09-11,1.75
2014-09-12,1.9
2014-09-15,2.0
2014-09-16,1.8
2014-09-17,1.9
2014-09-18,1.85
2014-09-19,1.95
2014-09-22,1.9
2014-09-23,1.85
2014-09-24,1.7
2014-09-25,1.55
2014-09-26,1.6
2014-09-29,1.75
2014-09-30,1.8
2014-10-01,1.8
2014-10-07,1.85
2014-10-08,1.85
2014-10-09,1.65
2014-10-10,1.65
2014-10-13,1.7
2014-10-14,1.9
2014-10-16,1.95
2014-10-17,1.9
2014-10-20,1.9
2014-10-21,1.85
2014-10-22,1.85
2014-10-23,2.0
2014-10-27,1.85
2014-10-28,1.65
2014-10-29,1.65
2014-10-30,1.65
2014-10-31,1.65
2014-11-03,1.65
2014-11-05,1.65
2014-11-07,1.75
2014-11-10,1.65
2014-11-11,1.65
2014-11-12,1.65
2014-11-13,1.6
2014-11-14,1.7
2014-11-17,1.7
2014-11-18,1.65
2014-11-19,1.7
2014-11-20,1.65
2014-11-21,1.55
2014-11-24,1.7
2014-11-25,1.65
2014-11-26,1.65
2014-11-27,1.6
2014-11-28,1.6
2014-12-01,1.55
2014-12-02,1.65
2014-12-03,1.6
2014-12-04,1.6
2014-12-05,1.55
2014-12-08,1.55
2014-12-09,1.55
2014-12-10,1.6
2014-12-11,1.5
2014-12-12,1.6
2014-12-15,1.5
2014-12-16,1.35
2014-12-17,1.45
2014-12-18,1.6
2014-12-19,1.5
2014-12-22,1.5
2014-12-23,1.4
2014-12-24,1.45
2014-12-26,1.4
2014-12-29,1.45
2014-12-30,1.55
2014-12-31,1.45
