Date,VIJSHAN
2014-01-01,14.8
2014-01-02,15.15
2014-01-03,15.4
2014-01-06,15.15
2014-01-07,15.1
2014-01-08,15.25
2014-01-09,15.2
2014-01-10,14.8
2014-01-13,14.6
2014-01-14,14.9
2014-01-15,14.55
2014-01-16,14.6
2014-01-17,14.5
2014-01-20,14.4
2014-01-21,14.35
2014-01-22,14.35
2014-01-23,14.9
2014-01-24,14.75
2014-01-27,14.25
2014-01-28,14.3
2014-01-29,14.35
2014-01-30,14.45
2014-01-31,14.25
2014-02-03,14.1
2014-02-04,14.75
2014-02-05,14.5
2014-02-06,14.2
2014-02-07,14.6
2014-02-10,14.45
2014-02-11,14.45
2014-02-12,14.35
2014-02-13,14.25
2014-02-14,14.0
2014-02-17,13.95
2014-02-18,13.85
2014-02-19,13.8
2014-02-20,13.95
2014-02-21,14.0
2014-02-24,13.7
2014-02-25,13.55
2014-02-26,13.6
2014-02-28,13.8
2014-03-03,12.55
2014-03-04,12.4
2014-03-05,12.0
2014-03-06,11.75
2014-03-07,13.0
2014-03-10,13.25
2014-03-11,14.7
2014-03-12,14.35
2014-03-13,13.05
2014-03-14,12.5
2014-03-18,12.2
2014-03-19,12.05
2014-03-20,11.8
2014-03-21,11.8
2014-03-22,11.8
2014-03-24,11.55
2014-03-25,11.25
2014-03-26,11.45
2014-03-27,11.25
2014-03-28,11.35
2014-03-31,11.85
2014-04-01,12.0
2014-04-02,12.35
2014-04-03,11.45
2014-04-04,11.5
2014-04-07,11.0
2014-04-09,10.4
2014-04-10,10.65
2014-04-11,12.05
2014-04-15,11.55
2014-04-16,11.25
2014-04-17,11.3
2014-04-21,11.45
2014-04-22,11.25
2014-04-23,11.3
2014-04-25,11.2
2014-04-28,11.25
2014-04-29,11.4
2014-04-30,11.15
2014-05-02,11.35
2014-05-05,11.35
2014-05-06,11.25
2014-05-07,11.35
2014-05-08,11.4
2014-05-09,11.4
2014-05-12,11.25
2014-05-13,11.5
2014-05-14,12.4
2014-05-15,12.1
2014-05-16,12.2
2014-05-19,14.0
2014-05-20,14.8
2014-05-21,15.25
2014-05-22,16.9
2014-05-23,16.35
2014-05-26,15.65
2014-05-27,14.9
2014-05-28,15.55
2014-05-29,15.2
2014-05-30,13.7
2014-06-02,14.3
2014-06-03,14.85
2014-06-04,16.2
2014-06-05,17.35
2014-06-06,17.15
2014-06-09,17.4
2014-06-10,17.25
2014-06-11,18.25
2014-06-12,17.65
2014-06-13,16.4
2014-06-16,15.8
2014-06-17,16.45
2014-06-18,16.1
2014-06-19,16.15
2014-06-20,16.0
2014-06-23,15.6
2014-06-24,16.1
2014-06-25,15.95
2014-06-26,15.95
2014-06-27,16.1
2014-06-30,16.6
2014-07-01,16.85
2014-07-02,16.75
2014-07-03,16.55
2014-07-04,16.55
2014-07-07,16.2
2014-07-08,15.5
2014-07-09,14.8
2014-07-10,15.0
2014-07-11,13.95
2014-07-14,13.9
2014-07-15,14.25
2014-07-16,14.95
2014-07-17,14.65
2014-07-18,14.55
2014-07-21,14.6
2014-07-22,14.45
2014-07-23,14.15
2014-07-24,14.45
2014-07-25,14.0
2014-07-28,13.7
2014-07-30,14.0
2014-07-31,13.7
2014-08-01,13.35
2014-08-04,13.65
2014-08-05,13.9
2014-08-06,13.9
2014-08-07,13.75
2014-08-08,13.5
2014-08-11,13.8
2014-08-12,13.9
2014-08-13,13.2
2014-08-14,13.25
2014-08-18,13.45
2014-08-19,13.3
2014-08-20,13.45
2014-08-21,13.3
2014-08-22,13.15
2014-08-25,13.05
2014-08-26,12.9
2014-08-27,13.05
2014-08-28,12.8
2014-09-01,13.4
2014-09-02,13.25
2014-09-03,13.55
2014-09-04,13.1
2014-09-05,13.6
2014-09-08,14.45
2014-09-09,15.0
2014-09-10,14.6
2014-09-11,14.95
2014-09-12,15.4
2014-09-15,16.05
2014-09-16,14.85
2014-09-17,14.4
2014-09-18,14.95
2014-09-19,15.0
2014-09-22,14.7
2014-09-23,14.35
2014-09-24,13.15
2014-09-25,13.0
2014-09-26,14.7
2014-09-29,14.0
2014-09-30,13.7
2014-10-01,13.55
2014-10-07,14.0
2014-10-08,13.7
2014-10-09,13.75
2014-10-10,13.65
2014-10-13,13.55
2014-10-14,13.25
2014-10-16,12.75
2014-10-17,12.8
2014-10-20,13.05
2014-10-21,12.85
2014-10-22,13.0
2014-10-23,13.15
2014-10-27,13.0
2014-10-28,13.2
2014-10-29,13.65
2014-10-30,14.2
2014-10-31,14.05
2014-11-03,14.1
2014-11-05,14.1
2014-11-07,14.3
2014-11-10,14.2
2014-11-11,13.9
2014-11-12,13.9
2014-11-13,13.85
2014-11-14,13.2
2014-11-17,12.8
2014-11-18,12.85
2014-11-19,12.8
2014-11-20,12.7
2014-11-21,12.7
2014-11-24,12.6
2014-11-25,12.45
2014-11-26,12.75
2014-11-27,12.6
2014-11-28,12.35
2014-12-01,12.55
2014-12-02,12.4
2014-12-03,12.45
2014-12-04,12.15
2014-12-05,12.25
2014-12-08,12.1
2014-12-09,11.8
2014-12-10,11.85
2014-12-11,11.8
2014-12-12,12.0
2014-12-15,11.55
2014-12-16,11.4
2014-12-17,11.2
2014-12-18,11.55
2014-12-19,11.5
2014-12-22,11.5
2014-12-23,11.65
2014-12-24,11.55
2014-12-26,11.3
2014-12-29,11.35
2014-12-30,11.3
2014-12-31,11.4
