Date,HDFCBANK
2014-01-01,665.15
2014-01-02,657.0
2014-01-03,663.1
2014-01-06,661.7
2014-01-07,664.4
2014-01-08,664.7
2014-01-09,662.95
2014-01-10,662.05
2014-01-13,672.85
2014-01-14,672.3
2014-01-15,680.55
2014-01-16,673.05
2014-01-17,665.0
2014-01-20,670.05
2014-01-21,676.1
2014-01-22,677.1
2014-01-23,679.5
2014-01-24,673.4
2014-01-27,649.2
2014-01-28,644.45
2014-01-29,645.45
2014-01-30,631.8
2014-01-31,628.5
2014-02-03,626.5
2014-02-04,630.6
2014-02-05,637.45
2014-02-06,647.0
2014-02-07,647.75
2014-02-10,643.9
2014-02-11,644.8
2014-02-12,645.45
2014-02-13,632.5
2014-02-14,641.8
2014-02-17,650.4
2014-02-18,660.4
2014-02-19,670.05
2014-02-20,662.75
2014-02-21,664.4
2014-02-24,671.0
2014-02-25,671.1
2014-02-26,677.4
2014-02-28,669.6
2014-03-03,666.2
2014-03-04,671.7
2014-03-05,669.75
2014-03-06,675.6
2014-03-07,711.45
2014-03-10,734.45
2014-03-11,725.15
2014-03-12,725.55
2014-03-13,742.35
2014-03-14,732.15
2014-03-18,734.0
2014-03-19,738.45
2014-03-20,730.2
2014-03-21,733.85
2014-03-22,732.4
2014-03-24,750.65
2014-03-25,750.15
2014-03-26,746.05
2014-03-27,746.75
2014-03-28,744.95
2014-03-31,748.8
2014-04-01,738.1
2014-04-02,731.9
2014-04-03,728.8
2014-04-04,725.45
2014-04-07,725.35
2014-04-09,741.85
2014-04-10,739.4
2014-04-11,738.15
2014-04-15,723.95
2014-04-16,725.95
2014-04-17,718.7
2014-04-21,716.45
2014-04-22,727.55
2014-04-23,733.0
2014-04-25,726.4
2014-04-28,725.2
2014-04-29,715.8
2014-04-30,721.3
2014-05-02,717.1
2014-05-05,716.7
2014-05-06,720.2
2014-05-07,715.6
2014-05-08,718.3
2014-05-09,756.8
2014-05-12,792.15
2014-05-13,788.15
2014-05-14,775.45
2014-05-15,788.35
2014-05-16,804.7
2014-05-19,811.9
2014-05-20,816.05
2014-05-21,809.5
2014-05-22,802.6
2014-05-23,789.65
2014-05-26,797.15
2014-05-27,804.9
2014-05-28,823.45
2014-05-29,810.25
2014-05-30,792.75
2014-06-02,819.4
2014-06-03,824.35
2014-06-04,816.7
2014-06-05,805.45
2014-06-06,815.25
2014-06-09,819.45
2014-06-10,816.65
2014-06-11,820.5
2014-06-12,839.85
2014-06-13,835.4
2014-06-16,839.0
2014-06-17,846.55
2014-06-18,834.85
2014-06-19,825.75
2014-06-20,821.95
2014-06-23,821.45
2014-06-24,829.0
2014-06-25,824.1
2014-06-26,812.4
2014-06-27,816.2
2014-06-30,821.55
2014-07-01,823.3
2014-07-02,839.9
2014-07-03,836.8
2014-07-04,856.65
2014-07-07,840.45
2014-07-08,829.25
2014-07-09,830.3
2014-07-10,823.35
2014-07-11,811.8
2014-07-14,817.45
2014-07-15,826.8
2014-07-16,835.75
2014-07-17,831.8
2014-07-18,832.45
2014-07-21,827.45
2014-07-22,839.85
2014-07-23,836.3
2014-07-24,842.25
2014-07-25,835.5
2014-07-28,829.55
2014-07-30,838.8
2014-07-31,834.0
2014-08-01,815.45
2014-08-04,813.0
2014-08-05,820.2
2014-08-06,810.0
2014-08-07,811.5
2014-08-08,796.15
2014-08-11,792.95
2014-08-12,807.2
2014-08-13,812.4
2014-08-14,826.7
2014-08-18,832.35
2014-08-19,823.85
2014-08-20,820.55
2014-08-21,832.5
2014-08-22,846.75
2014-08-25,843.45
2014-08-26,842.5
2014-08-27,836.6
2014-08-28,843.55
2014-09-01,841.2
2014-09-02,859.2
2014-09-03,856.65
2014-09-04,851.85
2014-09-05,848.45
2014-09-08,864.75
2014-09-09,865.6
2014-09-10,857.3
2014-09-11,854.35
2014-09-12,855.7
2014-09-15,860.35
2014-09-16,851.0
2014-09-17,846.4
2014-09-18,858.15
2014-09-19,860.25
2014-09-22,856.85
2014-09-23,848.85
2014-09-24,855.45
2014-09-25,849.95
2014-09-26,871.65
2014-09-29,865.1
2014-09-30,872.65
2014-10-01,868.0
2014-10-07,862.45
2014-10-08,867.6
2014-10-09,887.6
2014-10-10,867.3
2014-10-13,876.8
2014-10-14,868.35
2014-10-16,858.85
2014-10-17,885.25
2014-10-20,893.8
2014-10-21,895.55
2014-10-22,893.65
2014-10-23,896.45
2014-10-27,897.25
2014-10-28,895.3
2014-10-29,891.55
2014-10-30,896.65
2014-10-31,911.85
2014-11-03,910.7
2014-11-05,912.8
2014-11-07,899.45
2014-11-10,904.65
2014-11-11,907.9
2014-11-12,911.75
2014-11-13,915.95
2014-11-14,930.1
2014-11-17,918.95
2014-11-18,932.2
2014-11-19,926.55
2014-11-20,918.2
2014-11-21,932.85
2014-11-24,945.2
2014-11-25,953.55
2014-11-26,951.3
2014-11-27,948.15
2014-11-28,957.15
2014-12-01,950.0
2014-12-02,943.3
2014-12-03,933.1
2014-12-04,941.4
2014-12-05,942.75
2014-12-08,927.15
2014-12-09,926.75
2014-12-10,931.4
2014-12-11,933.6
2014-12-12,931.5
2014-12-15,941.5
2014-12-16,925.75
2014-12-17,921.85
2014-12-18,934.05
2014-12-19,941.45
2014-12-22,963.7
2014-12-23,959.75
2014-12-24,945.25
2014-12-26,948.65
2014-12-29,951.7
2014-12-30,956.45
2014-12-31,951.6
