Date,SUPPETRO
2014-01-01,65.15
2014-01-02,61.9
2014-01-03,63.65
2014-01-06,62.7
2014-01-07,63.05
2014-01-08,63.05
2014-01-09,61.4
2014-01-10,62.45
2014-01-13,61.4
2014-01-14,61.8
2014-01-15,63.0
2014-01-16,60.9
2014-01-17,59.9
2014-01-20,59.05
2014-01-21,56.2
2014-01-22,56.35
2014-01-23,56.2
2014-01-24,55.05
2014-01-27,53.85
2014-01-28,54.9
2014-01-29,53.15
2014-01-30,53.1
2014-01-31,53.2
2014-02-03,55.0
2014-02-04,54.05
2014-02-05,53.4
2014-02-06,53.65
2014-02-07,54.05
2014-02-10,53.95
2014-02-11,54.85
2014-02-12,54.55
2014-02-13,53.05
2014-02-14,53.4
2014-02-17,53.45
2014-02-18,53.55
2014-02-19,53.35
2014-02-20,53.4
2014-02-21,52.35
2014-02-24,52.15
2014-02-25,51.7
2014-02-26,52.5
2014-02-28,53.3
2014-03-03,52.8
2014-03-04,52.9
2014-03-05,52.5
2014-03-06,55.2
2014-03-07,53.5
2014-03-10,54.05
2014-03-11,54.95
2014-03-12,53.6
2014-03-13,54.5
2014-03-14,55.65
2014-03-18,54.3
2014-03-19,55.0
2014-03-20,54.8
2014-03-21,54.25
2014-03-22,54.75
2014-03-24,54.5
2014-03-25,55.55
2014-03-26,55.4
2014-03-27,56.25
2014-03-28,56.7
2014-03-31,58.4
2014-04-01,59.8
2014-04-02,60.9
2014-04-03,59.95
2014-04-04,58.0
2014-04-07,56.65
2014-04-09,59.9
2014-04-10,64.55
2014-04-11,63.25
2014-04-15,63.9
2014-04-16,64.8
2014-04-17,66.25
2014-04-21,66.35
2014-04-22,62.15
2014-04-23,62.8
2014-04-25,62.0
2014-04-28,62.1
2014-04-29,61.85
2014-04-30,62.05
2014-05-02,63.05
2014-05-05,63.0
2014-05-06,63.85
2014-05-07,63.05
2014-05-08,63.15
2014-05-09,62.8
2014-05-12,62.75
2014-05-13,62.6
2014-05-14,64.0
2014-05-15,63.6
2014-05-16,65.1
2014-05-19,63.85
2014-05-20,64.2
2014-05-21,66.5
2014-05-22,70.0
2014-05-23,71.0
2014-05-26,73.0
2014-05-27,72.25
2014-05-28,71.85
2014-05-29,71.7
2014-05-30,70.8
2014-06-02,71.9
2014-06-03,71.8
2014-06-04,72.85
2014-06-05,76.3
2014-06-06,76.0
2014-06-09,77.95
2014-06-10,80.65
2014-06-11,78.8
2014-06-12,76.85
2014-06-13,75.5
2014-06-16,76.05
2014-06-17,80.7
2014-06-18,81.6
2014-06-19,81.1
2014-06-20,79.35
2014-06-23,80.55
2014-06-24,86.2
2014-06-25,86.05
2014-06-26,84.85
2014-06-27,89.7
2014-06-30,90.55
2014-07-01,92.6
2014-07-02,90.7
2014-07-03,87.35
2014-07-04,86.8
2014-07-07,84.85
2014-07-08,81.6
2014-07-09,80.15
2014-07-10,79.85
2014-07-11,76.05
2014-07-14,76.3
2014-07-15,79.0
2014-07-16,81.7
2014-07-17,83.05
2014-07-18,81.65
2014-07-21,78.65
2014-07-22,79.05
2014-07-23,78.6
2014-07-24,78.45
2014-07-25,76.9
2014-07-28,76.85
2014-07-30,76.9
2014-07-31,77.75
2014-08-01,77.1
2014-08-04,78.3
2014-08-05,75.0
2014-08-06,76.6
2014-08-07,76.4
2014-08-08,75.0
2014-08-11,75.6
2014-08-12,77.0
2014-08-13,74.25
2014-08-14,75.75
2014-08-18,77.55
2014-08-19,80.9
2014-08-20,79.2
2014-08-21,78.95
2014-08-22,79.5
2014-08-25,77.05
2014-08-26,76.35
2014-08-27,76.2
2014-08-28,76.15
2014-09-01,76.65
2014-09-02,76.5
2014-09-03,76.6
2014-09-04,83.15
2014-09-05,83.15
2014-09-08,84.0
2014-09-09,84.7
2014-09-10,85.35
2014-09-11,90.8
2014-09-12,94.55
2014-09-15,94.7
2014-09-16,87.05
2014-09-17,86.4
2014-09-18,88.9
2014-09-19,88.75
2014-09-22,87.25
2014-09-23,87.0
2014-09-24,86.2
2014-09-25,85.45
2014-09-26,85.1
2014-09-29,89.15
2014-09-30,88.5
2014-10-01,87.1
2014-10-07,86.6
2014-10-08,87.0
2014-10-09,86.6
2014-10-10,86.0
2014-10-13,87.9
2014-10-14,87.75
2014-10-16,84.75
2014-10-17,79.0
2014-10-20,76.65
2014-10-21,75.85
2014-10-22,77.35
2014-10-23,78.95
2014-10-27,77.85
2014-10-28,76.7
2014-10-29,77.8
2014-10-30,77.45
2014-10-31,78.9
2014-11-03,79.15
2014-11-05,78.2
2014-11-07,78.5
2014-11-10,76.3
2014-11-11,77.5
2014-11-12,76.95
2014-11-13,77.0
2014-11-14,76.35
2014-11-17,75.75
2014-11-18,75.35
2014-11-19,74.5
2014-11-20,75.0
2014-11-21,74.85
2014-11-24,75.0
2014-11-25,75.25
2014-11-26,74.9
2014-11-27,74.85
2014-11-28,74.85
2014-12-01,74.75
2014-12-02,74.95
2014-12-03,73.95
2014-12-04,73.25
2014-12-05,73.05
2014-12-08,71.8
2014-12-09,71.2
2014-12-10,71.9
2014-12-11,73.1
2014-12-12,71.45
2014-12-15,70.65
2014-12-16,70.75
2014-12-17,70.1
2014-12-18,70.5
2014-12-19,70.5
2014-12-22,71.85
2014-12-23,70.95
2014-12-24,70.75
2014-12-26,70.85
2014-12-29,70.4
2014-12-30,70.2
2014-12-31,70.65
