Date,BBTC
2014-01-01,115.6
2014-01-02,112.35
2014-01-03,113.0
2014-01-06,112.1
2014-01-07,110.6
2014-01-08,110.4
2014-01-09,108.1
2014-01-10,110.35
2014-01-13,107.85
2014-01-14,107.85
2014-01-15,109.85
2014-01-16,108.0
2014-01-17,106.95
2014-01-20,107.5
2014-01-21,107.3
2014-01-22,107.1
2014-01-23,106.5
2014-01-24,102.55
2014-01-27,98.85
2014-01-28,99.4
2014-01-29,99.85
2014-01-30,96.75
2014-01-31,98.55
2014-02-03,96.7
2014-02-04,97.9
2014-02-05,98.45
2014-02-06,101.45
2014-02-07,101.25
2014-02-10,101.45
2014-02-11,108.1
2014-02-12,106.15
2014-02-13,100.6
2014-02-14,97.45
2014-02-17,97.25
2014-02-18,97.6
2014-02-19,96.95
2014-02-20,96.3
2014-02-21,97.0
2014-02-24,96.25
2014-02-25,95.2
2014-02-26,94.8
2014-02-28,93.75
2014-03-03,92.05
2014-03-04,93.0
2014-03-05,94.4
2014-03-06,96.0
2014-03-07,96.15
2014-03-10,95.4
2014-03-11,94.25
2014-03-12,94.65
2014-03-13,94.6
2014-03-14,93.8
2014-03-18,95.25
2014-03-19,96.0
2014-03-20,95.15
2014-03-21,95.3
2014-03-22,94.55
2014-03-24,94.9
2014-03-25,92.75
2014-03-26,92.7
2014-03-27,95.95
2014-03-28,96.2
2014-03-31,98.15
2014-04-01,107.0
2014-04-02,106.85
2014-04-03,102.95
2014-04-04,106.6
2014-04-07,104.25
2014-04-09,107.75
2014-04-10,107.9
2014-04-11,110.05
2014-04-15,105.85
2014-04-16,103.0
2014-04-17,103.7
2014-04-21,104.65
2014-04-22,105.95
2014-04-23,112.45
2014-04-25,109.25
2014-04-28,108.45
2014-04-29,106.85
2014-04-30,103.85
2014-05-02,102.55
2014-05-05,102.2
2014-05-06,102.15
2014-05-07,101.5
2014-05-08,101.4
2014-05-09,102.1
2014-05-12,103.0
2014-05-13,103.9
2014-05-14,107.0
2014-05-15,103.1
2014-05-16,108.7
2014-05-19,113.15
2014-05-20,117.5
2014-05-21,119.85
2014-05-22,126.7
2014-05-23,130.0
2014-05-26,119.25
2014-05-27,121.3
2014-05-28,122.4
2014-05-29,116.95
2014-05-30,120.55
2014-06-02,144.65
2014-06-03,149.8
2014-06-04,148.15
2014-06-05,148.6
2014-06-06,145.1
2014-06-09,145.4
2014-06-10,157.75
2014-06-11,154.55
2014-06-12,152.8
2014-06-13,143.1
2014-06-16,147.45
2014-06-17,152.95
2014-06-18,146.7
2014-06-19,146.95
2014-06-20,145.55
2014-06-23,145.3
2014-06-24,145.15
2014-06-25,153.0
2014-06-26,146.0
2014-06-27,145.1
2014-06-30,146.75
2014-07-01,149.25
2014-07-02,151.6
2014-07-03,146.35
2014-07-04,145.75
2014-07-07,146.35
2014-07-08,137.35
2014-07-09,128.4
2014-07-10,131.3
2014-07-11,124.55
2014-07-14,123.15
2014-07-15,137.5
2014-07-16,143.75
2014-07-17,141.35
2014-07-18,148.35
2014-07-21,147.45
2014-07-22,147.85
2014-07-23,142.5
2014-07-24,143.65
2014-07-25,161.85
2014-07-28,194.2
2014-07-30,212.1
2014-07-31,215.0
2014-08-01,203.7
2014-08-04,204.3
2014-08-05,206.45
2014-08-06,204.45
2014-08-07,198.1
2014-08-08,189.65
2014-08-11,194.4
2014-08-12,197.6
2014-08-13,197.4
2014-08-14,193.1
2014-08-18,198.05
2014-08-19,197.25
2014-08-20,194.5
2014-08-21,196.9
2014-08-22,193.4
2014-08-25,188.9
2014-08-26,193.4
2014-08-27,198.15
2014-08-28,207.5
2014-09-01,212.3
2014-09-02,206.8
2014-09-03,205.9
2014-09-04,203.35
2014-09-05,205.4
2014-09-08,233.15
2014-09-09,231.7
2014-09-10,245.15
2014-09-11,239.65
2014-09-12,242.55
2014-09-15,250.35
2014-09-16,247.85
2014-09-17,267.4
2014-09-18,282.0
2014-09-19,264.25
2014-09-22,265.8
2014-09-23,251.95
2014-09-24,258.3
2014-09-25,253.05
2014-09-26,246.5
2014-09-29,252.05
2014-09-30,251.6
2014-10-01,245.1
2014-10-07,242.55
2014-10-08,236.75
2014-10-09,248.65
2014-10-10,242.3
2014-10-13,245.15
2014-10-14,242.35
2014-10-16,223.05
2014-10-17,223.25
2014-10-20,249.0
2014-10-21,244.45
2014-10-22,244.9
2014-10-23,246.8
2014-10-27,240.7
2014-10-28,248.05
2014-10-29,243.45
2014-10-30,245.25
2014-10-31,259.0
2014-11-03,263.95
2014-11-05,286.85
2014-11-07,304.45
2014-11-10,293.7
2014-11-11,295.55
2014-11-12,317.65
2014-11-13,297.95
2014-11-14,301.25
2014-11-17,315.65
2014-11-18,318.9
2014-11-19,318.7
2014-11-20,334.4
2014-11-21,401.25
2014-11-24,441.35
2014-11-25,423.1
2014-11-26,412.55
2014-11-27,433.6
2014-11-28,449.85
2014-12-01,424.8
2014-12-02,457.25
2014-12-03,502.95
2014-12-04,515.05
2014-12-05,520.45
2014-12-08,505.35
2014-12-09,479.3
2014-12-10,469.85
2014-12-11,443.15
2014-12-12,415.3
2014-12-15,403.45
2014-12-16,373.0
2014-12-17,354.65
2014-12-18,372.35
2014-12-19,388.0
2014-12-22,394.5
2014-12-23,386.45
2014-12-24,375.25
2014-12-26,373.35
2014-12-29,377.05
2014-12-30,369.9
2014-12-31,367.2
