Date,PANACEABIO
2014-01-01,105.4
2014-01-02,102.5
2014-01-03,102.35
2014-01-06,102.45
2014-01-07,102.3
2014-01-08,102.25
2014-01-09,101.0
2014-01-10,100.1
2014-01-13,100.7
2014-01-14,101.05
2014-01-15,100.55
2014-01-16,100.25
2014-01-17,98.45
2014-01-20,99.15
2014-01-21,99.1
2014-01-22,97.5
2014-01-23,98.3
2014-01-24,97.4
2014-01-27,92.5
2014-01-28,94.0
2014-01-29,93.3
2014-01-30,89.4
2014-01-31,97.4
2014-02-03,96.35
2014-02-04,95.1
2014-02-05,96.05
2014-02-06,96.8
2014-02-07,96.55
2014-02-10,96.15
2014-02-11,96.3
2014-02-12,97.7
2014-02-13,95.95
2014-02-14,98.05
2014-02-17,95.75
2014-02-18,95.1
2014-02-19,95.15
2014-02-20,92.85
2014-02-21,91.6
2014-02-24,92.05
2014-02-25,93.55
2014-02-26,94.1
2014-02-28,93.0
2014-03-03,93.5
2014-03-04,98.25
2014-03-05,97.15
2014-03-06,96.8
2014-03-07,95.95
2014-03-10,93.75
2014-03-11,93.7
2014-03-12,92.2
2014-03-13,92.95
2014-03-14,92.2
2014-03-18,92.15
2014-03-19,92.25
2014-03-20,92.75
2014-03-21,91.95
2014-03-22,92.9
2014-03-24,91.85
2014-03-25,91.55
2014-03-26,92.05
2014-03-27,91.5
2014-03-28,92.6
2014-03-31,94.3
2014-04-01,96.75
2014-04-02,101.15
2014-04-03,102.95
2014-04-04,107.8
2014-04-07,107.75
2014-04-09,110.45
2014-04-10,109.7
2014-04-11,107.55
2014-04-15,129.05
2014-04-16,154.85
2014-04-17,150.2
2014-04-21,158.15
2014-04-22,160.35
2014-04-23,169.15
2014-04-25,173.8
2014-04-28,166.2
2014-04-29,160.8
2014-04-30,157.0
2014-05-02,160.75
2014-05-05,156.6
2014-05-06,161.35
2014-05-07,158.0
2014-05-08,176.3
2014-05-09,170.9
2014-05-12,160.3
2014-05-13,169.6
2014-05-14,168.5
2014-05-15,168.15
2014-05-16,172.1
2014-05-19,170.55
2014-05-20,175.05
2014-05-21,184.95
2014-05-22,180.25
2014-05-23,180.3
2014-05-26,179.35
2014-05-27,181.2
2014-05-28,187.65
2014-05-29,183.0
2014-05-30,181.2
2014-06-02,177.15
2014-06-03,173.15
2014-06-04,180.2
2014-06-05,181.45
2014-06-06,181.3
2014-06-09,181.15
2014-06-10,184.05
2014-06-11,183.3
2014-06-12,186.35
2014-06-13,175.5
2014-06-16,177.25
2014-06-17,182.1
2014-06-18,176.1
2014-06-19,173.85
2014-06-20,173.95
2014-06-23,170.4
2014-06-24,169.3
2014-06-25,170.2
2014-06-26,170.15
2014-06-27,189.35
2014-06-30,188.75
2014-07-01,184.3
2014-07-02,181.1
2014-07-03,179.5
2014-07-04,179.3
2014-07-07,177.6
2014-07-08,167.15
2014-07-09,167.6
2014-07-10,167.6
2014-07-11,166.85
2014-07-14,163.5
2014-07-15,168.05
2014-07-16,166.65
2014-07-17,172.4
2014-07-18,172.7
2014-07-21,170.45
2014-07-22,164.45
2014-07-23,161.7
2014-07-24,176.6
2014-07-25,169.45
2014-07-28,167.7
2014-07-30,166.45
2014-07-31,166.95
2014-08-01,164.0
2014-08-04,169.55
2014-08-05,167.1
2014-08-06,166.0
2014-08-07,165.6
2014-08-08,161.2
2014-08-11,161.35
2014-08-12,164.25
2014-08-13,159.1
2014-08-14,160.05
2014-08-18,165.05
2014-08-19,165.9
2014-08-20,171.3
2014-08-21,171.1
2014-08-22,170.6
2014-08-25,170.9
2014-08-26,169.55
2014-08-27,177.5
2014-08-28,173.25
2014-09-01,173.05
2014-09-02,173.5
2014-09-03,171.6
2014-09-04,170.1
2014-09-05,173.6
2014-09-08,171.15
2014-09-09,172.1
2014-09-10,171.8
2014-09-11,172.25
2014-09-12,172.0
2014-09-15,172.15
2014-09-16,172.55
2014-09-17,171.9
2014-09-18,173.1
2014-09-19,207.7
2014-09-22,200.4
2014-09-23,195.7
2014-09-24,190.25
2014-09-25,181.3
2014-09-26,181.7
2014-09-29,180.95
2014-09-30,175.45
2014-10-01,172.5
2014-10-07,171.4
2014-10-08,171.9
2014-10-09,173.35
2014-10-10,169.45
2014-10-13,173.45
2014-10-14,168.85
2014-10-16,163.55
2014-10-17,158.3
2014-10-20,159.5
2014-10-21,159.75
2014-10-22,158.5
2014-10-23,162.7
2014-10-27,160.5
2014-10-28,162.4
2014-10-29,161.85
2014-10-30,161.85
2014-10-31,158.25
2014-11-03,163.9
2014-11-05,164.4
2014-11-07,162.65
2014-11-10,159.35
2014-11-11,158.7
2014-11-12,159.95
2014-11-13,159.05
2014-11-14,158.95
2014-11-17,157.25
2014-11-18,158.65
2014-11-19,156.25
2014-11-20,154.15
2014-11-21,154.05
2014-11-24,154.55
2014-11-25,153.05
2014-11-26,152.5
2014-11-27,150.95
2014-11-28,151.85
2014-12-01,157.95
2014-12-02,157.1
2014-12-03,157.05
2014-12-04,157.7
2014-12-05,157.3
2014-12-08,153.55
2014-12-09,155.45
2014-12-10,155.7
2014-12-11,153.15
2014-12-12,161.1
2014-12-15,164.45
2014-12-16,155.45
2014-12-17,154.4
2014-12-18,158.35
2014-12-19,165.35
2014-12-22,164.0
2014-12-23,158.6
2014-12-24,153.4
2014-12-26,148.15
2014-12-29,147.7
2014-12-30,148.05
2014-12-31,151.35
