Date,GNFC
2014-01-01,76.8
2014-01-02,75.6
2014-01-03,76.0
2014-01-06,76.3
2014-01-07,75.65
2014-01-08,75.2
2014-01-09,75.45
2014-01-10,76.05
2014-01-13,73.7
2014-01-14,73.55
2014-01-15,73.45
2014-01-16,73.2
2014-01-17,72.55
2014-01-20,72.15
2014-01-21,71.85
2014-01-22,73.5
2014-01-23,72.75
2014-01-24,72.45
2014-01-27,71.85
2014-01-28,72.6
2014-01-29,73.5
2014-01-30,70.1
2014-01-31,71.55
2014-02-03,69.65
2014-02-04,70.0
2014-02-05,71.0
2014-02-06,71.25
2014-02-07,71.0
2014-02-10,70.7
2014-02-11,70.45
2014-02-12,70.45
2014-02-13,69.4
2014-02-14,70.2
2014-02-17,70.15
2014-02-18,69.8
2014-02-19,69.8
2014-02-20,69.4
2014-02-21,70.2
2014-02-24,69.85
2014-02-25,69.15
2014-02-26,71.45
2014-02-28,70.1
2014-03-03,69.75
2014-03-04,70.25
2014-03-05,70.25
2014-03-06,73.0
2014-03-07,73.4
2014-03-10,73.4
2014-03-11,73.3
2014-03-12,74.6
2014-03-13,73.15
2014-03-14,72.0
2014-03-18,71.8
2014-03-19,72.35
2014-03-20,71.85
2014-03-21,72.25
2014-03-22,73.5
2014-03-24,72.55
2014-03-25,73.7
2014-03-26,74.35
2014-03-27,74.45
2014-03-28,75.85
2014-03-31,78.3
2014-04-01,75.9
2014-04-02,77.95
2014-04-03,76.75
2014-04-04,76.9
2014-04-07,77.1
2014-04-09,78.0
2014-04-10,82.55
2014-04-11,83.6
2014-04-15,81.1
2014-04-16,81.2
2014-04-17,83.5
2014-04-21,83.45
2014-04-22,84.0
2014-04-23,88.15
2014-04-25,86.45
2014-04-28,85.75
2014-04-29,83.65
2014-04-30,80.5
2014-05-02,80.4
2014-05-05,80.15
2014-05-06,80.35
2014-05-07,80.45
2014-05-08,81.8
2014-05-09,84.15
2014-05-12,83.15
2014-05-13,86.7
2014-05-14,89.2
2014-05-15,89.45
2014-05-16,91.75
2014-05-19,95.45
2014-05-20,94.15
2014-05-21,96.5
2014-05-22,95.25
2014-05-23,96.4
2014-05-26,95.7
2014-05-27,92.95
2014-05-28,96.7
2014-05-29,94.35
2014-05-30,93.95
2014-06-02,95.2
2014-06-03,94.95
2014-06-04,101.85
2014-06-05,104.85
2014-06-06,103.75
2014-06-09,103.9
2014-06-10,100.0
2014-06-11,99.35
2014-06-12,101.0
2014-06-13,96.75
2014-06-16,98.55
2014-06-17,103.75
2014-06-18,103.95
2014-06-19,102.05
2014-06-20,99.75
2014-06-23,100.75
2014-06-24,102.15
2014-06-25,102.9
2014-06-26,103.45
2014-06-27,103.35
2014-06-30,104.75
2014-07-01,108.65
2014-07-02,109.9
2014-07-03,110.0
2014-07-04,111.6
2014-07-07,109.6
2014-07-08,104.45
2014-07-09,100.75
2014-07-10,102.5
2014-07-11,99.5
2014-07-14,97.85
2014-07-15,98.95
2014-07-16,102.0
2014-07-17,103.9
2014-07-18,107.55
2014-07-21,106.05
2014-07-22,105.05
2014-07-23,103.65
2014-07-24,102.7
2014-07-25,102.05
2014-07-28,101.95
2014-07-30,91.75
2014-07-31,92.75
2014-08-01,89.75
2014-08-04,91.15
2014-08-05,91.05
2014-08-06,90.0
2014-08-07,90.5
2014-08-08,90.35
2014-08-11,87.95
2014-08-12,88.95
2014-08-13,86.15
2014-08-14,88.0
2014-08-18,91.55
2014-08-19,93.4
2014-08-20,94.2
2014-08-21,90.55
2014-08-22,90.0
2014-08-25,88.75
2014-08-26,86.15
2014-08-27,86.5
2014-08-28,85.9
2014-09-01,86.1
2014-09-02,87.7
2014-09-03,89.2
2014-09-04,88.25
2014-09-05,87.3
2014-09-08,89.55
2014-09-09,89.3
2014-09-10,90.0
2014-09-11,100.45
2014-09-12,101.6
2014-09-15,104.25
2014-09-16,95.55
2014-09-17,94.15
2014-09-18,95.4
2014-09-19,94.6
2014-09-22,100.3
2014-09-23,96.55
2014-09-24,94.9
2014-09-25,92.25
2014-09-26,91.05
2014-09-29,92.05
2014-09-30,93.2
2014-10-01,93.15
2014-10-07,91.3
2014-10-08,92.35
2014-10-09,92.05
2014-10-10,91.75
2014-10-13,90.9
2014-10-14,90.6
2014-10-16,86.75
2014-10-17,88.05
2014-10-20,88.35
2014-10-21,88.65
2014-10-22,85.15
2014-10-23,86.0
2014-10-27,86.45
2014-10-28,85.8
2014-10-29,85.35
2014-10-30,84.85
2014-10-31,85.75
2014-11-03,86.55
2014-11-05,89.95
2014-11-07,87.85
2014-11-10,88.2
2014-11-11,88.3
2014-11-12,88.1
2014-11-13,87.25
2014-11-14,89.25
2014-11-17,91.65
2014-11-18,91.45
2014-11-19,90.15
2014-11-20,90.25
2014-11-21,89.5
2014-11-24,88.9
2014-11-25,89.0
2014-11-26,88.15
2014-11-27,88.65
2014-11-28,88.95
2014-12-01,88.95
2014-12-02,89.15
2014-12-03,90.3
2014-12-04,90.3
2014-12-05,90.15
2014-12-08,89.0
2014-12-09,86.55
2014-12-10,86.5
2014-12-11,87.2
2014-12-12,86.45
2014-12-15,84.8
2014-12-16,83.1
2014-12-17,82.05
2014-12-18,82.65
2014-12-19,83.1
2014-12-22,83.2
2014-12-23,82.3
2014-12-24,81.8
2014-12-26,81.7
2014-12-29,81.55
2014-12-30,81.75
2014-12-31,82.5
