Date,BRFL
2014-01-01,185.6
2014-01-02,159.1
2014-01-03,187.15
2014-01-06,188.05
2014-01-07,186.45
2014-01-08,184.1
2014-01-09,184.6
2014-01-10,184.75
2014-01-13,184.85
2014-01-14,185.05
2014-01-15,186.0
2014-01-16,185.0
2014-01-17,183.8
2014-01-20,183.15
2014-01-21,183.95
2014-01-22,182.5
2014-01-23,187.2
2014-01-24,185.05
2014-01-27,184.6
2014-01-28,185.1
2014-01-29,186.25
2014-01-30,191.65
2014-01-31,187.55
2014-02-03,191.7
2014-02-04,195.8
2014-02-05,196.95
2014-02-06,197.9
2014-02-07,199.6
2014-02-10,200.05
2014-02-11,198.35
2014-02-12,199.45
2014-02-13,199.35
2014-02-14,200.4
2014-02-17,196.25
2014-02-18,199.05
2014-02-19,197.0
2014-02-20,199.95
2014-02-21,199.2
2014-02-24,199.0
2014-02-25,199.05
2014-02-26,199.1
2014-02-28,195.75
2014-03-03,194.4
2014-03-04,198.15
2014-03-05,197.25
2014-03-06,195.7
2014-03-07,197.85
2014-03-10,195.95
2014-03-11,197.8
2014-03-12,199.7
2014-03-13,199.6
2014-03-14,196.95
2014-03-18,199.6
2014-03-19,197.45
2014-03-20,195.25
2014-03-21,202.95
2014-03-22,205.7
2014-03-24,213.35
2014-03-25,218.8
2014-03-26,219.05
2014-03-27,181.1
2014-03-28,198.2
2014-03-31,217.75
2014-04-01,206.5
2014-04-02,204.5
2014-04-03,196.05
2014-04-04,197.95
2014-04-07,195.2
2014-04-09,194.15
2014-04-10,193.7
2014-04-11,190.55
2014-04-15,190.45
2014-04-16,187.85
2014-04-17,189.55
2014-04-21,187.3
2014-04-22,186.3
2014-04-23,185.9
2014-04-25,186.5
2014-04-28,182.85
2014-04-29,181.3
2014-04-30,178.3
2014-05-02,176.15
2014-05-05,179.5
2014-05-06,178.1
2014-05-07,179.15
2014-05-08,178.4
2014-05-09,178.15
2014-05-12,179.15
2014-05-13,178.8
2014-05-14,179.75
2014-05-15,178.55
2014-05-16,178.25
2014-05-19,182.95
2014-05-20,184.65
2014-05-21,191.4
2014-05-22,198.8
2014-05-23,197.2
2014-05-26,193.5
2014-05-27,186.75
2014-05-28,176.0
2014-05-29,178.0
2014-05-30,176.75
2014-06-02,179.0
2014-06-03,180.45
2014-06-04,172.55
2014-06-05,177.1
2014-06-06,178.0
2014-06-09,179.05
2014-06-10,181.65
2014-06-11,178.0
2014-06-12,176.75
2014-06-13,172.8
2014-06-16,169.95
2014-06-17,169.75
2014-06-18,167.65
2014-06-19,173.0
2014-06-20,166.95
2014-06-23,166.9
2014-06-24,167.1
2014-06-25,169.75
2014-06-26,165.85
2014-06-27,166.35
2014-06-30,167.65
2014-07-01,166.75
2014-07-02,166.9
2014-07-03,164.75
2014-07-04,162.5
2014-07-07,160.05
2014-07-08,155.3
2014-07-09,155.35
2014-07-10,163.25
2014-07-11,160.5
2014-07-14,157.85
2014-07-15,161.55
2014-07-16,157.65
2014-07-17,158.1
2014-07-18,156.55
2014-07-21,159.75
2014-07-22,158.25
2014-07-23,162.1
2014-07-24,162.05
2014-07-25,160.1
2014-07-28,160.05
2014-07-30,159.95
2014-07-31,160.05
2014-08-01,161.15
2014-08-04,160.15
2014-08-05,160.0
2014-08-06,158.0
2014-08-07,157.3
2014-08-08,152.8
2014-08-11,151.65
2014-08-12,155.85
2014-08-13,159.95
2014-08-14,165.1
2014-08-18,169.35
2014-08-19,169.35
2014-08-20,169.9
2014-08-21,169.6
2014-08-22,170.1
2014-08-25,169.3
2014-08-26,168.4
2014-08-27,166.7
2014-08-28,164.0
2014-09-01,165.1
2014-09-02,165.75
2014-09-03,162.15
2014-09-04,162.3
2014-09-05,160.0
2014-09-08,157.45
2014-09-09,159.25
2014-09-10,157.3
2014-09-11,161.35
2014-09-12,161.25
2014-09-15,158.9
2014-09-16,159.4
2014-09-17,156.35
2014-09-18,156.65
2014-09-19,156.05
2014-09-22,156.2
2014-09-23,156.35
2014-09-24,161.55
2014-09-25,153.5
2014-09-26,151.85
2014-09-29,144.45
2014-09-30,149.55
2014-10-01,145.8
2014-10-07,145.55
2014-10-08,144.6
2014-10-09,145.85
2014-10-10,144.55
2014-10-13,143.65
2014-10-14,140.0
2014-10-16,149.1
2014-10-17,143.7
2014-10-20,147.75
2014-10-21,146.1
2014-10-22,146.35
2014-10-23,146.05
2014-10-27,143.5
2014-10-28,143.05
2014-10-29,143.85
2014-10-30,142.95
2014-10-31,142.9
2014-11-03,142.3
2014-11-05,142.5
2014-11-07,142.55
2014-11-10,142.1
2014-11-11,143.55
2014-11-12,141.05
2014-11-13,141.75
2014-11-14,139.3
2014-11-17,138.2
2014-11-18,133.65
2014-11-19,135.4
2014-11-20,138.65
2014-11-21,138.2
2014-11-24,136.25
2014-11-25,132.75
2014-11-26,132.85
2014-11-27,133.45
2014-11-28,134.35
2014-12-01,136.0
2014-12-02,135.7
2014-12-03,137.1
2014-12-04,136.3
2014-12-05,136.75
2014-12-08,133.25
2014-12-09,132.2
2014-12-10,131.15
2014-12-11,128.95
2014-12-12,123.5
2014-12-15,117.8
2014-12-16,115.3
2014-12-17,113.75
2014-12-18,117.15
2014-12-19,122.45
2014-12-22,124.15
2014-12-23,125.8
2014-12-24,128.05
2014-12-26,127.55
2014-12-29,131.6
2014-12-30,131.2
2014-12-31,135.05
