Date,HSCL
2014-01-01,18.6
2014-01-02,18.25
2014-01-03,17.95
2014-01-06,17.9
2014-01-07,18.0
2014-01-08,17.6
2014-01-09,17.3
2014-01-10,17.0
2014-01-13,17.4
2014-01-14,17.05
2014-01-15,16.45
2014-01-16,16.95
2014-01-17,17.45
2014-01-20,17.2
2014-01-21,17.4
2014-01-22,17.0
2014-01-23,16.7
2014-01-24,16.2
2014-01-27,16.0
2014-01-28,16.0
2014-01-29,16.05
2014-01-30,15.9
2014-01-31,16.0
2014-02-03,15.75
2014-02-04,15.65
2014-02-05,15.85
2014-02-06,16.15
2014-02-07,19.35
2014-02-10,20.15
2014-02-11,19.4
2014-02-12,18.8
2014-02-13,17.5
2014-02-14,17.85
2014-02-17,16.9
2014-02-18,17.1
2014-02-19,17.15
2014-02-20,17.0
2014-02-21,17.05
2014-02-24,17.3
2014-02-25,17.95
2014-02-26,17.3
2014-02-28,17.4
2014-03-03,17.1
2014-03-04,17.15
2014-03-05,17.95
2014-03-06,17.8
2014-03-07,18.0
2014-03-10,18.2
2014-03-11,18.55
2014-03-12,18.1
2014-03-13,17.8
2014-03-14,17.7
2014-03-18,17.55
2014-03-19,17.7
2014-03-20,17.45
2014-03-21,17.95
2014-03-22,17.5
2014-03-24,17.95
2014-03-25,17.9
2014-03-26,19.7
2014-03-27,20.3
2014-03-28,20.55
2014-03-31,20.7
2014-04-01,20.0
2014-04-02,20.2
2014-04-03,20.0
2014-04-04,20.05
2014-04-07,20.2
2014-04-09,20.25
2014-04-10,20.5
2014-04-11,20.05
2014-04-15,20.75
2014-04-16,21.0
2014-04-17,20.9
2014-04-21,21.3
2014-04-22,21.65
2014-04-23,20.75
2014-04-25,20.1
2014-04-28,20.45
2014-04-29,20.9
2014-04-30,20.1
2014-05-02,20.3
2014-05-05,20.15
2014-05-06,20.0
2014-05-07,19.9
2014-05-08,20.0
2014-05-09,20.25
2014-05-12,20.05
2014-05-13,20.35
2014-05-14,20.2
2014-05-15,20.0
2014-05-16,20.05
2014-05-19,21.45
2014-05-20,25.05
2014-05-21,26.85
2014-05-22,28.1
2014-05-23,29.1
2014-05-26,26.4
2014-05-27,24.85
2014-05-28,24.65
2014-05-29,23.9
2014-05-30,24.1
2014-06-02,24.95
2014-06-03,25.6
2014-06-04,25.5
2014-06-05,26.75
2014-06-06,27.9
2014-06-09,27.5
2014-06-10,26.75
2014-06-11,26.4
2014-06-12,25.7
2014-06-13,25.55
2014-06-16,24.5
2014-06-17,25.95
2014-06-18,26.4
2014-06-19,25.6
2014-06-20,25.45
2014-06-23,24.65
2014-06-24,24.95
2014-06-25,25.05
2014-06-26,27.55
2014-06-27,28.65
2014-06-30,29.15
2014-07-01,29.55
2014-07-02,32.5
2014-07-03,34.1
2014-07-04,35.45
2014-07-07,33.75
2014-07-08,32.1
2014-07-09,30.5
2014-07-10,30.6
2014-07-11,29.1
2014-07-14,27.65
2014-07-15,27.3
2014-07-16,28.65
2014-07-17,30.05
2014-07-18,31.55
2014-07-21,32.6
2014-07-22,31.0
2014-07-23,29.45
2014-07-24,28.55
2014-07-25,27.15
2014-07-28,26.5
2014-07-30,27.25
2014-07-31,27.45
2014-08-01,26.85
2014-08-04,29.0
2014-08-05,28.7
2014-08-06,29.0
2014-08-07,27.8
2014-08-08,27.0
2014-08-11,27.7
2014-08-12,30.3
2014-08-13,28.7
2014-08-14,29.5
2014-08-18,30.2
2014-08-19,30.4
2014-08-20,29.3
2014-08-21,29.1
2014-08-22,29.85
2014-08-25,28.45
2014-08-26,28.0
2014-08-27,28.35
2014-08-28,27.8
2014-09-01,29.2
2014-09-02,29.0
2014-09-03,28.85
2014-09-04,30.0
2014-09-05,30.45
2014-09-08,31.3
2014-09-09,30.55
2014-09-10,31.8
2014-09-11,32.65
2014-09-12,35.85
2014-09-15,38.7
2014-09-16,32.85
2014-09-17,34.45
2014-09-18,35.1
2014-09-19,33.8
2014-09-22,33.25
2014-09-23,32.3
2014-09-24,30.35
2014-09-25,29.25
2014-09-26,29.3
2014-09-29,30.1
2014-09-30,31.1
2014-10-01,30.5
2014-10-07,29.85
2014-10-08,31.35
2014-10-09,32.0
2014-10-10,30.85
2014-10-13,29.75
2014-10-14,29.35
2014-10-16,28.65
2014-10-17,29.1
2014-10-20,28.95
2014-10-21,28.55
2014-10-22,28.5
2014-10-23,29.95
2014-10-27,29.35
2014-10-28,28.9
2014-10-29,28.35
2014-10-30,28.85
2014-10-31,28.75
2014-11-03,28.65
2014-11-05,30.95
2014-11-07,31.75
2014-11-10,32.15
2014-11-11,32.4
2014-11-12,32.0
2014-11-13,30.3
2014-11-14,28.1
2014-11-17,28.55
2014-11-18,30.65
2014-11-19,29.85
2014-11-20,30.9
2014-11-21,30.45
2014-11-24,29.4
2014-11-25,28.85
2014-11-26,29.3
2014-11-27,29.05
2014-11-28,28.85
2014-12-01,28.6
2014-12-02,28.75
2014-12-03,28.65
2014-12-04,28.65
2014-12-05,28.4
2014-12-08,28.0
2014-12-09,27.65
2014-12-10,27.95
2014-12-11,27.9
2014-12-12,26.9
2014-12-15,26.7
2014-12-16,23.75
2014-12-17,24.0
2014-12-18,25.05
2014-12-19,24.2
2014-12-22,24.1
2014-12-23,24.25
2014-12-24,23.95
2014-12-26,23.85
2014-12-29,24.0
2014-12-30,24.0
2014-12-31,23.8
