Date,ONELIFECAP
2014-01-01,195.35
2014-01-02,181.15
2014-01-03,178.45
2014-01-06,189.0
2014-01-07,185.65
2014-01-08,178.95
2014-01-09,191.6
2014-01-10,183.6
2014-01-13,189.05
2014-01-14,186.3
2014-01-15,192.85
2014-01-16,188.55
2014-01-17,183.2
2014-01-20,215.4
2014-01-21,211.75
2014-01-22,191.35
2014-01-23,191.0
2014-01-24,166.45
2014-01-27,175.6
2014-01-28,178.85
2014-01-29,179.25
2014-01-30,173.75
2014-01-31,172.9
2014-02-03,174.9
2014-02-04,179.85
2014-02-05,180.3
2014-02-06,177.5
2014-02-07,175.95
2014-02-10,182.3
2014-02-11,182.75
2014-02-12,183.1
2014-02-13,179.2
2014-02-14,177.25
2014-02-17,178.8
2014-02-18,176.75
2014-02-19,188.0
2014-02-20,189.45
2014-02-21,190.1
2014-02-24,201.85
2014-02-25,201.25
2014-02-26,193.35
2014-02-28,196.15
2014-03-03,189.5
2014-03-04,188.2
2014-03-05,186.5
2014-03-06,183.0
2014-03-07,178.65
2014-03-10,174.7
2014-03-11,172.65
2014-03-12,172.05
2014-03-13,170.9
2014-03-14,168.05
2014-03-18,168.65
2014-03-19,165.8
2014-03-20,161.25
2014-03-21,158.15
2014-03-22,159.0
2014-03-24,160.65
2014-03-25,157.25
2014-03-26,152.3
2014-03-27,150.05
2014-03-28,148.45
2014-03-31,150.9
2014-04-01,149.3
2014-04-02,153.25
2014-04-03,151.45
2014-04-04,159.7
2014-04-07,155.6
2014-04-09,153.3
2014-04-10,153.0
2014-04-11,151.35
2014-04-15,152.85
2014-04-16,151.3
2014-04-17,149.75
2014-04-21,149.0
2014-04-22,144.65
2014-04-23,145.9
2014-04-25,146.85
2014-04-28,141.05
2014-04-29,142.3
2014-04-30,139.05
2014-05-02,136.05
2014-05-05,134.45
2014-05-06,137.55
2014-05-07,134.55
2014-05-08,133.35
2014-05-09,156.7
2014-05-12,160.45
2014-05-13,169.05
2014-05-14,162.6
2014-05-15,160.15
2014-05-16,159.9
2014-05-19,151.95
2014-05-20,154.05
2014-05-21,158.1
2014-05-22,188.35
2014-05-23,175.55
2014-05-26,179.0
2014-05-27,176.75
2014-05-28,166.0
2014-05-29,171.5
2014-05-30,165.65
2014-06-02,198.75
2014-06-03,197.5
2014-06-04,206.75
2014-06-05,206.9
2014-06-06,205.85
2014-06-09,193.8
2014-06-10,190.3
2014-06-11,182.9
2014-06-12,178.95
2014-06-13,162.8
2014-06-16,162.8
2014-06-17,160.05
2014-06-18,164.25
2014-06-19,162.15
2014-06-20,163.05
2014-06-23,163.75
2014-06-24,164.9
2014-06-25,153.4
2014-06-26,184.05
2014-06-27,178.45
2014-06-30,181.55
2014-07-01,178.7
2014-07-02,165.15
2014-07-03,160.05
2014-07-04,159.15
2014-07-07,158.4
2014-07-08,154.7
2014-07-09,174.75
2014-07-10,166.2
2014-07-11,161.5
2014-07-14,162.8
2014-07-15,171.55
2014-07-16,167.05
2014-07-17,167.95
2014-07-18,167.6
2014-07-21,165.8
2014-07-22,163.5
2014-07-23,165.85
2014-07-24,163.6
2014-07-25,161.35
2014-07-28,160.4
2014-07-30,160.05
2014-07-31,158.8
2014-08-01,157.35
2014-08-04,188.7
2014-08-05,182.4
2014-08-06,185.6
2014-08-07,187.75
2014-08-08,177.1
2014-08-11,179.95
2014-08-12,213.8
2014-08-13,200.05
2014-08-14,235.3
2014-08-18,242.95
2014-08-19,247.05
2014-08-20,225.95
2014-08-21,219.75
2014-08-22,220.65
2014-08-25,212.7
2014-08-26,255.2
2014-08-27,225.0
2014-08-28,216.6
2014-09-01,224.1
2014-09-02,226.0
2014-09-03,225.05
2014-09-04,249.65
2014-09-05,246.45
2014-09-08,249.05
2014-09-09,259.3
2014-09-10,273.4
2014-09-11,268.35
2014-09-12,277.55
2014-09-15,269.15
2014-09-16,297.45
2014-09-17,271.25
2014-09-18,284.95
2014-09-19,328.3
2014-09-22,282.25
2014-09-23,257.6
2014-09-24,250.75
2014-09-25,237.25
2014-09-26,239.8
2014-09-29,225.65
2014-09-30,214.9
2014-10-01,201.65
2014-10-07,213.5
2014-10-08,210.7
2014-10-09,206.55
2014-10-10,196.35
2014-10-13,182.1
2014-10-14,202.55
2014-10-16,209.5
2014-10-17,205.5
2014-10-20,205.0
2014-10-21,202.6
2014-10-22,198.25
2014-10-23,203.85
2014-10-27,206.45
2014-10-28,201.9
2014-10-29,201.25
2014-10-30,199.5
2014-10-31,201.3
2014-11-03,203.1
2014-11-05,198.65
2014-11-07,188.75
2014-11-10,187.35
2014-11-11,177.05
2014-11-12,175.45
2014-11-13,174.2
2014-11-14,170.55
2014-11-17,171.85
2014-11-18,165.15
2014-11-19,167.7
2014-11-20,165.0
2014-11-21,162.2
2014-11-24,171.45
2014-11-25,169.75
2014-11-26,166.3
2014-11-27,166.3
2014-11-28,163.1
2014-12-01,153.65
2014-12-02,152.9
2014-12-03,144.0
2014-12-04,140.65
2014-12-05,138.7
2014-12-08,132.85
2014-12-09,127.4
2014-12-10,137.55
2014-12-11,139.75
2014-12-12,131.55
2014-12-15,142.05
2014-12-16,143.1
2014-12-17,140.9
2014-12-18,140.45
2014-12-19,137.6
2014-12-22,138.1
2014-12-23,141.4
2014-12-24,141.5
2014-12-26,138.25
2014-12-29,136.7
2014-12-30,135.85
2014-12-31,134.7
