Date,RELINFRA
2014-01-01,433.4
2014-01-02,416.95
2014-01-03,413.45
2014-01-06,411.5
2014-01-07,404.6
2014-01-08,409.5
2014-01-09,402.5
2014-01-10,398.0
2014-01-13,402.5
2014-01-14,400.9
2014-01-15,406.15
2014-01-16,400.85
2014-01-17,400.65
2014-01-20,401.4
2014-01-21,404.3
2014-01-22,413.15
2014-01-23,408.5
2014-01-24,398.65
2014-01-27,377.8
2014-01-28,374.8
2014-01-29,364.15
2014-01-30,363.8
2014-01-31,372.4
2014-02-03,361.8
2014-02-04,363.65
2014-02-05,359.2
2014-02-06,361.85
2014-02-07,369.3
2014-02-10,366.5
2014-02-11,358.45
2014-02-12,358.15
2014-02-13,355.4
2014-02-14,358.75
2014-02-17,357.3
2014-02-18,370.75
2014-02-19,364.7
2014-02-20,363.85
2014-02-21,364.2
2014-02-24,364.15
2014-02-25,360.9
2014-02-26,361.0
2014-02-28,362.9
2014-03-03,354.55
2014-03-04,361.95
2014-03-05,362.4
2014-03-06,398.3
2014-03-07,400.7
2014-03-10,404.3
2014-03-11,423.7
2014-03-12,415.55
2014-03-13,404.95
2014-03-14,408.4
2014-03-18,407.15
2014-03-19,415.5
2014-03-20,407.05
2014-03-21,408.55
2014-03-22,409.25
2014-03-24,414.45
2014-03-25,422.15
2014-03-26,422.8
2014-03-27,421.0
2014-03-28,435.25
2014-03-31,433.65
2014-04-01,434.1
2014-04-02,452.3
2014-04-03,447.2
2014-04-04,455.95
2014-04-07,451.75
2014-04-09,462.7
2014-04-10,503.2
2014-04-11,505.0
2014-04-15,500.7
2014-04-16,504.6
2014-04-17,522.1
2014-04-21,532.25
2014-04-22,527.75
2014-04-23,522.25
2014-04-25,523.05
2014-04-28,523.75
2014-04-29,530.95
2014-04-30,508.6
2014-05-02,518.8
2014-05-05,519.1
2014-05-06,512.95
2014-05-07,512.15
2014-05-08,514.1
2014-05-09,544.3
2014-05-12,558.7
2014-05-13,588.6
2014-05-14,590.15
2014-05-15,585.95
2014-05-16,626.25
2014-05-19,731.6
2014-05-20,711.3
2014-05-21,695.6
2014-05-22,711.5
2014-05-23,727.75
2014-05-26,704.3
2014-05-27,697.25
2014-05-28,700.05
2014-05-29,680.85
2014-05-30,690.8
2014-06-02,727.7
2014-06-03,720.65
2014-06-04,732.55
2014-06-05,781.3
2014-06-06,786.85
2014-06-09,808.75
2014-06-10,810.15
2014-06-11,782.1
2014-06-12,776.85
2014-06-13,742.25
2014-06-16,752.0
2014-06-17,768.6
2014-06-18,748.9
2014-06-19,735.55
2014-06-20,726.65
2014-06-23,706.3
2014-06-24,729.8
2014-06-25,741.1
2014-06-26,719.15
2014-06-27,734.35
2014-06-30,773.5
2014-07-01,774.5
2014-07-02,787.15
2014-07-03,794.7
2014-07-04,791.9
2014-07-07,801.8
2014-07-08,749.4
2014-07-09,749.85
2014-07-10,764.95
2014-07-11,718.65
2014-07-14,718.35
2014-07-15,764.55
2014-07-16,780.2
2014-07-17,786.85
2014-07-18,766.75
2014-07-21,766.5
2014-07-22,756.7
2014-07-23,752.5
2014-07-24,759.4
2014-07-25,732.85
2014-07-28,735.45
2014-07-30,752.65
2014-07-31,741.4
2014-08-01,732.45
2014-08-04,751.2
2014-08-05,771.8
2014-08-06,760.9
2014-08-07,748.25
2014-08-08,716.6
2014-08-11,708.65
2014-08-12,726.75
2014-08-13,705.2
2014-08-14,714.95
2014-08-18,725.55
2014-08-19,731.05
2014-08-20,728.35
2014-08-21,724.0
2014-08-22,731.5
2014-08-25,702.85
2014-08-26,699.7
2014-08-27,699.8
2014-08-28,699.3
2014-09-01,735.1
2014-09-02,749.5
2014-09-03,735.75
2014-09-04,716.45
2014-09-05,704.25
2014-09-08,690.05
2014-09-09,698.7
2014-09-10,704.55
2014-09-11,701.65
2014-09-12,690.7
2014-09-15,689.0
2014-09-16,651.9
2014-09-17,657.0
2014-09-18,674.2
2014-09-19,647.2
2014-09-22,641.7
2014-09-23,636.4
2014-09-24,636.4
2014-09-25,598.35
2014-09-26,593.7
2014-09-29,593.45
2014-09-30,585.45
2014-10-01,592.55
2014-10-07,567.6
2014-10-08,572.3
2014-10-09,585.7
2014-10-10,582.1
2014-10-13,583.2
2014-10-14,571.8
2014-10-16,546.1
2014-10-17,554.25
2014-10-20,561.95
2014-10-21,578.95
2014-10-22,579.15
2014-10-23,579.55
2014-10-27,568.5
2014-10-28,575.25
2014-10-29,581.1
2014-10-30,597.55
2014-10-31,637.2
2014-11-03,649.15
2014-11-05,632.05
2014-11-07,629.35
2014-11-10,640.85
2014-11-11,643.25
2014-11-12,636.7
2014-11-13,620.9
2014-11-14,621.1
2014-11-17,638.45
2014-11-18,657.25
2014-11-19,638.95
2014-11-20,626.5
2014-11-21,623.75
2014-11-24,618.3
2014-11-25,586.5
2014-11-26,599.15
2014-11-27,597.9
2014-11-28,609.6
2014-12-01,594.95
2014-12-02,606.1
2014-12-03,606.05
2014-12-04,595.85
2014-12-05,587.65
2014-12-08,572.55
2014-12-09,553.15
2014-12-10,562.65
2014-12-11,547.45
2014-12-12,529.1
2014-12-15,524.15
2014-12-16,496.8
2014-12-17,481.1
2014-12-18,504.85
2014-12-19,492.75
2014-12-22,506.75
2014-12-23,490.45
2014-12-24,498.5
2014-12-26,496.05
2014-12-29,507.55
2014-12-30,508.8
2014-12-31,512.05
