Date,FIEMIND
2014-01-01,343.45
2014-01-02,338.8
2014-01-03,331.2
2014-01-06,333.45
2014-01-07,331.45
2014-01-08,329.35
2014-01-09,328.05
2014-01-10,331.2
2014-01-13,331.1
2014-01-14,334.4
2014-01-15,332.65
2014-01-16,330.9
2014-01-17,338.05
2014-01-20,340.0
2014-01-21,342.1
2014-01-22,351.35
2014-01-23,354.3
2014-01-24,356.15
2014-01-27,366.85
2014-01-28,378.35
2014-01-29,372.05
2014-01-30,365.45
2014-01-31,363.9
2014-02-03,365.9
2014-02-04,366.7
2014-02-05,369.1
2014-02-06,367.15
2014-02-07,367.3
2014-02-10,366.0
2014-02-11,363.8
2014-02-12,363.35
2014-02-13,367.35
2014-02-14,382.3
2014-02-17,384.45
2014-02-18,386.6
2014-02-19,385.35
2014-02-20,384.95
2014-02-21,386.55
2014-02-24,388.65
2014-02-25,386.0
2014-02-26,383.2
2014-02-28,386.4
2014-03-03,385.5
2014-03-04,387.95
2014-03-05,401.55
2014-03-06,396.75
2014-03-07,398.8
2014-03-10,394.2
2014-03-11,396.55
2014-03-12,396.55
2014-03-13,395.45
2014-03-14,398.2
2014-03-18,397.05
2014-03-19,397.3
2014-03-20,398.9
2014-03-21,396.55
2014-03-22,397.35
2014-03-24,394.65
2014-03-25,397.45
2014-03-26,406.25
2014-03-27,405.35
2014-03-28,415.35
2014-03-31,411.35
2014-04-01,410.65
2014-04-02,402.15
2014-04-03,403.5
2014-04-04,403.3
2014-04-07,404.3
2014-04-09,408.65
2014-04-10,413.45
2014-04-11,408.3
2014-04-15,409.3
2014-04-16,406.55
2014-04-17,427.95
2014-04-21,429.6
2014-04-22,426.15
2014-04-23,421.55
2014-04-25,417.75
2014-04-28,419.15
2014-04-29,420.2
2014-04-30,416.4
2014-05-02,418.4
2014-05-05,426.65
2014-05-06,427.9
2014-05-07,432.9
2014-05-08,435.7
2014-05-09,437.1
2014-05-12,436.6
2014-05-13,433.5
2014-05-14,450.35
2014-05-15,445.1
2014-05-16,442.45
2014-05-19,451.85
2014-05-20,447.8
2014-05-21,448.65
2014-05-22,443.2
2014-05-23,442.15
2014-05-26,440.85
2014-05-27,445.0
2014-05-28,444.9
2014-05-29,450.35
2014-05-30,451.65
2014-06-02,461.0
2014-06-03,455.4
2014-06-04,458.35
2014-06-05,464.65
2014-06-06,467.05
2014-06-09,478.2
2014-06-10,478.75
2014-06-11,471.9
2014-06-12,467.4
2014-06-13,464.35
2014-06-16,466.0
2014-06-17,474.25
2014-06-18,529.45
2014-06-19,527.45
2014-06-20,535.15
2014-06-23,535.15
2014-06-24,531.35
2014-06-25,534.75
2014-06-26,541.9
2014-06-27,538.2
2014-06-30,565.85
2014-07-01,573.0
2014-07-02,565.85
2014-07-03,568.7
2014-07-04,564.0
2014-07-07,562.15
2014-07-08,553.75
2014-07-09,557.65
2014-07-10,557.6
2014-07-11,556.75
2014-07-14,558.35
2014-07-15,570.8
2014-07-16,570.8
2014-07-17,590.05
2014-07-18,591.4
2014-07-21,587.0
2014-07-22,601.55
2014-07-23,608.1
2014-07-24,627.1
2014-07-25,605.55
2014-07-28,611.55
2014-07-30,606.2
2014-07-31,602.35
2014-08-01,603.45
2014-08-04,613.7
2014-08-05,617.55
2014-08-06,610.6
2014-08-07,613.05
2014-08-08,617.7
2014-08-11,623.75
2014-08-12,623.05
2014-08-13,614.4
2014-08-14,626.2
2014-08-18,629.2
2014-08-19,631.8
2014-08-20,631.95
2014-08-21,628.9
2014-08-22,629.5
2014-08-25,625.05
2014-08-26,621.3
2014-08-27,624.05
2014-08-28,622.2
2014-09-01,625.1
2014-09-02,629.3
2014-09-03,631.05
2014-09-04,629.15
2014-09-05,628.25
2014-09-08,651.3
2014-09-09,651.05
2014-09-10,645.7
2014-09-11,643.0
2014-09-12,654.0
2014-09-15,654.85
2014-09-16,650.2
2014-09-17,649.5
2014-09-18,645.2
2014-09-19,646.7
2014-09-22,656.55
2014-09-23,649.2
2014-09-24,648.8
2014-09-25,642.9
2014-09-26,643.8
2014-09-29,648.45
2014-09-30,647.05
2014-10-01,647.5
2014-10-07,644.05
2014-10-08,642.7
2014-10-09,642.4
2014-10-10,639.25
2014-10-13,635.15
2014-10-14,642.5
2014-10-16,638.8
2014-10-17,643.2
2014-10-20,652.2
2014-10-21,671.8
2014-10-22,684.35
2014-10-23,683.8
2014-10-27,685.7
2014-10-28,685.15
2014-10-29,680.7
2014-10-30,686.6
2014-10-31,698.8
2014-11-03,700.7
2014-11-05,700.0
2014-11-07,700.75
2014-11-10,709.85
2014-11-11,705.35
2014-11-12,705.6
2014-11-13,710.9
2014-11-14,723.55
2014-11-17,701.1
2014-11-18,721.8
2014-11-19,716.5
2014-11-20,757.2
2014-11-21,772.5
2014-11-24,790.7
2014-11-25,777.8
2014-11-26,792.75
2014-11-27,788.65
2014-11-28,787.35
2014-12-01,791.45
2014-12-02,826.6
2014-12-03,810.65
2014-12-04,808.05
2014-12-05,817.9
2014-12-08,811.9
2014-12-09,828.35
2014-12-10,839.3
2014-12-11,834.35
2014-12-12,840.55
2014-12-15,841.6
2014-12-16,832.4
2014-12-17,815.75
2014-12-18,812.8
2014-12-19,823.2
2014-12-22,843.95
2014-12-23,835.25
2014-12-24,826.9
2014-12-26,818.05
2014-12-29,823.2
2014-12-30,823.8
2014-12-31,827.25
