Date,KRBL
2014-01-01,35.45
2014-01-02,34.35
2014-01-03,35.5
2014-01-06,38.35
2014-01-07,38.25
2014-01-08,38.55
2014-01-09,37.4
2014-01-10,37.2
2014-01-13,37.8
2014-01-14,38.0
2014-01-15,41.1
2014-01-16,41.1
2014-01-17,40.9
2014-01-20,38.9
2014-01-21,39.85
2014-01-22,39.85
2014-01-23,39.45
2014-01-24,40.5
2014-01-27,39.4
2014-01-28,41.85
2014-01-29,40.2
2014-01-30,41.4
2014-01-31,41.0
2014-02-03,40.5
2014-02-04,41.25
2014-02-05,44.3
2014-02-06,45.0
2014-02-07,45.35
2014-02-10,45.5
2014-02-11,47.2
2014-02-12,47.2
2014-02-13,44.85
2014-02-14,45.6
2014-02-17,45.95
2014-02-18,45.2
2014-02-19,44.45
2014-02-20,44.05
2014-02-21,43.45
2014-02-24,42.7
2014-02-25,44.25
2014-02-26,44.6
2014-02-28,45.0
2014-03-03,45.1
2014-03-04,46.4
2014-03-05,46.3
2014-03-06,45.8
2014-03-07,46.6
2014-03-10,47.95
2014-03-11,46.55
2014-03-12,46.45
2014-03-13,45.6
2014-03-14,46.1
2014-03-18,48.15
2014-03-19,49.1
2014-03-20,48.75
2014-03-21,48.35
2014-03-22,48.6
2014-03-24,48.7
2014-03-25,47.6
2014-03-26,47.45
2014-03-27,47.35
2014-03-28,47.65
2014-03-31,49.8
2014-04-01,49.05
2014-04-02,49.9
2014-04-03,50.15
2014-04-04,52.45
2014-04-07,51.35
2014-04-09,51.7
2014-04-10,51.75
2014-04-11,57.75
2014-04-15,57.5
2014-04-16,59.55
2014-04-17,59.8
2014-04-21,58.95
2014-04-22,59.5
2014-04-23,60.65
2014-04-25,56.9
2014-04-28,58.85
2014-04-29,59.05
2014-04-30,58.1
2014-05-02,58.6
2014-05-05,59.55
2014-05-06,60.8
2014-05-07,63.95
2014-05-08,64.2
2014-05-09,62.3
2014-05-12,61.15
2014-05-13,60.2
2014-05-14,61.1
2014-05-15,60.05
2014-05-16,59.05
2014-05-19,60.8
2014-05-20,64.35
2014-05-21,65.9
2014-05-22,64.9
2014-05-23,69.45
2014-05-26,65.4
2014-05-27,67.05
2014-05-28,66.9
2014-05-29,65.85
2014-05-30,68.15
2014-06-02,68.5
2014-06-03,68.9
2014-06-04,67.4
2014-06-05,67.95
2014-06-06,71.4
2014-06-09,75.25
2014-06-10,74.45
2014-06-11,79.35
2014-06-12,78.6
2014-06-13,73.05
2014-06-16,72.45
2014-06-17,75.7
2014-06-18,76.35
2014-06-19,76.1
2014-06-20,76.3
2014-06-23,74.1
2014-06-24,74.05
2014-06-25,74.55
2014-06-26,75.35
2014-06-27,74.6
2014-06-30,74.75
2014-07-01,75.9
2014-07-02,77.15
2014-07-03,76.35
2014-07-04,75.7
2014-07-07,74.8
2014-07-08,73.3
2014-07-09,72.45
2014-07-10,73.45
2014-07-11,72.1
2014-07-14,72.3
2014-07-15,73.0
2014-07-16,77.0
2014-07-17,77.35
2014-07-18,77.15
2014-07-21,76.15
2014-07-22,77.3
2014-07-23,79.7
2014-07-24,78.75
2014-07-25,76.95
2014-07-28,76.0
2014-07-30,76.8
2014-07-31,79.75
2014-08-01,77.55
2014-08-04,79.1
2014-08-05,80.2
2014-08-06,92.3
2014-08-07,90.15
2014-08-08,85.7
2014-08-11,85.25
2014-08-12,85.9
2014-08-13,83.55
2014-08-14,84.7
2014-08-18,85.9
2014-08-19,85.45
2014-08-20,85.15
2014-08-21,85.6
2014-08-22,85.6
2014-08-25,85.6
2014-08-26,83.9
2014-08-27,84.5
2014-08-28,83.85
2014-09-01,81.25
2014-09-02,83.65
2014-09-03,85.5
2014-09-04,84.5
2014-09-05,87.15
2014-09-08,95.2
2014-09-09,97.4
2014-09-10,98.65
2014-09-11,100.7
2014-09-12,104.5
2014-09-15,104.85
2014-09-16,99.15
2014-09-17,98.75
2014-09-18,99.25
2014-09-19,103.15
2014-09-22,99.95
2014-09-23,100.6
2014-09-24,96.4
2014-09-25,94.15
2014-09-26,98.25
2014-09-29,99.45
2014-09-30,100.15
2014-10-01,100.4
2014-10-07,100.6
2014-10-08,103.1
2014-10-09,101.8
2014-10-10,101.35
2014-10-13,103.75
2014-10-14,102.6
2014-10-16,102.5
2014-10-17,102.8
2014-10-20,102.75
2014-10-21,100.45
2014-10-22,98.85
2014-10-23,99.85
2014-10-27,99.35
2014-10-28,97.55
2014-10-29,96.9
2014-10-30,92.45
2014-10-31,90.4
2014-11-03,98.9
2014-11-05,103.15
2014-11-07,102.85
2014-11-10,100.1
2014-11-11,101.0
2014-11-12,99.45
2014-11-13,99.9
2014-11-14,99.6
2014-11-17,99.8
2014-11-18,99.25
2014-11-19,96.9
2014-11-20,99.65
2014-11-21,94.2
2014-11-24,90.85
2014-11-25,89.45
2014-11-26,93.15
2014-11-27,96.85
2014-11-28,97.05
2014-12-01,97.45
2014-12-02,95.7
2014-12-03,95.05
2014-12-04,95.4
2014-12-05,93.25
2014-12-08,91.9
2014-12-09,91.9
2014-12-10,93.3
2014-12-11,95.0
2014-12-12,95.45
2014-12-15,92.55
2014-12-16,90.15
2014-12-17,89.65
2014-12-18,91.75
2014-12-19,94.05
2014-12-22,96.9
2014-12-23,96.7
2014-12-24,102.35
2014-12-26,99.65
2014-12-29,99.0
2014-12-30,98.9
2014-12-31,104.55
