Date,NAVNETEDUL
2014-01-01,58.7
2014-01-02,57.55
2014-01-03,57.85
2014-01-06,57.05
2014-01-07,58.05
2014-01-08,58.0
2014-01-09,57.7
2014-01-10,56.95
2014-01-13,56.65
2014-01-14,56.7
2014-01-15,56.95
2014-01-16,57.25
2014-01-17,56.55
2014-01-20,55.9
2014-01-21,55.55
2014-01-22,55.85
2014-01-23,56.05
2014-01-24,54.8
2014-01-27,53.55
2014-01-28,53.85
2014-01-29,53.7
2014-01-30,53.65
2014-01-31,54.25
2014-02-03,54.4
2014-02-04,54.25
2014-02-05,54.05
2014-02-06,54.2
2014-02-07,54.45
2014-02-10,54.25
2014-02-11,54.0
2014-02-12,54.3
2014-02-13,53.75
2014-02-14,53.4
2014-02-17,53.1
2014-02-18,53.45
2014-02-19,53.95
2014-02-20,55.05
2014-02-21,55.25
2014-02-24,54.8
2014-02-25,54.5
2014-02-26,53.95
2014-02-28,54.8
2014-03-03,54.8
2014-03-04,54.85
2014-03-05,55.0
2014-03-06,56.15
2014-03-07,55.7
2014-03-10,56.5
2014-03-11,56.25
2014-03-12,56.5
2014-03-13,56.55
2014-03-14,56.0
2014-03-18,56.7
2014-03-19,56.45
2014-03-20,56.05
2014-03-21,55.9
2014-03-22,56.0
2014-03-24,55.9
2014-03-25,54.8
2014-03-26,55.15
2014-03-27,54.65
2014-03-28,57.15
2014-03-31,57.15
2014-04-01,56.95
2014-04-02,60.65
2014-04-03,60.85
2014-04-04,61.8
2014-04-07,59.7
2014-04-09,60.15
2014-04-10,60.05
2014-04-11,59.85
2014-04-15,60.75
2014-04-16,60.5
2014-04-17,60.25
2014-04-21,63.75
2014-04-22,62.7
2014-04-23,63.05
2014-04-25,62.4
2014-04-28,61.35
2014-04-29,59.85
2014-04-30,60.05
2014-05-02,58.95
2014-05-05,59.4
2014-05-06,59.45
2014-05-07,60.6
2014-05-08,63.3
2014-05-09,63.15
2014-05-12,62.9
2014-05-13,62.8
2014-05-14,61.2
2014-05-15,60.5
2014-05-16,61.85
2014-05-19,63.3
2014-05-20,72.85
2014-05-21,72.2
2014-05-22,76.35
2014-05-23,74.85
2014-05-26,76.2
2014-05-27,74.65
2014-05-28,77.1
2014-05-29,76.95
2014-05-30,75.5
2014-06-02,74.9
2014-06-03,74.3
2014-06-04,75.75
2014-06-05,74.8
2014-06-06,74.8
2014-06-09,78.65
2014-06-10,79.55
2014-06-11,83.7
2014-06-12,83.15
2014-06-13,80.15
2014-06-16,82.35
2014-06-17,82.95
2014-06-18,81.75
2014-06-19,80.55
2014-06-20,81.65
2014-06-23,81.05
2014-06-24,82.0
2014-06-25,81.65
2014-06-26,80.15
2014-06-27,79.1
2014-06-30,80.4
2014-07-01,82.6
2014-07-02,82.85
2014-07-03,82.3
2014-07-04,82.25
2014-07-07,85.35
2014-07-08,80.15
2014-07-09,79.1
2014-07-10,76.4
2014-07-11,76.95
2014-07-14,75.85
2014-07-15,76.45
2014-07-16,78.3
2014-07-17,78.95
2014-07-18,80.25
2014-07-21,82.75
2014-07-22,83.2
2014-07-23,82.1
2014-07-24,85.35
2014-07-25,83.2
2014-07-28,79.85
2014-07-30,80.65
2014-07-31,80.5
2014-08-01,79.4
2014-08-04,80.75
2014-08-05,81.05
2014-08-06,82.0
2014-08-07,82.75
2014-08-08,81.95
2014-08-11,82.1
2014-08-12,90.85
2014-08-13,90.45
2014-08-14,90.05
2014-08-18,92.5
2014-08-19,92.2
2014-08-20,93.3
2014-08-21,94.2
2014-08-22,94.8
2014-08-25,93.8
2014-08-26,92.2
2014-08-27,96.75
2014-08-28,97.85
2014-09-01,98.45
2014-09-02,97.95
2014-09-03,97.0
2014-09-04,95.8
2014-09-05,100.3
2014-09-08,102.45
2014-09-09,100.0
2014-09-10,101.95
2014-09-11,102.55
2014-09-12,102.2
2014-09-15,102.6
2014-09-16,100.0
2014-09-17,99.85
2014-09-18,100.75
2014-09-19,102.4
2014-09-22,102.15
2014-09-23,98.35
2014-09-24,97.5
2014-09-25,96.8
2014-09-26,97.05
2014-09-29,96.65
2014-09-30,98.1
2014-10-01,96.9
2014-10-07,96.45
2014-10-08,96.25
2014-10-09,97.0
2014-10-10,97.05
2014-10-13,97.0
2014-10-14,97.3
2014-10-16,96.65
2014-10-17,95.55
2014-10-20,96.95
2014-10-21,96.05
2014-10-22,96.0
2014-10-23,97.3
2014-10-27,96.1
2014-10-28,96.95
2014-10-29,97.2
2014-10-30,102.8
2014-10-31,103.05
2014-11-03,102.0
2014-11-05,102.1
2014-11-07,103.05
2014-11-10,100.6
2014-11-11,100.1
2014-11-12,98.9
2014-11-13,98.55
2014-11-14,98.1
2014-11-17,98.5
2014-11-18,98.35
2014-11-19,98.0
2014-11-20,98.05
2014-11-21,97.45
2014-11-24,97.4
2014-11-25,97.25
2014-11-26,97.2
2014-11-27,97.25
2014-11-28,96.85
2014-12-01,97.0
2014-12-02,96.95
2014-12-03,96.7
2014-12-04,97.5
2014-12-05,97.55
2014-12-08,97.1
2014-12-09,97.0
2014-12-10,96.7
2014-12-11,96.9
2014-12-12,97.35
2014-12-15,96.95
2014-12-16,99.05
2014-12-17,98.3
2014-12-18,100.95
2014-12-19,101.6
2014-12-22,100.95
2014-12-23,103.05
2014-12-24,109.2
2014-12-26,108.7
2014-12-29,109.2
2014-12-30,108.75
2014-12-31,105.05
