Date,IBULISL
2014-01-01,19.5
2014-01-02,19.15
2014-01-03,19.5
2014-01-06,20.4
2014-01-07,20.0
2014-01-08,21.0
2014-01-09,23.1
2014-01-10,22.05
2014-01-13,22.1
2014-01-14,21.85
2014-01-15,21.6
2014-01-16,21.55
2014-01-17,21.25
2014-01-20,21.2
2014-01-21,21.2
2014-01-22,21.6
2014-01-23,21.35
2014-01-24,20.5
2014-01-27,18.45
2014-01-28,19.2
2014-01-29,19.5
2014-01-30,19.05
2014-01-31,19.75
2014-02-03,19.55
2014-02-04,20.25
2014-02-05,20.0
2014-02-06,20.0
2014-02-07,20.0
2014-02-10,20.0
2014-02-11,20.55
2014-02-12,20.5
2014-02-13,19.25
2014-02-14,19.05
2014-02-17,19.05
2014-02-18,19.1
2014-02-19,19.1
2014-02-20,19.05
2014-02-21,19.0
2014-02-24,18.9
2014-02-25,18.95
2014-02-26,18.5
2014-02-28,18.55
2014-03-03,18.2
2014-03-04,18.45
2014-03-05,17.5
2014-03-06,17.8
2014-03-07,17.85
2014-03-10,17.45
2014-03-11,17.3
2014-03-12,17.1
2014-03-13,17.2
2014-03-14,16.9
2014-03-18,17.45
2014-03-19,17.1
2014-03-20,17.0
2014-03-21,17.8
2014-03-22,18.0
2014-03-24,17.95
2014-03-25,17.95
2014-03-26,17.8
2014-03-27,17.85
2014-03-28,17.9
2014-03-31,17.95
2014-04-01,18.35
2014-04-02,18.45
2014-04-03,18.45
2014-04-04,18.3
2014-04-07,17.85
2014-04-09,18.55
2014-04-10,18.55
2014-04-11,18.8
2014-04-15,19.7
2014-04-16,18.85
2014-04-17,18.15
2014-04-21,19.6
2014-04-22,19.6
2014-04-23,19.1
2014-04-25,19.6
2014-04-28,19.5
2014-04-29,19.6
2014-04-30,19.85
2014-05-02,20.5
2014-05-05,19.95
2014-05-06,19.85
2014-05-07,19.5
2014-05-08,19.55
2014-05-09,19.5
2014-05-12,19.5
2014-05-13,20.3
2014-05-14,20.9
2014-05-15,19.5
2014-05-16,20.95
2014-05-19,22.5
2014-05-20,21.35
2014-05-21,24.75
2014-05-22,27.2
2014-05-23,27.95
2014-05-26,24.7
2014-05-27,23.15
2014-05-28,23.5
2014-05-29,22.65
2014-05-30,21.55
2014-06-02,22.15
2014-06-03,21.6
2014-06-04,24.05
2014-06-05,23.9
2014-06-06,23.95
2014-06-09,23.95
2014-06-10,22.75
2014-06-11,21.9
2014-06-12,22.5
2014-06-13,21.4
2014-06-16,20.95
2014-06-17,21.0
2014-06-18,20.0
2014-06-19,19.95
2014-06-20,19.5
2014-06-23,21.5
2014-06-24,25.55
2014-06-25,24.7
2014-06-26,26.1
2014-06-27,27.8
2014-06-30,27.7
2014-07-01,28.25
2014-07-02,28.4
2014-07-03,28.0
2014-07-04,27.45
2014-07-07,30.15
2014-07-08,27.15
2014-07-09,24.75
2014-07-10,23.15
2014-07-11,22.65
2014-07-14,20.4
2014-07-15,19.4
2014-07-16,20.35
2014-07-17,21.35
2014-07-18,22.4
2014-07-21,23.5
2014-07-22,23.4
2014-07-23,22.75
2014-07-24,22.0
2014-07-25,21.3
2014-07-28,20.3
2014-07-30,20.35
2014-07-31,20.15
2014-08-01,19.75
2014-08-04,20.85
2014-08-05,21.65
2014-08-06,21.5
2014-08-07,20.8
2014-08-08,20.5
2014-08-11,20.8
2014-08-12,20.7
2014-08-13,19.65
2014-08-14,20.0
2014-08-18,19.85
2014-08-19,19.25
2014-08-20,19.15
2014-08-21,18.7
2014-08-22,18.45
2014-08-25,17.95
2014-08-26,16.65
2014-08-27,16.0
2014-08-28,15.15
2014-09-01,15.9
2014-09-02,16.0
2014-09-03,15.6
2014-09-04,14.9
2014-09-05,14.8
2014-09-08,15.5
2014-09-09,16.0
2014-09-10,16.8
2014-09-11,17.6
2014-09-12,18.45
2014-09-15,19.35
2014-09-16,18.4
2014-09-17,19.2
2014-09-18,20.15
2014-09-19,21.15
2014-09-22,22.2
2014-09-23,23.2
2014-09-24,22.05
2014-09-25,21.75
2014-09-26,22.8
2014-09-29,21.9
2014-09-30,20.85
2014-10-01,20.8
2014-10-07,19.8
2014-10-08,19.6
2014-10-09,19.95
2014-10-10,19.65
2014-10-13,19.25
2014-10-14,19.25
2014-10-16,18.7
2014-10-17,19.05
2014-10-20,18.1
2014-10-21,17.25
2014-10-22,17.9
2014-10-23,18.7
2014-10-27,18.75
2014-10-28,17.85
2014-10-29,17.0
2014-10-30,16.25
2014-10-31,16.7
2014-11-03,16.7
2014-11-05,17.3
2014-11-07,16.75
2014-11-10,16.55
2014-11-11,16.35
2014-11-12,16.6
2014-11-13,16.4
2014-11-14,17.05
2014-11-17,16.3
2014-11-18,16.4
2014-11-19,15.9
2014-11-20,15.85
2014-11-21,15.1
2014-11-24,14.85
2014-11-25,14.1
2014-11-26,14.1
2014-11-27,14.45
2014-11-28,14.9
2014-12-01,14.85
2014-12-02,14.7
2014-12-03,14.75
2014-12-04,14.9
2014-12-05,14.4
2014-12-08,14.5
2014-12-09,13.95
2014-12-10,14.05
2014-12-11,13.9
2014-12-12,13.95
2014-12-15,13.8
2014-12-16,13.15
2014-12-17,12.5
2014-12-18,13.35
2014-12-19,13.6
2014-12-22,14.15
2014-12-23,13.95
2014-12-24,13.8
2014-12-26,13.85
2014-12-29,13.75
2014-12-30,13.65
2014-12-31,13.05
