Date,PVP
2014-01-01,6.25
2014-01-02,6.3
2014-01-03,6.25
2014-01-06,6.1
2014-01-07,6.25
2014-01-08,6.15
2014-01-09,6.05
2014-01-10,6.0
2014-01-13,6.1
2014-01-14,6.1
2014-01-15,6.2
2014-01-16,6.0
2014-01-17,5.9
2014-01-20,5.9
2014-01-21,5.85
2014-01-22,5.65
2014-01-23,5.4
2014-01-24,5.55
2014-01-27,5.5
2014-01-28,5.6
2014-01-29,5.25
2014-01-30,5.05
2014-01-31,5.1
2014-02-03,4.95
2014-02-04,5.0
2014-02-05,4.55
2014-02-06,4.8
2014-02-07,4.65
2014-02-10,4.6
2014-02-11,4.75
2014-02-12,4.7
2014-02-13,4.65
2014-02-14,4.6
2014-02-17,4.75
2014-02-18,4.7
2014-02-19,5.0
2014-02-20,5.25
2014-02-21,4.8
2014-02-24,4.6
2014-02-25,4.6
2014-02-26,4.8
2014-02-28,4.9
2014-03-03,4.85
2014-03-04,4.9
2014-03-05,4.85
2014-03-06,5.05
2014-03-07,4.9
2014-03-10,4.9
2014-03-11,4.7
2014-03-12,4.5
2014-03-13,4.7
2014-03-14,4.75
2014-03-18,4.7
2014-03-19,4.65
2014-03-20,4.6
2014-03-21,4.55
2014-03-22,4.5
2014-03-24,5.1
2014-03-25,5.1
2014-03-26,4.75
2014-03-27,4.8
2014-03-28,4.95
2014-03-31,4.9
2014-04-01,5.0
2014-04-02,5.0
2014-04-03,5.4
2014-04-04,5.4
2014-04-07,5.3
2014-04-09,5.4
2014-04-10,5.55
2014-04-11,5.8
2014-04-15,6.95
2014-04-16,8.3
2014-04-17,9.1
2014-04-21,9.6
2014-04-22,8.65
2014-04-23,8.15
2014-04-25,7.45
2014-04-28,7.6
2014-04-29,7.9
2014-04-30,7.55
2014-05-02,7.2
2014-05-05,6.85
2014-05-06,7.0
2014-05-07,7.1
2014-05-08,7.1
2014-05-09,7.0
2014-05-12,7.95
2014-05-13,7.75
2014-05-14,7.8
2014-05-15,7.55
2014-05-16,7.8
2014-05-19,8.15
2014-05-20,9.55
2014-05-21,9.7
2014-05-22,8.65
2014-05-23,9.1
2014-05-26,9.0
2014-05-27,8.9
2014-05-28,9.35
2014-05-29,8.5
2014-05-30,8.45
2014-06-02,8.4
2014-06-03,8.8
2014-06-04,9.05
2014-06-05,9.85
2014-06-06,9.5
2014-06-09,9.95
2014-06-10,9.6
2014-06-11,11.05
2014-06-12,9.9
2014-06-13,9.25
2014-06-16,9.05
2014-06-17,9.3
2014-06-18,8.85
2014-06-19,8.85
2014-06-20,8.65
2014-06-23,8.6
2014-06-24,8.9
2014-06-25,8.9
2014-06-26,8.6
2014-06-27,8.7
2014-06-30,9.3
2014-07-01,9.65
2014-07-02,9.75
2014-07-03,9.15
2014-07-04,9.2
2014-07-07,9.0
2014-07-08,8.4
2014-07-09,7.8
2014-07-10,8.05
2014-07-11,7.6
2014-07-14,7.85
2014-07-15,8.05
2014-07-16,8.15
2014-07-17,8.2
2014-07-18,8.3
2014-07-21,8.3
2014-07-22,8.25
2014-07-23,8.0
2014-07-24,8.1
2014-07-25,7.75
2014-07-28,7.65
2014-07-30,7.55
2014-07-31,7.8
2014-08-01,7.5
2014-08-04,7.6
2014-08-05,7.5
2014-08-06,7.35
2014-08-07,7.35
2014-08-08,6.35
2014-08-11,6.6
2014-08-12,6.55
2014-08-13,6.4
2014-08-14,6.4
2014-08-18,6.7
2014-08-19,6.5
2014-08-20,6.65
2014-08-21,6.35
2014-08-22,6.15
2014-08-25,6.1
2014-08-26,5.8
2014-08-27,6.95
2014-08-28,6.85
2014-09-01,7.75
2014-09-02,8.0
2014-09-03,8.0
2014-09-04,7.7
2014-09-05,8.0
2014-09-08,7.95
2014-09-09,8.05
2014-09-10,9.3
2014-09-11,11.15
2014-09-12,10.05
2014-09-15,10.75
2014-09-16,9.7
2014-09-17,9.2
2014-09-18,9.6
2014-09-19,9.2
2014-09-22,9.3
2014-09-23,9.25
2014-09-24,8.9
2014-09-25,8.5
2014-09-26,8.5
2014-09-29,8.6
2014-09-30,8.25
2014-10-01,8.9
2014-10-07,9.75
2014-10-08,10.55
2014-10-09,10.3
2014-10-10,10.0
2014-10-13,10.95
2014-10-14,10.35
2014-10-16,9.7
2014-10-17,9.4
2014-10-20,9.9
2014-10-21,9.5
2014-10-22,9.65
2014-10-23,9.85
2014-10-27,9.7
2014-10-28,9.35
2014-10-29,9.3
2014-10-30,9.2
2014-10-31,9.45
2014-11-03,9.5
2014-11-05,9.65
2014-11-07,9.75
2014-11-10,9.7
2014-11-11,9.3
2014-11-12,9.15
2014-11-13,8.65
2014-11-14,9.0
2014-11-17,9.0
2014-11-18,9.05
2014-11-19,8.7
2014-11-20,8.5
2014-11-21,8.35
2014-11-24,8.25
2014-11-25,7.75
2014-11-26,8.05
2014-11-27,8.2
2014-11-28,8.2
2014-12-01,7.95
2014-12-02,8.0
2014-12-03,8.0
2014-12-04,7.85
2014-12-05,7.85
2014-12-08,7.9
2014-12-09,7.65
2014-12-10,7.4
2014-12-11,7.3
2014-12-12,7.1
2014-12-15,7.3
2014-12-16,7.1
2014-12-17,6.9
2014-12-18,7.05
2014-12-19,7.3
2014-12-22,7.45
2014-12-23,7.4
2014-12-24,7.25
2014-12-26,7.3
2014-12-29,7.2
2014-12-30,7.2
2014-12-31,7.4
