Date,NDTV
2014-01-01,78.8
2014-01-02,76.6
2014-01-03,74.75
2014-01-06,82.25
2014-01-07,81.0
2014-01-08,89.2
2014-01-09,86.6
2014-01-10,82.7
2014-01-13,81.95
2014-01-14,80.85
2014-01-15,81.3
2014-01-16,78.9
2014-01-17,78.3
2014-01-20,77.65
2014-01-21,77.8
2014-01-22,78.25
2014-01-23,77.75
2014-01-24,74.7
2014-01-27,72.5
2014-01-28,71.4
2014-01-29,71.8
2014-01-30,70.75
2014-01-31,71.7
2014-02-03,72.45
2014-02-04,70.45
2014-02-05,71.25
2014-02-06,72.0
2014-02-07,73.15
2014-02-10,73.25
2014-02-11,72.2
2014-02-12,70.05
2014-02-13,68.35
2014-02-14,69.4
2014-02-17,69.0
2014-02-18,69.5
2014-02-19,68.9
2014-02-20,69.75
2014-02-21,70.45
2014-02-24,69.0
2014-02-25,68.9
2014-02-26,68.5
2014-02-28,68.25
2014-03-03,68.6
2014-03-04,69.0
2014-03-05,68.55
2014-03-06,71.35
2014-03-07,73.55
2014-03-10,73.65
2014-03-11,72.55
2014-03-12,71.45
2014-03-13,71.35
2014-03-14,69.9
2014-03-18,69.7
2014-03-19,69.9
2014-03-20,69.5
2014-03-21,69.85
2014-03-22,69.45
2014-03-24,70.1
2014-03-25,69.2
2014-03-26,72.8
2014-03-27,71.4
2014-03-28,71.3
2014-03-31,73.8
2014-04-01,76.35
2014-04-02,78.0
2014-04-03,76.7
2014-04-04,76.95
2014-04-07,76.95
2014-04-09,76.6
2014-04-10,76.6
2014-04-11,76.55
2014-04-15,77.35
2014-04-16,74.75
2014-04-17,75.5
2014-04-21,77.35
2014-04-22,76.45
2014-04-23,76.35
2014-04-25,75.7
2014-04-28,78.7
2014-04-29,79.75
2014-04-30,76.25
2014-05-02,75.95
2014-05-05,73.6
2014-05-06,72.35
2014-05-07,70.95
2014-05-08,69.05
2014-05-09,68.7
2014-05-12,68.15
2014-05-13,68.7
2014-05-14,68.1
2014-05-15,66.85
2014-05-16,66.4
2014-05-19,69.95
2014-05-20,74.2
2014-05-21,76.65
2014-05-22,79.0
2014-05-23,83.35
2014-05-26,76.7
2014-05-27,79.5
2014-05-28,80.35
2014-05-29,80.8
2014-05-30,85.35
2014-06-02,85.0
2014-06-03,88.9
2014-06-04,86.95
2014-06-05,89.25
2014-06-06,88.0
2014-06-09,88.85
2014-06-10,86.7
2014-06-11,86.25
2014-06-12,84.3
2014-06-13,81.1
2014-06-16,82.3
2014-06-17,82.8
2014-06-18,80.05
2014-06-19,79.8
2014-06-20,79.35
2014-06-23,80.25
2014-06-24,83.4
2014-06-25,81.45
2014-06-26,80.1
2014-06-27,78.55
2014-06-30,79.1
2014-07-01,80.8
2014-07-02,81.0
2014-07-03,79.65
2014-07-04,79.5
2014-07-07,78.8
2014-07-08,75.25
2014-07-09,72.35
2014-07-10,74.6
2014-07-11,71.75
2014-07-14,71.9
2014-07-15,74.15
2014-07-16,75.55
2014-07-17,74.5
2014-07-18,74.25
2014-07-21,74.2
2014-07-22,74.05
2014-07-23,73.4
2014-07-24,88.05
2014-07-25,80.7
2014-07-28,88.8
2014-07-30,89.95
2014-07-31,86.0
2014-08-01,87.6
2014-08-04,95.35
2014-08-05,90.9
2014-08-06,91.45
2014-08-07,91.35
2014-08-08,87.8
2014-08-11,86.9
2014-08-12,84.9
2014-08-13,79.15
2014-08-14,81.85
2014-08-18,82.4
2014-08-19,82.05
2014-08-20,80.15
2014-08-21,81.0
2014-08-22,81.8
2014-08-25,84.0
2014-08-26,83.25
2014-08-27,93.55
2014-08-28,89.8
2014-09-01,87.45
2014-09-02,86.6
2014-09-03,85.4
2014-09-04,82.65
2014-09-05,85.15
2014-09-08,88.2
2014-09-09,86.05
2014-09-10,90.35
2014-09-11,88.95
2014-09-12,91.75
2014-09-15,110.1
2014-09-16,97.15
2014-09-17,103.25
2014-09-18,105.45
2014-09-19,103.65
2014-09-22,102.5
2014-09-23,98.55
2014-09-24,97.6
2014-09-25,98.6
2014-09-26,97.25
2014-09-29,95.25
2014-09-30,92.55
2014-10-01,92.55
2014-10-07,102.3
2014-10-08,102.8
2014-10-09,119.3
2014-10-10,140.0
2014-10-13,134.8
2014-10-14,124.3
2014-10-16,119.35
2014-10-17,115.55
2014-10-20,118.75
2014-10-21,118.75
2014-10-22,117.15
2014-10-23,118.75
2014-10-27,116.1
2014-10-28,115.45
2014-10-29,116.55
2014-10-30,110.6
2014-10-31,113.2
2014-11-03,116.0
2014-11-05,113.85
2014-11-07,109.35
2014-11-10,113.35
2014-11-11,109.6
2014-11-12,108.15
2014-11-13,105.75
2014-11-14,107.5
2014-11-17,106.2
2014-11-18,111.35
2014-11-19,111.45
2014-11-20,113.9
2014-11-21,113.8
2014-11-24,119.05
2014-11-25,115.7
2014-11-26,118.2
2014-11-27,122.8
2014-11-28,125.3
2014-12-01,122.4
2014-12-02,120.6
2014-12-03,125.15
2014-12-04,123.1
2014-12-05,132.7
2014-12-08,127.45
2014-12-09,121.15
2014-12-10,123.0
2014-12-11,125.95
2014-12-12,120.85
2014-12-15,118.55
2014-12-16,110.95
2014-12-17,108.55
2014-12-18,114.7
2014-12-19,111.35
2014-12-22,114.7
2014-12-23,112.85
2014-12-24,112.55
2014-12-26,113.1
2014-12-29,111.5
2014-12-30,111.45
2014-12-31,113.75
