Date,DEEPIND
2014-01-01,48.35
2014-01-02,44.85
2014-01-03,46.0
2014-01-06,47.15
2014-01-07,47.7
2014-01-08,47.35
2014-01-09,45.95
2014-01-10,44.35
2014-01-13,47.6
2014-01-14,46.4
2014-01-15,44.85
2014-01-16,44.35
2014-01-17,43.5
2014-01-20,44.3
2014-01-21,44.85
2014-01-22,43.3
2014-01-23,43.7
2014-01-24,42.25
2014-01-27,39.9
2014-01-28,41.0
2014-01-29,40.7
2014-01-30,38.9
2014-01-31,37.65
2014-02-03,36.85
2014-02-04,37.6
2014-02-05,39.1
2014-02-06,41.5
2014-02-07,40.4
2014-02-10,40.25
2014-02-11,40.6
2014-02-12,41.25
2014-02-13,39.55
2014-02-14,39.1
2014-02-17,38.85
2014-02-18,38.95
2014-02-19,39.15
2014-02-20,39.35
2014-02-21,38.7
2014-02-24,38.7
2014-02-25,38.5
2014-02-26,38.8
2014-02-28,37.75
2014-03-03,37.4
2014-03-04,37.5
2014-03-05,39.3
2014-03-06,40.45
2014-03-07,40.95
2014-03-10,40.7
2014-03-11,39.65
2014-03-12,40.05
2014-03-13,41.65
2014-03-14,41.0
2014-03-18,42.4
2014-03-19,42.55
2014-03-20,41.55
2014-03-21,40.55
2014-03-22,41.3
2014-03-24,41.25
2014-03-25,40.3
2014-03-26,39.0
2014-03-27,40.45
2014-03-28,44.45
2014-03-31,45.05
2014-04-01,44.2
2014-04-02,48.35
2014-04-03,46.95
2014-04-04,47.3
2014-04-07,45.95
2014-04-09,46.7
2014-04-10,51.2
2014-04-11,50.05
2014-04-15,48.85
2014-04-16,46.95
2014-04-17,47.75
2014-04-21,47.05
2014-04-22,48.45
2014-04-23,47.3
2014-04-25,46.6
2014-04-28,46.7
2014-04-29,45.25
2014-04-30,43.7
2014-05-02,43.05
2014-05-05,44.1
2014-05-06,46.95
2014-05-07,44.4
2014-05-08,44.9
2014-05-09,43.3
2014-05-12,44.65
2014-05-13,44.6
2014-05-14,44.75
2014-05-15,44.4
2014-05-16,44.8
2014-05-19,50.7
2014-05-20,58.6
2014-05-21,61.7
2014-05-22,60.4
2014-05-23,60.55
2014-05-26,53.85
2014-05-27,57.8
2014-05-28,61.15
2014-05-29,60.55
2014-05-30,60.9
2014-06-02,60.65
2014-06-03,59.15
2014-06-04,65.9
2014-06-05,67.75
2014-06-06,81.1
2014-06-09,78.85
2014-06-10,75.85
2014-06-11,76.85
2014-06-12,79.25
2014-06-13,74.9
2014-06-16,74.3
2014-06-17,76.25
2014-06-18,75.85
2014-06-19,76.2
2014-06-20,76.75
2014-06-23,76.65
2014-06-24,82.85
2014-06-25,82.5
2014-06-26,78.2
2014-06-27,81.6
2014-06-30,80.35
2014-07-01,84.75
2014-07-02,88.7
2014-07-03,86.8
2014-07-04,85.25
2014-07-07,84.7
2014-07-08,77.8
2014-07-09,76.25
2014-07-10,74.9
2014-07-11,72.45
2014-07-14,69.15
2014-07-15,73.3
2014-07-16,74.6
2014-07-17,76.85
2014-07-18,77.9
2014-07-21,78.75
2014-07-22,79.8
2014-07-23,78.4
2014-07-24,78.1
2014-07-25,74.8
2014-07-28,74.05
2014-07-30,75.0
2014-07-31,75.5
2014-08-01,74.4
2014-08-04,74.7
2014-08-05,74.95
2014-08-06,73.95
2014-08-07,72.65
2014-08-08,69.75
2014-08-11,70.5
2014-08-12,70.7
2014-08-13,68.35
2014-08-14,68.4
2014-08-18,75.0
2014-08-19,73.65
2014-08-20,74.5
2014-08-21,77.8
2014-08-22,74.75
2014-08-25,73.1
2014-08-26,73.6
2014-08-27,74.55
2014-08-28,73.35
2014-09-01,77.9
2014-09-02,75.9
2014-09-03,74.8
2014-09-04,73.65
2014-09-05,72.75
2014-09-08,74.2
2014-09-09,77.05
2014-09-10,81.95
2014-09-11,88.0
2014-09-12,84.7
2014-09-15,87.45
2014-09-16,77.9
2014-09-17,77.4
2014-09-18,80.35
2014-09-19,79.8
2014-09-22,83.15
2014-09-23,78.75
2014-09-24,77.2
2014-09-25,70.7
2014-09-26,73.95
2014-09-29,74.7
2014-09-30,73.4
2014-10-01,72.3
2014-10-07,70.95
2014-10-08,70.45
2014-10-09,72.35
2014-10-10,70.0
2014-10-13,70.6
2014-10-14,68.9
2014-10-16,70.2
2014-10-17,70.4
2014-10-20,71.05
2014-10-21,70.9
2014-10-22,71.95
2014-10-23,72.4
2014-10-27,71.7
2014-10-28,71.8
2014-10-29,72.35
2014-10-30,72.05
2014-10-31,72.15
2014-11-03,79.7
2014-11-05,84.1
2014-11-07,81.7
2014-11-10,78.9
2014-11-11,75.55
2014-11-12,76.9
2014-11-13,73.4
2014-11-14,74.15
2014-11-17,71.8
2014-11-18,81.7
2014-11-19,77.0
2014-11-20,78.25
2014-11-21,74.45
2014-11-24,75.5
2014-11-25,72.65
2014-11-26,72.55
2014-11-27,72.8
2014-11-28,72.2
2014-12-01,70.25
2014-12-02,71.4
2014-12-03,72.05
2014-12-04,76.95
2014-12-05,77.4
2014-12-08,79.65
2014-12-09,73.85
2014-12-10,74.95
2014-12-11,72.8
2014-12-12,71.55
2014-12-15,68.45
2014-12-16,62.3
2014-12-17,62.95
2014-12-18,65.2
2014-12-19,64.85
2014-12-22,67.55
2014-12-23,66.35
2014-12-24,67.85
2014-12-26,65.55
2014-12-29,65.0
2014-12-30,64.45
2014-12-31,65.5
