Date,MANINFRA
2014-01-01,101.45
2014-01-02,102.15
2014-01-03,99.4
2014-01-06,102.25
2014-01-07,101.0
2014-01-08,102.2
2014-01-09,100.2
2014-01-10,101.0
2014-01-13,100.45
2014-01-14,101.05
2014-01-15,99.5
2014-01-16,99.45
2014-01-17,98.2
2014-01-20,99.15
2014-01-21,98.45
2014-01-22,98.55
2014-01-23,98.45
2014-01-24,97.35
2014-01-27,90.4
2014-01-28,90.0
2014-01-29,93.9
2014-01-30,92.95
2014-01-31,91.35
2014-02-03,90.5
2014-02-04,89.3
2014-02-05,89.5
2014-02-06,91.8
2014-02-07,89.35
2014-02-10,89.7
2014-02-11,89.9
2014-02-12,89.05
2014-02-13,86.75
2014-02-14,88.3
2014-02-17,88.2
2014-02-18,87.0
2014-02-19,86.0
2014-02-20,90.55
2014-02-21,90.2
2014-02-24,94.25
2014-02-25,91.8
2014-02-26,90.6
2014-02-28,91.05
2014-03-03,90.9
2014-03-04,90.45
2014-03-05,92.15
2014-03-06,90.05
2014-03-07,95.85
2014-03-10,93.6
2014-03-11,92.85
2014-03-12,93.15
2014-03-13,93.85
2014-03-14,91.2
2014-03-18,92.45
2014-03-19,91.45
2014-03-20,93.65
2014-03-21,93.1
2014-03-22,94.4
2014-03-24,93.5
2014-03-25,90.4
2014-03-26,89.05
2014-03-27,89.5
2014-03-28,89.8
2014-03-31,91.3
2014-04-01,91.4
2014-04-02,90.15
2014-04-03,89.85
2014-04-04,98.4
2014-04-07,99.85
2014-04-09,102.7
2014-04-10,110.65
2014-04-11,109.9
2014-04-15,107.4
2014-04-16,101.1
2014-04-17,102.75
2014-04-21,103.0
2014-04-22,105.9
2014-04-23,106.1
2014-04-25,101.9
2014-04-28,99.7
2014-04-29,99.75
2014-04-30,93.95
2014-05-02,95.05
2014-05-05,94.0
2014-05-06,98.85
2014-05-07,99.15
2014-05-08,96.7
2014-05-09,97.9
2014-05-12,99.75
2014-05-13,102.8
2014-05-14,110.6
2014-05-15,106.3
2014-05-16,104.1
2014-05-19,124.9
2014-05-20,129.8
2014-05-21,132.7
2014-05-22,139.3
2014-05-23,146.85
2014-05-26,144.8
2014-05-27,140.25
2014-05-28,140.2
2014-05-29,138.5
2014-05-30,137.5
2014-06-02,138.85
2014-06-03,139.75
2014-06-04,137.2
2014-06-05,137.1
2014-06-06,137.15
2014-06-09,139.65
2014-06-10,139.4
2014-06-11,137.15
2014-06-12,137.55
2014-06-13,133.95
2014-06-16,128.85
2014-06-17,137.5
2014-06-18,140.05
2014-06-19,143.8
2014-06-20,139.75
2014-06-23,140.15
2014-06-24,141.65
2014-06-25,144.5
2014-06-26,150.8
2014-06-27,180.6
2014-06-30,173.7
2014-07-01,170.3
2014-07-02,172.7
2014-07-03,170.85
2014-07-04,167.6
2014-07-07,175.15
2014-07-08,165.4
2014-07-09,159.0
2014-07-10,162.45
2014-07-11,154.7
2014-07-14,159.2
2014-07-15,158.55
2014-07-16,161.35
2014-07-17,158.5
2014-07-18,162.5
2014-07-21,166.0
2014-07-22,164.55
2014-07-23,163.6
2014-07-24,163.15
2014-07-25,158.5
2014-07-28,158.6
2014-07-30,157.85
2014-07-31,162.65
2014-08-01,157.3
2014-08-04,160.25
2014-08-05,163.65
2014-08-06,161.7
2014-08-07,157.7
2014-08-08,153.75
2014-08-11,159.9
2014-08-12,163.95
2014-08-13,161.75
2014-08-14,161.45
2014-08-18,162.0
2014-08-19,161.4
2014-08-20,159.6
2014-08-21,156.45
2014-08-22,159.0
2014-08-25,157.75
2014-08-26,157.55
2014-08-27,160.7
2014-08-28,30.65
2014-09-01,30.2
2014-09-02,29.95
2014-09-03,29.8
2014-09-04,29.8
2014-09-05,29.45
2014-09-08,29.5
2014-09-09,29.35
2014-09-10,29.5
2014-09-11,30.4
2014-09-12,29.05
2014-09-15,28.2
2014-09-16,26.75
2014-09-17,27.65
2014-09-18,28.3
2014-09-19,27.1
2014-09-22,27.7
2014-09-23,26.9
2014-09-24,26.3
2014-09-25,25.4
2014-09-26,25.4
2014-09-29,25.7
2014-09-30,26.3
2014-10-01,25.45
2014-10-07,24.4
2014-10-08,24.6
2014-10-09,25.1
2014-10-10,24.0
2014-10-13,24.15
2014-10-14,23.95
2014-10-16,23.45
2014-10-17,22.75
2014-10-20,22.45
2014-10-21,21.4
2014-10-22,22.75
2014-10-23,23.15
2014-10-27,22.95
2014-10-28,23.15
2014-10-29,23.05
2014-10-30,24.5
2014-10-31,25.4
2014-11-03,24.95
2014-11-05,25.0
2014-11-07,24.95
2014-11-10,24.8
2014-11-11,24.9
2014-11-12,24.8
2014-11-13,24.35
2014-11-14,24.85
2014-11-17,25.15
2014-11-18,24.9
2014-11-19,24.7
2014-11-20,24.25
2014-11-21,23.9
2014-11-24,27.4
2014-11-25,28.05
2014-11-26,33.3
2014-11-27,34.0
2014-11-28,32.85
2014-12-01,31.7
2014-12-02,32.15
2014-12-03,33.2
2014-12-04,32.6
2014-12-05,31.35
2014-12-08,30.35
2014-12-09,30.05
2014-12-10,28.95
2014-12-11,28.2
2014-12-12,28.2
2014-12-15,27.6
2014-12-16,26.35
2014-12-17,28.3
2014-12-18,30.25
2014-12-19,29.6
2014-12-22,30.0
2014-12-23,29.05
2014-12-24,29.45
2014-12-26,30.8
2014-12-29,30.7
2014-12-30,30.5
2014-12-31,30.3
