Date,NOCIL
2014-01-01,15.05
2014-01-02,15.15
2014-01-03,15.05
2014-01-06,15.85
2014-01-07,15.45
2014-01-08,15.4
2014-01-09,15.3
2014-01-10,15.1
2014-01-13,14.95
2014-01-14,14.9
2014-01-15,14.8
2014-01-16,14.7
2014-01-17,14.55
2014-01-20,14.55
2014-01-21,14.5
2014-01-22,14.5
2014-01-23,14.4
2014-01-24,14.15
2014-01-27,13.95
2014-01-28,13.9
2014-01-29,13.9
2014-01-30,13.85
2014-01-31,13.85
2014-02-03,13.75
2014-02-04,13.8
2014-02-05,13.75
2014-02-06,14.2
2014-02-07,13.9
2014-02-10,13.85
2014-02-11,14.15
2014-02-12,14.25
2014-02-13,14.0
2014-02-14,14.3
2014-02-17,14.05
2014-02-18,14.15
2014-02-19,14.05
2014-02-20,13.9
2014-02-21,14.2
2014-02-24,14.45
2014-02-25,14.3
2014-02-26,14.25
2014-02-28,14.3
2014-03-03,14.05
2014-03-04,14.15
2014-03-05,14.1
2014-03-06,14.45
2014-03-07,14.65
2014-03-10,14.5
2014-03-11,14.25
2014-03-12,14.25
2014-03-13,14.25
2014-03-14,14.05
2014-03-18,14.2
2014-03-19,14.25
2014-03-20,14.3
2014-03-21,14.7
2014-03-22,14.65
2014-03-24,14.55
2014-03-25,14.4
2014-03-26,14.65
2014-03-27,15.1
2014-03-28,15.1
2014-03-31,15.5
2014-04-01,15.4
2014-04-02,16.0
2014-04-03,16.15
2014-04-04,17.05
2014-04-07,18.0
2014-04-09,17.8
2014-04-10,17.6
2014-04-11,17.95
2014-04-15,17.95
2014-04-16,17.1
2014-04-17,17.5
2014-04-21,18.5
2014-04-22,18.3
2014-04-23,18.9
2014-04-25,18.55
2014-04-28,18.2
2014-04-29,18.75
2014-04-30,18.7
2014-05-02,17.85
2014-05-05,18.05
2014-05-06,19.2
2014-05-07,18.95
2014-05-08,18.25
2014-05-09,18.25
2014-05-12,18.05
2014-05-13,18.45
2014-05-14,18.4
2014-05-15,17.85
2014-05-16,17.75
2014-05-19,19.2
2014-05-20,21.45
2014-05-21,23.1
2014-05-22,22.8
2014-05-23,22.8
2014-05-26,21.8
2014-05-27,23.25
2014-05-28,24.2
2014-05-29,23.25
2014-05-30,23.05
2014-06-02,26.75
2014-06-03,25.8
2014-06-04,26.35
2014-06-05,26.6
2014-06-06,26.1
2014-06-09,26.9
2014-06-10,26.75
2014-06-11,25.95
2014-06-12,26.25
2014-06-13,24.0
2014-06-16,24.4
2014-06-17,25.15
2014-06-18,24.65
2014-06-19,24.1
2014-06-20,23.5
2014-06-23,23.05
2014-06-24,24.65
2014-06-25,24.7
2014-06-26,24.7
2014-06-27,24.35
2014-06-30,24.7
2014-07-01,24.6
2014-07-02,24.6
2014-07-03,23.8
2014-07-04,25.0
2014-07-07,25.15
2014-07-08,22.85
2014-07-09,22.3
2014-07-10,22.65
2014-07-11,21.2
2014-07-14,21.5
2014-07-15,22.45
2014-07-16,22.5
2014-07-17,22.75
2014-07-18,22.5
2014-07-21,23.1
2014-07-22,22.7
2014-07-23,23.05
2014-07-24,23.65
2014-07-25,22.7
2014-07-28,22.0
2014-07-30,21.85
2014-07-31,22.6
2014-08-01,22.75
2014-08-04,24.15
2014-08-05,23.95
2014-08-06,25.2
2014-08-07,24.95
2014-08-08,23.35
2014-08-11,24.1
2014-08-12,24.1
2014-08-13,26.0
2014-08-14,25.8
2014-08-18,27.45
2014-08-19,28.7
2014-08-20,29.85
2014-08-21,28.9
2014-08-22,29.45
2014-08-25,30.8
2014-08-26,33.3
2014-08-27,33.25
2014-08-28,33.8
2014-09-01,34.2
2014-09-02,38.15
2014-09-03,38.25
2014-09-04,37.65
2014-09-05,38.65
2014-09-08,42.5
2014-09-09,44.05
2014-09-10,43.6
2014-09-11,42.9
2014-09-12,41.35
2014-09-15,41.55
2014-09-16,37.45
2014-09-17,41.15
2014-09-18,45.25
2014-09-19,44.15
2014-09-22,44.3
2014-09-23,40.95
2014-09-24,40.65
2014-09-25,39.15
2014-09-26,42.05
2014-09-29,42.55
2014-09-30,41.3
2014-10-01,42.2
2014-10-07,42.25
2014-10-08,41.7
2014-10-09,43.35
2014-10-10,41.65
2014-10-13,41.7
2014-10-14,40.0
2014-10-16,37.05
2014-10-17,38.05
2014-10-20,38.6
2014-10-21,38.8
2014-10-22,43.35
2014-10-23,43.3
2014-10-27,41.2
2014-10-28,42.15
2014-10-29,42.3
2014-10-30,41.75
2014-10-31,43.45
2014-11-03,47.5
2014-11-05,47.0
2014-11-07,45.75
2014-11-10,45.7
2014-11-11,45.85
2014-11-12,46.45
2014-11-13,44.95
2014-11-14,44.85
2014-11-17,44.2
2014-11-18,42.95
2014-11-19,41.55
2014-11-20,41.05
2014-11-21,41.8
2014-11-24,40.85
2014-11-25,39.0
2014-11-26,40.05
2014-11-27,39.8
2014-11-28,38.9
2014-12-01,38.3
2014-12-02,39.95
2014-12-03,41.1
2014-12-04,40.2
2014-12-05,39.8
2014-12-08,39.3
2014-12-09,38.15
2014-12-10,38.8
2014-12-11,38.0
2014-12-12,36.7
2014-12-15,35.3
2014-12-16,33.65
2014-12-17,32.7
2014-12-18,36.55
2014-12-19,34.6
2014-12-22,33.95
2014-12-23,32.9
2014-12-24,34.2
2014-12-26,33.45
2014-12-29,33.65
2014-12-30,33.65
2014-12-31,35.2
