Date,GRAPHITE
2014-01-01,80.0
2014-01-02,79.5
2014-01-03,79.6
2014-01-06,79.3
2014-01-07,79.4
2014-01-08,79.25
2014-01-09,78.45
2014-01-10,81.55
2014-01-13,80.1
2014-01-14,79.9
2014-01-15,79.0
2014-01-16,79.25
2014-01-17,78.9
2014-01-20,79.55
2014-01-21,79.6
2014-01-22,83.45
2014-01-23,81.3
2014-01-24,78.6
2014-01-27,74.75
2014-01-28,73.75
2014-01-29,73.0
2014-01-30,70.05
2014-01-31,69.6
2014-02-03,69.5
2014-02-04,73.05
2014-02-05,76.8
2014-02-06,78.0
2014-02-07,78.9
2014-02-10,80.0
2014-02-11,80.5
2014-02-12,80.0
2014-02-13,80.0
2014-02-14,80.15
2014-02-17,80.0
2014-02-18,80.1
2014-02-19,80.95
2014-02-20,79.95
2014-02-21,80.1
2014-02-24,80.15
2014-02-25,80.35
2014-02-26,80.0
2014-02-28,80.15
2014-03-03,80.05
2014-03-04,80.1
2014-03-05,80.1
2014-03-06,80.15
2014-03-07,79.35
2014-03-10,80.25
2014-03-11,82.05
2014-03-12,80.3
2014-03-13,80.6
2014-03-14,80.7
2014-03-18,80.35
2014-03-19,80.35
2014-03-20,81.2
2014-03-21,81.85
2014-03-22,81.85
2014-03-24,81.25
2014-03-25,81.05
2014-03-26,81.1
2014-03-27,82.35
2014-03-28,81.5
2014-03-31,89.05
2014-04-01,86.3
2014-04-02,87.5
2014-04-03,85.4
2014-04-04,84.5
2014-04-07,84.1
2014-04-09,89.05
2014-04-10,86.85
2014-04-11,91.2
2014-04-15,89.6
2014-04-16,91.0
2014-04-17,90.2
2014-04-21,90.85
2014-04-22,90.1
2014-04-23,88.45
2014-04-25,86.9
2014-04-28,86.0
2014-04-29,84.3
2014-04-30,84.35
2014-05-02,85.15
2014-05-05,88.65
2014-05-06,86.4
2014-05-07,85.65
2014-05-08,85.35
2014-05-09,88.9
2014-05-12,84.5
2014-05-13,84.8
2014-05-14,84.6
2014-05-15,83.65
2014-05-16,82.8
2014-05-19,89.7
2014-05-20,92.15
2014-05-21,95.95
2014-05-22,94.25
2014-05-23,94.9
2014-05-26,89.7
2014-05-27,89.55
2014-05-28,90.7
2014-05-29,90.2
2014-05-30,81.45
2014-06-02,89.9
2014-06-03,93.5
2014-06-04,101.15
2014-06-05,100.75
2014-06-06,100.2
2014-06-09,113.45
2014-06-10,118.2
2014-06-11,112.7
2014-06-12,109.1
2014-06-13,113.45
2014-06-16,114.2
2014-06-17,113.35
2014-06-18,112.05
2014-06-19,112.35
2014-06-20,109.15
2014-06-23,107.1
2014-06-24,106.9
2014-06-25,106.45
2014-06-26,105.75
2014-06-27,105.6
2014-06-30,105.7
2014-07-01,105.55
2014-07-02,113.25
2014-07-03,112.55
2014-07-04,114.9
2014-07-07,116.95
2014-07-08,109.95
2014-07-09,107.7
2014-07-10,108.5
2014-07-11,107.05
2014-07-14,100.25
2014-07-15,102.15
2014-07-16,107.1
2014-07-17,109.0
2014-07-18,107.85
2014-07-21,111.75
2014-07-22,112.05
2014-07-23,112.85
2014-07-24,115.5
2014-07-25,110.7
2014-07-28,108.35
2014-07-30,107.3
2014-07-31,109.85
2014-08-01,109.15
2014-08-04,109.55
2014-08-05,111.1
2014-08-06,111.0
2014-08-07,110.85
2014-08-08,110.35
2014-08-11,111.55
2014-08-12,102.65
2014-08-13,96.35
2014-08-14,92.75
2014-08-18,98.7
2014-08-19,100.65
2014-08-20,99.25
2014-08-21,100.8
2014-08-22,101.7
2014-08-25,98.75
2014-08-26,98.9
2014-08-27,101.0
2014-08-28,104.1
2014-09-01,101.65
2014-09-02,107.85
2014-09-03,102.25
2014-09-04,102.7
2014-09-05,102.6
2014-09-08,109.1
2014-09-09,107.35
2014-09-10,107.85
2014-09-11,107.8
2014-09-12,108.75
2014-09-15,107.9
2014-09-16,102.1
2014-09-17,101.65
2014-09-18,103.15
2014-09-19,102.2
2014-09-22,101.85
2014-09-23,102.65
2014-09-24,99.1
2014-09-25,95.2
2014-09-26,96.75
2014-09-29,97.35
2014-09-30,101.55
2014-10-01,97.45
2014-10-07,96.05
2014-10-08,94.9
2014-10-09,95.55
2014-10-10,94.5
2014-10-13,93.55
2014-10-14,92.15
2014-10-16,88.8
2014-10-17,89.9
2014-10-20,90.0
2014-10-21,90.7
2014-10-22,90.45
2014-10-23,91.7
2014-10-27,91.2
2014-10-28,92.85
2014-10-29,92.35
2014-10-30,92.9
2014-10-31,94.4
2014-11-03,95.3
2014-11-05,95.05
2014-11-07,91.65
2014-11-10,86.3
2014-11-11,90.1
2014-11-12,88.05
2014-11-13,89.3
2014-11-14,88.1
2014-11-17,87.5
2014-11-18,87.5
2014-11-19,86.5
2014-11-20,86.9
2014-11-21,86.05
2014-11-24,86.05
2014-11-25,83.95
2014-11-26,84.55
2014-11-27,84.35
2014-11-28,84.75
2014-12-01,84.95
2014-12-02,87.5
2014-12-03,87.65
2014-12-04,89.9
2014-12-05,90.2
2014-12-08,91.35
2014-12-09,88.25
2014-12-10,88.5
2014-12-11,86.4
2014-12-12,84.95
2014-12-15,84.05
2014-12-16,82.15
2014-12-17,82.1
2014-12-18,82.95
2014-12-19,83.1
2014-12-22,85.25
2014-12-23,87.95
2014-12-24,87.15
2014-12-26,86.8
2014-12-29,86.8
2014-12-30,90.2
2014-12-31,90.95
