Date,INDRAMEDCO
2014-01-01,37.15
2014-01-02,35.95
2014-01-03,36.05
2014-01-06,36.65
2014-01-07,35.95
2014-01-08,36.95
2014-01-09,37.0
2014-01-10,36.45
2014-01-13,36.0
2014-01-14,35.8
2014-01-15,36.4
2014-01-16,35.85
2014-01-17,36.15
2014-01-20,35.95
2014-01-21,35.9
2014-01-22,36.85
2014-01-23,36.95
2014-01-24,36.25
2014-01-27,35.65
2014-01-28,36.2
2014-01-29,34.55
2014-01-30,34.0
2014-01-31,33.9
2014-02-03,34.1
2014-02-04,34.4
2014-02-05,34.0
2014-02-06,34.1
2014-02-07,34.2
2014-02-10,35.0
2014-02-11,35.0
2014-02-12,34.85
2014-02-13,34.9
2014-02-14,34.0
2014-02-17,34.7
2014-02-18,35.0
2014-02-19,34.8
2014-02-20,35.0
2014-02-21,35.05
2014-02-24,34.8
2014-02-25,34.8
2014-02-26,34.8
2014-02-28,34.9
2014-03-03,34.85
2014-03-04,34.9
2014-03-05,34.9
2014-03-06,35.0
2014-03-07,35.05
2014-03-10,35.35
2014-03-11,35.05
2014-03-12,35.0
2014-03-13,34.9
2014-03-14,34.9
2014-03-18,34.75
2014-03-19,35.0
2014-03-20,34.7
2014-03-21,34.85
2014-03-22,34.8
2014-03-24,34.9
2014-03-25,34.9
2014-03-26,34.85
2014-03-27,35.05
2014-03-28,35.2
2014-03-31,38.85
2014-04-01,37.85
2014-04-02,39.6
2014-04-03,39.9
2014-04-04,39.75
2014-04-07,39.35
2014-04-09,39.4
2014-04-10,41.05
2014-04-11,40.35
2014-04-15,40.4
2014-04-16,39.55
2014-04-17,39.4
2014-04-21,39.55
2014-04-22,39.5
2014-04-23,40.25
2014-04-25,38.9
2014-04-28,38.25
2014-04-29,38.7
2014-04-30,37.95
2014-05-02,37.95
2014-05-05,37.3
2014-05-06,37.3
2014-05-07,37.35
2014-05-08,36.95
2014-05-09,37.45
2014-05-12,37.55
2014-05-13,37.2
2014-05-14,37.7
2014-05-15,37.1
2014-05-16,37.55
2014-05-19,38.95
2014-05-20,40.55
2014-05-21,40.75
2014-05-22,42.25
2014-05-23,42.75
2014-05-26,39.5
2014-05-27,39.15
2014-05-28,40.85
2014-05-29,40.95
2014-05-30,40.55
2014-06-02,40.3
2014-06-03,40.55
2014-06-04,41.35
2014-06-05,44.3
2014-06-06,43.95
2014-06-09,44.0
2014-06-10,48.05
2014-06-11,46.95
2014-06-12,45.95
2014-06-13,44.0
2014-06-16,44.9
2014-06-17,45.9
2014-06-18,44.45
2014-06-19,44.6
2014-06-20,43.0
2014-06-23,43.85
2014-06-24,44.6
2014-06-25,45.9
2014-06-26,44.8
2014-06-27,44.55
2014-06-30,45.5
2014-07-01,45.85
2014-07-02,45.75
2014-07-03,46.1
2014-07-04,46.05
2014-07-07,45.15
2014-07-08,43.6
2014-07-09,43.05
2014-07-10,43.8
2014-07-11,42.35
2014-07-14,43.05
2014-07-15,42.85
2014-07-16,43.3
2014-07-17,44.15
2014-07-18,43.85
2014-07-21,43.95
2014-07-22,45.45
2014-07-23,44.6
2014-07-24,44.05
2014-07-25,43.55
2014-07-28,43.1
2014-07-30,43.1
2014-07-31,42.6
2014-08-01,42.55
2014-08-04,42.65
2014-08-05,43.05
2014-08-06,42.75
2014-08-07,42.6
2014-08-08,42.1
2014-08-11,42.55
2014-08-12,42.95
2014-08-13,45.05
2014-08-14,45.2
2014-08-18,44.8
2014-08-19,47.05
2014-08-20,47.4
2014-08-21,45.75
2014-08-22,46.75
2014-08-25,46.5
2014-08-26,46.4
2014-08-27,46.05
2014-08-28,45.95
2014-09-01,46.3
2014-09-02,46.3
2014-09-03,45.35
2014-09-04,45.7
2014-09-05,46.4
2014-09-08,47.25
2014-09-09,48.45
2014-09-10,56.9
2014-09-11,55.75
2014-09-12,59.75
2014-09-15,59.15
2014-09-16,53.8
2014-09-17,52.8
2014-09-18,55.5
2014-09-19,54.25
2014-09-22,53.8
2014-09-23,51.9
2014-09-24,49.6
2014-09-25,46.75
2014-09-26,47.6
2014-09-29,52.65
2014-09-30,51.35
2014-10-01,52.6
2014-10-07,50.85
2014-10-08,50.1
2014-10-09,50.9
2014-10-10,50.15
2014-10-13,49.65
2014-10-14,49.3
2014-10-16,49.95
2014-10-17,49.2
2014-10-20,49.5
2014-10-21,49.15
2014-10-22,49.8
2014-10-23,50.75
2014-10-27,50.25
2014-10-28,50.0
2014-10-29,51.15
2014-10-30,50.65
2014-10-31,50.35
2014-11-03,50.15
2014-11-05,52.35
2014-11-07,56.4
2014-11-10,52.55
2014-11-11,52.9
2014-11-12,51.85
2014-11-13,51.2
2014-11-14,50.9
2014-11-17,52.1
2014-11-18,51.95
2014-11-19,51.6
2014-11-20,50.8
2014-11-21,50.2
2014-11-24,50.65
2014-11-25,49.15
2014-11-26,49.95
2014-11-27,49.6
2014-11-28,50.7
2014-12-01,50.0
2014-12-02,51.1
2014-12-03,52.25
2014-12-04,51.45
2014-12-05,54.0
2014-12-08,56.15
2014-12-09,57.1
2014-12-10,57.55
2014-12-11,55.9
2014-12-12,54.7
2014-12-15,55.0
2014-12-16,53.0
2014-12-17,52.55
2014-12-18,56.75
2014-12-19,56.5
2014-12-22,56.85
2014-12-23,55.0
2014-12-24,57.8
2014-12-26,57.2
2014-12-29,56.85
2014-12-30,57.7
2014-12-31,56.85
