Date,KAJARIACER
2014-01-01,306.0
2014-01-02,295.85
2014-01-03,294.95
2014-01-06,294.3
2014-01-07,301.65
2014-01-08,295.45
2014-01-09,298.5
2014-01-10,297.1
2014-01-13,299.5
2014-01-14,301.2
2014-01-15,303.2
2014-01-16,301.2
2014-01-17,295.5
2014-01-20,307.35
2014-01-21,297.45
2014-01-22,311.2
2014-01-23,317.25
2014-01-24,317.7
2014-01-27,314.45
2014-01-28,312.85
2014-01-29,314.35
2014-01-30,314.75
2014-01-31,307.7
2014-02-03,313.55
2014-02-04,319.0
2014-02-05,324.0
2014-02-06,322.45
2014-02-07,323.85
2014-02-10,318.6
2014-02-11,321.5
2014-02-12,324.5
2014-02-13,316.9
2014-02-14,318.3
2014-02-17,309.95
2014-02-18,319.45
2014-02-19,316.65
2014-02-20,310.35
2014-02-21,315.35
2014-02-24,312.3
2014-02-25,315.7
2014-02-26,310.2
2014-02-28,308.15
2014-03-03,303.25
2014-03-04,306.0
2014-03-05,303.9
2014-03-06,309.05
2014-03-07,309.3
2014-03-10,314.5
2014-03-11,309.9
2014-03-12,319.3
2014-03-13,316.95
2014-03-14,321.35
2014-03-18,319.75
2014-03-19,327.65
2014-03-20,339.1
2014-03-21,338.95
2014-03-22,341.1
2014-03-24,340.05
2014-03-25,339.75
2014-03-26,340.5
2014-03-27,347.1
2014-03-28,351.5
2014-03-31,349.25
2014-04-01,352.75
2014-04-02,355.35
2014-04-03,361.3
2014-04-04,363.1
2014-04-07,364.2
2014-04-09,368.1
2014-04-10,376.1
2014-04-11,378.4
2014-04-15,386.25
2014-04-16,392.85
2014-04-17,401.05
2014-04-21,417.45
2014-04-22,417.15
2014-04-23,421.65
2014-04-25,431.9
2014-04-28,439.35
2014-04-29,440.8
2014-04-30,447.7
2014-05-02,456.75
2014-05-05,463.4
2014-05-06,464.95
2014-05-07,482.6
2014-05-08,489.05
2014-05-09,490.8
2014-05-12,493.7
2014-05-13,490.0
2014-05-14,491.3
2014-05-15,495.1
2014-05-16,519.25
2014-05-19,532.85
2014-05-20,553.45
2014-05-21,570.95
2014-05-22,578.35
2014-05-23,574.15
2014-05-26,543.95
2014-05-27,546.3
2014-05-28,526.6
2014-05-29,541.15
2014-05-30,542.6
2014-06-02,571.5
2014-06-03,582.25
2014-06-04,595.05
2014-06-05,593.85
2014-06-06,585.35
2014-06-09,584.45
2014-06-10,570.0
2014-06-11,567.9
2014-06-12,563.35
2014-06-13,557.3
2014-06-16,539.2
2014-06-17,535.15
2014-06-18,511.2
2014-06-19,501.15
2014-06-20,504.9
2014-06-23,506.55
2014-06-24,520.85
2014-06-25,536.55
2014-06-26,521.25
2014-06-27,521.7
2014-06-30,529.85
2014-07-01,534.5
2014-07-02,555.95
2014-07-03,545.05
2014-07-04,557.35
2014-07-07,552.25
2014-07-08,533.55
2014-07-09,527.6
2014-07-10,547.45
2014-07-11,531.4
2014-07-14,526.35
2014-07-15,528.45
2014-07-16,526.4
2014-07-17,554.55
2014-07-18,555.0
2014-07-21,573.05
2014-07-22,584.65
2014-07-23,596.7
2014-07-24,608.7
2014-07-25,621.0
2014-07-28,619.35
2014-07-30,623.35
2014-07-31,625.8
2014-08-01,625.3
2014-08-04,634.3
2014-08-05,636.95
2014-08-06,619.6
2014-08-07,613.35
2014-08-08,601.15
2014-08-11,604.2
2014-08-12,602.25
2014-08-13,595.3
2014-08-14,601.5
2014-08-18,610.0
2014-08-19,636.15
2014-08-20,635.7
2014-08-21,639.15
2014-08-22,643.5
2014-08-25,634.5
2014-08-26,630.1
2014-08-27,646.65
2014-08-28,655.3
2014-09-01,672.4
2014-09-02,677.75
2014-09-03,669.65
2014-09-04,670.5
2014-09-05,673.3
2014-09-08,667.35
2014-09-09,679.4
2014-09-10,669.0
2014-09-11,653.7
2014-09-12,656.3
2014-09-15,648.3
2014-09-16,647.0
2014-09-17,644.7
2014-09-18,642.1
2014-09-19,627.6
2014-09-22,634.3
2014-09-23,627.55
2014-09-24,617.1
2014-09-25,623.15
2014-09-26,610.0
2014-09-29,636.2
2014-09-30,635.6
2014-10-01,646.2
2014-10-07,664.45
2014-10-08,664.45
2014-10-09,666.75
2014-10-10,667.9
2014-10-13,658.05
2014-10-14,644.4
2014-10-16,620.45
2014-10-17,618.55
2014-10-20,619.8
2014-10-21,618.55
2014-10-22,618.95
2014-10-23,631.75
2014-10-27,610.1
2014-10-28,596.05
2014-10-29,606.25
2014-10-30,610.35
2014-10-31,601.05
2014-11-03,600.0
2014-11-05,589.9
2014-11-07,590.8
2014-11-10,591.85
2014-11-11,594.0
2014-11-12,598.6
2014-11-13,591.75
2014-11-14,596.45
2014-11-17,598.95
2014-11-18,599.1
2014-11-19,606.8
2014-11-20,600.9
2014-11-21,604.6
2014-11-24,600.25
2014-11-25,604.9
2014-11-26,598.95
2014-11-27,592.9
2014-11-28,596.8
2014-12-01,597.8
2014-12-02,593.45
2014-12-03,596.7
2014-12-04,596.6
2014-12-05,593.35
2014-12-08,586.1
2014-12-09,584.95
2014-12-10,581.8
2014-12-11,578.9
2014-12-12,573.1
2014-12-15,570.0
2014-12-16,562.85
2014-12-17,547.75
2014-12-18,542.25
2014-12-19,563.1
2014-12-22,557.05
2014-12-23,559.35
2014-12-24,558.0
2014-12-26,557.0
2014-12-29,564.15
2014-12-30,564.95
2014-12-31,592.9
