Date,IDEA
2014-01-01,168.05
2014-01-02,160.6
2014-01-03,162.5
2014-01-06,159.25
2014-01-07,162.1
2014-01-08,161.5
2014-01-09,160.45
2014-01-10,161.2
2014-01-13,161.9
2014-01-14,167.25
2014-01-15,168.1
2014-01-16,156.05
2014-01-17,151.0
2014-01-20,153.95
2014-01-21,152.9
2014-01-22,153.8
2014-01-23,154.2
2014-01-24,152.45
2014-01-27,144.8
2014-01-28,139.2
2014-01-29,139.9
2014-01-30,140.45
2014-01-31,143.5
2014-02-03,140.2
2014-02-04,151.25
2014-02-05,144.25
2014-02-06,145.15
2014-02-07,138.1
2014-02-10,126.45
2014-02-11,129.75
2014-02-12,133.15
2014-02-13,131.7
2014-02-14,132.6
2014-02-17,130.5
2014-02-18,131.05
2014-02-19,133.5
2014-02-20,130.35
2014-02-21,128.65
2014-02-24,128.25
2014-02-25,127.3
2014-02-26,126.0
2014-02-28,128.9
2014-03-03,130.75
2014-03-04,132.45
2014-03-05,131.6
2014-03-06,132.0
2014-03-07,135.65
2014-03-10,140.3
2014-03-11,140.15
2014-03-12,141.9
2014-03-13,139.95
2014-03-14,136.75
2014-03-18,137.05
2014-03-19,137.1
2014-03-20,137.75
2014-03-21,133.9
2014-03-22,135.05
2014-03-24,135.4
2014-03-25,135.3
2014-03-26,135.3
2014-03-27,138.65
2014-03-28,139.55
2014-03-31,137.45
2014-04-01,137.55
2014-04-02,143.25
2014-04-03,140.15
2014-04-04,140.05
2014-04-07,146.6
2014-04-09,145.95
2014-04-10,144.3
2014-04-11,142.85
2014-04-15,140.1
2014-04-16,137.7
2014-04-17,140.1
2014-04-21,142.75
2014-04-22,141.85
2014-04-23,138.05
2014-04-25,140.45
2014-04-28,140.6
2014-04-29,140.75
2014-04-30,134.7
2014-05-02,134.2
2014-05-05,130.4
2014-05-06,130.7
2014-05-07,130.25
2014-05-08,131.35
2014-05-09,135.8
2014-05-12,138.5
2014-05-13,139.45
2014-05-14,139.95
2014-05-15,140.8
2014-05-16,142.45
2014-05-19,142.0
2014-05-20,147.1
2014-05-21,142.25
2014-05-22,139.75
2014-05-23,139.8
2014-05-26,136.2
2014-05-27,134.7
2014-05-28,135.65
2014-05-29,133.4
2014-05-30,137.85
2014-06-02,139.85
2014-06-03,140.0
2014-06-04,135.9
2014-06-05,136.35
2014-06-06,140.8
2014-06-09,146.65
2014-06-10,145.3
2014-06-11,143.75
2014-06-12,141.5
2014-06-13,135.3
2014-06-16,136.15
2014-06-17,141.1
2014-06-18,143.25
2014-06-19,137.7
2014-06-20,138.9
2014-06-23,138.25
2014-06-24,137.0
2014-06-25,133.25
2014-06-26,135.55
2014-06-27,130.55
2014-06-30,132.45
2014-07-01,133.4
2014-07-02,137.1
2014-07-03,135.15
2014-07-04,135.0
2014-07-07,136.6
2014-07-08,133.4
2014-07-09,133.65
2014-07-10,133.75
2014-07-11,134.35
2014-07-14,135.05
2014-07-15,135.9
2014-07-16,139.55
2014-07-17,140.7
2014-07-18,138.25
2014-07-21,139.75
2014-07-22,146.75
2014-07-23,149.05
2014-07-24,151.55
2014-07-25,149.5
2014-07-28,148.9
2014-07-30,156.65
2014-07-31,156.85
2014-08-01,157.85
2014-08-04,163.6
2014-08-05,161.05
2014-08-06,156.5
2014-08-07,159.65
2014-08-08,159.95
2014-08-11,159.6
2014-08-12,154.8
2014-08-13,154.05
2014-08-14,156.95
2014-08-18,161.05
2014-08-19,160.6
2014-08-20,156.1
2014-08-21,156.85
2014-08-22,155.7
2014-08-25,154.7
2014-08-26,154.25
2014-08-27,157.4
2014-08-28,161.9
2014-09-01,167.25
2014-09-02,172.6
2014-09-03,172.3
2014-09-04,167.75
2014-09-05,166.0
2014-09-08,166.5
2014-09-09,174.75
2014-09-10,170.1
2014-09-11,170.8
2014-09-12,173.9
2014-09-15,169.3
2014-09-16,165.85
2014-09-17,163.95
2014-09-18,168.2
2014-09-19,173.25
2014-09-22,174.85
2014-09-23,173.25
2014-09-24,168.25
2014-09-25,170.05
2014-09-26,166.3
2014-09-29,163.4
2014-09-30,166.1
2014-10-01,166.9
2014-10-07,166.2
2014-10-08,158.15
2014-10-09,160.4
2014-10-10,152.8
2014-10-13,156.25
2014-10-14,153.85
2014-10-16,146.9
2014-10-17,154.2
2014-10-20,161.45
2014-10-21,161.45
2014-10-22,160.25
2014-10-23,160.95
2014-10-27,156.85
2014-10-28,155.0
2014-10-29,159.35
2014-10-30,159.75
2014-10-31,162.75
2014-11-03,162.25
2014-11-05,163.6
2014-11-07,168.25
2014-11-10,167.05
2014-11-11,165.0
2014-11-12,164.6
2014-11-13,162.85
2014-11-14,162.4
2014-11-17,164.4
2014-11-18,168.4
2014-11-19,167.1
2014-11-20,171.6
2014-11-21,172.1
2014-11-24,168.1
2014-11-25,163.0
2014-11-26,163.05
2014-11-27,164.7
2014-11-28,158.7
2014-12-01,160.0
2014-12-02,163.8
2014-12-03,163.15
2014-12-04,158.9
2014-12-05,153.0
2014-12-08,146.95
2014-12-09,145.8
2014-12-10,142.2
2014-12-11,144.5
2014-12-12,142.6
2014-12-15,140.0
2014-12-16,143.25
2014-12-17,143.35
2014-12-18,145.25
2014-12-19,146.25
2014-12-22,149.6
2014-12-23,149.6
2014-12-24,149.2
2014-12-26,150.1
2014-12-29,150.9
2014-12-30,150.05
2014-12-31,153.8
