Date,SUNTV
2014-01-01,384.6
2014-01-02,367.25
2014-01-03,370.25
2014-01-06,377.1
2014-01-07,374.15
2014-01-08,372.25
2014-01-09,371.55
2014-01-10,365.05
2014-01-13,365.15
2014-01-14,362.4
2014-01-15,360.8
2014-01-16,364.2
2014-01-17,357.8
2014-01-20,362.45
2014-01-21,365.7
2014-01-22,366.45
2014-01-23,362.45
2014-01-24,356.7
2014-01-27,351.6
2014-01-28,350.15
2014-01-29,355.85
2014-01-30,354.7
2014-01-31,360.5
2014-02-03,360.75
2014-02-04,355.75
2014-02-05,363.85
2014-02-06,363.45
2014-02-07,362.8
2014-02-10,358.6
2014-02-11,352.65
2014-02-12,350.9
2014-02-13,336.05
2014-02-14,329.2
2014-02-17,331.0
2014-02-18,326.05
2014-02-19,337.05
2014-02-20,340.1
2014-02-21,353.2
2014-02-24,364.9
2014-02-25,369.1
2014-02-26,358.2
2014-02-28,370.6
2014-03-03,365.1
2014-03-04,370.05
2014-03-05,375.4
2014-03-06,386.05
2014-03-07,390.8
2014-03-10,387.8
2014-03-11,391.65
2014-03-12,394.9
2014-03-13,380.85
2014-03-14,376.85
2014-03-18,388.15
2014-03-19,378.85
2014-03-20,386.1
2014-03-21,379.9
2014-03-22,381.65
2014-03-24,378.5
2014-03-25,390.65
2014-03-26,390.95
2014-03-27,397.7
2014-03-28,390.4
2014-03-31,401.75
2014-04-01,405.4
2014-04-02,405.9
2014-04-03,396.85
2014-04-04,404.95
2014-04-07,400.9
2014-04-09,403.55
2014-04-10,399.8
2014-04-11,395.95
2014-04-15,399.45
2014-04-16,394.8
2014-04-17,400.15
2014-04-21,392.25
2014-04-22,388.65
2014-04-23,394.95
2014-04-25,397.7
2014-04-28,393.0
2014-04-29,378.3
2014-04-30,376.0
2014-05-02,377.5
2014-05-05,368.45
2014-05-06,366.65
2014-05-07,363.85
2014-05-08,363.75
2014-05-09,363.6
2014-05-12,360.1
2014-05-13,378.95
2014-05-14,371.15
2014-05-15,370.65
2014-05-16,388.2
2014-05-19,402.95
2014-05-20,425.9
2014-05-21,412.25
2014-05-22,434.6
2014-05-23,426.1
2014-05-26,413.9
2014-05-27,413.65
2014-05-28,410.3
2014-05-29,415.85
2014-05-30,413.25
2014-06-02,419.05
2014-06-03,424.95
2014-06-04,425.85
2014-06-05,431.4
2014-06-06,427.25
2014-06-09,464.7
2014-06-10,459.85
2014-06-11,445.4
2014-06-12,448.1
2014-06-13,443.75
2014-06-16,443.8
2014-06-17,434.6
2014-06-18,421.5
2014-06-19,419.95
2014-06-20,429.9
2014-06-23,442.4
2014-06-24,440.1
2014-06-25,441.4
2014-06-26,452.55
2014-06-27,452.9
2014-06-30,458.95
2014-07-01,461.35
2014-07-02,464.4
2014-07-03,462.8
2014-07-04,468.95
2014-07-07,470.35
2014-07-08,465.75
2014-07-09,455.8
2014-07-10,449.75
2014-07-11,442.7
2014-07-14,431.95
2014-07-15,439.4
2014-07-16,448.6
2014-07-17,452.35
2014-07-18,447.5
2014-07-21,463.75
2014-07-22,461.3
2014-07-23,426.45
2014-07-24,407.05
2014-07-25,410.45
2014-07-28,401.65
2014-07-30,405.8
2014-07-31,424.75
2014-08-01,405.9
2014-08-04,408.25
2014-08-05,417.05
2014-08-06,419.0
2014-08-07,422.4
2014-08-08,419.2
2014-08-11,397.75
2014-08-12,395.85
2014-08-13,373.75
2014-08-14,369.35
2014-08-18,369.95
2014-08-19,365.2
2014-08-20,372.95
2014-08-21,368.6
2014-08-22,364.75
2014-08-25,362.1
2014-08-26,359.5
2014-08-27,354.55
2014-08-28,352.2
2014-09-01,368.05
2014-09-02,364.4
2014-09-03,371.35
2014-09-04,365.45
2014-09-05,362.2
2014-09-08,353.2
2014-09-09,350.0
2014-09-10,351.45
2014-09-11,346.85
2014-09-12,348.6
2014-09-15,359.55
2014-09-16,348.0
2014-09-17,340.9
2014-09-18,341.85
2014-09-19,343.6
2014-09-22,332.8
2014-09-23,331.6
2014-09-24,322.05
2014-09-25,321.65
2014-09-26,322.75
2014-09-29,332.75
2014-09-30,338.15
2014-10-01,342.75
2014-10-07,335.5
2014-10-08,341.75
2014-10-09,340.1
2014-10-10,334.7
2014-10-13,326.2
2014-10-14,307.75
2014-10-16,306.1
2014-10-17,307.8
2014-10-20,310.15
2014-10-21,309.95
2014-10-22,309.15
2014-10-23,310.7
2014-10-27,314.7
2014-10-28,309.75
2014-10-29,319.45
2014-10-30,319.25
2014-10-31,326.55
2014-11-03,330.25
2014-11-05,331.1
2014-11-07,324.65
2014-11-10,324.05
2014-11-11,324.0
2014-11-12,327.85
2014-11-13,325.8
2014-11-14,316.55
2014-11-17,316.45
2014-11-18,319.95
2014-11-19,315.95
2014-11-20,310.2
2014-11-21,318.25
2014-11-24,325.3
2014-11-25,319.25
2014-11-26,321.15
2014-11-27,318.4
2014-11-28,321.0
2014-12-01,311.25
2014-12-02,318.1
2014-12-03,358.1
2014-12-04,374.85
2014-12-05,373.7
2014-12-08,379.8
2014-12-09,369.95
2014-12-10,376.3
2014-12-11,376.35
2014-12-12,344.7
2014-12-15,349.65
2014-12-16,337.0
2014-12-17,343.25
2014-12-18,357.9
2014-12-19,347.2
2014-12-22,359.1
2014-12-23,363.85
2014-12-24,373.45
2014-12-26,384.15
2014-12-29,388.75
2014-12-30,385.95
2014-12-31,381.0
