Date,APTECHT
2014-01-01,83.5
2014-01-02,80.8
2014-01-03,82.85
2014-01-06,83.9
2014-01-07,84.25
2014-01-08,87.35
2014-01-09,83.65
2014-01-10,82.1
2014-01-13,82.35
2014-01-14,82.45
2014-01-15,85.5
2014-01-16,86.8
2014-01-17,82.95
2014-01-20,83.45
2014-01-21,83.3
2014-01-22,82.25
2014-01-23,82.1
2014-01-24,76.75
2014-01-27,70.65
2014-01-28,71.35
2014-01-29,71.45
2014-01-30,67.75
2014-01-31,69.55
2014-02-03,69.05
2014-02-04,68.05
2014-02-05,70.35
2014-02-06,69.65
2014-02-07,73.35
2014-02-10,73.95
2014-02-11,72.9
2014-02-12,72.75
2014-02-13,70.25
2014-02-14,69.55
2014-02-17,68.55
2014-02-18,69.95
2014-02-19,69.65
2014-02-20,68.6
2014-02-21,70.35
2014-02-24,71.1
2014-02-25,70.2
2014-02-26,71.9
2014-02-28,71.05
2014-03-03,69.85
2014-03-04,70.2
2014-03-05,70.55
2014-03-06,71.35
2014-03-07,70.3
2014-03-10,70.05
2014-03-11,70.7
2014-03-12,74.1
2014-03-13,71.35
2014-03-14,70.4
2014-03-18,72.65
2014-03-19,72.55
2014-03-20,71.95
2014-03-21,71.75
2014-03-22,71.5
2014-03-24,71.35
2014-03-25,71.9
2014-03-26,73.2
2014-03-27,74.5
2014-03-28,75.6
2014-03-31,74.95
2014-04-01,78.15
2014-04-02,81.6
2014-04-03,78.15
2014-04-04,77.9
2014-04-07,77.3
2014-04-09,77.6
2014-04-10,76.15
2014-04-11,76.55
2014-04-15,75.4
2014-04-16,76.25
2014-04-17,76.05
2014-04-21,75.95
2014-04-22,75.85
2014-04-23,79.0
2014-04-25,77.2
2014-04-28,76.2
2014-04-29,75.55
2014-04-30,73.05
2014-05-02,72.65
2014-05-05,70.75
2014-05-06,70.55
2014-05-07,70.4
2014-05-08,71.85
2014-05-09,71.45
2014-05-12,72.3
2014-05-13,73.65
2014-05-14,74.9
2014-05-15,74.5
2014-05-16,74.2
2014-05-19,76.05
2014-05-20,78.5
2014-05-21,87.35
2014-05-22,91.5
2014-05-23,91.25
2014-05-26,85.55
2014-05-27,87.35
2014-05-28,89.55
2014-05-29,86.6
2014-05-30,86.8
2014-06-02,94.0
2014-06-03,94.75
2014-06-04,93.95
2014-06-05,94.3
2014-06-06,92.8
2014-06-09,96.0
2014-06-10,96.5
2014-06-11,103.9
2014-06-12,107.1
2014-06-13,98.95
2014-06-16,96.6
2014-06-17,102.25
2014-06-18,97.75
2014-06-19,96.95
2014-06-20,94.85
2014-06-23,91.05
2014-06-24,93.1
2014-06-25,93.8
2014-06-26,93.45
2014-06-27,98.05
2014-06-30,101.55
2014-07-01,103.85
2014-07-02,101.7
2014-07-03,99.2
2014-07-04,100.9
2014-07-07,99.45
2014-07-08,92.85
2014-07-09,90.25
2014-07-10,90.75
2014-07-11,87.05
2014-07-14,85.95
2014-07-15,92.25
2014-07-16,93.9
2014-07-17,92.65
2014-07-18,90.75
2014-07-21,91.35
2014-07-22,93.1
2014-07-23,91.6
2014-07-24,97.35
2014-07-25,93.45
2014-07-28,91.9
2014-07-30,92.2
2014-07-31,91.3
2014-08-01,89.25
2014-08-04,90.2
2014-08-05,88.45
2014-08-06,86.6
2014-08-07,90.55
2014-08-08,90.25
2014-08-11,88.95
2014-08-12,87.05
2014-08-13,84.4
2014-08-14,83.55
2014-08-18,84.9
2014-08-19,87.05
2014-08-20,89.55
2014-08-21,92.1
2014-08-22,89.55
2014-08-25,87.25
2014-08-26,86.8
2014-08-27,86.9
2014-08-28,85.75
2014-09-01,89.95
2014-09-02,89.4
2014-09-03,92.75
2014-09-04,90.25
2014-09-05,90.4
2014-09-08,91.35
2014-09-09,93.9
2014-09-10,93.8
2014-09-11,95.05
2014-09-12,95.35
2014-09-15,94.75
2014-09-16,86.5
2014-09-17,87.75
2014-09-18,90.1
2014-09-19,88.15
2014-09-22,92.3
2014-09-23,90.4
2014-09-24,88.1
2014-09-25,83.5
2014-09-26,82.75
2014-09-29,84.15
2014-09-30,82.8
2014-10-01,82.3
2014-10-07,81.05
2014-10-08,81.1
2014-10-09,83.45
2014-10-10,81.45
2014-10-13,81.35
2014-10-14,81.35
2014-10-16,77.0
2014-10-17,76.75
2014-10-20,76.8
2014-10-21,77.35
2014-10-22,78.25
2014-10-23,79.15
2014-10-27,78.4
2014-10-28,78.0
2014-10-29,77.45
2014-10-30,78.9
2014-10-31,83.55
2014-11-03,86.4
2014-11-05,83.9
2014-11-07,82.55
2014-11-10,83.2
2014-11-11,82.3
2014-11-12,81.2
2014-11-13,82.15
2014-11-14,82.4
2014-11-17,81.15
2014-11-18,83.8
2014-11-19,82.4
2014-11-20,81.5
2014-11-21,80.3
2014-11-24,81.25
2014-11-25,79.0
2014-11-26,79.05
2014-11-27,79.0
2014-11-28,78.65
2014-12-01,76.55
2014-12-02,77.1
2014-12-03,78.0
2014-12-04,79.25
2014-12-05,77.75
2014-12-08,76.7
2014-12-09,74.95
2014-12-10,74.7
2014-12-11,73.5
2014-12-12,71.95
2014-12-15,73.0
2014-12-16,67.4
2014-12-17,65.45
2014-12-18,68.35
2014-12-19,69.4
2014-12-22,70.85
2014-12-23,68.8
2014-12-24,68.95
2014-12-26,69.4
2014-12-29,70.05
2014-12-30,70.2
2014-12-31,70.75
