Date,KOTAKPSUBK
2014-01-01,267.44
2014-01-02,266.13
2014-01-03,261.0
2014-01-06,259.76
2014-01-07,253.4
2014-01-08,256.5
2014-01-09,256.0
2014-01-10,249.2
2014-01-13,250.25
2014-01-14,250.5
2014-01-15,252.21
2014-01-16,253.75
2014-01-17,251.0
2014-01-20,250.5
2014-01-21,254.0
2014-01-22,253.5
2014-01-23,254.0
2014-01-24,247.0
2014-01-27,239.5
2014-01-28,241.86
2014-01-29,236.08
2014-01-30,226.96
2014-01-31,228.51
2014-02-03,222.31
2014-02-04,226.4
2014-02-05,228.0
2014-02-06,227.0
2014-02-07,227.09
2014-02-10,228.0
2014-02-11,226.0
2014-02-12,230.0
2014-02-13,225.76
2014-02-14,220.23
2014-02-17,219.98
2014-02-18,224.0
2014-02-19,225.0
2014-02-20,219.77
2014-02-21,221.5
2014-02-24,223.75
2014-02-25,223.0
2014-02-26,225.0
2014-02-28,226.75
2014-03-03,225.5
2014-03-04,230.24
2014-03-05,237.0
2014-03-06,238.5
2014-03-07,248.87
2014-03-10,256.39
2014-03-11,253.3
2014-03-12,250.25
2014-03-13,255.1
2014-03-14,249.25
2014-03-18,258.25
2014-03-19,259.8
2014-03-20,256.0
2014-03-21,256.5
2014-03-24,261.24
2014-03-25,262.11
2014-03-26,265.68
2014-03-27,273.75
2014-03-28,286.58
2014-03-31,288.14
2014-04-01,285.5
2014-04-02,294.32
2014-04-03,292.0
2014-04-04,290.52
2014-04-07,291.0
2014-04-09,300.48
2014-04-10,307.25
2014-04-11,304.58
2014-04-15,298.0
2014-04-16,296.57
2014-04-17,302.51
2014-04-21,309.05
2014-04-22,308.0
2014-04-23,307.25
2014-04-25,307.5
2014-04-28,313.95
2014-04-29,315.5
2014-04-30,313.5
2014-05-02,309.75
2014-05-05,311.0
2014-05-06,312.0
2014-05-07,313.5
2014-05-08,309.25
2014-05-09,316.86
2014-05-12,325.55
2014-05-13,333.0
2014-05-14,345.0
2014-05-15,347.02
2014-05-16,362.0
2014-05-19,386.11
2014-05-20,391.13
2014-05-21,383.0
2014-05-22,388.62
2014-05-23,416.5
2014-05-26,408.28
2014-05-27,401.19
2014-05-28,393.08
2014-05-29,391.77
2014-05-30,384.35
2014-06-02,398.0
2014-06-03,402.95
2014-06-04,408.42
2014-06-05,411.75
2014-06-06,417.19
2014-06-09,419.75
2014-06-10,414.0
2014-06-11,411.63
2014-06-12,408.98
2014-06-13,401.02
2014-06-16,390.03
2014-06-17,403.67
2014-06-18,405.5
2014-06-19,392.66
2014-06-20,390.44
2014-06-23,390.66
2014-06-24,401.68
2014-06-25,402.0
2014-06-26,399.92
2014-06-27,396.75
2014-06-30,408.0
2014-07-01,408.0
2014-07-02,412.93
2014-07-03,409.52
2014-07-04,404.54
2014-07-07,407.25
2014-07-08,389.2
2014-07-09,384.33
2014-07-10,389.6
2014-07-11,365.21
2014-07-14,363.53
2014-07-15,373.47
2014-07-16,380.97
2014-07-17,386.74
2014-07-18,382.04
2014-07-21,380.68
2014-07-22,375.75
2014-07-23,379.5
2014-07-24,381.34
2014-07-25,378.0
2014-07-28,375.0
2014-07-30,379.55
2014-07-31,373.07
2014-08-01,368.05
2014-08-04,369.52
2014-08-05,377.5
2014-08-06,370.25
2014-08-07,367.44
2014-08-08,366.0
2014-08-11,366.14
2014-08-12,370.25
2014-08-13,362.4
2014-08-14,358.0
2014-08-18,358.88
2014-08-19,368.5
2014-08-20,365.0
2014-08-21,374.0
2014-08-22,378.0
2014-08-25,375.5
2014-08-26,370.47
2014-08-27,375.0
2014-08-28,370.5
2014-09-01,371.21
2014-09-02,379.31
2014-09-03,374.0
2014-09-04,375.99
2014-09-05,370.5
2014-09-08,375.0
2014-09-09,381.51
2014-09-10,380.0
2014-09-11,383.5
2014-09-12,392.42
2014-09-15,390.91
2014-09-16,380.79
2014-09-17,385.62
2014-09-18,394.49
2014-09-19,385.86
2014-09-22,388.59
2014-09-23,380.18
2014-09-24,372.94
2014-09-25,354.43
2014-09-26,356.68
2014-09-29,358.8
2014-09-30,359.51
2014-10-01,354.37
2014-10-07,345.73
2014-10-08,350.75
2014-10-09,358.0
2014-10-10,356.95
2014-10-13,365.05
2014-10-14,365.69
2014-10-16,364.76
2014-10-17,365.1
2014-10-20,377.78
2014-10-21,384.4
2014-10-22,381.94
2014-10-23,382.86
2014-10-27,384.9
2014-10-28,388.18
2014-10-29,384.4
2014-10-30,386.42
2014-10-31,401.0
2014-11-03,399.0
2014-11-05,401.1
2014-11-07,398.23
2014-11-10,397.55
2014-11-11,401.04
2014-11-12,405.4
2014-11-13,397.15
2014-11-14,404.54
2014-11-17,416.57
2014-11-18,426.47
2014-11-19,422.04
2014-11-20,421.46
2014-11-21,430.59
2014-11-24,409.9
2014-11-25,403.67
2014-11-26,404.73
2014-11-27,405.78
2014-11-28,422.44
2014-12-01,426.66
2014-12-02,430.46
2014-12-03,426.76
2014-12-04,429.18
2014-12-05,432.42
2014-12-08,429.17
2014-12-09,418.96
2014-12-10,427.64
2014-12-11,426.95
2014-12-12,427.71
2014-12-15,423.76
2014-12-16,405.51
2014-12-17,407.45
2014-12-18,419.78
2014-12-19,418.03
2014-12-22,425.3
2014-12-23,419.87
2014-12-24,419.02
2014-12-26,424.94
2014-12-29,429.69
2014-12-30,429.5
2014-12-31,429.0
