Date,RJL
2014-01-01,59.45
2014-01-02,60.25
2014-01-03,58.95
2014-01-06,59.9
2014-01-07,66.45
2014-01-08,63.95
2014-01-09,62.35
2014-01-10,60.25
2014-01-13,60.8
2014-01-14,61.05
2014-01-15,59.8
2014-01-16,58.85
2014-01-17,58.2
2014-01-20,56.95
2014-01-21,58.2
2014-01-22,57.3
2014-01-23,58.75
2014-01-24,58.15
2014-01-27,55.5
2014-01-28,54.55
2014-01-29,55.2
2014-01-30,55.0
2014-01-31,55.9
2014-02-03,62.6
2014-02-04,65.0
2014-02-05,58.65
2014-02-06,58.75
2014-02-07,58.8
2014-02-10,56.5
2014-02-11,59.2
2014-02-12,61.7
2014-02-13,60.0
2014-02-14,60.65
2014-02-17,59.55
2014-02-18,60.85
2014-02-19,60.6
2014-02-20,59.75
2014-02-21,59.75
2014-02-24,60.05
2014-02-25,59.25
2014-02-26,58.4
2014-02-28,58.85
2014-03-03,60.0
2014-03-04,60.1
2014-03-05,58.55
2014-03-06,57.75
2014-03-07,56.6
2014-03-10,56.6
2014-03-11,56.0
2014-03-12,55.0
2014-03-13,57.6
2014-03-14,59.25
2014-03-18,58.55
2014-03-19,58.6
2014-03-20,57.6
2014-03-21,58.8
2014-03-22,57.7
2014-03-24,60.35
2014-03-25,61.55
2014-03-26,61.95
2014-03-27,61.5
2014-03-28,62.55
2014-03-31,62.05
2014-04-01,62.55
2014-04-02,62.5
2014-04-03,60.75
2014-04-04,60.3
2014-04-07,61.55
2014-04-09,62.0
2014-04-10,61.25
2014-04-11,61.5
2014-04-15,59.0
2014-04-16,57.3
2014-04-17,58.2
2014-04-21,58.35
2014-04-22,59.6
2014-04-23,60.85
2014-04-25,59.05
2014-04-28,57.9
2014-04-29,58.3
2014-04-30,56.8
2014-05-02,57.15
2014-05-05,57.6
2014-05-06,57.95
2014-05-07,57.9
2014-05-08,56.9
2014-05-09,56.5
2014-05-12,49.85
2014-05-13,50.05
2014-05-14,50.6
2014-05-15,50.0
2014-05-16,48.8
2014-05-19,50.35
2014-05-20,57.45
2014-05-21,60.95
2014-05-22,65.05
2014-05-23,66.05
2014-05-26,62.5
2014-05-27,57.5
2014-05-28,59.8
2014-05-29,57.85
2014-05-30,58.95
2014-06-02,57.75
2014-06-03,58.0
2014-06-04,58.45
2014-06-05,59.65
2014-06-06,61.1
2014-06-09,64.4
2014-06-10,66.05
2014-06-11,70.35
2014-06-12,75.75
2014-06-13,72.95
2014-06-16,70.45
2014-06-17,71.15
2014-06-18,70.1
2014-06-19,69.2
2014-06-20,71.15
2014-06-23,69.2
2014-06-24,69.05
2014-06-25,69.7
2014-06-26,69.7
2014-06-27,69.7
2014-06-30,69.5
2014-07-01,69.1
2014-07-02,69.7
2014-07-03,67.5
2014-07-04,68.7
2014-07-07,68.05
2014-07-08,65.5
2014-07-09,65.55
2014-07-10,63.9
2014-07-11,61.25
2014-07-14,59.6
2014-07-15,61.5
2014-07-16,62.25
2014-07-17,61.2
2014-07-18,61.1
2014-07-21,61.55
2014-07-22,59.3
2014-07-23,60.95
2014-07-24,60.1
2014-07-25,59.05
2014-07-28,58.95
2014-07-30,58.25
2014-07-31,59.3
2014-08-01,58.35
2014-08-04,59.35
2014-08-05,61.8
2014-08-06,60.3
2014-08-07,63.3
2014-08-08,61.3
2014-08-11,62.0
2014-08-12,62.1
2014-08-13,60.9
2014-08-14,60.45
2014-08-18,61.9
2014-08-19,61.15
2014-08-20,62.3
2014-08-21,64.35
2014-08-22,65.05
2014-08-25,63.5
2014-08-26,62.3
2014-08-27,63.05
2014-08-28,61.8
2014-09-01,62.45
2014-09-02,62.3
2014-09-03,62.8
2014-09-04,61.1
2014-09-05,62.85
2014-09-08,62.85
2014-09-09,62.1
2014-09-10,62.55
2014-09-11,63.75
2014-09-12,65.05
2014-09-15,66.35
2014-09-16,64.15
2014-09-17,63.9
2014-09-18,64.4
2014-09-19,63.4
2014-09-22,67.9
2014-09-23,67.0
2014-09-24,64.2
2014-09-25,62.05
2014-09-26,61.95
2014-09-29,62.1
2014-09-30,61.25
2014-10-01,61.75
2014-10-07,61.85
2014-10-08,61.1
2014-10-09,61.25
2014-10-10,61.55
2014-10-13,61.0
2014-10-14,59.65
2014-10-16,58.65
2014-10-17,59.6
2014-10-20,60.6
2014-10-21,59.35
2014-10-22,60.1
2014-10-23,60.65
2014-10-27,60.8
2014-10-28,60.3
2014-10-29,61.05
2014-10-30,60.1
2014-10-31,60.2
2014-11-03,60.4
2014-11-05,61.0
2014-11-07,60.55
2014-11-10,60.15
2014-11-11,60.2
2014-11-12,65.5
2014-11-13,65.55
2014-11-14,63.1
2014-11-17,61.3
2014-11-18,62.85
2014-11-19,61.0
2014-11-20,60.8
2014-11-21,61.05
2014-11-24,61.15
2014-11-25,59.6
2014-11-26,60.7
2014-11-27,60.0
2014-11-28,63.8
2014-12-01,64.8
2014-12-02,65.1
2014-12-03,64.9
2014-12-04,63.55
2014-12-05,63.05
2014-12-08,61.15
2014-12-09,60.75
2014-12-10,62.05
2014-12-11,60.85
2014-12-12,60.45
2014-12-15,60.3
2014-12-16,59.35
2014-12-17,58.9
2014-12-18,60.3
2014-12-19,60.1
2014-12-22,60.45
2014-12-23,60.15
2014-12-24,60.45
2014-12-26,60.35
2014-12-29,61.3
2014-12-30,61.7
2014-12-31,61.8
