Date,MONNETISPA
2014-01-01,151.7
2014-01-02,147.2
2014-01-03,139.7
2014-01-06,137.9
2014-01-07,136.55
2014-01-08,135.8
2014-01-09,134.6
2014-01-10,133.8
2014-01-13,129.8
2014-01-14,126.4
2014-01-15,129.85
2014-01-16,124.05
2014-01-17,122.35
2014-01-20,123.65
2014-01-21,123.7
2014-01-22,123.45
2014-01-23,122.7
2014-01-24,118.0
2014-01-27,110.15
2014-01-28,109.6
2014-01-29,117.45
2014-01-30,99.95
2014-01-31,93.0
2014-02-03,90.25
2014-02-04,82.65
2014-02-05,80.25
2014-02-06,80.0
2014-02-07,80.8
2014-02-10,76.95
2014-02-11,81.95
2014-02-12,84.0
2014-02-13,80.7
2014-02-14,80.45
2014-02-17,77.85
2014-02-18,77.7
2014-02-19,78.2
2014-02-20,74.0
2014-02-21,72.85
2014-02-24,72.4
2014-02-25,72.75
2014-02-26,72.8
2014-02-28,71.05
2014-03-03,72.3
2014-03-04,73.0
2014-03-05,72.7
2014-03-06,73.95
2014-03-07,72.45
2014-03-10,73.0
2014-03-11,70.55
2014-03-12,68.5
2014-03-13,66.75
2014-03-14,62.05
2014-03-18,58.9
2014-03-19,61.15
2014-03-20,68.05
2014-03-21,78.45
2014-03-22,92.8
2014-03-24,88.95
2014-03-25,88.65
2014-03-26,88.1
2014-03-27,84.2
2014-03-28,83.75
2014-03-31,88.65
2014-04-01,97.4
2014-04-02,98.7
2014-04-03,94.9
2014-04-04,92.7
2014-04-07,90.65
2014-04-09,90.4
2014-04-10,93.25
2014-04-11,91.85
2014-04-15,90.05
2014-04-16,90.75
2014-04-17,91.9
2014-04-21,94.2
2014-04-22,92.8
2014-04-23,91.3
2014-04-25,90.15
2014-04-28,89.25
2014-04-29,87.1
2014-04-30,84.25
2014-05-02,84.25
2014-05-05,84.55
2014-05-06,83.8
2014-05-07,82.85
2014-05-08,88.85
2014-05-09,89.5
2014-05-12,89.6
2014-05-13,90.95
2014-05-14,93.9
2014-05-15,92.45
2014-05-16,91.95
2014-05-19,106.35
2014-05-20,116.45
2014-05-21,121.55
2014-05-22,132.1
2014-05-23,141.9
2014-05-26,149.0
2014-05-27,150.0
2014-05-28,148.9
2014-05-29,141.8
2014-05-30,129.05
2014-06-02,129.2
2014-06-03,141.1
2014-06-04,144.15
2014-06-05,144.65
2014-06-06,150.7
2014-06-09,157.0
2014-06-10,152.85
2014-06-11,147.6
2014-06-12,134.05
2014-06-13,127.85
2014-06-16,131.4
2014-06-17,135.1
2014-06-18,130.65
2014-06-19,130.85
2014-06-20,127.6
2014-06-23,127.35
2014-06-24,139.25
2014-06-25,134.7
2014-06-26,134.0
2014-06-27,133.1
2014-06-30,137.15
2014-07-01,140.8
2014-07-02,141.75
2014-07-03,137.6
2014-07-04,136.15
2014-07-07,136.85
2014-07-08,129.45
2014-07-09,125.5
2014-07-10,128.65
2014-07-11,120.95
2014-07-14,120.95
2014-07-15,124.4
2014-07-16,128.7
2014-07-17,133.55
2014-07-18,137.45
2014-07-21,140.9
2014-07-22,137.15
2014-07-23,133.7
2014-07-24,134.7
2014-07-25,128.95
2014-07-28,132.75
2014-07-30,130.05
2014-07-31,128.55
2014-08-01,126.2
2014-08-04,128.5
2014-08-05,129.3
2014-08-06,130.8
2014-08-07,128.35
2014-08-08,122.9
2014-08-11,125.85
2014-08-12,131.15
2014-08-13,124.45
2014-08-14,124.45
2014-08-18,126.9
2014-08-19,129.4
2014-08-20,127.65
2014-08-21,129.75
2014-08-22,126.9
2014-08-25,120.3
2014-08-26,114.6
2014-08-27,113.45
2014-08-28,113.1
2014-09-01,113.3
2014-09-02,112.0
2014-09-03,112.7
2014-09-04,106.55
2014-09-05,102.95
2014-09-08,106.85
2014-09-09,108.9
2014-09-10,107.95
2014-09-11,106.85
2014-09-12,107.1
2014-09-15,103.8
2014-09-16,98.9
2014-09-17,97.6
2014-09-18,101.1
2014-09-19,99.75
2014-09-22,98.1
2014-09-23,95.05
2014-09-24,88.85
2014-09-25,78.85
2014-09-26,81.65
2014-09-29,79.8
2014-09-30,77.6
2014-10-01,76.05
2014-10-07,74.3
2014-10-08,75.2
2014-10-09,75.7
2014-10-10,73.95
2014-10-13,75.05
2014-10-14,73.6
2014-10-16,71.65
2014-10-17,70.6
2014-10-20,68.8
2014-10-21,72.75
2014-10-22,77.3
2014-10-23,81.4
2014-10-27,82.3
2014-10-28,82.45
2014-10-29,84.95
2014-10-30,82.9
2014-10-31,83.3
2014-11-03,86.25
2014-11-05,85.9
2014-11-07,85.1
2014-11-10,83.25
2014-11-11,83.45
2014-11-12,84.3
2014-11-13,82.7
2014-11-14,83.3
2014-11-17,77.6
2014-11-18,79.95
2014-11-19,78.7
2014-11-20,77.85
2014-11-21,77.1
2014-11-24,76.5
2014-11-25,73.7
2014-11-26,73.9
2014-11-27,73.6
2014-11-28,73.5
2014-12-01,71.7
2014-12-02,71.65
2014-12-03,71.9
2014-12-04,71.9
2014-12-05,72.45
2014-12-08,71.8
2014-12-09,69.15
2014-12-10,72.2
2014-12-11,69.55
2014-12-12,68.0
2014-12-15,66.45
2014-12-16,62.25
2014-12-17,62.15
2014-12-18,62.75
2014-12-19,63.1
2014-12-22,64.4
2014-12-23,63.4
2014-12-24,63.45
2014-12-26,63.75
2014-12-29,65.85
2014-12-30,65.9
2014-12-31,67.35
