Date,AUTOAXLES
2014-01-01,247.8
2014-01-02,247.0
2014-01-03,247.7
2014-01-06,255.7
2014-01-07,263.0
2014-01-08,270.9
2014-01-09,260.4
2014-01-10,260.0
2014-01-13,254.55
2014-01-14,264.4
2014-01-15,290.05
2014-01-16,290.85
2014-01-17,289.8
2014-01-20,290.0
2014-01-21,290.0
2014-01-22,289.65
2014-01-23,294.4
2014-01-24,290.05
2014-01-27,269.8
2014-01-28,289.85
2014-01-29,288.6
2014-01-30,278.45
2014-01-31,290.5
2014-02-03,290.0
2014-02-04,286.05
2014-02-05,285.95
2014-02-06,284.45
2014-02-07,272.85
2014-02-10,277.75
2014-02-11,278.55
2014-02-12,278.95
2014-02-13,280.0
2014-02-14,281.95
2014-02-17,281.35
2014-02-18,281.2
2014-02-19,290.35
2014-02-20,290.0
2014-02-21,296.25
2014-02-24,293.35
2014-02-25,304.85
2014-02-26,302.65
2014-02-28,294.75
2014-03-03,295.85
2014-03-04,294.85
2014-03-05,299.85
2014-03-06,326.8
2014-03-07,318.2
2014-03-10,342.7
2014-03-11,328.5
2014-03-12,336.0
2014-03-13,335.05
2014-03-14,321.35
2014-03-18,319.1
2014-03-19,320.7
2014-03-20,329.4
2014-03-21,350.4
2014-03-22,356.95
2014-03-24,365.5
2014-03-25,376.95
2014-03-26,371.8
2014-03-27,365.55
2014-03-28,365.95
2014-03-31,391.15
2014-04-01,380.6
2014-04-02,375.1
2014-04-03,369.8
2014-04-04,370.0
2014-04-07,362.2
2014-04-09,340.1
2014-04-10,341.9
2014-04-11,335.9
2014-04-15,328.8
2014-04-16,324.75
2014-04-17,324.75
2014-04-21,330.1
2014-04-22,329.0
2014-04-23,342.45
2014-04-25,358.7
2014-04-28,361.2
2014-04-29,353.5
2014-04-30,359.9
2014-05-02,395.7
2014-05-05,405.95
2014-05-06,404.75
2014-05-07,400.9
2014-05-08,395.65
2014-05-09,385.95
2014-05-12,368.25
2014-05-13,379.5
2014-05-14,401.25
2014-05-15,400.65
2014-05-16,419.6
2014-05-19,437.55
2014-05-20,442.4
2014-05-21,446.3
2014-05-22,450.2
2014-05-23,453.25
2014-05-26,471.4
2014-05-27,449.75
2014-05-28,460.3
2014-05-29,466.95
2014-05-30,478.8
2014-06-02,473.8
2014-06-03,468.45
2014-06-04,491.35
2014-06-05,517.0
2014-06-06,519.05
2014-06-09,546.0
2014-06-10,525.35
2014-06-11,521.0
2014-06-12,532.65
2014-06-13,546.35
2014-06-16,556.35
2014-06-17,558.0
2014-06-18,543.05
2014-06-19,547.8
2014-06-20,537.8
2014-06-23,537.75
2014-06-24,564.8
2014-06-25,600.45
2014-06-26,591.25
2014-06-27,584.8
2014-06-30,583.2
2014-07-01,605.05
2014-07-02,604.7
2014-07-03,599.45
2014-07-04,610.7
2014-07-07,602.2
2014-07-08,584.1
2014-07-09,572.4
2014-07-10,592.6
2014-07-11,594.7
2014-07-14,592.55
2014-07-15,589.6
2014-07-16,604.55
2014-07-17,606.55
2014-07-18,600.05
2014-07-21,602.0
2014-07-22,601.6
2014-07-23,609.05
2014-07-24,608.2
2014-07-25,597.85
2014-07-28,620.85
2014-07-30,631.3
2014-07-31,624.55
2014-08-01,615.35
2014-08-04,627.85
2014-08-05,625.95
2014-08-06,611.55
2014-08-07,611.4
2014-08-08,609.85
2014-08-11,611.55
2014-08-12,603.4
2014-08-13,591.7
2014-08-14,599.8
2014-08-18,602.9
2014-08-19,602.5
2014-08-20,621.6
2014-08-21,631.0
2014-08-22,630.1
2014-08-25,625.6
2014-08-26,614.15
2014-08-27,621.05
2014-08-28,643.5
2014-09-01,632.6
2014-09-02,657.85
2014-09-03,674.25
2014-09-04,670.55
2014-09-05,675.75
2014-09-08,683.75
2014-09-09,694.5
2014-09-10,684.05
2014-09-11,672.35
2014-09-12,688.15
2014-09-15,676.15
2014-09-16,665.55
2014-09-17,684.65
2014-09-18,681.0
2014-09-19,679.2
2014-09-22,686.6
2014-09-23,669.45
2014-09-24,652.15
2014-09-25,645.15
2014-09-26,673.65
2014-09-29,663.45
2014-09-30,661.2
2014-10-01,655.6
2014-10-07,654.95
2014-10-08,654.8
2014-10-09,659.25
2014-10-10,661.7
2014-10-13,686.75
2014-10-14,675.1
2014-10-16,673.55
2014-10-17,670.15
2014-10-20,663.25
2014-10-21,655.7
2014-10-22,657.2
2014-10-23,657.95
2014-10-27,659.1
2014-10-28,665.45
2014-10-29,661.15
2014-10-30,668.35
2014-10-31,680.1
2014-11-03,726.4
2014-11-05,730.1
2014-11-07,706.6
2014-11-10,705.65
2014-11-11,706.6
2014-11-12,710.35
2014-11-13,702.45
2014-11-14,742.75
2014-11-17,771.9
2014-11-18,830.9
2014-11-19,788.25
2014-11-20,785.3
2014-11-21,770.35
2014-11-24,795.2
2014-11-25,718.85
2014-11-26,705.3
2014-11-27,739.15
2014-11-28,732.05
2014-12-01,738.4
2014-12-02,759.6
2014-12-03,761.25
2014-12-04,758.25
2014-12-05,752.8
2014-12-08,734.9
2014-12-09,719.25
2014-12-10,739.15
2014-12-11,740.6
2014-12-12,726.85
2014-12-15,716.25
2014-12-16,705.5
2014-12-17,699.4
2014-12-18,713.35
2014-12-19,711.8
2014-12-22,708.2
2014-12-23,705.05
2014-12-24,747.3
2014-12-26,754.8
2014-12-29,742.45
2014-12-30,721.3
2014-12-31,708.55
