Date,BRITANNIA
2014-01-01,918.45
2014-01-02,909.2
2014-01-03,916.85
2014-01-06,908.9
2014-01-07,903.85
2014-01-08,906.95
2014-01-09,897.55
2014-01-10,896.05
2014-01-13,898.65
2014-01-14,905.05
2014-01-15,907.15
2014-01-16,910.9
2014-01-17,896.75
2014-01-20,887.85
2014-01-21,879.7
2014-01-22,874.0
2014-01-23,872.65
2014-01-24,865.2
2014-01-27,851.05
2014-01-28,865.6
2014-01-29,868.4
2014-01-30,869.8
2014-01-31,882.55
2014-02-03,886.1
2014-02-04,874.7
2014-02-05,870.2
2014-02-06,887.2
2014-02-07,900.8
2014-02-10,910.2
2014-02-11,901.3
2014-02-12,905.75
2014-02-13,899.4
2014-02-14,902.6
2014-02-17,900.55
2014-02-18,913.05
2014-02-19,915.35
2014-02-20,904.95
2014-02-21,895.6
2014-02-24,890.75
2014-02-25,895.15
2014-02-26,886.6
2014-02-28,888.4
2014-03-03,866.3
2014-03-04,864.7
2014-03-05,891.05
2014-03-06,884.35
2014-03-07,874.9
2014-03-10,875.25
2014-03-11,873.55
2014-03-12,866.1
2014-03-13,862.9
2014-03-14,858.4
2014-03-18,855.95
2014-03-19,854.3
2014-03-20,855.8
2014-03-21,858.3
2014-03-22,862.85
2014-03-24,845.85
2014-03-25,841.15
2014-03-26,832.8
2014-03-27,816.7
2014-03-28,829.0
2014-03-31,843.4
2014-04-01,841.2
2014-04-02,839.45
2014-04-03,842.1
2014-04-04,860.95
2014-04-07,832.65
2014-04-09,854.75
2014-04-10,875.55
2014-04-11,888.35
2014-04-15,882.95
2014-04-16,879.95
2014-04-17,884.45
2014-04-21,893.1
2014-04-22,912.45
2014-04-23,892.5
2014-04-25,890.0
2014-04-28,891.45
2014-04-29,862.8
2014-04-30,864.05
2014-05-02,855.85
2014-05-05,860.6
2014-05-06,850.4
2014-05-07,858.35
2014-05-08,858.7
2014-05-09,852.85
2014-05-12,849.1
2014-05-13,874.15
2014-05-14,890.95
2014-05-15,881.6
2014-05-16,863.2
2014-05-19,825.65
2014-05-20,835.45
2014-05-21,838.1
2014-05-22,833.3
2014-05-23,867.05
2014-05-26,869.75
2014-05-27,871.25
2014-05-28,880.8
2014-05-29,869.3
2014-05-30,881.1
2014-06-02,891.3
2014-06-03,898.2
2014-06-04,898.9
2014-06-05,894.95
2014-06-06,884.8
2014-06-09,881.2
2014-06-10,875.85
2014-06-11,969.25
2014-06-12,981.3
2014-06-13,926.4
2014-06-16,948.5
2014-06-17,947.3
2014-06-18,934.7
2014-06-19,918.6
2014-06-20,915.8
2014-06-23,932.55
2014-06-24,942.0
2014-06-25,997.25
2014-06-26,979.2
2014-06-27,976.15
2014-06-30,1008.4
2014-07-01,1016.2
2014-07-02,1030.25
2014-07-03,1018.35
2014-07-04,1015.05
2014-07-07,1005.35
2014-07-08,1020.4
2014-07-09,997.65
2014-07-10,995.0
2014-07-11,984.55
2014-07-14,980.35
2014-07-15,983.6
2014-07-16,977.0
2014-07-17,988.2
2014-07-18,994.65
2014-07-21,1032.35
2014-07-22,1040.55
2014-07-23,1045.25
2014-07-24,1064.5
2014-07-25,1073.75
2014-07-28,1071.15
2014-07-30,1112.15
2014-07-31,1148.4
2014-08-01,1149.5
2014-08-04,1114.75
2014-08-05,1128.75
2014-08-06,1151.6
2014-08-07,1147.65
2014-08-08,1130.1
2014-08-11,1155.95
2014-08-12,1152.45
2014-08-13,1133.7
2014-08-14,1190.95
2014-08-18,1270.1
2014-08-19,1283.5
2014-08-20,1260.1
2014-08-21,1246.2
2014-08-22,1249.75
2014-08-25,1222.35
2014-08-26,1256.6
2014-08-27,1259.85
2014-08-28,1242.9
2014-09-01,1262.6
2014-09-02,1257.15
2014-09-03,1281.7
2014-09-04,1254.4
2014-09-05,1260.85
2014-09-08,1271.05
2014-09-09,1275.05
2014-09-10,1306.05
2014-09-11,1345.9
2014-09-12,1381.7
2014-09-15,1461.4
2014-09-16,1436.35
2014-09-17,1453.15
2014-09-18,1414.15
2014-09-19,1375.2
2014-09-22,1369.4
2014-09-23,1386.35
2014-09-24,1391.65
2014-09-25,1404.0
2014-09-26,1407.95
2014-09-29,1408.8
2014-09-30,1392.05
2014-10-01,1398.9
2014-10-07,1401.55
2014-10-08,1371.7
2014-10-09,1351.85
2014-10-10,1331.8
2014-10-13,1343.1
2014-10-14,1340.0
2014-10-16,1323.8
2014-10-17,1342.95
2014-10-20,1360.05
2014-10-21,1391.1
2014-10-22,1404.85
2014-10-23,1446.0
2014-10-27,1439.45
2014-10-28,1445.45
2014-10-29,1459.2
2014-10-30,1491.5
2014-10-31,1530.8
2014-11-03,1508.2
2014-11-05,1552.35
2014-11-07,1520.15
2014-11-10,1518.7
2014-11-11,1529.6
2014-11-12,1599.45
2014-11-13,1597.15
2014-11-14,1624.3
2014-11-17,1644.0
2014-11-18,1664.8
2014-11-19,1698.9
2014-11-20,1672.5
2014-11-21,1673.8
2014-11-24,1652.55
2014-11-25,1589.2
2014-11-26,1652.05
2014-11-27,1681.55
2014-11-28,1647.95
2014-12-01,1686.85
2014-12-02,1745.75
2014-12-03,1800.8
2014-12-04,1834.4
2014-12-05,1795.5
2014-12-08,1790.5
2014-12-09,1793.55
2014-12-10,1797.65
2014-12-11,1760.35
2014-12-12,1795.95
2014-12-15,1787.65
2014-12-16,1738.05
2014-12-17,1683.0
2014-12-18,1742.2
2014-12-19,1723.75
2014-12-22,1788.4
2014-12-23,1764.1
2014-12-24,1755.4
2014-12-26,1731.15
2014-12-29,1780.2
2014-12-30,1784.0
2014-12-31,1840.1
