Date,BHARATFIN
2014-01-01,188.0
2014-01-02,181.2
2014-01-03,177.65
2014-01-06,176.5
2014-01-07,171.95
2014-01-08,171.15
2014-01-09,166.8
2014-01-10,167.3
2014-01-13,168.0
2014-01-14,183.75
2014-01-15,186.65
2014-01-16,181.05
2014-01-17,183.35
2014-01-20,195.6
2014-01-21,198.25
2014-01-22,203.7
2014-01-23,199.7
2014-01-24,187.75
2014-01-27,185.75
2014-01-28,185.65
2014-01-29,179.5
2014-01-30,174.65
2014-01-31,181.75
2014-02-03,174.95
2014-02-04,178.3
2014-02-05,178.6
2014-02-06,177.5
2014-02-07,176.25
2014-02-10,196.3
2014-02-11,191.25
2014-02-12,191.45
2014-02-13,183.9
2014-02-14,183.85
2014-02-17,183.5
2014-02-18,184.5
2014-02-19,186.85
2014-02-20,182.55
2014-02-21,182.95
2014-02-24,184.15
2014-02-25,182.35
2014-02-26,183.0
2014-02-28,185.2
2014-03-03,185.0
2014-03-04,188.35
2014-03-05,190.3
2014-03-06,205.0
2014-03-07,197.15
2014-03-10,195.0
2014-03-11,199.9
2014-03-12,200.1
2014-03-13,195.1
2014-03-14,195.0
2014-03-18,195.45
2014-03-19,193.65
2014-03-20,198.15
2014-03-21,196.75
2014-03-22,196.6
2014-03-24,196.05
2014-03-25,197.35
2014-03-26,200.15
2014-03-27,198.9
2014-03-28,204.4
2014-03-31,204.0
2014-04-01,216.0
2014-04-02,235.15
2014-04-03,246.6
2014-04-04,240.6
2014-04-07,243.95
2014-04-09,261.2
2014-04-10,251.25
2014-04-11,249.65
2014-04-15,243.35
2014-04-16,250.7
2014-04-17,265.65
2014-04-21,265.4
2014-04-22,275.3
2014-04-23,261.6
2014-04-25,253.65
2014-04-28,253.8
2014-04-29,253.95
2014-04-30,238.9
2014-05-02,233.75
2014-05-05,225.8
2014-05-06,237.25
2014-05-07,233.15
2014-05-08,232.25
2014-05-09,233.2
2014-05-12,233.2
2014-05-13,238.8
2014-05-14,244.0
2014-05-15,239.85
2014-05-16,241.5
2014-05-19,252.65
2014-05-20,257.9
2014-05-21,281.8
2014-05-22,283.85
2014-05-23,272.3
2014-05-26,272.5
2014-05-27,277.7
2014-05-28,282.05
2014-05-29,284.95
2014-05-30,294.2
2014-06-02,306.85
2014-06-03,298.6
2014-06-04,289.9
2014-06-05,285.7
2014-06-06,286.3
2014-06-09,287.3
2014-06-10,284.3
2014-06-11,284.45
2014-06-12,277.9
2014-06-13,265.1
2014-06-16,271.55
2014-06-17,272.55
2014-06-18,274.75
2014-06-19,269.05
2014-06-20,263.5
2014-06-23,265.95
2014-06-24,271.25
2014-06-25,275.75
2014-06-26,273.6
2014-06-27,273.25
2014-06-30,276.45
2014-07-01,278.65
2014-07-02,280.6
2014-07-03,275.8
2014-07-04,275.1
2014-07-07,273.8
2014-07-08,267.25
2014-07-09,268.3
2014-07-10,269.35
2014-07-11,253.45
2014-07-14,266.9
2014-07-15,279.55
2014-07-16,277.4
2014-07-17,281.65
2014-07-18,285.0
2014-07-21,282.8
2014-07-22,281.05
2014-07-23,274.65
2014-07-24,276.8
2014-07-25,287.0
2014-07-28,278.2
2014-07-30,285.75
2014-07-31,283.05
2014-08-01,280.85
2014-08-04,279.35
2014-08-05,280.45
2014-08-06,280.1
2014-08-07,279.75
2014-08-08,271.55
2014-08-11,274.95
2014-08-12,271.4
2014-08-13,264.75
2014-08-14,262.0
2014-08-18,270.05
2014-08-19,274.55
2014-08-20,275.35
2014-08-21,273.25
2014-08-22,272.1
2014-08-25,273.4
2014-08-26,275.85
2014-08-27,290.0
2014-08-28,296.5
2014-09-01,304.55
2014-09-02,307.75
2014-09-03,316.15
2014-09-04,326.7
2014-09-05,324.35
2014-09-08,337.1
2014-09-09,338.6
2014-09-10,329.5
2014-09-11,341.75
2014-09-12,336.2
2014-09-15,321.2
2014-09-16,304.95
2014-09-17,310.65
2014-09-18,315.15
2014-09-19,320.2
2014-09-22,308.8
2014-09-23,291.1
2014-09-24,291.1
2014-09-25,284.1
2014-09-26,292.8
2014-09-29,297.1
2014-09-30,300.15
2014-10-01,292.65
2014-10-07,283.4
2014-10-08,290.0
2014-10-09,303.95
2014-10-10,292.75
2014-10-13,297.2
2014-10-14,294.1
2014-10-16,281.0
2014-10-17,287.25
2014-10-20,312.45
2014-10-21,317.3
2014-10-22,315.9
2014-10-23,321.1
2014-10-27,320.1
2014-10-28,316.15
2014-10-29,316.0
2014-10-30,312.2
2014-10-31,326.35
2014-11-03,351.25
2014-11-05,350.1
2014-11-07,362.95
2014-11-10,352.45
2014-11-11,365.25
2014-11-12,366.5
2014-11-13,360.15
2014-11-14,359.85
2014-11-17,363.6
2014-11-18,358.65
2014-11-19,348.7
2014-11-20,342.4
2014-11-21,339.95
2014-11-24,338.05
2014-11-25,328.0
2014-11-26,343.75
2014-11-27,347.15
2014-11-28,356.15
2014-12-01,352.3
2014-12-02,354.45
2014-12-03,360.6
2014-12-04,369.0
2014-12-05,362.3
2014-12-08,354.1
2014-12-09,349.3
2014-12-10,386.95
2014-12-11,386.55
2014-12-12,378.25
2014-12-15,373.4
2014-12-16,367.15
2014-12-17,360.85
2014-12-18,380.2
2014-12-19,388.2
2014-12-22,402.6
2014-12-23,403.7
2014-12-24,401.0
2014-12-26,404.05
2014-12-29,397.5
2014-12-30,400.95
2014-12-31,413.1
