Date,ACCELYA
2014-01-01,762.15
2014-01-02,717.05
2014-01-03,725.25
2014-01-06,749.6
2014-01-07,754.4
2014-01-08,765.4
2014-01-09,752.4
2014-01-10,740.95
2014-01-13,749.5
2014-01-14,728.65
2014-01-15,743.6
2014-01-16,729.9
2014-01-17,727.9
2014-01-20,741.75
2014-01-21,745.35
2014-01-22,745.55
2014-01-23,735.45
2014-01-24,728.05
2014-01-27,710.7
2014-01-28,748.5
2014-01-29,741.15
2014-01-30,717.95
2014-01-31,727.05
2014-02-03,723.85
2014-02-04,727.55
2014-02-05,722.3
2014-02-06,682.0
2014-02-07,684.75
2014-02-10,676.3
2014-02-11,678.0
2014-02-12,683.15
2014-02-13,680.85
2014-02-14,649.0
2014-02-17,654.3
2014-02-18,663.15
2014-02-19,660.0
2014-02-20,652.2
2014-02-21,654.65
2014-02-24,671.95
2014-02-25,675.85
2014-02-26,680.65
2014-02-28,688.15
2014-03-03,662.4
2014-03-04,662.45
2014-03-05,700.95
2014-03-06,696.7
2014-03-07,674.55
2014-03-10,673.4
2014-03-11,669.65
2014-03-12,669.1
2014-03-13,687.45
2014-03-14,692.15
2014-03-18,765.15
2014-03-19,743.6
2014-03-20,759.0
2014-03-21,755.05
2014-03-22,750.5
2014-03-24,737.85
2014-03-25,729.45
2014-03-26,723.2
2014-03-27,721.15
2014-03-28,740.75
2014-03-31,754.65
2014-04-01,754.6
2014-04-02,758.7
2014-04-03,778.35
2014-04-04,795.6
2014-04-07,802.9
2014-04-09,801.6
2014-04-10,785.95
2014-04-11,777.8
2014-04-15,789.15
2014-04-16,779.1
2014-04-17,799.95
2014-04-21,795.3
2014-04-22,780.15
2014-04-23,764.25
2014-04-25,761.75
2014-04-28,762.7
2014-04-29,767.5
2014-04-30,763.6
2014-05-02,718.25
2014-05-05,664.55
2014-05-06,671.75
2014-05-07,675.3
2014-05-08,658.25
2014-05-09,660.4
2014-05-12,629.3
2014-05-13,629.35
2014-05-14,641.9
2014-05-15,640.25
2014-05-16,619.15
2014-05-19,598.65
2014-05-20,637.05
2014-05-21,639.5
2014-05-22,619.65
2014-05-23,626.2
2014-05-26,609.75
2014-05-27,636.4
2014-05-28,641.7
2014-05-29,626.95
2014-05-30,635.0
2014-06-02,625.15
2014-06-03,611.9
2014-06-04,608.5
2014-06-05,618.55
2014-06-06,617.95
2014-06-09,668.9
2014-06-10,670.35
2014-06-11,666.1
2014-06-12,684.35
2014-06-13,665.4
2014-06-16,670.65
2014-06-17,676.95
2014-06-18,670.2
2014-06-19,668.75
2014-06-20,665.05
2014-06-23,657.55
2014-06-24,658.8
2014-06-25,653.8
2014-06-26,655.65
2014-06-27,685.75
2014-06-30,680.45
2014-07-01,735.8
2014-07-02,748.05
2014-07-03,731.7
2014-07-04,731.35
2014-07-07,723.15
2014-07-08,710.65
2014-07-09,705.35
2014-07-10,705.3
2014-07-11,696.95
2014-07-14,692.4
2014-07-15,704.55
2014-07-16,720.1
2014-07-17,720.55
2014-07-18,708.6
2014-07-21,707.05
2014-07-22,709.15
2014-07-23,703.9
2014-07-24,699.95
2014-07-25,692.35
2014-07-28,708.95
2014-07-30,711.65
2014-07-31,710.9
2014-08-01,720.35
2014-08-04,730.55
2014-08-05,731.0
2014-08-06,732.65
2014-08-07,663.6
2014-08-08,643.55
2014-08-11,650.2
2014-08-12,647.45
2014-08-13,623.5
2014-08-14,622.15
2014-08-18,633.0
2014-08-19,629.15
2014-08-20,647.3
2014-08-21,650.8
2014-08-22,654.6
2014-08-25,650.1
2014-08-26,651.25
2014-08-27,656.9
2014-08-28,658.25
2014-09-01,672.1
2014-09-02,687.35
2014-09-03,705.95
2014-09-04,696.65
2014-09-05,707.15
2014-09-08,718.15
2014-09-09,718.8
2014-09-10,721.05
2014-09-11,697.2
2014-09-12,704.1
2014-09-15,695.5
2014-09-16,678.05
2014-09-17,677.7
2014-09-18,730.75
2014-09-19,752.15
2014-09-22,748.7
2014-09-23,729.3
2014-09-24,729.6
2014-09-25,723.75
2014-09-26,704.75
2014-09-29,716.3
2014-09-30,737.35
2014-10-01,749.1
2014-10-07,709.45
2014-10-08,725.65
2014-10-09,755.75
2014-10-10,736.95
2014-10-13,750.9
2014-10-14,755.7
2014-10-16,757.0
2014-10-17,764.95
2014-10-20,768.95
2014-10-21,781.9
2014-10-22,785.75
2014-10-23,789.8
2014-10-27,789.15
2014-10-28,842.6
2014-10-29,823.2
2014-10-30,824.35
2014-10-31,815.9
2014-11-03,808.85
2014-11-05,797.4
2014-11-07,776.55
2014-11-10,800.85
2014-11-11,808.9
2014-11-12,826.8
2014-11-13,856.45
2014-11-14,856.65
2014-11-17,858.05
2014-11-18,877.25
2014-11-19,893.6
2014-11-20,904.4
2014-11-21,899.35
2014-11-24,910.3
2014-11-25,880.9
2014-11-26,891.35
2014-11-27,887.9
2014-11-28,920.25
2014-12-01,910.1
2014-12-02,931.4
2014-12-03,972.9
2014-12-04,981.95
2014-12-05,965.25
2014-12-08,958.6
2014-12-09,926.45
2014-12-10,996.5
2014-12-11,1055.7
2014-12-12,1034.25
2014-12-15,1042.9
2014-12-16,988.55
2014-12-17,982.7
2014-12-18,1001.1
2014-12-19,988.4
2014-12-22,1010.7
2014-12-23,1021.75
2014-12-24,1006.5
2014-12-26,992.4
2014-12-29,980.95
2014-12-30,987.65
2014-12-31,1003.2
