Date,SORILINFRA
2014-01-01,30.45
2014-01-02,29.45
2014-01-03,30.4
2014-01-06,30.1
2014-01-07,29.3
2014-01-08,30.7
2014-01-09,31.5
2014-01-10,31.2
2014-01-13,30.75
2014-01-14,30.05
2014-01-15,30.0
2014-01-16,29.25
2014-01-17,28.5
2014-01-20,28.35
2014-01-21,28.35
2014-01-22,28.4
2014-01-23,29.95
2014-01-24,29.05
2014-01-27,27.0
2014-01-28,27.55
2014-01-29,27.85
2014-01-30,26.5
2014-01-31,26.4
2014-02-03,26.7
2014-02-04,26.1
2014-02-05,26.6
2014-02-06,26.2
2014-02-07,25.95
2014-02-10,26.1
2014-02-11,26.05
2014-02-12,25.55
2014-02-13,25.55
2014-02-14,26.75
2014-02-17,27.0
2014-02-18,26.8
2014-02-19,25.9
2014-02-20,25.3
2014-02-21,25.5
2014-02-24,24.9
2014-02-25,24.75
2014-02-26,24.4
2014-02-28,24.4
2014-03-03,24.65
2014-03-04,24.4
2014-03-05,24.1
2014-03-06,24.0
2014-03-07,24.3
2014-03-10,25.1
2014-03-11,24.95
2014-03-12,24.6
2014-03-13,24.5
2014-03-14,24.45
2014-03-18,24.85
2014-03-19,24.95
2014-03-20,24.1
2014-03-21,24.2
2014-03-22,24.0
2014-03-24,24.1
2014-03-25,23.65
2014-03-26,23.5
2014-03-27,23.25
2014-03-28,26.7
2014-03-31,25.7
2014-04-01,25.3
2014-04-02,26.2
2014-04-03,25.95
2014-04-04,26.25
2014-04-07,26.65
2014-04-09,26.9
2014-04-10,27.1
2014-04-11,27.0
2014-04-15,27.05
2014-04-16,27.05
2014-04-17,27.2
2014-04-21,29.3
2014-04-22,27.95
2014-04-23,27.8
2014-04-25,32.7
2014-04-28,32.15
2014-04-29,35.6
2014-04-30,38.6
2014-05-02,39.5
2014-05-05,37.35
2014-05-06,36.75
2014-05-07,35.2
2014-05-08,34.4
2014-05-09,35.8
2014-05-12,35.7
2014-05-13,34.95
2014-05-14,34.65
2014-05-15,33.95
2014-05-16,33.1
2014-05-19,36.2
2014-05-20,39.8
2014-05-21,42.0
2014-05-22,43.15
2014-05-23,43.05
2014-05-26,41.3
2014-05-27,39.55
2014-05-28,38.75
2014-05-29,37.6
2014-05-30,37.15
2014-06-02,38.5
2014-06-03,39.3
2014-06-04,39.45
2014-06-05,40.0
2014-06-06,38.9
2014-06-09,38.65
2014-06-10,37.85
2014-06-11,36.0
2014-06-12,36.25
2014-06-13,34.6
2014-06-16,33.9
2014-06-17,35.15
2014-06-18,34.8
2014-06-19,36.4
2014-06-20,38.2
2014-06-23,38.2
2014-06-24,40.1
2014-06-25,42.1
2014-06-26,44.2
2014-06-27,42.4
2014-06-30,44.5
2014-07-01,42.95
2014-07-02,43.2
2014-07-03,43.45
2014-07-04,45.6
2014-07-07,50.15
2014-07-08,48.4
2014-07-09,52.35
2014-07-10,51.9
2014-07-11,49.2
2014-07-14,48.05
2014-07-15,50.3
2014-07-16,51.85
2014-07-17,55.75
2014-07-18,61.3
2014-07-21,67.4
2014-07-22,64.05
2014-07-23,66.7
2014-07-24,63.75
2014-07-25,61.0
2014-07-28,57.95
2014-07-30,56.4
2014-07-31,59.2
2014-08-01,57.2
2014-08-04,59.05
2014-08-05,62.0
2014-08-06,65.1
2014-08-07,68.35
2014-08-08,69.45
2014-08-11,69.7
2014-08-12,70.35
2014-08-13,66.9
2014-08-14,63.6
2014-08-18,66.75
2014-08-19,64.9
2014-08-20,68.1
2014-08-21,68.95
2014-08-22,66.05
2014-08-25,62.75
2014-08-26,60.05
2014-08-27,61.65
2014-08-28,61.05
2014-09-01,59.65
2014-09-02,60.0
2014-09-03,59.1
2014-09-04,58.95
2014-09-05,58.45
2014-09-08,61.7
2014-09-09,60.4
2014-09-10,60.1
2014-09-11,60.3
2014-09-12,60.05
2014-09-15,62.05
2014-09-16,59.2
2014-09-17,59.1
2014-09-18,61.25
2014-09-19,60.2
2014-09-22,58.15
2014-09-23,57.5
2014-09-24,56.2
2014-09-25,53.2
2014-09-26,52.95
2014-09-29,56.2
2014-09-30,58.65
2014-10-01,57.7
2014-10-07,57.55
2014-10-08,57.25
2014-10-09,55.15
2014-10-10,53.75
2014-10-13,52.9
2014-10-14,52.0
2014-10-16,47.85
2014-10-17,47.95
2014-10-20,42.85
2014-10-21,46.9
2014-10-22,47.1
2014-10-23,47.1
2014-10-27,47.65
2014-10-28,41.15
2014-10-29,41.45
2014-10-30,40.65
2014-10-31,42.75
2014-11-03,42.3
2014-11-05,41.55
2014-11-07,40.65
2014-11-10,40.4
2014-11-11,39.7
2014-11-12,38.15
2014-11-13,38.85
2014-11-14,43.0
2014-11-17,43.1
2014-11-18,43.3
2014-11-19,42.8
2014-11-20,40.5
2014-11-21,40.9
2014-11-24,40.8
2014-11-25,39.7
2014-11-26,40.05
2014-11-27,40.15
2014-11-28,39.85
2014-12-01,39.55
2014-12-02,39.0
2014-12-03,39.85
2014-12-04,39.05
2014-12-05,38.9
2014-12-08,37.85
2014-12-09,36.7
2014-12-10,37.25
2014-12-11,36.7
2014-12-12,35.85
2014-12-15,35.15
2014-12-16,34.0
2014-12-17,33.5
2014-12-18,34.95
2014-12-19,35.55
2014-12-22,34.55
2014-12-23,34.1
2014-12-24,33.2
2014-12-26,33.3
2014-12-29,32.45
2014-12-30,32.4
2014-12-31,33.05
