Date,ABGSHIP
2014-01-01,268.7
2014-01-02,263.7
2014-01-03,270.35
2014-01-06,267.75
2014-01-07,268.8
2014-01-08,267.35
2014-01-09,265.55
2014-01-10,261.55
2014-01-13,262.05
2014-01-14,260.8
2014-01-15,261.15
2014-01-16,260.4
2014-01-17,255.25
2014-01-20,255.8
2014-01-21,256.75
2014-01-22,308.1
2014-01-23,297.25
2014-01-24,306.65
2014-01-27,277.35
2014-01-28,270.25
2014-01-29,271.05
2014-01-30,277.2
2014-01-31,296.7
2014-02-03,288.0
2014-02-04,284.25
2014-02-05,284.85
2014-02-06,282.45
2014-02-07,275.3
2014-02-10,267.7
2014-02-11,268.0
2014-02-12,265.95
2014-02-13,261.9
2014-02-14,261.65
2014-02-17,250.85
2014-02-18,260.3
2014-02-19,308.4
2014-02-20,273.5
2014-02-21,272.2
2014-02-24,268.95
2014-02-25,268.0
2014-02-26,265.75
2014-02-28,261.0
2014-03-03,256.6
2014-03-04,253.8
2014-03-05,251.75
2014-03-06,251.65
2014-03-07,251.5
2014-03-10,248.45
2014-03-11,245.15
2014-03-12,245.0
2014-03-13,249.05
2014-03-14,249.0
2014-03-18,246.95
2014-03-19,248.9
2014-03-20,248.3
2014-03-21,255.3
2014-03-22,253.2
2014-03-24,246.85
2014-03-25,252.0
2014-03-26,246.5
2014-03-27,247.25
2014-03-28,256.35
2014-03-31,255.2
2014-04-01,255.85
2014-04-02,254.75
2014-04-03,258.5
2014-04-04,257.55
2014-04-07,256.45
2014-04-09,257.4
2014-04-10,255.8
2014-04-11,238.25
2014-04-15,240.1
2014-04-16,234.6
2014-04-17,235.15
2014-04-21,236.95
2014-04-22,234.25
2014-04-23,233.9
2014-04-25,231.25
2014-04-28,228.35
2014-04-29,230.6
2014-04-30,228.4
2014-05-02,228.05
2014-05-05,223.35
2014-05-06,220.85
2014-05-07,222.2
2014-05-08,219.7
2014-05-09,217.75
2014-05-12,219.25
2014-05-13,223.3
2014-05-14,221.05
2014-05-15,220.0
2014-05-16,235.5
2014-05-19,249.7
2014-05-20,271.1
2014-05-21,270.25
2014-05-22,270.45
2014-05-23,265.1
2014-05-26,253.15
2014-05-27,246.35
2014-05-28,294.5
2014-05-29,276.6
2014-05-30,289.0
2014-06-02,305.6
2014-06-03,298.4
2014-06-04,298.45
2014-06-05,293.3
2014-06-06,293.05
2014-06-09,300.85
2014-06-10,294.35
2014-06-11,292.1
2014-06-12,285.45
2014-06-13,266.8
2014-06-16,260.8
2014-06-17,271.75
2014-06-18,263.6
2014-06-19,263.95
2014-06-20,260.9
2014-06-23,260.8
2014-06-24,264.1
2014-06-25,270.3
2014-06-26,278.75
2014-06-27,278.2
2014-06-30,281.6
2014-07-01,278.7
2014-07-02,282.85
2014-07-03,278.5
2014-07-04,276.5
2014-07-07,277.55
2014-07-08,261.7
2014-07-09,259.65
2014-07-10,258.7
2014-07-11,251.15
2014-07-14,244.85
2014-07-15,252.35
2014-07-16,264.85
2014-07-17,261.8
2014-07-18,260.7
2014-07-21,264.25
2014-07-22,264.4
2014-07-23,261.05
2014-07-24,262.1
2014-07-25,257.95
2014-07-28,256.3
2014-07-30,254.8
2014-07-31,253.95
2014-08-01,252.45
2014-08-04,253.3
2014-08-05,252.2
2014-08-06,249.45
2014-08-07,249.25
2014-08-08,245.95
2014-08-11,243.45
2014-08-12,243.45
2014-08-13,226.7
2014-08-14,227.25
2014-08-18,228.3
2014-08-19,228.8
2014-08-20,231.2
2014-08-21,253.5
2014-08-22,247.3
2014-08-25,240.25
2014-08-26,236.2
2014-08-27,240.0
2014-08-28,236.85
2014-09-01,234.5
2014-09-02,234.85
2014-09-03,232.25
2014-09-04,229.2
2014-09-05,228.05
2014-09-08,228.7
2014-09-09,228.15
2014-09-10,257.4
2014-09-11,251.65
2014-09-12,245.7
2014-09-15,258.3
2014-09-16,252.25
2014-09-17,252.55
2014-09-18,252.9
2014-09-19,256.6
2014-09-22,251.05
2014-09-23,244.5
2014-09-24,239.0
2014-09-25,227.05
2014-09-26,223.8
2014-09-29,230.1
2014-09-30,225.2
2014-10-01,223.7
2014-10-07,222.55
2014-10-08,221.5
2014-10-09,222.9
2014-10-10,220.65
2014-10-13,221.4
2014-10-14,233.35
2014-10-16,221.85
2014-10-17,223.95
2014-10-20,222.55
2014-10-21,224.4
2014-10-22,224.9
2014-10-23,226.35
2014-10-27,224.55
2014-10-28,225.15
2014-10-29,224.7
2014-10-30,224.95
2014-10-31,227.6
2014-11-03,241.75
2014-11-05,258.5
2014-11-07,247.65
2014-11-10,244.5
2014-11-11,244.05
2014-11-12,239.9
2014-11-13,235.4
2014-11-14,237.6
2014-11-17,235.85
2014-11-18,234.2
2014-11-19,231.05
2014-11-20,233.3
2014-11-21,231.9
2014-11-24,233.05
2014-11-25,227.55
2014-11-26,230.55
2014-11-27,224.6
2014-11-28,224.55
2014-12-01,225.3
2014-12-02,225.2
2014-12-03,226.45
2014-12-04,233.85
2014-12-05,229.35
2014-12-08,226.15
2014-12-09,219.6
2014-12-10,216.55
2014-12-11,213.45
2014-12-12,209.9
2014-12-15,208.85
2014-12-16,209.05
2014-12-17,209.35
2014-12-18,211.6
2014-12-19,212.35
2014-12-22,218.35
2014-12-23,219.8
2014-12-24,220.85
2014-12-26,218.1
2014-12-29,222.9
2014-12-30,227.95
2014-12-31,231.15
