Date,AHLWEST
2014-01-01,101.0
2014-01-02,98.15
2014-01-03,100.0
2014-01-06,103.9
2014-01-07,101.0
2014-01-08,106.05
2014-01-09,108.0
2014-01-10,113.0
2014-01-13,112.0
2014-01-14,106.4
2014-01-15,103.0
2014-01-16,100.15
2014-01-17,101.2
2014-01-20,102.35
2014-01-21,102.0
2014-01-22,101.1
2014-01-23,103.6
2014-01-24,101.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,103.25
2014-01-30,100.0
2014-01-31,99.0
2014-02-03,98.5
2014-02-04,102.95
2014-02-05,99.5
2014-02-06,99.0
2014-02-07,100.75
2014-02-11,97.0
2014-02-12,98.9
2014-02-13,97.75
2014-02-14,98.4
2014-02-17,97.0
2014-02-18,96.0
2014-02-19,98.1
2014-02-20,101.85
2014-02-21,100.0
2014-02-24,99.65
2014-02-26,95.25
2014-02-28,98.75
2014-03-03,98.5
2014-03-04,95.8
2014-03-05,96.4
2014-03-06,94.95
2014-03-07,97.0
2014-03-10,94.9
2014-03-11,95.0
2014-03-12,95.5
2014-03-13,93.55
2014-03-14,95.05
2014-03-18,100.3
2014-03-19,98.0
2014-03-20,102.3
2014-03-21,99.0
2014-03-22,95.35
2014-03-24,94.25
2014-03-25,93.3
2014-03-26,93.7
2014-03-27,95.0
2014-03-28,100.85
2014-03-31,97.0
2014-04-01,101.4
2014-04-02,99.85
2014-04-03,100.5
2014-04-04,100.0
2014-04-07,103.0
2014-04-09,105.0
2014-04-10,103.2
2014-04-11,103.15
2014-04-15,107.35
2014-04-16,105.0
2014-04-17,103.7
2014-04-21,105.0
2014-04-22,105.1
2014-04-23,105.2
2014-04-25,103.1
2014-04-28,104.95
2014-04-29,102.55
2014-04-30,99.35
2014-05-02,97.7
2014-05-05,100.55
2014-05-06,100.45
2014-05-07,102.0
2014-05-08,100.25
2014-05-09,99.5
2014-05-12,102.95
2014-05-13,102.0
2014-05-14,101.1
2014-05-15,102.5
2014-05-16,103.3
2014-05-19,106.0
2014-05-20,104.0
2014-05-21,105.3
2014-05-22,106.7
2014-05-23,106.9
2014-05-26,102.05
2014-05-27,103.85
2014-05-28,108.05
2014-05-29,105.9
2014-05-30,110.0
2014-06-02,105.25
2014-06-03,107.65
2014-06-04,107.8
2014-06-05,113.15
2014-06-06,118.5
2014-06-09,122.45
2014-06-10,121.6
2014-06-11,119.95
2014-06-12,117.05
2014-06-13,119.4
2014-06-16,115.25
2014-06-17,116.0
2014-06-18,113.3
2014-06-19,109.6
2014-06-20,109.9
2014-06-23,105.85
2014-06-24,107.3
2014-06-25,115.6
2014-06-26,107.95
2014-06-27,107.15
2014-06-30,110.0
2014-07-01,109.0
2014-07-02,112.0
2014-07-03,108.85
2014-07-04,110.4
2014-07-07,114.85
2014-07-08,119.05
2014-07-09,114.95
2014-07-10,114.5
2014-07-11,111.15
2014-07-14,110.2
2014-07-15,109.9
2014-07-16,112.9
2014-07-17,111.25
2014-07-18,114.75
2014-07-21,113.3
2014-07-22,114.85
2014-07-23,116.35
2014-07-24,115.5
2014-07-25,111.1
2014-07-28,114.9
2014-07-30,109.35
2014-07-31,111.9
2014-08-01,110.0
2014-08-04,116.85
2014-08-05,119.5
2014-08-06,117.2
2014-08-07,112.2
2014-08-08,107.75
2014-08-11,114.8
2014-08-12,113.3
2014-08-13,108.2
2014-08-14,108.3
2014-08-18,109.25
2014-08-19,108.0
2014-08-20,108.7
2014-08-21,110.5
2014-08-22,111.95
2014-08-25,108.15
2014-08-26,107.5
2014-08-27,111.6
2014-08-28,112.0
2014-09-01,113.9
2014-09-02,114.0
2014-09-03,115.9
2014-09-04,114.0
2014-09-05,114.0
2014-09-08,114.2
2014-09-09,116.9
2014-09-10,116.0
2014-09-11,115.0
2014-09-12,111.8
2014-09-15,110.85
2014-09-16,108.8
2014-09-17,107.4
2014-09-18,109.1
2014-09-19,108.25
2014-09-22,108.0
2014-09-23,109.0
2014-09-24,108.0
2014-09-25,108.05
2014-09-26,107.6
2014-09-29,106.5
2014-09-30,105.55
2014-10-01,105.05
2014-10-07,104.65
2014-10-08,104.75
2014-10-09,107.75
2014-10-10,105.05
2014-10-13,107.0
2014-10-14,105.4
2014-10-16,103.6
2014-10-17,104.0
2014-10-20,110.6
2014-10-21,106.25
2014-10-22,107.0
2014-10-23,107.0
2014-10-27,108.4
2014-10-28,109.5
2014-10-29,105.8
2014-10-30,105.05
2014-10-31,107.1
2014-11-03,109.0
2014-11-05,111.4
2014-11-07,123.15
2014-11-10,112.95
2014-11-11,111.25
2014-11-12,117.15
2014-11-13,112.0
2014-11-14,112.8
2014-11-17,115.85
2014-11-18,112.5
2014-11-19,113.6
2014-11-20,112.55
2014-11-21,123.3
2014-11-24,118.45
2014-11-25,117.0
2014-11-26,112.0
2014-11-27,118.5
2014-11-28,117.4
2014-12-01,119.95
2014-12-02,125.5
2014-12-03,131.1
2014-12-04,137.1
2014-12-05,134.8
2014-12-08,137.95
2014-12-09,131.95
2014-12-10,130.0
2014-12-11,124.9
2014-12-12,121.05
2014-12-15,114.5
2014-12-16,109.9
2014-12-17,113.75
2014-12-18,120.0
2014-12-19,117.0
2014-12-22,119.9
2014-12-23,117.3
2014-12-24,112.35
2014-12-26,112.05
2014-12-29,116.0
2014-12-30,114.85
2014-12-31,115.75
