Date,IGARASHI
2014-01-01,84.0
2014-01-02,80.0
2014-01-03,78.0
2014-01-06,81.5
2014-01-07,83.1
2014-01-08,84.0
2014-01-09,89.0
2014-01-10,90.5
2014-01-13,87.05
2014-01-14,83.5
2014-01-15,84.55
2014-01-16,84.05
2014-01-17,80.7
2014-01-20,80.75
2014-01-21,79.45
2014-01-22,79.5
2014-01-23,83.5
2014-01-24,83.65
2014-01-27,78.15
2014-01-28,76.3
2014-01-29,77.95
2014-01-30,77.75
2014-01-31,79.5
2014-02-03,79.5
2014-02-04,81.95
2014-02-05,82.65
2014-02-06,82.0
2014-02-07,82.2
2014-02-10,84.5
2014-02-11,82.85
2014-02-12,82.6
2014-02-13,83.15
2014-02-14,96.55
2014-02-17,115.85
2014-02-18,117.3
2014-02-19,116.95
2014-02-20,119.55
2014-02-21,119.05
2014-02-24,119.8
2014-02-25,116.55
2014-02-26,113.9
2014-02-28,114.9
2014-03-03,108.6
2014-03-04,111.45
2014-03-05,111.15
2014-03-06,113.6
2014-03-07,111.5
2014-03-10,125.0
2014-03-11,135.95
2014-03-12,131.8
2014-03-13,133.55
2014-03-14,133.8
2014-03-18,134.65
2014-03-19,161.55
2014-03-20,155.25
2014-03-21,157.85
2014-03-22,159.55
2014-03-24,162.7
2014-03-25,157.85
2014-03-26,169.75
2014-03-27,163.95
2014-03-28,164.0
2014-03-31,171.1
2014-04-01,169.1
2014-04-02,166.1
2014-04-03,157.8
2014-04-04,148.55
2014-04-07,145.25
2014-04-09,161.1
2014-04-10,165.5
2014-04-11,161.6
2014-04-15,166.05
2014-04-16,169.1
2014-04-17,167.6
2014-04-21,171.35
2014-04-22,180.4
2014-04-23,176.8
2014-04-25,172.15
2014-04-28,173.65
2014-04-29,174.95
2014-04-30,170.55
2014-05-02,169.0
2014-05-05,167.5
2014-05-06,170.3
2014-05-07,170.8
2014-05-08,169.0
2014-05-09,167.2
2014-05-12,166.95
2014-05-13,168.6
2014-05-14,167.9
2014-05-15,169.65
2014-05-16,168.0
2014-05-19,181.8
2014-05-20,182.6
2014-05-21,181.65
2014-05-22,196.75
2014-05-23,189.45
2014-05-26,176.5
2014-05-27,169.55
2014-05-28,171.85
2014-05-29,168.95
2014-05-30,166.4
2014-06-02,174.95
2014-06-03,175.8
2014-06-04,176.15
2014-06-05,174.35
2014-06-06,184.05
2014-06-09,178.95
2014-06-10,182.5
2014-06-11,176.65
2014-06-12,177.4
2014-06-13,169.25
2014-06-16,164.95
2014-06-17,165.85
2014-06-18,161.55
2014-06-19,160.15
2014-06-20,156.15
2014-06-23,152.75
2014-06-24,176.95
2014-06-25,172.0
2014-06-26,171.9
2014-06-27,171.5
2014-06-30,180.65
2014-07-01,181.5
2014-07-02,179.55
2014-07-03,176.8
2014-07-04,178.1
2014-07-07,191.85
2014-07-08,179.3
2014-07-09,174.1
2014-07-10,175.65
2014-07-11,166.0
2014-07-14,168.05
2014-07-15,166.95
2014-07-16,169.8
2014-07-17,171.85
2014-07-18,173.15
2014-07-21,192.8
2014-07-22,199.3
2014-07-23,194.4
2014-07-24,192.8
2014-07-25,187.7
2014-07-28,185.0
2014-07-30,180.35
2014-07-31,177.15
2014-08-01,173.25
2014-08-04,177.2
2014-08-05,179.3
2014-08-06,179.7
2014-08-07,180.3
2014-08-08,173.6
2014-08-11,179.0
2014-08-12,185.3
2014-08-13,185.45
2014-08-14,198.55
2014-08-18,224.15
2014-08-19,226.9
2014-08-20,231.25
2014-08-21,277.5
2014-08-22,288.3
2014-08-25,298.75
2014-08-26,296.3
2014-08-27,292.15
2014-08-28,279.95
2014-09-01,282.7
2014-09-02,286.75
2014-09-03,283.05
2014-09-04,274.45
2014-09-05,282.7
2014-09-08,297.35
2014-09-09,299.4
2014-09-10,300.5
2014-09-11,303.45
2014-09-12,297.4
2014-09-15,299.15
2014-09-16,298.35
2014-09-17,303.0
2014-09-18,310.35
2014-09-19,312.2
2014-09-22,330.4
2014-09-23,325.55
2014-09-24,317.7
2014-09-25,293.65
2014-09-26,283.15
2014-09-29,292.95
2014-09-30,298.0
2014-10-01,292.6
2014-10-07,283.15
2014-10-08,285.7
2014-10-09,289.1
2014-10-10,278.05
2014-10-13,280.35
2014-10-14,282.2
2014-10-16,271.35
2014-10-17,269.7
2014-10-20,273.1
2014-10-21,286.6
2014-10-22,291.95
2014-10-23,294.75
2014-10-27,290.0
2014-10-28,325.45
2014-10-29,318.45
2014-10-30,321.05
2014-10-31,320.4
2014-11-03,310.6
2014-11-05,312.5
2014-11-07,304.4
2014-11-10,299.4
2014-11-11,306.05
2014-11-12,297.55
2014-11-13,298.8
2014-11-14,298.3
2014-11-17,307.2
2014-11-18,303.0
2014-11-19,299.75
2014-11-20,292.85
2014-11-21,292.75
2014-11-24,291.75
2014-11-25,287.4
2014-11-26,293.65
2014-11-27,300.85
2014-11-28,300.6
2014-12-01,302.0
2014-12-02,298.75
2014-12-03,302.3
2014-12-04,299.8
2014-12-05,312.35
2014-12-08,323.85
2014-12-09,307.55
2014-12-10,303.2
2014-12-11,298.7
2014-12-12,296.4
2014-12-15,291.4
2014-12-16,278.9
2014-12-17,273.65
2014-12-18,285.3
2014-12-19,290.25
2014-12-22,289.6
2014-12-23,286.6
2014-12-24,287.45
2014-12-26,288.1
2014-12-29,287.6
2014-12-30,285.2
2014-12-31,289.55
