Date,NECLIFE
2014-01-01,18.55
2014-01-02,17.15
2014-01-03,17.8
2014-01-06,18.2
2014-01-07,17.9
2014-01-08,17.8
2014-01-09,17.95
2014-01-10,17.7
2014-01-13,17.45
2014-01-14,17.65
2014-01-15,17.4
2014-01-16,16.2
2014-01-17,16.5
2014-01-20,16.85
2014-01-21,16.8
2014-01-22,16.9
2014-01-23,16.7
2014-01-24,16.2
2014-01-27,15.85
2014-01-28,16.25
2014-01-29,16.1
2014-01-30,15.9
2014-01-31,15.9
2014-02-03,16.2
2014-02-04,15.9
2014-02-05,15.85
2014-02-06,15.8
2014-02-07,15.95
2014-02-10,16.25
2014-02-11,16.25
2014-02-12,15.8
2014-02-13,14.75
2014-02-14,15.25
2014-02-17,14.7
2014-02-18,15.1
2014-02-19,15.05
2014-02-20,15.1
2014-02-21,15.6
2014-02-24,15.75
2014-02-25,15.9
2014-02-26,16.1
2014-02-28,16.1
2014-03-03,15.9
2014-03-04,15.65
2014-03-05,16.0
2014-03-06,16.05
2014-03-07,17.7
2014-03-10,18.6
2014-03-11,18.1
2014-03-12,18.7
2014-03-13,18.25
2014-03-14,18.85
2014-03-18,18.7
2014-03-19,19.9
2014-03-20,22.6
2014-03-21,23.9
2014-03-22,24.25
2014-03-24,23.0
2014-03-25,23.1
2014-03-26,22.3
2014-03-27,23.8
2014-03-28,24.15
2014-03-31,24.15
2014-04-01,23.25
2014-04-02,23.45
2014-04-03,22.85
2014-04-04,23.2
2014-04-07,23.1
2014-04-09,23.0
2014-04-10,23.05
2014-04-11,23.0
2014-04-15,23.1
2014-04-16,22.15
2014-04-17,23.2
2014-04-21,25.0
2014-04-22,28.75
2014-04-23,28.55
2014-04-25,28.25
2014-04-28,29.75
2014-04-29,31.15
2014-04-30,29.5
2014-05-02,28.65
2014-05-05,28.1
2014-05-06,28.4
2014-05-07,26.95
2014-05-08,27.35
2014-05-09,26.8
2014-05-12,26.2
2014-05-13,26.95
2014-05-14,27.35
2014-05-15,26.5
2014-05-16,27.1
2014-05-19,26.65
2014-05-20,29.4
2014-05-21,31.25
2014-05-22,30.1
2014-05-23,32.4
2014-05-26,28.5
2014-05-27,28.2
2014-05-28,27.9
2014-05-29,26.55
2014-05-30,26.75
2014-06-02,29.4
2014-06-03,29.6
2014-06-04,29.9
2014-06-05,29.5
2014-06-06,29.15
2014-06-09,32.8
2014-06-10,30.85
2014-06-11,32.45
2014-06-12,32.05
2014-06-13,30.05
2014-06-16,29.15
2014-06-17,30.65
2014-06-18,29.9
2014-06-19,29.75
2014-06-20,29.5
2014-06-23,29.35
2014-06-24,29.65
2014-06-25,29.55
2014-06-26,29.2
2014-06-27,29.45
2014-06-30,29.5
2014-07-01,30.1
2014-07-02,30.4
2014-07-03,31.05
2014-07-04,30.95
2014-07-07,32.6
2014-07-08,29.5
2014-07-09,28.2
2014-07-10,28.45
2014-07-11,27.0
2014-07-14,27.0
2014-07-15,27.8
2014-07-16,28.25
2014-07-17,28.4
2014-07-18,27.8
2014-07-21,28.85
2014-07-22,29.0
2014-07-23,28.3
2014-07-24,28.1
2014-07-25,27.1
2014-07-28,27.35
2014-07-30,27.05
2014-07-31,27.55
2014-08-01,26.9
2014-08-04,27.2
2014-08-05,27.8
2014-08-06,27.65
2014-08-07,27.1
2014-08-08,26.3
2014-08-11,26.8
2014-08-12,27.3
2014-08-13,25.3
2014-08-14,26.3
2014-08-18,27.7
2014-08-19,27.8
2014-08-20,31.6
2014-08-21,33.45
2014-08-22,38.7
2014-08-25,37.6
2014-08-26,38.35
2014-08-27,38.7
2014-08-28,36.8
2014-09-01,38.0
2014-09-02,37.3
2014-09-03,36.3
2014-09-04,37.8
2014-09-05,41.45
2014-09-08,42.1
2014-09-09,40.85
2014-09-10,41.0
2014-09-11,41.6
2014-09-12,41.4
2014-09-15,42.9
2014-09-16,39.0
2014-09-17,39.65
2014-09-18,41.9
2014-09-19,41.75
2014-09-22,41.8
2014-09-23,39.45
2014-09-24,38.8
2014-09-25,36.2
2014-09-26,38.45
2014-09-29,38.3
2014-09-30,38.5
2014-10-01,37.15
2014-10-07,35.4
2014-10-08,37.05
2014-10-09,37.6
2014-10-10,36.5
2014-10-13,36.05
2014-10-14,35.65
2014-10-16,32.6
2014-10-17,33.85
2014-10-20,34.3
2014-10-21,34.05
2014-10-22,34.3
2014-10-23,35.25
2014-10-27,37.25
2014-10-28,38.45
2014-10-29,37.45
2014-10-30,36.7
2014-10-31,37.45
2014-11-03,37.25
2014-11-05,41.4
2014-11-07,41.7
2014-11-10,41.75
2014-11-11,40.85
2014-11-12,40.5
2014-11-13,38.3
2014-11-14,38.25
2014-11-17,39.0
2014-11-18,38.45
2014-11-19,39.8
2014-11-20,41.3
2014-11-21,41.6
2014-11-24,39.85
2014-11-25,38.65
2014-11-26,39.05
2014-11-27,38.55
2014-11-28,37.4
2014-12-01,37.15
2014-12-02,37.65
2014-12-03,37.8
2014-12-04,37.45
2014-12-05,37.15
2014-12-08,36.3
2014-12-09,35.2
2014-12-10,35.05
2014-12-11,35.05
2014-12-12,33.95
2014-12-15,34.3
2014-12-16,32.8
2014-12-17,32.4
2014-12-18,33.75
2014-12-19,33.65
2014-12-22,33.3
2014-12-23,33.25
2014-12-24,32.9
2014-12-26,32.85
2014-12-29,32.5
2014-12-30,32.35
2014-12-31,35.1
