Date,BANKBARODA
2014-01-01,657.35
2014-01-02,649.8
2014-01-03,649.85
2014-01-06,637.25
2014-01-07,616.8
2014-01-08,629.6
2014-01-09,620.25
2014-01-10,612.55
2014-01-13,617.6
2014-01-14,620.45
2014-01-15,642.9
2014-01-16,642.1
2014-01-17,628.35
2014-01-20,622.65
2014-01-21,632.3
2014-01-22,633.0
2014-01-23,627.05
2014-01-24,602.5
2014-01-27,568.65
2014-01-28,567.4
2014-01-29,555.8
2014-01-30,531.35
2014-01-31,548.4
2014-02-03,531.0
2014-02-04,542.4
2014-02-05,543.25
2014-02-06,538.25
2014-02-07,557.9
2014-02-10,562.3
2014-02-11,561.35
2014-02-12,561.75
2014-02-13,530.3
2014-02-14,536.3
2014-02-17,533.05
2014-02-18,537.9
2014-02-19,531.5
2014-02-20,513.8
2014-02-21,518.0
2014-02-24,527.75
2014-02-25,537.25
2014-02-26,538.35
2014-02-28,551.15
2014-03-03,545.95
2014-03-04,576.75
2014-03-05,613.05
2014-03-06,615.55
2014-03-07,649.55
2014-03-10,651.95
2014-03-11,647.9
2014-03-12,641.95
2014-03-13,643.45
2014-03-14,656.9
2014-03-18,659.6
2014-03-19,659.3
2014-03-20,641.25
2014-03-21,656.15
2014-03-22,655.15
2014-03-24,665.1
2014-03-25,664.25
2014-03-26,678.95
2014-03-27,695.55
2014-03-28,731.3
2014-03-31,720.75
2014-04-01,736.85
2014-04-02,775.1
2014-04-03,757.15
2014-04-04,755.75
2014-04-07,750.35
2014-04-09,792.2
2014-04-10,787.1
2014-04-11,777.85
2014-04-15,753.1
2014-04-16,757.65
2014-04-17,771.3
2014-04-21,785.8
2014-04-22,780.5
2014-04-23,806.55
2014-04-25,809.3
2014-04-28,820.5
2014-04-29,817.15
2014-04-30,816.95
2014-05-02,801.25
2014-05-05,809.6
2014-05-06,805.85
2014-05-07,802.55
2014-05-08,809.9
2014-05-09,830.3
2014-05-12,839.85
2014-05-13,877.85
2014-05-14,957.85
2014-05-15,921.2
2014-05-16,934.15
2014-05-19,969.1
2014-05-20,937.05
2014-05-21,934.35
2014-05-22,925.1
2014-05-23,954.5
2014-05-26,911.45
2014-05-27,886.75
2014-05-28,874.0
2014-05-29,876.8
2014-05-30,842.65
2014-06-02,874.95
2014-06-03,869.5
2014-06-04,890.7
2014-06-05,885.1
2014-06-06,904.45
2014-06-09,905.0
2014-06-10,888.1
2014-06-11,891.35
2014-06-12,875.35
2014-06-13,840.85
2014-06-16,852.4
2014-06-17,876.25
2014-06-18,859.3
2014-06-19,843.7
2014-06-20,830.55
2014-06-23,835.1
2014-06-24,864.7
2014-06-25,867.95
2014-06-26,847.8
2014-06-27,846.35
2014-06-30,876.45
2014-07-01,878.25
2014-07-02,880.9
2014-07-03,875.95
2014-07-04,875.5
2014-07-07,865.1
2014-07-08,832.35
2014-07-09,834.45
2014-07-10,825.4
2014-07-11,782.65
2014-07-14,797.15
2014-07-15,829.55
2014-07-16,837.65
2014-07-17,845.95
2014-07-18,836.9
2014-07-21,837.4
2014-07-22,832.0
2014-07-23,853.65
2014-07-24,882.8
2014-07-25,862.15
2014-07-28,866.6
2014-07-30,886.6
2014-07-31,871.85
2014-08-01,893.6
2014-08-04,898.55
2014-08-05,909.4
2014-08-06,892.6
2014-08-07,878.4
2014-08-08,859.25
2014-08-11,892.65
2014-08-12,914.1
2014-08-13,875.1
2014-08-14,878.25
2014-08-18,886.3
2014-08-19,887.25
2014-08-20,880.3
2014-08-21,901.4
2014-08-22,919.85
2014-08-25,895.65
2014-08-26,891.35
2014-08-27,887.75
2014-08-28,871.5
2014-09-01,889.05
2014-09-02,889.7
2014-09-03,886.0
2014-09-04,876.65
2014-09-05,885.05
2014-09-08,890.25
2014-09-09,902.35
2014-09-10,906.1
2014-09-11,923.9
2014-09-12,944.6
2014-09-15,949.5
2014-09-16,923.15
2014-09-17,928.55
2014-09-18,957.25
2014-09-19,949.45
2014-09-22,954.6
2014-09-23,929.25
2014-09-24,905.6
2014-09-25,887.3
2014-09-26,896.75
2014-09-29,899.15
2014-09-30,902.3
2014-10-01,898.6
2014-10-07,866.4
2014-10-08,858.0
2014-10-09,871.1
2014-10-10,859.1
2014-10-13,865.35
2014-10-14,871.5
2014-10-16,867.7
2014-10-17,871.95
2014-10-20,873.65
2014-10-21,883.8
2014-10-22,887.85
2014-10-23,889.2
2014-10-27,905.65
2014-10-28,919.7
2014-10-29,906.3
2014-10-30,911.8
2014-10-31,929.5
2014-11-03,950.05
2014-11-05,952.65
2014-11-07,962.45
2014-11-10,985.05
2014-11-11,1012.05
2014-11-12,1018.8
2014-11-13,999.95
2014-11-14,1014.8
2014-11-17,1057.5
2014-11-18,1056.0
2014-11-19,1040.05
2014-11-20,1025.5
2014-11-21,1038.65
2014-11-24,1040.25
2014-11-25,1011.55
2014-11-26,1011.65
2014-11-27,1015.25
2014-11-28,1087.2
2014-12-01,1082.65
2014-12-02,1084.55
2014-12-03,1089.15
2014-12-04,1085.2
2014-12-05,1104.55
2014-12-08,1085.0
2014-12-09,1049.65
2014-12-10,1072.2
2014-12-11,1073.2
2014-12-12,1059.65
2014-12-15,1057.4
2014-12-16,1008.5
2014-12-17,1010.1
2014-12-18,1055.15
2014-12-19,1040.4
2014-12-22,1055.4
2014-12-23,1059.25
2014-12-24,1059.7
2014-12-26,1068.2
2014-12-29,1068.4
2014-12-30,1082.35
2014-12-31,1083.9
