Date,BALAMINES
2014-01-01,49.9
2014-01-02,49.15
2014-01-03,48.4
2014-01-06,47.35
2014-01-07,48.0
2014-01-08,47.3
2014-01-09,47.3
2014-01-10,46.2
2014-01-13,45.7
2014-01-14,53.05
2014-01-15,50.15
2014-01-16,47.9
2014-01-17,47.05
2014-01-20,47.1
2014-01-21,47.1
2014-01-22,48.0
2014-01-23,49.2
2014-01-24,48.45
2014-01-27,46.55
2014-01-28,49.25
2014-01-29,48.45
2014-01-30,38.9
2014-01-31,40.15
2014-02-03,38.7
2014-02-04,37.7
2014-02-05,38.3
2014-02-06,39.1
2014-02-07,38.95
2014-02-10,39.0
2014-02-11,38.7
2014-02-12,38.3
2014-02-13,38.05
2014-02-14,37.35
2014-02-17,36.25
2014-02-18,36.95
2014-02-19,36.35
2014-02-20,36.05
2014-02-21,36.2
2014-02-24,36.7
2014-02-25,36.8
2014-02-26,36.55
2014-02-28,36.9
2014-03-03,35.85
2014-03-04,36.1
2014-03-05,36.95
2014-03-06,38.1
2014-03-07,38.05
2014-03-10,38.8
2014-03-11,38.65
2014-03-12,38.0
2014-03-13,38.1
2014-03-14,38.4
2014-03-18,36.95
2014-03-19,37.7
2014-03-20,38.9
2014-03-21,39.0
2014-03-22,38.1
2014-03-24,41.3
2014-03-25,41.85
2014-03-26,41.2
2014-03-27,40.1
2014-03-28,39.5
2014-03-31,40.25
2014-04-01,40.7
2014-04-02,41.85
2014-04-03,41.45
2014-04-04,40.4
2014-04-07,41.5
2014-04-09,42.6
2014-04-10,42.7
2014-04-11,43.05
2014-04-15,43.35
2014-04-16,40.9
2014-04-17,41.9
2014-04-21,42.75
2014-04-22,42.35
2014-04-23,42.7
2014-04-25,42.4
2014-04-28,42.4
2014-04-29,42.8
2014-04-30,42.0
2014-05-02,41.5
2014-05-05,43.1
2014-05-06,42.75
2014-05-07,41.0
2014-05-08,48.7
2014-05-09,45.55
2014-05-12,43.9
2014-05-13,43.95
2014-05-14,43.75
2014-05-15,43.05
2014-05-16,43.65
2014-05-19,46.0
2014-05-20,48.8
2014-05-21,48.35
2014-05-22,50.6
2014-05-23,49.5
2014-05-26,47.0
2014-05-27,46.5
2014-05-28,47.9
2014-05-29,48.1
2014-05-30,49.35
2014-06-02,55.6
2014-06-03,59.35
2014-06-04,58.75
2014-06-05,57.35
2014-06-06,57.0
2014-06-09,60.25
2014-06-10,60.9
2014-06-11,61.2
2014-06-12,62.8
2014-06-13,59.55
2014-06-16,59.75
2014-06-17,63.4
2014-06-18,61.5
2014-06-19,61.6
2014-06-20,60.8
2014-06-23,59.8
2014-06-24,61.65
2014-06-25,60.75
2014-06-26,60.75
2014-06-27,60.6
2014-06-30,60.85
2014-07-01,63.15
2014-07-02,70.1
2014-07-03,71.4
2014-07-04,73.8
2014-07-07,73.35
2014-07-08,68.1
2014-07-09,67.75
2014-07-10,68.9
2014-07-11,67.4
2014-07-14,68.05
2014-07-15,69.1
2014-07-16,69.3
2014-07-17,71.3
2014-07-18,71.1
2014-07-21,78.9
2014-07-22,77.1
2014-07-23,77.15
2014-07-24,77.25
2014-07-25,74.05
2014-07-28,73.6
2014-07-30,70.75
2014-07-31,68.45
2014-08-01,67.55
2014-08-04,70.2
2014-08-05,73.55
2014-08-06,72.45
2014-08-07,70.7
2014-08-08,70.45
2014-08-11,71.4
2014-08-12,74.05
2014-08-13,74.4
2014-08-14,76.45
2014-08-18,76.0
2014-08-19,76.65
2014-08-20,79.4
2014-08-21,83.0
2014-08-22,87.75
2014-08-25,83.55
2014-08-26,85.8
2014-08-27,87.95
2014-08-28,89.7
2014-09-01,94.0
2014-09-02,96.75
2014-09-03,93.0
2014-09-04,92.5
2014-09-05,91.0
2014-09-08,92.95
2014-09-09,93.05
2014-09-10,90.6
2014-09-11,91.9
2014-09-12,91.7
2014-09-15,90.1
2014-09-16,83.75
2014-09-17,86.3
2014-09-18,87.15
2014-09-19,85.4
2014-09-22,86.3
2014-09-23,84.05
2014-09-24,80.6
2014-09-25,74.8
2014-09-26,78.8
2014-09-29,81.85
2014-09-30,79.0
2014-10-01,78.6
2014-10-07,76.9
2014-10-08,75.6
2014-10-09,83.5
2014-10-10,82.85
2014-10-13,82.55
2014-10-14,81.35
2014-10-16,77.25
2014-10-17,77.6
2014-10-20,78.45
2014-10-21,78.25
2014-10-22,78.3
2014-10-23,79.7
2014-10-27,78.95
2014-10-28,79.05
2014-10-29,78.3
2014-10-30,80.15
2014-10-31,80.85
2014-11-03,79.95
2014-11-05,80.65
2014-11-07,80.95
2014-11-10,80.95
2014-11-11,79.55
2014-11-12,78.45
2014-11-13,78.2
2014-11-14,78.45
2014-11-17,76.05
2014-11-18,74.7
2014-11-19,75.35
2014-11-20,74.85
2014-11-21,73.6
2014-11-24,74.5
2014-11-25,71.3
2014-11-26,71.5
2014-11-27,72.45
2014-11-28,73.2
2014-12-01,71.75
2014-12-02,72.45
2014-12-03,73.5
2014-12-04,74.15
2014-12-05,74.4
2014-12-08,74.45
2014-12-09,71.9
2014-12-10,72.4
2014-12-11,71.05
2014-12-12,70.4
2014-12-15,70.1
2014-12-16,69.25
2014-12-17,67.1
2014-12-18,72.8
2014-12-19,71.0
2014-12-22,69.55
2014-12-23,69.9
2014-12-24,69.95
2014-12-26,71.55
2014-12-29,70.75
2014-12-30,69.75
2014-12-31,70.9
