Date,NATIONALUM
2014-01-01,37.9
2014-01-02,37.15
2014-01-03,37.0
2014-01-06,37.25
2014-01-07,37.1
2014-01-08,37.05
2014-01-09,36.9
2014-01-10,38.0
2014-01-13,37.0
2014-01-14,36.65
2014-01-15,36.95
2014-01-16,37.0
2014-01-17,36.55
2014-01-20,36.35
2014-01-21,36.4
2014-01-22,36.95
2014-01-23,36.6
2014-01-24,36.2
2014-01-27,35.2
2014-01-28,37.05
2014-01-29,36.55
2014-01-30,35.05
2014-01-31,33.55
2014-02-03,33.25
2014-02-04,32.95
2014-02-05,32.85
2014-02-06,33.0
2014-02-07,32.75
2014-02-10,32.9
2014-02-11,32.8
2014-02-12,32.8
2014-02-13,32.6
2014-02-14,32.55
2014-02-17,32.4
2014-02-18,32.3
2014-02-19,32.45
2014-02-20,31.8
2014-02-21,32.0
2014-02-24,32.25
2014-02-25,32.0
2014-02-26,32.3
2014-02-28,32.8
2014-03-03,32.85
2014-03-04,33.8
2014-03-05,32.85
2014-03-06,34.0
2014-03-07,33.65
2014-03-10,35.1
2014-03-11,34.55
2014-03-12,34.25
2014-03-13,35.05
2014-03-14,34.85
2014-03-18,34.7
2014-03-19,34.9
2014-03-20,35.05
2014-03-21,35.9
2014-03-22,35.8
2014-03-24,35.75
2014-03-25,35.95
2014-03-26,36.9
2014-03-27,38.45
2014-03-28,38.6
2014-03-31,39.75
2014-04-01,40.0
2014-04-02,39.9
2014-04-03,38.75
2014-04-04,39.2
2014-04-07,39.05
2014-04-09,39.85
2014-04-10,39.75
2014-04-11,40.65
2014-04-15,39.1
2014-04-16,39.55
2014-04-17,39.55
2014-04-21,40.2
2014-04-22,40.0
2014-04-23,40.25
2014-04-25,40.25
2014-04-28,39.65
2014-04-29,39.2
2014-04-30,38.2
2014-05-02,38.9
2014-05-05,39.3
2014-05-06,39.9
2014-05-07,39.0
2014-05-08,38.8
2014-05-09,38.95
2014-05-12,38.65
2014-05-13,41.2
2014-05-14,42.45
2014-05-15,45.2
2014-05-16,45.3
2014-05-19,48.9
2014-05-20,50.7
2014-05-21,50.45
2014-05-22,53.65
2014-05-23,58.4
2014-05-26,53.25
2014-05-27,51.9
2014-05-28,51.25
2014-05-29,51.05
2014-05-30,49.15
2014-06-02,53.35
2014-06-03,53.15
2014-06-04,56.3
2014-06-05,56.65
2014-06-06,55.7
2014-06-09,56.2
2014-06-10,55.9
2014-06-11,56.45
2014-06-12,56.8
2014-06-13,54.6
2014-06-16,54.55
2014-06-17,55.1
2014-06-18,57.6
2014-06-19,56.1
2014-06-20,55.9
2014-06-23,54.9
2014-06-24,58.25
2014-06-25,62.15
2014-06-26,61.25
2014-06-27,58.8
2014-06-30,59.0
2014-07-01,61.0
2014-07-02,60.4
2014-07-03,59.25
2014-07-04,59.45
2014-07-07,58.75
2014-07-08,54.2
2014-07-09,54.85
2014-07-10,56.65
2014-07-11,51.8
2014-07-14,52.7
2014-07-15,54.4
2014-07-16,55.55
2014-07-17,56.45
2014-07-18,56.0
2014-07-21,57.1
2014-07-22,60.7
2014-07-23,59.65
2014-07-24,61.05
2014-07-25,62.0
2014-07-28,60.95
2014-07-30,58.9
2014-07-31,57.95
2014-08-01,56.9
2014-08-04,58.55
2014-08-05,59.8
2014-08-06,58.5
2014-08-07,59.3
2014-08-08,56.3
2014-08-11,56.9
2014-08-12,56.2
2014-08-13,54.65
2014-08-14,56.6
2014-08-18,58.1
2014-08-19,58.55
2014-08-20,56.95
2014-08-21,57.95
2014-08-22,57.6
2014-08-25,53.95
2014-08-26,53.1
2014-08-27,52.7
2014-08-28,56.5
2014-09-01,57.95
2014-09-02,58.95
2014-09-03,57.2
2014-09-04,58.35
2014-09-05,63.4
2014-09-08,65.15
2014-09-09,63.2
2014-09-10,64.85
2014-09-11,66.3
2014-09-12,65.35
2014-09-15,65.4
2014-09-16,60.75
2014-09-17,64.95
2014-09-18,66.35
2014-09-19,68.15
2014-09-22,65.3
2014-09-23,60.5
2014-09-24,60.3
2014-09-25,57.2
2014-09-26,58.8
2014-09-29,59.05
2014-09-30,57.65
2014-10-01,56.6
2014-10-07,54.05
2014-10-08,57.45
2014-10-09,59.75
2014-10-10,59.0
2014-10-13,60.35
2014-10-14,60.85
2014-10-16,58.3
2014-10-17,59.75
2014-10-20,59.15
2014-10-21,58.95
2014-10-22,59.6
2014-10-23,59.8
2014-10-27,58.95
2014-10-28,58.8
2014-10-29,58.85
2014-10-30,58.4
2014-10-31,57.3
2014-11-03,60.3
2014-11-05,58.45
2014-11-07,60.0
2014-11-10,59.0
2014-11-11,58.75
2014-11-12,58.6
2014-11-13,60.35
2014-11-14,59.8
2014-11-17,59.9
2014-11-18,61.0
2014-11-19,60.85
2014-11-20,60.0
2014-11-21,60.3
2014-11-24,61.6
2014-11-25,61.95
2014-11-26,60.7
2014-11-27,60.6
2014-11-28,60.6
2014-12-01,58.1
2014-12-02,57.85
2014-12-03,58.7
2014-12-04,57.8
2014-12-05,57.3
2014-12-08,56.9
2014-12-09,55.15
2014-12-10,54.2
2014-12-11,52.4
2014-12-12,51.2
2014-12-15,51.25
2014-12-16,49.9
2014-12-17,49.8
2014-12-18,51.3
2014-12-19,52.6
2014-12-22,53.85
2014-12-23,52.4
2014-12-24,53.05
2014-12-26,53.35
2014-12-29,54.5
2014-12-30,53.5
2014-12-31,53.65
