Date,KARURVYSYA
2014-01-01,350.95
2014-01-02,344.9
2014-01-03,351.3
2014-01-06,350.0
2014-01-07,346.7
2014-01-08,345.1
2014-01-09,340.2
2014-01-10,337.05
2014-01-13,336.3
2014-01-14,337.35
2014-01-15,335.95
2014-01-16,332.85
2014-01-17,332.0
2014-01-20,332.65
2014-01-21,334.1
2014-01-22,339.35
2014-01-23,335.5
2014-01-24,332.75
2014-01-27,332.3
2014-01-28,332.8
2014-01-29,332.75
2014-01-30,326.55
2014-01-31,323.6
2014-02-03,320.45
2014-02-04,321.55
2014-02-05,320.8
2014-02-06,320.1
2014-02-07,323.65
2014-02-10,320.55
2014-02-11,318.9
2014-02-12,318.95
2014-02-13,316.25
2014-02-14,316.45
2014-02-17,313.9
2014-02-18,314.25
2014-02-19,315.6
2014-02-20,313.8
2014-02-21,313.7
2014-02-24,313.45
2014-02-25,313.5
2014-02-26,311.2
2014-02-28,314.95
2014-03-03,311.35
2014-03-04,314.8
2014-03-05,315.95
2014-03-06,317.8
2014-03-07,315.5
2014-03-10,319.2
2014-03-11,316.4
2014-03-12,317.85
2014-03-13,317.75
2014-03-14,317.2
2014-03-18,319.85
2014-03-19,318.45
2014-03-20,317.85
2014-03-21,321.2
2014-03-22,326.2
2014-03-24,328.05
2014-03-25,334.15
2014-03-26,345.5
2014-03-27,360.25
2014-03-28,364.65
2014-03-31,375.3
2014-04-01,367.95
2014-04-02,368.75
2014-04-03,365.05
2014-04-04,356.35
2014-04-07,356.65
2014-04-09,370.05
2014-04-10,376.7
2014-04-11,377.15
2014-04-15,371.35
2014-04-16,366.35
2014-04-17,372.15
2014-04-21,388.95
2014-04-22,392.95
2014-04-23,389.65
2014-04-25,388.3
2014-04-28,385.0
2014-04-29,392.15
2014-04-30,389.35
2014-05-02,383.45
2014-05-05,382.5
2014-05-06,381.45
2014-05-07,374.85
2014-05-08,372.35
2014-05-09,380.4
2014-05-12,383.4
2014-05-13,383.45
2014-05-14,393.25
2014-05-15,388.9
2014-05-16,400.1
2014-05-19,417.6
2014-05-20,428.35
2014-05-21,435.9
2014-05-22,462.95
2014-05-23,462.05
2014-05-26,455.8
2014-05-27,447.65
2014-05-28,442.2
2014-05-29,438.0
2014-05-30,448.05
2014-06-02,464.9
2014-06-03,464.55
2014-06-04,474.35
2014-06-05,474.25
2014-06-06,488.4
2014-06-09,487.45
2014-06-10,477.5
2014-06-11,476.2
2014-06-12,487.1
2014-06-13,473.95
2014-06-16,459.15
2014-06-17,465.1
2014-06-18,460.55
2014-06-19,451.65
2014-06-20,450.95
2014-06-23,450.2
2014-06-24,451.35
2014-06-25,461.7
2014-06-26,464.7
2014-06-27,459.5
2014-06-30,464.85
2014-07-01,475.1
2014-07-02,490.15
2014-07-03,480.95
2014-07-04,481.95
2014-07-07,503.9
2014-07-08,490.35
2014-07-09,480.25
2014-07-10,487.0
2014-07-11,469.95
2014-07-14,463.05
2014-07-15,474.2
2014-07-16,480.65
2014-07-17,485.85
2014-07-18,487.6
2014-07-21,489.5
2014-07-22,489.75
2014-07-23,484.45
2014-07-24,484.0
2014-07-25,481.35
2014-07-28,483.95
2014-07-30,487.2
2014-07-31,483.75
2014-08-01,474.9
2014-08-04,473.9
2014-08-05,472.5
2014-08-06,471.65
2014-08-07,465.8
2014-08-08,456.0
2014-08-11,458.9
2014-08-12,457.75
2014-08-13,458.2
2014-08-14,458.6
2014-08-18,460.55
2014-08-19,468.45
2014-08-20,475.9
2014-08-21,472.35
2014-08-22,480.5
2014-08-25,474.15
2014-08-26,468.3
2014-08-27,471.4
2014-08-28,470.05
2014-09-01,472.1
2014-09-02,473.2
2014-09-03,478.1
2014-09-04,493.5
2014-09-05,500.1
2014-09-08,504.45
2014-09-09,513.4
2014-09-10,507.1
2014-09-11,517.9
2014-09-12,529.8
2014-09-15,541.05
2014-09-16,512.1
2014-09-17,511.6
2014-09-18,516.2
2014-09-19,547.4
2014-09-22,544.0
2014-09-23,525.65
2014-09-24,520.55
2014-09-25,515.2
2014-09-26,517.85
2014-09-29,525.6
2014-09-30,530.35
2014-10-01,531.85
2014-10-07,517.6
2014-10-08,518.55
2014-10-09,527.1
2014-10-10,522.25
2014-10-13,521.0
2014-10-14,532.85
2014-10-16,524.9
2014-10-17,526.1
2014-10-20,535.15
2014-10-21,539.8
2014-10-22,540.1
2014-10-23,541.85
2014-10-27,539.95
2014-10-28,542.7
2014-10-29,541.65
2014-10-30,542.25
2014-10-31,545.4
2014-11-03,552.6
2014-11-05,550.15
2014-11-07,542.9
2014-11-10,523.2
2014-11-11,528.6
2014-11-12,536.4
2014-11-13,532.35
2014-11-14,530.85
2014-11-17,533.05
2014-11-18,532.45
2014-11-19,523.85
2014-11-20,527.1
2014-11-21,532.25
2014-11-24,532.55
2014-11-25,528.0
2014-11-26,520.4
2014-11-27,524.3
2014-11-28,536.5
2014-12-01,527.0
2014-12-02,532.2
2014-12-03,550.25
2014-12-04,562.25
2014-12-05,552.6
2014-12-08,554.45
2014-12-09,540.2
2014-12-10,539.05
2014-12-11,549.35
2014-12-12,547.3
2014-12-15,558.4
2014-12-16,546.3
2014-12-17,547.05
2014-12-18,559.9
2014-12-19,572.85
2014-12-22,565.3
2014-12-23,566.35
2014-12-24,557.15
2014-12-26,558.3
2014-12-29,558.3
2014-12-30,557.45
2014-12-31,573.8
