Date,KSCL
2014-01-01,1828.65
2014-01-02,1816.95
2014-01-03,1839.6
2014-01-06,1852.4
2014-01-07,1960.8
2014-01-08,1983.9
2014-01-09,1942.15
2014-01-10,1921.8
2014-01-13,1915.05
2014-01-14,1911.25
2014-01-15,1888.65
2014-01-16,1898.95
2014-01-17,1894.95
2014-01-20,1899.55
2014-01-21,1915.4
2014-01-22,1941.85
2014-01-23,2028.7
2014-01-24,2038.15
2014-01-27,427.4
2014-01-28,433.75
2014-01-29,415.45
2014-01-30,404.15
2014-01-31,418.25
2014-02-03,473.15
2014-02-04,474.0
2014-02-05,489.3
2014-02-06,498.65
2014-02-07,499.1
2014-02-10,543.25
2014-02-11,523.1
2014-02-12,526.4
2014-02-13,519.25
2014-02-14,520.05
2014-02-17,506.35
2014-02-18,509.45
2014-02-19,510.05
2014-02-20,500.1
2014-02-21,498.5
2014-02-24,505.7
2014-02-25,513.0
2014-02-26,514.2
2014-02-28,548.6
2014-03-03,582.6
2014-03-04,594.45
2014-03-05,587.85
2014-03-06,575.65
2014-03-07,541.25
2014-03-10,535.05
2014-03-11,565.95
2014-03-12,562.25
2014-03-13,543.8
2014-03-14,534.95
2014-03-18,566.65
2014-03-19,568.05
2014-03-20,595.35
2014-03-21,591.0
2014-03-22,599.05
2014-03-24,580.6
2014-03-25,592.75
2014-03-26,594.55
2014-03-27,604.65
2014-03-28,639.95
2014-03-31,639.7
2014-04-01,635.5
2014-04-02,623.35
2014-04-03,609.35
2014-04-04,619.6
2014-04-07,601.2
2014-04-09,609.95
2014-04-10,610.75
2014-04-11,619.8
2014-04-15,610.4
2014-04-16,621.05
2014-04-17,620.35
2014-04-21,646.85
2014-04-22,616.2
2014-04-23,626.1
2014-04-25,626.5
2014-04-28,630.15
2014-04-29,634.0
2014-04-30,632.65
2014-05-02,656.35
2014-05-05,631.3
2014-05-06,609.7
2014-05-07,613.65
2014-05-08,609.75
2014-05-09,603.95
2014-05-12,571.25
2014-05-13,552.6
2014-05-14,522.2
2014-05-15,521.45
2014-05-16,532.6
2014-05-19,541.6
2014-05-20,560.65
2014-05-21,587.95
2014-05-22,606.75
2014-05-23,644.55
2014-05-26,651.4
2014-05-27,653.25
2014-05-28,650.75
2014-05-29,623.1
2014-05-30,634.2
2014-06-02,672.05
2014-06-03,666.05
2014-06-04,647.25
2014-06-05,650.15
2014-06-06,653.25
2014-06-09,656.35
2014-06-10,644.65
2014-06-11,640.4
2014-06-12,648.55
2014-06-13,643.85
2014-06-16,628.4
2014-06-17,630.85
2014-06-18,646.4
2014-06-19,659.45
2014-06-20,663.25
2014-06-23,653.6
2014-06-24,724.15
2014-06-25,706.75
2014-06-26,718.65
2014-06-27,721.2
2014-06-30,761.6
2014-07-01,760.15
2014-07-02,779.75
2014-07-03,792.85
2014-07-04,800.85
2014-07-07,814.2
2014-07-08,798.3
2014-07-09,788.95
2014-07-10,755.9
2014-07-11,725.9
2014-07-14,690.65
2014-07-15,724.3
2014-07-16,745.75
2014-07-17,763.8
2014-07-18,760.8
2014-07-21,818.75
2014-07-22,834.5
2014-07-23,782.4
2014-07-24,766.6
2014-07-25,748.6
2014-07-28,757.45
2014-07-30,736.8
2014-07-31,727.9
2014-08-01,700.8
2014-08-04,733.4
2014-08-05,769.4
2014-08-06,781.6
2014-08-07,774.1
2014-08-08,783.5
2014-08-11,786.15
2014-08-12,796.8
2014-08-13,813.2
2014-08-14,833.75
2014-08-18,807.6
2014-08-19,823.8
2014-08-20,829.0
2014-08-21,834.35
2014-08-22,835.6
2014-08-25,830.35
2014-08-26,852.8
2014-08-27,886.65
2014-08-28,904.6
2014-09-01,889.55
2014-09-02,896.65
2014-09-03,925.15
2014-09-04,941.55
2014-09-05,949.7
2014-09-08,966.95
2014-09-09,954.25
2014-09-10,956.4
2014-09-11,989.95
2014-09-12,1022.3
2014-09-15,948.15
2014-09-16,905.05
2014-09-17,907.4
2014-09-18,904.6
2014-09-19,887.35
2014-09-22,869.25
2014-09-23,848.0
2014-09-24,830.6
2014-09-25,798.85
2014-09-26,841.4
2014-09-29,841.95
2014-09-30,811.55
2014-10-01,834.85
2014-10-07,858.2
2014-10-08,871.55
2014-10-09,882.65
2014-10-10,852.25
2014-10-13,823.1
2014-10-14,843.8
2014-10-16,832.1
2014-10-17,821.75
2014-10-20,844.0
2014-10-21,870.2
2014-10-22,919.5
2014-10-23,914.4
2014-10-27,919.45
2014-10-28,916.0
2014-10-29,916.6
2014-10-30,915.45
2014-10-31,922.2
2014-11-03,931.15
2014-11-05,941.3
2014-11-07,951.05
2014-11-10,960.1
2014-11-11,928.1
2014-11-12,901.25
2014-11-13,907.6
2014-11-14,908.3
2014-11-17,926.5
2014-11-18,929.3
2014-11-19,952.4
2014-11-20,950.95
2014-11-21,922.65
2014-11-24,889.6
2014-11-25,911.8
2014-11-26,887.15
2014-11-27,868.7
2014-11-28,860.65
2014-12-01,852.1
2014-12-02,843.65
2014-12-03,842.85
2014-12-04,824.9
2014-12-05,800.65
2014-12-08,778.5
2014-12-09,782.9
2014-12-10,811.5
2014-12-11,821.95
2014-12-12,817.35
2014-12-15,829.55
2014-12-16,812.8
2014-12-17,816.2
2014-12-18,807.9
2014-12-19,803.7
2014-12-22,804.95
2014-12-23,798.0
2014-12-24,789.5
2014-12-26,785.4
2014-12-29,794.05
2014-12-30,780.25
2014-12-31,771.45
