Date,IRB
2014-01-01,96.3
2014-01-02,94.7
2014-01-03,95.35
2014-01-06,93.25
2014-01-07,92.2
2014-01-08,94.45
2014-01-09,91.4
2014-01-10,90.15
2014-01-13,87.85
2014-01-14,87.5
2014-01-15,88.1
2014-01-16,85.5
2014-01-17,81.5
2014-01-20,84.05
2014-01-21,83.85
2014-01-22,83.75
2014-01-23,83.85
2014-01-24,82.7
2014-01-27,74.15
2014-01-28,70.15
2014-01-29,71.0
2014-01-30,73.5
2014-01-31,77.15
2014-02-03,74.5
2014-02-04,76.4
2014-02-05,74.25
2014-02-06,72.05
2014-02-07,73.15
2014-02-10,73.2
2014-02-11,73.65
2014-02-12,74.45
2014-02-13,72.7
2014-02-14,73.05
2014-02-17,74.55
2014-02-18,75.25
2014-02-19,77.15
2014-02-20,77.25
2014-02-21,77.55
2014-02-24,79.7
2014-02-25,77.0
2014-02-26,77.85
2014-02-28,78.95
2014-03-03,77.8
2014-03-04,81.65
2014-03-05,82.35
2014-03-06,86.45
2014-03-07,93.3
2014-03-10,95.9
2014-03-11,99.85
2014-03-12,100.55
2014-03-13,98.7
2014-03-14,98.55
2014-03-18,93.4
2014-03-19,95.0
2014-03-20,94.5
2014-03-21,95.6
2014-03-22,95.2
2014-03-24,95.6
2014-03-25,96.4
2014-03-26,98.2
2014-03-27,96.6
2014-03-28,101.6
2014-03-31,103.3
2014-04-01,103.95
2014-04-02,105.7
2014-04-03,106.9
2014-04-04,112.45
2014-04-07,113.7
2014-04-09,116.55
2014-04-10,121.45
2014-04-11,119.3
2014-04-15,115.55
2014-04-16,110.55
2014-04-17,117.05
2014-04-21,118.55
2014-04-22,119.5
2014-04-23,115.8
2014-04-25,117.5
2014-04-28,117.0
2014-04-29,120.25
2014-04-30,114.75
2014-05-02,115.8
2014-05-05,114.05
2014-05-06,116.05
2014-05-07,124.0
2014-05-08,125.75
2014-05-09,131.75
2014-05-12,148.25
2014-05-13,154.35
2014-05-14,155.2
2014-05-15,151.6
2014-05-16,154.2
2014-05-19,173.5
2014-05-20,179.25
2014-05-21,183.3
2014-05-22,186.7
2014-05-23,190.1
2014-05-26,192.6
2014-05-27,196.65
2014-05-28,197.4
2014-05-29,194.6
2014-05-30,197.1
2014-06-02,201.8
2014-06-03,203.6
2014-06-04,207.95
2014-06-05,208.85
2014-06-06,214.15
2014-06-09,219.25
2014-06-10,211.6
2014-06-11,201.85
2014-06-12,198.65
2014-06-13,191.95
2014-06-16,194.1
2014-06-17,209.7
2014-06-18,204.15
2014-06-19,205.3
2014-06-20,204.7
2014-06-23,206.3
2014-06-24,216.6
2014-06-25,229.1
2014-06-26,226.4
2014-06-27,224.6
2014-06-30,229.5
2014-07-01,235.4
2014-07-02,247.75
2014-07-03,250.6
2014-07-04,256.85
2014-07-07,267.7
2014-07-08,245.0
2014-07-09,236.4
2014-07-10,246.25
2014-07-11,243.6
2014-07-14,237.05
2014-07-15,239.9
2014-07-16,253.55
2014-07-17,270.7
2014-07-18,266.6
2014-07-21,265.9
2014-07-22,257.45
2014-07-23,262.45
2014-07-24,262.7
2014-07-25,249.6
2014-07-28,235.6
2014-07-30,238.9
2014-07-31,257.55
2014-08-01,249.25
2014-08-04,254.65
2014-08-05,265.55
2014-08-06,258.1
2014-08-07,253.95
2014-08-08,245.25
2014-08-11,244.5
2014-08-12,251.15
2014-08-13,243.05
2014-08-14,246.8
2014-08-18,254.4
2014-08-19,258.95
2014-08-20,256.3
2014-08-21,259.85
2014-08-22,255.6
2014-08-25,249.75
2014-08-26,248.9
2014-08-27,254.8
2014-08-28,251.45
2014-09-01,248.25
2014-09-02,257.75
2014-09-03,261.6
2014-09-04,258.3
2014-09-05,266.15
2014-09-08,265.65
2014-09-09,267.55
2014-09-10,266.15
2014-09-11,264.45
2014-09-12,262.25
2014-09-15,258.8
2014-09-16,250.15
2014-09-17,241.4
2014-09-18,251.85
2014-09-19,243.2
2014-09-22,243.25
2014-09-23,239.45
2014-09-24,231.25
2014-09-25,231.3
2014-09-26,234.3
2014-09-29,235.1
2014-09-30,231.1
2014-10-01,227.75
2014-10-07,220.65
2014-10-08,220.7
2014-10-09,231.6
2014-10-10,228.5
2014-10-13,232.15
2014-10-14,232.85
2014-10-16,226.65
2014-10-17,229.9
2014-10-20,234.55
2014-10-21,242.75
2014-10-22,246.45
2014-10-23,246.4
2014-10-27,242.95
2014-10-28,251.8
2014-10-29,254.15
2014-10-30,254.5
2014-10-31,252.15
2014-11-03,258.85
2014-11-05,255.55
2014-11-07,261.3
2014-11-10,273.2
2014-11-11,274.0
2014-11-12,269.2
2014-11-13,264.9
2014-11-14,267.85
2014-11-17,275.15
2014-11-18,283.05
2014-11-19,278.75
2014-11-20,274.2
2014-11-21,268.3
2014-11-24,264.65
2014-11-25,261.8
2014-11-26,259.15
2014-11-27,267.7
2014-11-28,272.45
2014-12-01,270.15
2014-12-02,270.7
2014-12-03,268.95
2014-12-04,260.75
2014-12-05,258.15
2014-12-08,257.0
2014-12-09,252.15
2014-12-10,257.25
2014-12-11,254.35
2014-12-12,244.7
2014-12-15,246.4
2014-12-16,240.3
2014-12-17,241.8
2014-12-18,251.4
2014-12-19,250.1
2014-12-22,254.8
2014-12-23,250.9
2014-12-24,248.0
2014-12-26,247.9
2014-12-29,253.05
2014-12-30,259.35
2014-12-31,263.95
