Date,NITINFIRE
2014-01-01,62.6
2014-01-02,61.15
2014-01-03,60.65
2014-01-06,61.85
2014-01-07,61.1
2014-01-08,61.25
2014-01-09,60.9
2014-01-10,63.3
2014-01-13,63.4
2014-01-14,62.5
2014-01-15,62.1
2014-01-16,61.05
2014-01-17,60.45
2014-01-20,60.9
2014-01-21,60.35
2014-01-22,60.15
2014-01-23,60.45
2014-01-24,59.15
2014-01-27,58.1
2014-01-28,58.05
2014-01-29,57.8
2014-01-30,57.0
2014-01-31,58.25
2014-02-03,56.15
2014-02-04,57.35
2014-02-05,57.6
2014-02-06,57.35
2014-02-07,57.25
2014-02-10,57.95
2014-02-11,57.55
2014-02-12,60.0
2014-02-13,57.4
2014-02-14,57.1
2014-02-17,56.85
2014-02-18,57.65
2014-02-19,57.65
2014-02-20,56.75
2014-02-21,55.45
2014-02-24,55.95
2014-02-25,57.9
2014-02-26,58.0
2014-02-28,54.1
2014-03-03,51.75
2014-03-04,52.6
2014-03-05,51.65
2014-03-06,51.6
2014-03-07,51.2
2014-03-10,51.3
2014-03-11,51.85
2014-03-12,52.75
2014-03-13,52.6
2014-03-14,52.65
2014-03-18,52.0
2014-03-19,52.05
2014-03-20,52.25
2014-03-21,53.15
2014-03-22,53.45
2014-03-24,52.75
2014-03-25,52.3
2014-03-26,51.85
2014-03-27,52.4
2014-03-28,52.45
2014-03-31,53.2
2014-04-01,53.85
2014-04-02,53.9
2014-04-03,54.05
2014-04-04,55.0
2014-04-07,54.5
2014-04-09,55.75
2014-04-10,55.55
2014-04-11,55.3
2014-04-15,54.7
2014-04-16,54.6
2014-04-17,57.2
2014-04-21,60.05
2014-04-22,59.45
2014-04-23,56.2
2014-04-25,56.2
2014-04-28,57.65
2014-04-29,58.15
2014-04-30,57.25
2014-05-02,56.9
2014-05-05,57.85
2014-05-06,59.2
2014-05-07,58.8
2014-05-08,57.5
2014-05-09,58.35
2014-05-12,59.6
2014-05-13,61.8
2014-05-14,63.45
2014-05-15,61.65
2014-05-16,61.35
2014-05-19,65.85
2014-05-20,66.35
2014-05-21,64.95
2014-05-22,65.5
2014-05-23,64.95
2014-05-26,64.7
2014-05-27,64.3
2014-05-28,65.2
2014-05-29,64.15
2014-05-30,63.8
2014-06-02,63.55
2014-06-03,64.35
2014-06-04,65.1
2014-06-05,64.7
2014-06-06,64.45
2014-06-09,66.6
2014-06-10,65.5
2014-06-11,66.15
2014-06-12,65.7
2014-06-13,63.95
2014-06-16,64.95
2014-06-17,64.7
2014-06-18,64.6
2014-06-19,64.85
2014-06-20,67.65
2014-06-23,69.15
2014-06-24,72.7
2014-06-25,72.7
2014-06-26,72.9
2014-06-27,75.45
2014-06-30,73.95
2014-07-01,77.5
2014-07-02,75.3
2014-07-03,74.3
2014-07-04,73.35
2014-07-07,75.45
2014-07-08,70.5
2014-07-09,67.3
2014-07-10,67.8
2014-07-11,62.25
2014-07-14,62.2
2014-07-15,63.6
2014-07-16,64.0
2014-07-17,64.3
2014-07-18,64.2
2014-07-21,64.1
2014-07-22,64.55
2014-07-23,64.8
2014-07-24,64.1
2014-07-25,64.7
2014-07-28,64.05
2014-07-30,64.15
2014-07-31,64.1
2014-08-01,63.15
2014-08-04,64.1
2014-08-05,64.35
2014-08-06,64.25
2014-08-07,64.2
2014-08-08,63.35
2014-08-11,63.5
2014-08-12,62.9
2014-08-13,62.4
2014-08-14,62.3
2014-08-18,62.4
2014-08-19,62.1
2014-08-20,62.75
2014-08-21,62.3
2014-08-22,62.0
2014-08-25,62.05
2014-08-26,61.95
2014-08-27,63.0
2014-08-28,63.2
2014-09-01,65.1
2014-09-02,66.05
2014-09-03,65.45
2014-09-04,63.35
2014-09-05,63.25
2014-09-08,65.0
2014-09-09,67.45
2014-09-10,65.85
2014-09-11,65.9
2014-09-12,65.2
2014-09-15,64.3
2014-09-16,61.65
2014-09-17,61.95
2014-09-18,62.2
2014-09-19,63.75
2014-09-22,65.95
2014-09-23,63.85
2014-09-24,63.5
2014-09-25,62.25
2014-09-26,66.0
2014-09-29,68.95
2014-09-30,69.95
2014-10-01,69.2
2014-10-07,65.8
2014-10-08,64.65
2014-10-09,65.1
2014-10-10,63.45
2014-10-13,69.85
2014-10-14,68.85
2014-10-16,65.35
2014-10-17,65.05
2014-10-20,65.65
2014-10-21,63.85
2014-10-22,63.85
2014-10-23,63.9
2014-10-27,63.4
2014-10-28,63.75
2014-10-29,63.0
2014-10-30,62.65
2014-10-31,62.95
2014-11-03,62.3
2014-11-05,60.35
2014-11-07,57.45
2014-11-10,57.7
2014-11-11,56.75
2014-11-12,55.9
2014-11-13,43.4
2014-11-14,42.0
2014-11-17,39.65
2014-11-18,39.35
2014-11-19,38.1
2014-11-20,39.45
2014-11-21,37.8
2014-11-24,38.65
2014-11-25,37.35
2014-11-26,37.0
2014-11-27,35.45
2014-11-28,34.1
2014-12-01,32.85
2014-12-02,32.95
2014-12-03,32.9
2014-12-04,33.7
2014-12-05,32.95
2014-12-08,31.85
2014-12-09,31.65
2014-12-10,31.15
2014-12-11,31.95
2014-12-12,32.4
2014-12-15,32.9
2014-12-16,32.65
2014-12-17,31.75
2014-12-18,32.5
2014-12-19,32.05
2014-12-22,31.95
2014-12-23,31.65
2014-12-24,31.25
2014-12-26,31.15
2014-12-29,31.15
2014-12-30,31.0
2014-12-31,31.1
