Date,WOCKPHARMA
2014-01-01,462.55
2014-01-02,444.45
2014-01-03,441.95
2014-01-06,430.2
2014-01-07,436.1
2014-01-08,447.1
2014-01-09,438.15
2014-01-10,424.95
2014-01-13,418.45
2014-01-14,412.1
2014-01-15,407.55
2014-01-16,424.7
2014-01-17,413.6
2014-01-20,423.85
2014-01-21,423.35
2014-01-22,429.7
2014-01-23,423.3
2014-01-24,409.05
2014-01-27,388.45
2014-01-28,391.4
2014-01-29,399.2
2014-01-30,388.8
2014-01-31,394.45
2014-02-03,406.85
2014-02-04,407.25
2014-02-05,408.55
2014-02-06,410.5
2014-02-07,399.9
2014-02-10,414.0
2014-02-11,407.0
2014-02-12,402.55
2014-02-13,392.85
2014-02-14,394.6
2014-02-17,392.35
2014-02-18,396.5
2014-02-19,403.0
2014-02-20,414.05
2014-02-21,418.3
2014-02-24,414.4
2014-02-25,427.15
2014-02-26,427.6
2014-02-28,442.3
2014-03-03,441.95
2014-03-04,464.1
2014-03-05,464.0
2014-03-06,472.3
2014-03-07,460.65
2014-03-10,463.75
2014-03-11,440.4
2014-03-12,445.25
2014-03-13,457.35
2014-03-14,449.8
2014-03-18,459.4
2014-03-19,448.35
2014-03-20,443.65
2014-03-21,440.35
2014-03-22,439.95
2014-03-24,438.55
2014-03-25,441.05
2014-03-26,438.9
2014-03-27,453.0
2014-03-28,454.35
2014-03-31,457.7
2014-04-01,459.45
2014-04-02,551.3
2014-04-03,600.4
2014-04-04,607.15
2014-04-07,599.8
2014-04-09,601.9
2014-04-10,643.35
2014-04-11,653.35
2014-04-15,630.25
2014-04-16,617.95
2014-04-17,627.1
2014-04-21,625.55
2014-04-22,655.2
2014-04-23,659.0
2014-04-25,648.0
2014-04-28,722.4
2014-04-29,809.8
2014-04-30,767.4
2014-05-02,764.85
2014-05-05,775.3
2014-05-06,771.95
2014-05-07,776.65
2014-05-08,772.3
2014-05-09,768.6
2014-05-12,757.15
2014-05-13,761.75
2014-05-14,796.1
2014-05-15,778.25
2014-05-16,768.15
2014-05-19,713.65
2014-05-20,722.5
2014-05-21,731.65
2014-05-22,721.15
2014-05-23,718.2
2014-05-26,701.35
2014-05-27,669.45
2014-05-28,643.35
2014-05-29,591.25
2014-05-30,594.45
2014-06-02,613.0
2014-06-03,596.5
2014-06-04,572.3
2014-06-05,573.95
2014-06-06,572.85
2014-06-09,572.25
2014-06-10,593.8
2014-06-11,597.45
2014-06-12,603.25
2014-06-13,586.6
2014-06-16,592.35
2014-06-17,592.1
2014-06-18,578.1
2014-06-19,570.95
2014-06-20,564.65
2014-06-23,560.15
2014-06-24,563.35
2014-06-25,567.85
2014-06-26,563.15
2014-06-27,571.6
2014-06-30,575.35
2014-07-01,587.95
2014-07-02,624.15
2014-07-03,632.75
2014-07-04,617.75
2014-07-07,620.35
2014-07-08,584.85
2014-07-09,568.6
2014-07-10,569.4
2014-07-11,572.5
2014-07-14,562.95
2014-07-15,587.6
2014-07-16,605.95
2014-07-17,603.6
2014-07-18,586.25
2014-07-21,604.2
2014-07-22,642.7
2014-07-23,643.85
2014-07-24,658.7
2014-07-25,749.35
2014-07-28,690.8
2014-07-30,695.5
2014-07-31,671.95
2014-08-01,668.1
2014-08-04,675.45
2014-08-05,716.4
2014-08-06,716.75
2014-08-07,694.4
2014-08-08,697.55
2014-08-11,706.2
2014-08-12,678.6
2014-08-13,647.95
2014-08-14,675.85
2014-08-18,679.6
2014-08-19,698.75
2014-08-20,710.65
2014-08-21,705.05
2014-08-22,704.4
2014-08-25,713.05
2014-08-26,711.95
2014-08-27,703.7
2014-08-28,690.9
2014-09-01,709.65
2014-09-02,701.15
2014-09-03,700.45
2014-09-04,693.95
2014-09-05,787.05
2014-09-08,807.55
2014-09-09,844.55
2014-09-10,850.55
2014-09-11,838.6
2014-09-12,851.95
2014-09-15,865.8
2014-09-16,805.75
2014-09-17,822.25
2014-09-18,845.8
2014-09-19,820.25
2014-09-22,823.35
2014-09-23,809.55
2014-09-24,794.2
2014-09-25,760.4
2014-09-26,782.25
2014-09-29,794.6
2014-09-30,798.95
2014-10-01,806.2
2014-10-07,791.45
2014-10-08,782.25
2014-10-09,787.3
2014-10-10,772.2
2014-10-13,769.6
2014-10-14,756.95
2014-10-16,736.7
2014-10-17,729.75
2014-10-20,733.1
2014-10-21,740.15
2014-10-22,746.9
2014-10-23,751.85
2014-10-27,758.7
2014-10-28,756.45
2014-10-29,770.7
2014-10-30,757.1
2014-10-31,757.8
2014-11-03,770.2
2014-11-05,752.65
2014-11-07,784.9
2014-11-10,810.6
2014-11-11,820.0
2014-11-12,813.9
2014-11-13,796.1
2014-11-14,786.4
2014-11-17,775.55
2014-11-18,817.05
2014-11-19,821.9
2014-11-20,827.45
2014-11-21,817.9
2014-11-24,847.25
2014-11-25,809.55
2014-11-26,809.3
2014-11-27,827.6
2014-11-28,844.25
2014-12-01,856.6
2014-12-02,936.15
2014-12-03,971.0
2014-12-04,998.75
2014-12-05,1008.3
2014-12-08,1013.35
2014-12-09,1008.8
2014-12-10,1010.1
2014-12-11,1051.95
2014-12-12,1053.9
2014-12-15,1025.15
2014-12-16,975.45
2014-12-17,886.35
2014-12-18,940.65
2014-12-19,913.6
2014-12-22,930.0
2014-12-23,964.3
2014-12-24,976.7
2014-12-26,984.2
2014-12-29,1010.0
2014-12-30,1009.8
2014-12-31,1010.15
