Date,IVC
2014-01-01,12.75
2014-01-02,12.75
2014-01-03,12.9
2014-01-06,12.75
2014-01-07,12.65
2014-01-08,12.8
2014-01-09,12.75
2014-01-10,12.65
2014-01-13,12.65
2014-01-14,12.55
2014-01-15,12.65
2014-01-16,12.55
2014-01-17,12.8
2014-01-20,12.8
2014-01-21,12.75
2014-01-22,12.7
2014-01-23,12.7
2014-01-24,12.55
2014-01-27,12.35
2014-01-28,12.35
2014-01-29,12.55
2014-01-30,12.4
2014-01-31,12.5
2014-02-03,12.45
2014-02-04,12.45
2014-02-05,12.5
2014-02-06,12.55
2014-02-07,12.5
2014-02-10,12.45
2014-02-11,12.5
2014-02-12,12.5
2014-02-13,12.6
2014-02-14,12.5
2014-02-17,12.3
2014-02-18,12.25
2014-02-19,12.25
2014-02-20,12.15
2014-02-21,11.9
2014-02-24,11.95
2014-02-25,12.0
2014-02-26,11.95
2014-02-28,12.0
2014-03-03,11.85
2014-03-04,11.95
2014-03-05,12.0
2014-03-06,12.0
2014-03-07,12.6
2014-03-10,13.15
2014-03-11,12.75
2014-03-12,12.45
2014-03-13,12.6
2014-03-14,12.35
2014-03-18,12.5
2014-03-19,12.7
2014-03-20,12.6
2014-03-21,12.5
2014-03-22,12.5
2014-03-24,12.5
2014-03-25,12.3
2014-03-26,12.35
2014-03-27,12.25
2014-03-28,12.3
2014-03-31,12.3
2014-04-01,12.35
2014-04-02,12.9
2014-04-03,13.45
2014-04-04,14.3
2014-04-07,14.3
2014-04-09,14.0
2014-04-10,13.7
2014-04-11,14.25
2014-04-15,13.75
2014-04-16,13.5
2014-04-17,13.6
2014-04-21,13.7
2014-04-22,14.05
2014-04-23,14.0
2014-04-25,13.95
2014-04-28,13.95
2014-04-29,13.95
2014-04-30,13.6
2014-05-02,13.7
2014-05-05,13.8
2014-05-06,14.0
2014-05-07,14.3
2014-05-08,14.35
2014-05-09,14.4
2014-05-12,14.55
2014-05-13,15.05
2014-05-14,15.9
2014-05-15,16.0
2014-05-16,17.0
2014-05-19,18.8
2014-05-20,19.0
2014-05-21,18.7
2014-05-22,18.75
2014-05-23,20.55
2014-05-26,21.65
2014-05-27,21.8
2014-05-28,23.4
2014-05-29,22.85
2014-05-30,22.75
2014-06-02,22.65
2014-06-03,22.1
2014-06-04,23.05
2014-06-05,23.1
2014-06-06,22.8
2014-06-09,22.5
2014-06-10,25.55
2014-06-11,25.65
2014-06-12,26.45
2014-06-13,26.3
2014-06-16,25.25
2014-06-17,26.25
2014-06-18,25.65
2014-06-19,24.35
2014-06-20,23.95
2014-06-23,23.2
2014-06-24,23.4
2014-06-25,23.35
2014-06-26,23.4
2014-06-27,23.4
2014-06-30,25.05
2014-07-01,25.05
2014-07-02,25.5
2014-07-03,25.25
2014-07-04,25.0
2014-07-07,25.45
2014-07-08,24.3
2014-07-09,24.35
2014-07-10,25.0
2014-07-11,23.95
2014-07-14,24.7
2014-07-15,25.05
2014-07-16,26.5
2014-07-17,27.05
2014-07-18,26.65
2014-07-21,26.7
2014-07-22,26.55
2014-07-23,26.5
2014-07-24,27.0
2014-07-25,26.7
2014-07-28,26.95
2014-07-30,24.65
2014-07-31,24.75
2014-08-01,24.85
2014-08-04,24.75
2014-08-05,24.6
2014-08-06,24.3
2014-08-07,23.65
2014-08-08,23.05
2014-08-11,23.0
2014-08-12,21.3
2014-08-13,20.15
2014-08-14,19.9
2014-08-18,21.5
2014-08-19,22.05
2014-08-20,21.85
2014-08-21,21.5
2014-08-22,20.8
2014-08-25,20.85
2014-08-26,20.4
2014-08-27,20.15
2014-08-28,20.15
2014-09-01,20.75
2014-09-02,20.9
2014-09-03,20.75
2014-09-04,20.6
2014-09-05,20.75
2014-09-08,20.85
2014-09-09,20.9
2014-09-10,22.1
2014-09-11,24.75
2014-09-12,24.9
2014-09-15,24.35
2014-09-16,22.45
2014-09-17,22.3
2014-09-18,22.85
2014-09-19,22.6
2014-09-22,22.7
2014-09-23,22.05
2014-09-24,21.45
2014-09-25,21.1
2014-09-26,21.15
2014-09-29,21.5
2014-09-30,21.05
2014-10-01,21.5
2014-10-07,21.0
2014-10-08,20.85
2014-10-09,20.95
2014-10-10,20.4
2014-10-13,20.45
2014-10-14,20.8
2014-10-16,20.55
2014-10-17,20.35
2014-10-20,20.0
2014-10-21,20.0
2014-10-22,20.0
2014-10-23,20.55
2014-10-27,20.45
2014-10-28,19.95
2014-10-29,20.05
2014-10-30,20.2
2014-10-31,21.0
2014-11-03,21.95
2014-11-05,20.3
2014-11-07,19.95
2014-11-10,20.0
2014-11-11,19.95
2014-11-12,19.7
2014-11-13,19.15
2014-11-14,19.45
2014-11-17,19.95
2014-11-18,20.5
2014-11-19,20.2
2014-11-20,20.05
2014-11-21,20.0
2014-11-24,19.65
2014-11-25,19.65
2014-11-26,19.6
2014-11-27,19.7
2014-11-28,19.6
2014-12-01,19.55
2014-12-02,19.5
2014-12-03,19.55
2014-12-04,20.5
2014-12-05,20.4
2014-12-08,19.8
2014-12-09,19.65
2014-12-10,19.55
2014-12-11,19.5
2014-12-12,19.2
2014-12-15,19.1
2014-12-16,18.55
2014-12-17,18.2
2014-12-18,18.65
2014-12-19,18.45
2014-12-22,18.3
2014-12-23,18.6
2014-12-24,18.4
2014-12-26,18.6
2014-12-29,18.25
2014-12-30,18.25
2014-12-31,18.25
