Date,VIDEOIND
2014-01-01,173.3
2014-01-02,174.85
2014-01-03,174.2
2014-01-06,173.35
2014-01-07,177.65
2014-01-08,179.85
2014-01-09,175.3
2014-01-10,174.5
2014-01-13,171.4
2014-01-14,169.7
2014-01-15,171.0
2014-01-16,172.3
2014-01-17,168.05
2014-01-20,168.0
2014-01-21,169.35
2014-01-22,169.55
2014-01-23,169.05
2014-01-24,167.1
2014-01-27,164.45
2014-01-28,164.25
2014-01-29,164.3
2014-01-30,164.7
2014-01-31,166.8
2014-02-03,165.75
2014-02-04,165.1
2014-02-05,165.05
2014-02-06,165.1
2014-02-07,165.1
2014-02-10,165.0
2014-02-11,165.2
2014-02-12,165.1
2014-02-13,165.15
2014-02-14,165.35
2014-02-17,165.1
2014-02-18,165.05
2014-02-19,164.95
2014-02-20,164.1
2014-02-21,163.5
2014-02-24,163.75
2014-02-25,163.85
2014-02-26,163.4
2014-02-28,163.45
2014-03-03,162.45
2014-03-04,162.1
2014-03-05,161.95
2014-03-06,170.3
2014-03-07,168.8
2014-03-10,166.8
2014-03-11,166.9
2014-03-12,166.2
2014-03-13,163.1
2014-03-14,161.1
2014-03-18,163.2
2014-03-19,163.6
2014-03-20,161.55
2014-03-21,160.9
2014-03-22,162.3
2014-03-24,160.8
2014-03-25,160.9
2014-03-26,160.05
2014-03-27,160.4
2014-03-28,160.0
2014-03-31,160.65
2014-04-01,163.0
2014-04-02,162.5
2014-04-03,161.2
2014-04-04,162.95
2014-04-07,167.75
2014-04-09,173.3
2014-04-10,170.4
2014-04-11,180.55
2014-04-15,176.05
2014-04-16,169.95
2014-04-17,170.6
2014-04-21,171.0
2014-04-22,168.2
2014-04-23,167.1
2014-04-25,164.1
2014-04-28,166.5
2014-04-29,164.55
2014-04-30,160.7
2014-05-02,160.5
2014-05-05,159.25
2014-05-06,158.6
2014-05-07,159.1
2014-05-08,159.3
2014-05-09,159.8
2014-05-12,159.9
2014-05-13,160.45
2014-05-14,164.1
2014-05-15,163.25
2014-05-16,161.9
2014-05-19,168.75
2014-05-20,173.75
2014-05-21,172.4
2014-05-22,185.6
2014-05-23,188.55
2014-05-26,178.35
2014-05-27,176.55
2014-05-28,180.2
2014-05-29,176.6
2014-05-30,173.9
2014-06-02,177.05
2014-06-03,178.35
2014-06-04,181.6
2014-06-05,184.5
2014-06-06,189.85
2014-06-09,202.4
2014-06-10,207.9
2014-06-11,197.95
2014-06-12,195.7
2014-06-13,184.85
2014-06-16,184.4
2014-06-17,185.95
2014-06-18,184.55
2014-06-19,183.25
2014-06-20,180.5
2014-06-23,180.0
2014-06-24,184.55
2014-06-25,184.15
2014-06-26,185.75
2014-06-27,184.1
2014-06-30,184.7
2014-07-01,190.9
2014-07-02,190.75
2014-07-03,186.2
2014-07-04,195.45
2014-07-07,194.2
2014-07-08,184.35
2014-07-09,181.45
2014-07-10,182.2
2014-07-11,175.2
2014-07-14,173.6
2014-07-15,175.95
2014-07-16,179.45
2014-07-17,178.7
2014-07-18,177.45
2014-07-21,178.35
2014-07-22,177.95
2014-07-23,175.0
2014-07-24,173.75
2014-07-25,170.0
2014-07-28,168.55
2014-07-30,169.6
2014-07-31,167.9
2014-08-01,167.4
2014-08-04,167.65
2014-08-05,169.0
2014-08-06,167.35
2014-08-07,167.5
2014-08-08,164.75
2014-08-11,162.25
2014-08-12,165.7
2014-08-13,165.75
2014-08-14,165.8
2014-08-18,171.0
2014-08-19,169.35
2014-08-20,168.6
2014-08-21,167.2
2014-08-22,167.95
2014-08-25,167.25
2014-08-26,168.0
2014-08-27,170.4
2014-08-28,167.7
2014-09-01,167.25
2014-09-02,169.55
2014-09-03,170.4
2014-09-04,168.8
2014-09-05,169.8
2014-09-08,172.2
2014-09-09,178.2
2014-09-10,178.0
2014-09-11,177.75
2014-09-12,175.05
2014-09-15,172.9
2014-09-16,171.5
2014-09-17,171.95
2014-09-18,172.85
2014-09-19,168.3
2014-09-22,169.05
2014-09-23,171.0
2014-09-24,168.45
2014-09-25,165.6
2014-09-26,168.0
2014-09-29,167.0
2014-09-30,167.95
2014-10-01,169.05
2014-10-07,164.95
2014-10-08,167.05
2014-10-09,166.85
2014-10-10,166.5
2014-10-13,166.7
2014-10-14,166.25
2014-10-16,164.65
2014-10-17,165.1
2014-10-20,165.15
2014-10-21,164.7
2014-10-22,165.05
2014-10-23,165.85
2014-10-27,165.1
2014-10-28,165.05
2014-10-29,165.0
2014-10-30,164.95
2014-10-31,168.1
2014-11-03,167.0
2014-11-05,168.75
2014-11-07,166.2
2014-11-10,168.1
2014-11-11,169.2
2014-11-12,169.0
2014-11-13,165.5
2014-11-14,165.35
2014-11-17,164.9
2014-11-18,165.25
2014-11-19,163.75
2014-11-20,163.45
2014-11-21,163.4
2014-11-24,163.5
2014-11-25,163.15
2014-11-26,161.45
2014-11-27,161.4
2014-11-28,161.25
2014-12-01,160.75
2014-12-02,162.0
2014-12-03,162.4
2014-12-04,162.05
2014-12-05,161.95
2014-12-08,160.2
2014-12-09,157.8
2014-12-10,160.25
2014-12-11,160.65
2014-12-12,159.05
2014-12-15,159.25
2014-12-16,158.85
2014-12-17,159.55
2014-12-18,159.0
2014-12-19,158.85
2014-12-22,165.7
2014-12-23,165.55
2014-12-24,163.45
2014-12-26,163.2
2014-12-29,161.85
2014-12-30,161.55
2014-12-31,160.4
