Date,PREMIER
2014-01-01,58.9
2014-01-02,58.55
2014-01-03,58.3
2014-01-06,58.5
2014-01-07,57.3
2014-01-08,58.2
2014-01-09,56.95
2014-01-10,56.95
2014-01-13,59.25
2014-01-14,59.0
2014-01-15,58.5
2014-01-16,57.05
2014-01-17,55.35
2014-01-20,54.95
2014-01-21,56.0
2014-01-22,56.0
2014-01-23,56.3
2014-01-24,53.7
2014-01-27,52.5
2014-01-28,53.0
2014-01-29,52.75
2014-01-30,51.75
2014-01-31,52.3
2014-02-03,51.85
2014-02-04,51.05
2014-02-05,51.75
2014-02-06,52.0
2014-02-07,51.4
2014-02-10,52.2
2014-02-11,51.5
2014-02-12,51.55
2014-02-13,50.75
2014-02-14,51.8
2014-02-17,51.45
2014-02-18,52.35
2014-02-19,52.35
2014-02-20,52.25
2014-02-21,53.25
2014-02-24,52.4
2014-02-25,51.55
2014-02-26,51.65
2014-02-28,51.5
2014-03-03,51.25
2014-03-04,52.15
2014-03-05,53.05
2014-03-06,53.75
2014-03-07,52.4
2014-03-10,54.5
2014-03-11,58.1
2014-03-12,56.95
2014-03-13,55.15
2014-03-14,54.0
2014-03-18,53.0
2014-03-19,52.75
2014-03-20,54.05
2014-03-21,52.5
2014-03-22,53.55
2014-03-24,53.7
2014-03-25,54.8
2014-03-26,54.25
2014-03-27,53.55
2014-03-28,54.2
2014-03-31,55.4
2014-04-01,55.0
2014-04-02,55.85
2014-04-03,56.75
2014-04-04,57.85
2014-04-07,56.5
2014-04-09,57.9
2014-04-10,58.0
2014-04-11,58.25
2014-04-15,57.35
2014-04-16,56.4
2014-04-17,56.45
2014-04-21,57.85
2014-04-22,58.0
2014-04-23,59.45
2014-04-25,57.5
2014-04-28,57.25
2014-04-29,55.75
2014-04-30,56.15
2014-05-02,56.15
2014-05-05,56.2
2014-05-06,56.9
2014-05-07,57.25
2014-05-08,56.2
2014-05-09,56.0
2014-05-12,56.4
2014-05-13,57.15
2014-05-14,57.55
2014-05-15,56.3
2014-05-16,56.05
2014-05-19,56.6
2014-05-20,57.85
2014-05-21,65.7
2014-05-22,64.05
2014-05-23,64.8
2014-05-26,62.3
2014-05-27,61.05
2014-05-28,60.7
2014-05-29,60.0
2014-05-30,59.85
2014-06-02,60.2
2014-06-03,62.1
2014-06-04,64.4
2014-06-05,65.45
2014-06-06,66.7
2014-06-09,72.35
2014-06-10,70.8
2014-06-11,68.8
2014-06-12,77.85
2014-06-13,71.6
2014-06-16,72.25
2014-06-17,72.1
2014-06-18,69.6
2014-06-19,67.55
2014-06-20,67.8
2014-06-23,69.7
2014-06-24,70.15
2014-06-25,70.3
2014-06-26,72.65
2014-06-27,71.8
2014-06-30,72.5
2014-07-01,73.0
2014-07-02,72.7
2014-07-03,74.35
2014-07-04,81.9
2014-07-07,84.65
2014-07-08,76.75
2014-07-09,73.85
2014-07-10,74.2
2014-07-11,69.55
2014-07-14,70.7
2014-07-15,73.1
2014-07-16,74.15
2014-07-17,73.85
2014-07-18,73.35
2014-07-21,75.7
2014-07-22,75.85
2014-07-23,72.7
2014-07-24,74.2
2014-07-25,72.3
2014-07-28,70.55
2014-07-30,64.85
2014-07-31,66.45
2014-08-01,67.95
2014-08-04,68.95
2014-08-05,67.75
2014-08-06,66.9
2014-08-07,65.4
2014-08-08,63.6
2014-08-11,64.35
2014-08-12,64.5
2014-08-13,62.4
2014-08-14,64.05
2014-08-18,64.55
2014-08-19,65.75
2014-08-20,68.55
2014-08-21,66.95
2014-08-22,66.35
2014-08-25,66.15
2014-08-26,66.4
2014-08-27,68.6
2014-08-28,64.7
2014-09-01,65.65
2014-09-02,64.85
2014-09-03,63.5
2014-09-04,64.05
2014-09-05,62.9
2014-09-08,64.3
2014-09-09,67.2
2014-09-10,66.7
2014-09-11,67.1
2014-09-12,73.7
2014-09-15,73.25
2014-09-16,67.85
2014-09-17,67.75
2014-09-18,68.9
2014-09-19,72.15
2014-09-22,73.9
2014-09-23,69.8
2014-09-24,68.0
2014-09-25,66.15
2014-09-26,66.05
2014-09-29,66.35
2014-09-30,65.9
2014-10-01,65.4
2014-10-07,63.7
2014-10-08,64.25
2014-10-09,64.25
2014-10-10,63.5
2014-10-13,64.75
2014-10-14,65.05
2014-10-16,64.35
2014-10-17,64.25
2014-10-20,64.15
2014-10-21,64.5
2014-10-22,65.4
2014-10-23,66.85
2014-10-27,65.15
2014-10-28,65.1
2014-10-29,65.55
2014-10-30,65.75
2014-10-31,63.35
2014-11-03,63.85
2014-11-05,63.65
2014-11-07,62.45
2014-11-10,62.3
2014-11-11,62.0
2014-11-12,61.45
2014-11-13,62.0
2014-11-14,64.1
2014-11-17,63.1
2014-11-18,62.25
2014-11-19,61.15
2014-11-20,59.65
2014-11-21,58.6
2014-11-24,57.95
2014-11-25,55.3
2014-11-26,57.1
2014-11-27,56.4
2014-11-28,57.7
2014-12-01,56.95
2014-12-02,56.65
2014-12-03,57.5
2014-12-04,57.35
2014-12-05,58.1
2014-12-08,55.85
2014-12-09,56.0
2014-12-10,55.3
2014-12-11,54.15
2014-12-12,53.85
2014-12-15,53.0
2014-12-16,51.0
2014-12-17,50.15
2014-12-18,52.0
2014-12-19,52.65
2014-12-22,52.5
2014-12-23,51.65
2014-12-24,50.95
2014-12-26,51.15
2014-12-29,52.45
2014-12-30,52.45
2014-12-31,53.15
