Date,JKTYRE
2014-01-01,173.25
2014-01-02,169.6
2014-01-03,171.35
2014-01-06,172.4
2014-01-07,172.1
2014-01-08,172.15
2014-01-09,169.8
2014-01-10,165.35
2014-01-13,163.3
2014-01-14,166.5
2014-01-15,169.15
2014-01-16,169.75
2014-01-17,163.0
2014-01-20,162.25
2014-01-21,163.65
2014-01-22,165.25
2014-01-23,166.3
2014-01-24,156.7
2014-01-27,146.7
2014-01-28,150.05
2014-01-29,146.85
2014-01-30,139.95
2014-01-31,144.9
2014-02-03,140.2
2014-02-04,141.65
2014-02-05,143.7
2014-02-06,141.55
2014-02-07,141.0
2014-02-10,147.1
2014-02-11,148.15
2014-02-12,144.75
2014-02-13,141.2
2014-02-14,139.7
2014-02-17,135.6
2014-02-18,134.2
2014-02-19,137.9
2014-02-20,139.2
2014-02-21,138.1
2014-02-24,137.8
2014-02-25,140.2
2014-02-26,139.45
2014-02-28,136.95
2014-03-03,136.75
2014-03-04,140.25
2014-03-05,143.6
2014-03-06,146.15
2014-03-07,142.0
2014-03-10,144.75
2014-03-11,149.4
2014-03-12,160.35
2014-03-13,160.15
2014-03-14,159.15
2014-03-18,160.25
2014-03-19,157.75
2014-03-20,155.7
2014-03-21,169.85
2014-03-22,173.35
2014-03-24,170.5
2014-03-25,180.6
2014-03-26,176.95
2014-03-27,177.0
2014-03-28,175.05
2014-03-31,177.35
2014-04-01,181.3
2014-04-02,181.0
2014-04-03,177.95
2014-04-04,182.45
2014-04-07,185.55
2014-04-09,185.9
2014-04-10,181.45
2014-04-11,178.7
2014-04-15,180.65
2014-04-16,180.8
2014-04-17,205.6
2014-04-21,217.65
2014-04-22,203.9
2014-04-23,210.6
2014-04-25,219.7
2014-04-28,218.7
2014-04-29,214.75
2014-04-30,200.95
2014-05-02,195.85
2014-05-05,190.8
2014-05-06,194.25
2014-05-07,192.5
2014-05-08,192.9
2014-05-09,191.8
2014-05-12,190.15
2014-05-13,188.05
2014-05-14,190.05
2014-05-15,191.55
2014-05-16,194.45
2014-05-19,220.25
2014-05-20,231.1
2014-05-21,227.65
2014-05-22,232.2
2014-05-23,231.55
2014-05-26,233.2
2014-05-27,226.8
2014-05-28,232.2
2014-05-29,214.8
2014-05-30,209.1
2014-06-02,228.95
2014-06-03,231.8
2014-06-04,236.8
2014-06-05,241.3
2014-06-06,242.8
2014-06-09,273.85
2014-06-10,280.5
2014-06-11,279.95
2014-06-12,287.45
2014-06-13,270.3
2014-06-16,278.25
2014-06-17,294.8
2014-06-18,290.55
2014-06-19,294.6
2014-06-20,297.85
2014-06-23,311.75
2014-06-24,323.0
2014-06-25,320.85
2014-06-26,318.75
2014-06-27,319.85
2014-06-30,323.8
2014-07-01,330.05
2014-07-02,329.15
2014-07-03,321.9
2014-07-04,321.35
2014-07-07,311.2
2014-07-08,300.45
2014-07-09,280.35
2014-07-10,288.35
2014-07-11,269.8
2014-07-14,300.2
2014-07-15,294.1
2014-07-16,305.5
2014-07-17,317.2
2014-07-18,309.5
2014-07-21,328.7
2014-07-22,314.05
2014-07-23,329.15
2014-07-24,320.9
2014-07-25,320.85
2014-07-28,322.05
2014-07-30,315.35
2014-07-31,310.15
2014-08-01,297.5
2014-08-04,314.0
2014-08-05,319.2
2014-08-06,311.65
2014-08-07,308.75
2014-08-08,294.55
2014-08-11,292.7
2014-08-12,296.85
2014-08-13,270.9
2014-08-14,263.8
2014-08-18,283.65
2014-08-19,289.9
2014-08-20,289.95
2014-08-21,290.15
2014-08-22,286.7
2014-08-25,284.2
2014-08-26,274.75
2014-08-27,281.75
2014-08-28,276.45
2014-09-01,290.9
2014-09-02,297.2
2014-09-03,297.9
2014-09-04,307.25
2014-09-05,314.15
2014-09-08,370.1
2014-09-09,367.95
2014-09-10,373.3
2014-09-11,375.5
2014-09-12,374.75
2014-09-15,382.4
2014-09-16,380.7
2014-09-17,413.3
2014-09-18,457.05
2014-09-19,498.9
2014-09-22,503.9
2014-09-23,478.55
2014-09-24,484.75
2014-09-25,450.4
2014-09-26,465.5
2014-09-29,468.2
2014-09-30,489.2
2014-10-01,480.45
2014-10-07,501.5
2014-10-08,496.4
2014-10-09,506.0
2014-10-10,511.45
2014-10-13,510.65
2014-10-14,511.0
2014-10-16,500.15
2014-10-17,501.4
2014-10-20,503.3
2014-10-21,500.95
2014-10-22,494.75
2014-10-23,493.05
2014-10-27,487.6
2014-10-28,498.85
2014-10-29,499.1
2014-10-30,490.9
2014-10-31,491.0
2014-11-03,498.2
2014-11-05,502.75
2014-11-07,496.25
2014-11-10,500.45
2014-11-11,507.35
2014-11-12,523.1
2014-11-13,521.1
2014-11-14,517.15
2014-11-17,532.1
2014-11-18,521.9
2014-11-19,514.95
2014-11-20,514.0
2014-11-21,513.7
2014-11-24,553.4
2014-11-25,573.95
2014-11-26,597.55
2014-11-27,636.45
2014-11-28,665.4
2014-12-01,627.2
2014-12-02,638.6
2014-12-03,649.1
2014-12-04,679.8
2014-12-05,668.4
2014-12-08,642.75
2014-12-09,638.2
2014-12-10,645.35
2014-12-11,630.2
2014-12-12,645.65
2014-12-15,653.85
2014-12-16,626.9
2014-12-17,592.3
2014-12-18,139.35
2014-12-19,152.75
2014-12-22,143.9
2014-12-23,136.6
2014-12-24,138.4
2014-12-26,136.35
2014-12-29,130.2
2014-12-30,132.15
2014-12-31,130.5
