Date,DHANBANK
2014-01-01,41.2
2014-01-02,39.9
2014-01-03,40.1
2014-01-06,39.7
2014-01-07,39.35
2014-01-08,40.05
2014-01-09,39.75
2014-01-10,38.45
2014-01-13,38.2
2014-01-14,37.8
2014-01-15,38.2
2014-01-16,39.35
2014-01-17,38.2
2014-01-20,38.05
2014-01-21,38.0
2014-01-22,38.75
2014-01-23,37.65
2014-01-24,37.4
2014-01-27,35.9
2014-01-28,35.75
2014-01-29,35.4
2014-01-30,33.9
2014-01-31,34.35
2014-02-03,34.05
2014-02-04,34.1
2014-02-05,33.85
2014-02-06,34.4
2014-02-07,34.55
2014-02-10,34.25
2014-02-11,32.35
2014-02-12,32.15
2014-02-13,31.85
2014-02-14,30.7
2014-02-17,31.0
2014-02-18,30.85
2014-02-19,30.3
2014-02-20,30.0
2014-02-21,30.0
2014-02-24,30.0
2014-02-25,30.0
2014-02-26,28.4
2014-02-28,29.75
2014-03-03,29.75
2014-03-04,34.35
2014-03-05,35.65
2014-03-06,35.0
2014-03-07,35.05
2014-03-10,35.65
2014-03-11,34.8
2014-03-12,34.2
2014-03-13,34.05
2014-03-14,33.45
2014-03-18,33.65
2014-03-19,34.15
2014-03-20,34.55
2014-03-21,35.25
2014-03-22,35.05
2014-03-24,35.0
2014-03-25,35.0
2014-03-26,34.8
2014-03-27,34.95
2014-03-28,35.65
2014-03-31,36.05
2014-04-01,35.55
2014-04-02,36.2
2014-04-03,35.7
2014-04-04,35.8
2014-04-07,35.25
2014-04-09,36.2
2014-04-10,36.75
2014-04-11,36.4
2014-04-15,40.85
2014-04-16,39.85
2014-04-17,40.3
2014-04-21,40.5
2014-04-22,39.95
2014-04-23,40.4
2014-04-25,38.8
2014-04-28,38.1
2014-04-29,37.55
2014-04-30,38.15
2014-05-02,38.75
2014-05-05,37.85
2014-05-06,37.45
2014-05-07,36.4
2014-05-08,35.6
2014-05-09,37.45
2014-05-12,37.35
2014-05-13,37.5
2014-05-14,38.9
2014-05-15,37.75
2014-05-16,38.15
2014-05-19,40.25
2014-05-20,41.2
2014-05-21,44.4
2014-05-22,46.25
2014-05-23,46.95
2014-05-26,44.05
2014-05-27,42.7
2014-05-28,43.65
2014-05-29,46.15
2014-05-30,45.0
2014-06-02,51.2
2014-06-03,55.75
2014-06-04,57.5
2014-06-05,58.2
2014-06-06,60.15
2014-06-09,57.0
2014-06-10,56.35
2014-06-11,56.45
2014-06-12,55.05
2014-06-13,50.65
2014-06-16,54.45
2014-06-17,55.6
2014-06-18,53.05
2014-06-19,53.05
2014-06-20,52.45
2014-06-23,52.95
2014-06-24,53.4
2014-06-25,53.2
2014-06-26,52.35
2014-06-27,52.4
2014-06-30,55.1
2014-07-01,56.8
2014-07-02,56.9
2014-07-03,57.8
2014-07-04,57.95
2014-07-07,58.1
2014-07-08,52.6
2014-07-09,51.8
2014-07-10,52.45
2014-07-11,49.4
2014-07-14,49.5
2014-07-15,50.9
2014-07-16,52.4
2014-07-17,52.3
2014-07-18,51.8
2014-07-21,52.0
2014-07-22,51.15
2014-07-23,51.1
2014-07-24,50.9
2014-07-25,49.25
2014-07-28,49.2
2014-07-30,50.45
2014-07-31,49.7
2014-08-01,49.8
2014-08-04,48.85
2014-08-05,50.0
2014-08-06,48.95
2014-08-07,48.2
2014-08-08,45.2
2014-08-11,45.9
2014-08-12,46.3
2014-08-13,45.25
2014-08-14,45.35
2014-08-18,46.45
2014-08-19,47.4
2014-08-20,48.1
2014-08-21,49.2
2014-08-22,48.2
2014-08-25,46.8
2014-08-26,45.45
2014-08-27,45.9
2014-08-28,43.75
2014-09-01,44.15
2014-09-02,45.5
2014-09-03,45.35
2014-09-04,45.1
2014-09-05,45.5
2014-09-08,47.35
2014-09-09,46.1
2014-09-10,47.4
2014-09-11,47.6
2014-09-12,46.95
2014-09-15,47.6
2014-09-16,45.55
2014-09-17,45.6
2014-09-18,46.55
2014-09-19,46.75
2014-09-22,45.9
2014-09-23,44.95
2014-09-24,43.8
2014-09-25,42.15
2014-09-26,42.7
2014-09-29,43.4
2014-09-30,43.55
2014-10-01,41.75
2014-10-07,42.0
2014-10-08,42.75
2014-10-09,43.7
2014-10-10,42.95
2014-10-13,44.1
2014-10-14,44.4
2014-10-16,43.2
2014-10-17,43.45
2014-10-20,44.2
2014-10-21,44.3
2014-10-22,44.15
2014-10-23,44.8
2014-10-27,44.4
2014-10-28,44.35
2014-10-29,45.3
2014-10-30,45.25
2014-10-31,45.9
2014-11-03,45.4
2014-11-05,45.75
2014-11-07,45.15
2014-11-10,44.95
2014-11-11,45.45
2014-11-12,45.3
2014-11-13,44.3
2014-11-14,44.1
2014-11-17,44.6
2014-11-18,45.0
2014-11-19,43.7
2014-11-20,43.2
2014-11-21,44.25
2014-11-24,45.6
2014-11-25,43.6
2014-11-26,43.4
2014-11-27,43.25
2014-11-28,43.75
2014-12-01,43.25
2014-12-02,43.6
2014-12-03,45.55
2014-12-04,44.5
2014-12-05,43.5
2014-12-08,42.8
2014-12-09,41.1
2014-12-10,41.05
2014-12-11,41.05
2014-12-12,40.4
2014-12-15,40.2
2014-12-16,38.3
2014-12-17,37.7
2014-12-18,39.1
2014-12-19,39.15
2014-12-22,38.95
2014-12-23,38.55
2014-12-24,38.7
2014-12-26,38.95
2014-12-29,40.0
2014-12-30,39.5
2014-12-31,40.7
