Date,PGHH
2014-01-01,3019.2
2014-01-02,3021.1
2014-01-03,3031.1
2014-01-06,3095.8
2014-01-07,3104.8
2014-01-08,3063.25
2014-01-09,3077.8
2014-01-10,3058.2
2014-01-13,3058.65
2014-01-14,3178.3
2014-01-15,3111.65
2014-01-16,3164.0
2014-01-17,3187.75
2014-01-20,3199.7
2014-01-21,3189.45
2014-01-22,3217.55
2014-01-23,3226.75
2014-01-24,3143.15
2014-01-27,3066.45
2014-01-28,3048.75
2014-01-29,3047.45
2014-01-30,3020.6
2014-01-31,3100.5
2014-02-03,3057.3
2014-02-04,3207.15
2014-02-05,3200.75
2014-02-06,3202.95
2014-02-07,3207.05
2014-02-10,3200.3
2014-02-11,3187.35
2014-02-12,3148.15
2014-02-13,3137.55
2014-02-14,3118.05
2014-02-17,3076.7
2014-02-18,3100.8
2014-02-19,3114.75
2014-02-20,3102.85
2014-02-21,3128.3
2014-02-24,3102.45
2014-02-25,3090.3
2014-02-26,3083.95
2014-02-28,3090.15
2014-03-03,3063.65
2014-03-04,3095.2
2014-03-05,3081.1
2014-03-06,3121.45
2014-03-07,3092.95
2014-03-10,3064.95
2014-03-11,3091.55
2014-03-12,3071.6
2014-03-13,3080.95
2014-03-14,3039.7
2014-03-18,3046.3
2014-03-19,3067.95
2014-03-20,3060.5
2014-03-21,3060.3
2014-03-22,3073.1
2014-03-24,3082.4
2014-03-25,3094.0
2014-03-26,3119.05
2014-03-27,3117.3
2014-03-28,3155.95
2014-03-31,3197.9
2014-04-01,3192.1
2014-04-02,3193.1
2014-04-03,3193.9
2014-04-04,3200.0
2014-04-07,3200.35
2014-04-09,3224.3
2014-04-10,3195.3
2014-04-11,3193.65
2014-04-15,3212.2
2014-04-16,3402.35
2014-04-17,3411.7
2014-04-21,3446.95
2014-04-22,3477.8
2014-04-23,3478.75
2014-04-25,3384.65
2014-04-28,3401.65
2014-04-29,3300.75
2014-04-30,3403.05
2014-05-02,3407.05
2014-05-05,3410.25
2014-05-06,3372.5
2014-05-07,3434.85
2014-05-08,3615.8
2014-05-09,3653.5
2014-05-12,3603.45
2014-05-13,3610.0
2014-05-14,3610.4
2014-05-15,3595.5
2014-05-16,3509.45
2014-05-19,3680.7
2014-05-20,3636.9
2014-05-21,3643.4
2014-05-22,3788.9
2014-05-23,3866.75
2014-05-26,3899.7
2014-05-27,3890.85
2014-05-28,3886.85
2014-05-29,3784.75
2014-05-30,3811.2
2014-06-02,3812.25
2014-06-03,3839.95
2014-06-04,3862.6
2014-06-05,3879.65
2014-06-06,3881.3
2014-06-09,3892.25
2014-06-10,3872.9
2014-06-11,4027.95
2014-06-12,4263.85
2014-06-13,4216.45
2014-06-16,4202.8
2014-06-17,4189.3
2014-06-18,4127.4
2014-06-19,4093.0
2014-06-20,4013.3
2014-06-23,4055.15
2014-06-24,4081.35
2014-06-25,4226.8
2014-06-26,4235.1
2014-06-27,4258.35
2014-06-30,4255.4
2014-07-01,4344.1
2014-07-02,4455.3
2014-07-03,4723.25
2014-07-04,4721.55
2014-07-07,4749.1
2014-07-08,4702.9
2014-07-09,4692.85
2014-07-10,4673.5
2014-07-11,4550.65
2014-07-14,4561.55
2014-07-15,4669.45
2014-07-16,4736.1
2014-07-17,4723.95
2014-07-18,4667.8
2014-07-21,4608.95
2014-07-22,4617.2
2014-07-23,4634.75
2014-07-24,4602.85
2014-07-25,4564.4
2014-07-28,4554.75
2014-07-30,4556.4
2014-07-31,4649.6
2014-08-01,4636.7
2014-08-04,4606.65
2014-08-05,4622.75
2014-08-06,4634.7
2014-08-07,4586.7
2014-08-08,4535.5
