Date,NESCO
2014-01-01,783.3
2014-01-02,784.9
2014-01-03,785.85
2014-01-06,781.15
2014-01-07,790.0
2014-01-08,795.5
2014-01-09,800.0
2014-01-10,799.55
2014-01-13,791.55
2014-01-14,783.25
2014-01-15,775.2
2014-01-16,782.0
2014-01-17,776.25
2014-01-20,780.05
2014-01-21,780.15
2014-01-22,784.55
2014-01-23,785.65
2014-01-24,785.0
2014-01-27,778.85
2014-01-28,777.05
2014-01-29,786.15
2014-01-30,788.9
2014-01-31,786.7
2014-02-03,786.0
2014-02-04,788.7
2014-02-05,790.1
2014-02-06,790.0
2014-02-07,790.0
2014-02-10,791.0
2014-02-11,790.7
2014-02-12,791.0
2014-02-13,792.2
2014-02-14,790.0
2014-02-17,792.05
2014-02-18,796.2
2014-02-19,802.55
2014-02-20,803.2
2014-02-21,801.1
2014-02-24,794.85
2014-02-25,795.15
2014-02-26,795.1
2014-02-28,794.6
2014-03-03,795.9
2014-03-04,799.35
2014-03-05,795.05
2014-03-06,795.3
2014-03-07,795.7
2014-03-10,800.9
2014-03-11,802.0
2014-03-12,798.0
2014-03-13,798.55
2014-03-14,795.4
2014-03-18,797.85
2014-03-19,817.65
2014-03-20,804.9
2014-03-21,809.9
2014-03-22,801.35
2014-03-24,799.6
2014-03-25,795.05
2014-03-26,801.95
2014-03-27,804.6
2014-03-28,807.95
2014-03-31,811.35
2014-04-01,804.0
2014-04-02,806.2
2014-04-03,811.65
2014-04-04,810.15
2014-04-07,827.0
2014-04-09,864.05
2014-04-10,858.4
2014-04-11,838.4
2014-04-15,851.95
2014-04-16,855.0
2014-04-17,876.5
2014-04-21,898.15
2014-04-22,894.85
2014-04-23,934.75
2014-04-25,909.5
2014-04-28,881.05
2014-04-29,900.75
2014-04-30,871.9
2014-05-02,870.0
2014-05-05,885.3
2014-05-06,882.55
2014-05-07,895.0
2014-05-08,896.15
2014-05-09,892.55
2014-05-12,901.8
2014-05-13,894.85
2014-05-14,879.45
2014-05-15,919.1
2014-05-16,940.0
2014-05-19,986.3
2014-05-20,1001.4
2014-05-21,1000.8
2014-05-22,1004.0
2014-05-23,1000.25
2014-05-26,1000.5
2014-05-27,1006.55
2014-05-28,1024.7
2014-05-29,1005.85
2014-05-30,990.2
2014-06-02,1026.05
2014-06-03,1005.8
2014-06-04,980.85
2014-06-05,1001.45
2014-06-06,1012.2
2014-06-09,1021.25
2014-06-10,1021.0
2014-06-11,1023.8
2014-06-12,1158.2
2014-06-13,1071.1
2014-06-16,1082.6
2014-06-17,1073.95
2014-06-18,1069.5
2014-06-19,1054.25
2014-06-20,1068.2
2014-06-23,1094.4
2014-06-24,1145.35
2014-06-25,1111.85
2014-06-26,1102.25
2014-06-27,1076.9
2014-06-30,1092.55
2014-07-01,1104.15
2014-07-02,1100.25
2014-07-03,1120.25
