Date,OILCOUNTUB
2014-01-01,36.3
2014-01-02,36.55
2014-01-03,36.4
2014-01-06,36.6
2014-01-07,36.25
2014-01-08,37.85
2014-01-09,37.05
2014-01-10,36.5
2014-01-13,35.5
2014-01-14,35.9
2014-01-15,35.9
2014-01-16,35.7
2014-01-17,34.05
2014-01-20,34.4
2014-01-21,34.45
2014-01-22,34.5
2014-01-23,33.8
2014-01-24,33.0
2014-01-27,31.75
2014-01-28,32.6
2014-01-29,31.45
2014-01-30,32.0
2014-01-31,33.35
2014-02-03,32.45
2014-02-04,32.95
2014-02-05,32.2
2014-02-06,31.65
2014-02-07,31.5
2014-02-10,31.85
2014-02-11,31.95
2014-02-12,31.75
2014-02-13,30.4
2014-02-14,30.3
2014-02-17,30.4
2014-02-18,30.75
2014-02-19,30.45
2014-02-20,30.25
2014-02-21,30.45
2014-02-24,30.2
2014-02-25,34.25
2014-02-26,34.3
2014-02-28,35.45
2014-03-03,33.6
2014-03-04,33.5
2014-03-05,33.9
2014-03-06,35.05
2014-03-07,34.75
2014-03-10,34.95
2014-03-11,34.55
2014-03-12,34.6
2014-03-13,34.25
2014-03-14,34.7
2014-03-18,34.25
2014-03-19,35.0
2014-03-20,35.25
2014-03-21,36.6
2014-03-22,36.1
2014-03-24,36.1
2014-03-25,36.0
2014-03-26,36.3
2014-03-27,38.95
2014-03-28,40.6
2014-03-31,40.7
2014-04-01,39.6
2014-04-02,39.85
2014-04-03,38.7
2014-04-04,38.5
2014-04-07,39.2
2014-04-09,41.55
2014-04-10,42.15
2014-04-11,44.1
2014-04-15,44.75
2014-04-16,42.5
2014-04-17,42.85
2014-04-21,43.05
2014-04-22,43.55
2014-04-23,45.5
2014-04-25,48.65
2014-04-28,47.2
2014-04-29,45.4
2014-04-30,47.8
2014-05-02,45.8
2014-05-05,46.05
2014-05-06,46.1
2014-05-07,44.35
2014-05-08,44.45
2014-05-09,44.75
2014-05-12,44.25
2014-05-13,44.7
2014-05-14,44.8
2014-05-15,44.2
2014-05-16,43.15
2014-05-19,47.75
2014-05-20,48.9
2014-05-21,54.2
2014-05-22,53.0
2014-05-23,54.55
2014-05-26,52.45
2014-05-27,53.25
2014-05-28,54.75
2014-05-29,51.65
2014-05-30,52.3
2014-06-02,52.55
2014-06-03,52.4
2014-06-04,56.85
2014-06-05,55.75
2014-06-06,56.9
2014-06-09,56.3
2014-06-10,58.05
2014-06-11,59.65
2014-06-12,63.75
2014-06-13,60.65
2014-06-16,59.35
2014-06-17,61.55
2014-06-18,63.45
2014-06-19,62.95
2014-06-20,61.3
2014-06-23,61.3
2014-06-24,65.25
2014-06-25,63.1
2014-06-26,63.9
2014-06-27,64.1
2014-06-30,65.0
2014-07-01,64.95
2014-07-02,66.2
2014-07-03,66.6
2014-07-04,65.35
2014-07-07,67.65
2014-07-08,61.15
2014-07-09,57.75
2014-07-10,58.45
2014-07-11,55.0
2014-07-14,55.35
2014-07-15,56.75
2014-07-16,57.95
2014-07-17,58.4
2014-07-18,62.3
2014-07-21,62.15
2014-07-22,60.45
2014-07-23,57.35
2014-07-24,56.55
2014-07-25,54.15
2014-07-28,51.75
2014-07-30,51.35
2014-07-31,52.15
2014-08-01,50.85
2014-08-04,51.75
2014-08-05,51.45
2014-08-06,51.15
2014-08-07,51.3
2014-08-08,49.6
2014-08-11,50.25
2014-08-12,49.85
2014-08-13,48.1
2014-08-14,47.65
2014-08-18,49.2
2014-08-19,51.45
2014-08-20,50.8
2014-08-21,50.0
2014-08-22,49.05
2014-08-25,48.8
2014-08-26,46.55
2014-08-27,46.95
2014-08-28,46.85
2014-09-01,46.8
2014-09-02,48.0
2014-09-03,49.5
2014-09-04,47.65
2014-09-05,47.0
2014-09-08,48.4
2014-09-09,48.2
2014-09-10,51.0
2014-09-11,52.5
2014-09-12,52.6
2014-09-15,53.25
2014-09-16,49.5
2014-09-17,48.4
2014-09-18,50.0
2014-09-19,51.7
2014-09-22,53.05
2014-09-23,50.25
2014-09-24,48.65
2014-09-25,46.65
2014-09-26,46.55
2014-09-29,47.9
2014-09-30,46.7
2014-10-01,46.65
2014-10-07,46.2
2014-10-08,45.7
2014-10-09,46.1
2014-10-10,44.8
2014-10-13,45.45
2014-10-14,44.95
2014-10-16,45.1
2014-10-17,44.55
2014-10-20,44.6
2014-10-21,44.05
2014-10-22,44.05
2014-10-23,44.75
2014-10-27,44.65
2014-10-28,45.85
2014-10-29,46.0
2014-10-30,43.15
2014-10-31,41.9
2014-11-03,42.3
2014-11-05,40.65
2014-11-07,40.7
2014-11-10,40.25
2014-11-11,40.0
2014-11-12,40.25
2014-11-13,39.85
2014-11-14,40.0
2014-11-17,41.05
2014-11-18,40.5
2014-11-19,40.2
2014-11-20,39.4
2014-11-21,39.35
2014-11-24,40.2
2014-11-25,42.95
2014-11-26,46.5
2014-11-27,44.85
2014-11-28,42.5
2014-12-01,41.2
2014-12-02,41.05
2014-12-03,41.55
2014-12-04,41.1
2014-12-05,41.05
2014-12-08,39.75
2014-12-09,38.15
2014-12-10,38.6
2014-12-11,37.85
2014-12-12,36.45
2014-12-15,35.1
2014-12-16,33.05
2014-12-17,32.65
2014-12-18,34.3
2014-12-19,34.95
2014-12-22,34.65
2014-12-23,34.8
2014-12-24,33.6
2014-12-26,34.05
2014-12-29,34.65
2014-12-30,34.65
2014-12-31,34.65
