Date,SRSLTD
2014-01-01,35.25
2014-01-02,34.6
2014-01-03,34.9
2014-01-06,35.05
2014-01-07,35.05
2014-01-08,35.0
2014-01-09,35.05
2014-01-10,35.1
2014-01-13,35.15
2014-01-14,35.15
2014-01-15,34.85
2014-01-16,35.0
2014-01-17,34.2
2014-01-20,33.7
2014-01-21,34.7
2014-01-22,34.4
2014-01-23,34.05
2014-01-24,33.65
2014-01-27,33.15
2014-01-28,33.25
2014-01-29,32.9
2014-01-30,32.4
2014-01-31,32.45
2014-02-03,34.0
2014-02-04,33.95
2014-02-05,33.65
2014-02-06,33.9
2014-02-07,33.7
2014-02-10,33.45
2014-02-11,33.35
2014-02-12,33.35
2014-02-13,33.4
2014-02-14,35.6
2014-02-17,34.85
2014-02-18,34.1
2014-02-19,33.8
2014-02-20,33.65
2014-02-21,34.0
2014-02-24,34.1
2014-02-25,33.65
2014-02-26,33.55
2014-02-28,33.7
2014-03-03,33.7
2014-03-04,33.6
2014-03-05,33.95
2014-03-06,34.75
2014-03-07,35.0
2014-03-10,34.85
2014-03-11,34.05
2014-03-12,33.8
2014-03-13,34.05
2014-03-14,33.9
2014-03-18,33.55
2014-03-19,33.65
2014-03-20,33.7
2014-03-21,33.6
2014-03-22,33.55
2014-03-24,33.65
2014-03-25,33.85
2014-03-26,33.65
2014-03-27,33.85
2014-03-28,33.8
2014-03-31,34.0
2014-04-01,34.25
2014-04-02,34.15
2014-04-03,34.45
2014-04-04,34.1
2014-04-07,34.1
2014-04-09,34.5
2014-04-10,34.9
2014-04-11,34.7
2014-04-15,34.7
2014-04-16,34.35
2014-04-17,35.95
2014-04-21,35.4
2014-04-22,35.3
2014-04-23,34.75
2014-04-25,34.1
2014-04-28,34.25
2014-04-29,35.3
2014-04-30,35.15
2014-05-02,34.9
2014-05-05,34.2
2014-05-06,34.15
2014-05-07,34.05
2014-05-08,34.85
2014-05-09,34.45
2014-05-12,34.25
2014-05-13,34.6
2014-05-14,34.0
2014-05-15,29.9
2014-05-16,30.3
2014-05-19,31.3
2014-05-20,30.35
2014-05-21,31.95
2014-05-22,32.9
2014-05-23,32.75
2014-05-26,32.1
2014-05-27,32.15
2014-05-28,33.95
2014-05-29,30.75
2014-05-30,29.0
2014-06-02,30.5
2014-06-03,30.0
2014-06-04,29.9
2014-06-05,29.55
2014-06-06,29.7
2014-06-09,30.0
2014-06-10,30.45
2014-06-11,30.55
2014-06-12,30.75
2014-06-13,29.35
2014-06-16,29.7
2014-06-17,30.0
2014-06-18,29.9
2014-06-19,30.25
2014-06-20,30.05
2014-06-23,29.95
2014-06-24,29.95
2014-06-25,29.9
2014-06-26,29.55
2014-06-27,30.95
2014-06-30,31.45
2014-07-01,31.75
2014-07-02,30.65
2014-07-03,30.3
2014-07-04,30.65
2014-07-07,30.15
2014-07-08,29.2
2014-07-09,29.0
2014-07-10,29.0
2014-07-11,28.8
2014-07-14,28.7
2014-07-15,28.85
2014-07-16,28.9
2014-07-17,28.9
2014-07-18,29.15
2014-07-21,30.65
2014-07-22,30.7
2014-07-23,30.2
2014-07-24,29.95
2014-07-25,29.0
2014-07-28,29.05
2014-07-30,28.9
2014-07-31,29.05
2014-08-01,28.9
2014-08-04,27.25
2014-08-05,26.85
2014-08-06,26.75
2014-08-07,27.2
2014-08-08,27.3
2014-08-11,27.2
2014-08-12,26.7
2014-08-13,26.05
2014-08-14,26.25
2014-08-18,26.5
2014-08-19,27.15
2014-08-20,27.4
2014-08-21,29.1
2014-08-22,29.65
2014-08-25,30.6
2014-08-26,25.9
2014-08-27,25.75
2014-08-28,26.25
2014-09-01,25.1
2014-09-02,25.5
2014-09-03,25.05
2014-09-04,24.85
2014-09-05,25.4
2014-09-08,25.8
2014-09-09,25.8
2014-09-10,27.3
2014-09-11,26.75
2014-09-12,26.85
2014-09-15,27.85
2014-09-16,26.85
2014-09-17,26.95
2014-09-18,27.45
2014-09-19,26.8
2014-09-22,26.35
2014-09-23,25.85
2014-09-24,24.65
2014-09-25,23.25
2014-09-26,23.15
2014-09-29,23.2
2014-09-30,23.6
2014-10-01,23.4
2014-10-07,23.85
2014-10-08,23.8
2014-10-09,26.1
2014-10-10,26.35
2014-10-13,26.2
2014-10-14,26.35
2014-10-16,25.65
2014-10-17,25.0
2014-10-20,25.8
2014-10-21,25.2
2014-10-22,25.4
2014-10-23,25.35
2014-10-27,25.75
2014-10-28,25.55
2014-10-29,25.35
2014-10-30,25.4
2014-10-31,25.55
2014-11-03,25.55
2014-11-05,25.65
2014-11-07,25.65
2014-11-10,25.85
2014-11-11,26.5
2014-11-12,27.7
2014-11-13,27.05
2014-11-14,26.85
2014-11-17,26.2
2014-11-18,26.4
2014-11-19,26.05
2014-11-20,26.3
2014-11-21,26.45
2014-11-24,26.55
2014-11-25,25.85
2014-11-26,25.8
2014-11-27,26.15
2014-11-28,26.0
2014-12-01,26.85
2014-12-02,26.45
2014-12-03,27.3
2014-12-04,26.05
2014-12-05,26.0
2014-12-08,26.3
2014-12-09,26.0
2014-12-10,27.3
2014-12-11,26.8
2014-12-12,26.35
2014-12-15,26.15
2014-12-16,25.2
2014-12-17,24.8
2014-12-18,26.15
2014-12-19,26.3
2014-12-22,26.65
2014-12-23,25.65
2014-12-24,25.75
2014-12-26,25.6
2014-12-29,25.65
2014-12-30,25.55
2014-12-31,25.9
