Date,BANCOINDIA
2014-01-01,58.15
2014-01-02,56.5
2014-01-03,56.8
2014-01-06,56.95
2014-01-07,56.9
2014-01-08,56.25
2014-01-09,56.4
2014-01-10,55.95
2014-01-13,55.75
2014-01-14,55.0
2014-01-15,52.95
2014-01-16,52.85
2014-01-17,52.05
2014-01-20,54.4
2014-01-21,56.7
2014-01-22,57.35
2014-01-23,56.55
2014-01-24,55.45
2014-01-27,52.9
2014-01-28,53.35
2014-01-29,53.6
2014-01-30,53.5
2014-01-31,53.2
2014-02-03,52.95
2014-02-04,53.25
2014-02-05,53.65
2014-02-06,52.85
2014-02-07,54.0
2014-02-10,57.55
2014-02-11,56.15
2014-02-12,56.7
2014-02-13,55.4
2014-02-14,55.7
2014-02-17,55.45
2014-02-18,56.0
2014-02-19,55.95
2014-02-20,52.8
2014-02-21,54.15
2014-02-24,55.95
2014-02-25,54.75
2014-02-26,54.25
2014-02-28,55.0
2014-03-03,55.55
2014-03-04,56.1
2014-03-05,56.4
2014-03-06,56.35
2014-03-07,56.5
2014-03-10,56.8
2014-03-11,56.0
2014-03-12,55.3
2014-03-13,55.0
2014-03-14,55.8
2014-03-18,54.95
2014-03-19,55.0
2014-03-20,56.25
2014-03-21,63.3
2014-03-22,63.9
2014-03-24,66.75
2014-03-25,66.55
2014-03-26,71.05
2014-03-27,71.8
2014-03-28,74.55
2014-03-31,71.9
2014-04-01,72.7
2014-04-02,72.8
2014-04-03,69.9
2014-04-04,69.0
2014-04-07,81.55
2014-04-09,79.7
2014-04-10,76.85
2014-04-11,80.25
2014-04-15,78.1
2014-04-16,80.4
2014-04-17,81.8
2014-04-21,80.85
2014-04-22,79.65
2014-04-23,78.0
2014-04-25,79.7
2014-04-28,78.65
2014-04-29,77.7
2014-04-30,75.6
2014-05-02,77.05
2014-05-05,75.05
2014-05-06,78.35
2014-05-07,80.85
2014-05-08,81.65
2014-05-09,80.85
2014-05-12,81.2
2014-05-13,82.05
2014-05-14,81.1
2014-05-15,87.95
2014-05-16,88.4
2014-05-19,95.55
2014-05-20,100.1
2014-05-21,98.2
2014-05-22,101.7
2014-05-23,92.85
2014-05-26,83.65
2014-05-27,85.15
2014-05-28,88.35
2014-05-29,88.3
2014-05-30,87.55
2014-06-02,85.9
2014-06-03,86.1
2014-06-04,97.4
2014-06-05,98.9
2014-06-06,99.2
2014-06-09,99.45
2014-06-10,99.95
2014-06-11,100.95
2014-06-12,100.5
2014-06-13,94.2
2014-06-16,94.3
2014-06-17,97.75
2014-06-18,96.2
2014-06-19,94.75
2014-06-20,96.2
2014-06-23,98.2
2014-06-24,107.3
2014-06-25,106.8
2014-06-26,108.15
2014-06-27,115.4
2014-06-30,120.1
2014-07-01,126.8
2014-07-02,134.8
2014-07-03,136.4
2014-07-04,134.95
2014-07-07,135.5
2014-07-08,137.85
2014-07-09,128.25
2014-07-10,129.85
2014-07-11,125.25
2014-07-14,122.15
2014-07-15,128.6
2014-07-16,131.25
2014-07-17,136.5
2014-07-18,133.95
2014-07-21,135.2
2014-07-22,142.4
2014-07-23,137.35
2014-07-24,139.35
2014-07-25,135.35
2014-07-28,130.9
2014-07-30,130.05
2014-07-31,131.1
2014-08-01,129.15
2014-08-04,130.85
2014-08-05,132.75
2014-08-06,130.3
2014-08-07,129.3
2014-08-08,128.1
2014-08-11,124.7
2014-08-12,124.55
2014-08-13,116.5
2014-08-14,118.5
2014-08-18,123.05
2014-08-19,121.6
2014-08-20,123.0
2014-08-21,130.35
2014-08-22,136.75
2014-08-25,135.0
2014-08-26,130.8
2014-08-27,131.7
2014-08-28,132.0
2014-09-01,141.25
2014-09-02,144.05
2014-09-03,144.55
2014-09-04,142.85
2014-09-05,157.45
2014-09-08,164.0
2014-09-09,161.85
2014-09-10,158.95
2014-09-11,160.05
2014-09-12,170.0
2014-09-15,163.7
2014-09-16,151.5
2014-09-17,148.7
2014-09-18,155.8
2014-09-19,158.2
2014-09-22,153.4
2014-09-23,150.35
2014-09-24,145.15
2014-09-25,145.1
2014-09-26,143.55
2014-09-29,138.9
2014-09-30,143.75
2014-10-01,140.85
2014-10-07,143.55
2014-10-08,138.95
2014-10-09,137.6
2014-10-10,138.55
2014-10-13,139.65
2014-10-14,138.65
2014-10-16,140.4
2014-10-17,141.5
2014-10-20,142.2
2014-10-21,147.2
2014-10-22,148.1
2014-10-23,150.15
2014-10-27,149.2
2014-10-28,149.85
2014-10-29,150.1
2014-10-30,160.0
2014-10-31,166.7
2014-11-03,158.8
2014-11-05,163.2
2014-11-07,159.75
2014-11-10,164.2
2014-11-11,161.7
2014-11-12,160.55
2014-11-13,156.25
2014-11-14,163.95
2014-11-17,164.0
2014-11-18,177.75
2014-11-19,177.15
2014-11-20,174.3
2014-11-21,176.5
2014-11-24,179.35
2014-11-25,178.6
2014-11-26,174.6
2014-11-27,173.95
2014-11-28,169.55
2014-12-01,169.65
2014-12-02,171.25
2014-12-03,170.3
2014-12-04,169.6
2014-12-05,166.7
2014-12-08,170.2
2014-12-09,160.85
2014-12-10,161.3
2014-12-11,165.85
2014-12-12,161.6
2014-12-15,161.4
2014-12-16,154.3
2014-12-17,154.6
2014-12-18,163.0
2014-12-19,165.15
2014-12-22,160.85
2014-12-23,159.75
2014-12-24,161.25
2014-12-26,161.5
2014-12-29,162.0
2014-12-30,161.45
2014-12-31,161.2
