Date,EXIDEIND
2014-01-01,123.8
2014-01-02,117.7
2014-01-03,117.25
2014-01-06,118.25
2014-01-07,118.25
2014-01-08,117.85
2014-01-09,115.05
2014-01-10,112.25
2014-01-13,105.15
2014-01-14,104.25
2014-01-15,104.65
2014-01-16,102.65
2014-01-17,101.0
2014-01-20,101.2
2014-01-21,102.65
2014-01-22,103.35
2014-01-23,104.3
2014-01-24,103.0
2014-01-27,99.9
2014-01-28,101.0
2014-01-29,102.5
2014-01-30,100.65
2014-01-31,101.1
2014-02-03,103.15
2014-02-04,103.05
2014-02-05,103.85
2014-02-06,106.0
2014-02-07,105.5
2014-02-10,104.55
2014-02-11,104.05
2014-02-12,105.1
2014-02-13,105.35
2014-02-14,106.55
2014-02-17,107.05
2014-02-18,108.05
2014-02-19,108.1
2014-02-20,107.75
2014-02-21,108.65
2014-02-24,108.15
2014-02-25,110.25
2014-02-26,110.05
2014-02-28,110.75
2014-03-03,111.75
2014-03-04,112.95
2014-03-05,115.5
2014-03-06,117.05
2014-03-07,118.85
2014-03-10,118.35
2014-03-11,120.25
2014-03-12,119.6
2014-03-13,117.35
2014-03-14,116.6
2014-03-18,118.6
2014-03-19,119.45
2014-03-20,117.3
2014-03-21,116.05
2014-03-22,116.25
2014-03-24,116.45
2014-03-25,116.45
2014-03-26,117.3
2014-03-27,119.15
2014-03-28,123.1
2014-03-31,121.15
2014-04-01,122.3
2014-04-02,124.85
2014-04-03,124.1
2014-04-04,122.9
2014-04-07,124.45
2014-04-09,125.2
2014-04-10,122.7
2014-04-11,123.65
2014-04-15,126.05
2014-04-16,124.6
2014-04-17,125.95
2014-04-21,128.8
2014-04-22,130.35
2014-04-23,130.4
2014-04-25,126.3
2014-04-28,125.5
2014-04-29,126.7
2014-04-30,119.75
2014-05-02,120.6
2014-05-05,119.8
2014-05-06,116.45
2014-05-07,114.3
2014-05-08,115.0
2014-05-09,117.0
2014-05-12,115.8
2014-05-13,118.0
2014-05-14,121.6
2014-05-15,120.45
2014-05-16,122.9
2014-05-19,130.7
2014-05-20,133.2
2014-05-21,135.35
2014-05-22,135.65
2014-05-23,142.5
2014-05-26,135.9
2014-05-27,134.7
2014-05-28,136.35
2014-05-29,137.75
2014-05-30,140.55
2014-06-02,143.35
2014-06-03,144.1
2014-06-04,149.95
2014-06-05,148.45
2014-06-06,146.75
2014-06-09,148.15
2014-06-10,147.05
2014-06-11,144.75
2014-06-12,145.4
2014-06-13,142.3
2014-06-16,141.8
2014-06-17,144.0
2014-06-18,139.7
2014-06-19,141.4
2014-06-20,140.4
2014-06-23,140.0
2014-06-24,140.9
2014-06-25,143.9
2014-06-26,143.75
2014-06-27,143.1
2014-06-30,145.0
2014-07-01,149.7
2014-07-02,158.6
2014-07-03,158.6
2014-07-04,159.2
2014-07-07,158.1
2014-07-08,150.35
2014-07-09,149.85
2014-07-10,150.3
2014-07-11,144.75
2014-07-14,147.0
2014-07-15,152.4
2014-07-16,153.4
2014-07-17,153.2
2014-07-18,159.8
2014-07-21,158.2
2014-07-22,165.35
2014-07-23,160.0
2014-07-24,160.1
2014-07-25,159.95
2014-07-28,162.6
2014-07-30,167.1
2014-07-31,164.45
2014-08-01,163.9
2014-08-04,165.25
2014-08-05,162.35
2014-08-06,160.65
2014-08-07,161.95
2014-08-08,157.4
2014-08-11,157.05
2014-08-12,163.1
2014-08-13,160.65
2014-08-14,160.75
2014-08-18,163.65
2014-08-19,165.75
2014-08-20,167.85
2014-08-21,166.45
2014-08-22,162.6
2014-08-25,160.15
2014-08-26,158.6
2014-08-27,164.3
2014-08-28,162.9
2014-09-01,166.8
2014-09-02,165.3
2014-09-03,165.85
2014-09-04,162.65
2014-09-05,162.35
2014-09-08,163.1
2014-09-09,161.85
2014-09-10,162.85
2014-09-11,164.6
2014-09-12,175.05
2014-09-15,178.65
2014-09-16,171.25
2014-09-17,173.45
2014-09-18,178.0
2014-09-19,172.15
2014-09-22,172.65
2014-09-23,169.8
2014-09-24,169.65
2014-09-25,165.75
2014-09-26,170.45
2014-09-29,169.5
2014-09-30,169.6
2014-10-01,172.15
2014-10-07,167.25
2014-10-08,167.9
2014-10-09,171.1
2014-10-10,167.45
2014-10-13,170.7
2014-10-14,170.05
2014-10-16,166.6
2014-10-17,164.5
2014-10-20,158.35
2014-10-21,151.55
2014-10-22,155.7
2014-10-23,159.55
2014-10-27,156.4
2014-10-28,155.65
2014-10-29,154.55
2014-10-30,156.45
2014-10-31,157.6
2014-11-03,159.7
2014-11-05,160.05
2014-11-07,160.75
2014-11-10,162.85
2014-11-11,163.75
2014-11-12,164.4
2014-11-13,161.75
2014-11-14,161.0
2014-11-17,162.3
2014-11-18,162.1
2014-11-19,158.5
2014-11-20,156.7
2014-11-21,155.8
2014-11-24,157.45
2014-11-25,152.0
2014-11-26,157.4
2014-11-27,163.05
2014-11-28,166.05
2014-12-01,167.9
2014-12-02,174.4
2014-12-03,173.1
2014-12-04,171.35
2014-12-05,170.05
2014-12-08,169.6
2014-12-09,171.55
2014-12-10,174.65
2014-12-11,171.9
2014-12-12,170.6
2014-12-15,175.0
2014-12-16,166.75
2014-12-17,161.05
2014-12-18,170.05
2014-12-19,169.35
2014-12-22,172.0
2014-12-23,168.85
2014-12-24,170.25
2014-12-26,176.5
2014-12-29,176.3
2014-12-30,179.5
2014-12-31,177.8
